S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-05-27,1,25.00,25000.00,1000.00,1000.00,1000.00
2,2021-05-31,5,125.00,130425.00,1055.00,1020.00,1047.00
3,2021-06-01,3,65.00,67825.00,1050.00,1033.00,1050.00
4,2021-06-02,1,25.00,26075.00,1050.00,1033.00,1043.00
5,2021-06-03,9,755.00,802000.00,1063.00,1050.00,1050.00
6,2021-06-06,1,30.00,31260.00,1042.00,1042.00,1042.00
7,2021-06-07,8,225.00,236255.00,1060.00,1047.00,1048.00
8,2021-06-08,3,80.00,84635.00,1062.00,1050.00,1050.00
9,2021-06-09,2,150.00,156500.00,1045.00,1040.00,1045.00
10,2021-06-10,1,50.00,51600.00,1032.00,1032.00,1032.00
11,2021-06-13,1,25.00,26300.00,1052.00,1052.00,1052.00
12,2021-06-14,3,75.00,78475.00,1052.00,1042.00,1042.00
13,2021-06-15,2,200.00,208400.00,1042.00,1042.00,1042.00
14,2021-06-16,1,40.00,42480.00,1062.00,1062.00,1062.00
15,2021-06-20,1,25.00,26250.00,1050.00,1050.00,1050.00
16,2021-06-21,1,50.00,53550.00,1071.00,1071.00,1071.00
17,2021-06-22,1,25.00,26500.00,1060.00,1060.00,1060.00
18,2021-06-27,1,25.00,26500.00,1060.00,1060.00,1060.00
19,2021-06-29,1,25.00,26075.00,1043.00,1043.00,1043.00
20,2021-06-30,2,50.00,52500.00,1055.00,1045.00,1055.00
21,2021-07-01,1,25.00,26375.00,1055.00,1055.00,1055.00
22,2021-07-04,1,25.00,26375.00,1055.00,1055.00,1055.00
23,2021-07-07,1,25.00,26100.00,1044.00,1044.00,1044.00
24,2021-07-08,2,25.00,26600.00,1064.00,1064.00,1064.00
25,2021-07-11,1,25.00,26600.00,1064.00,1064.00,1064.00
26,2021-07-12,2,100.00,108500.00,1085.00,1085.00,1085.00
27,2021-07-15,1,15.00,16590.00,1106.00,1106.00,1106.00
