S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-02-02,2,4828.00,48280.00,10.00,10.00,10.00
2,2017-02-05,44,120337.00,1290951.21,11.00,10.00,10.84
3,2017-02-06,44,85609.00,917238.03,10.99,10.58,10.60
4,2017-02-07,37,299007.00,3119784.34,10.64,10.40,10.47
5,2017-02-08,25,73702.00,752783.06,10.25,10.11,10.20
6,2017-02-09,12,22336.00,229011.46,10.38,10.15,10.15
7,2017-02-12,33,201248.00,2016586.99,10.05,9.95,9.95
8,2017-02-13,16,25935.00,258299.31,10.10,9.80,10.10
9,2017-02-14,8,63863.00,640492.10,10.15,10.00,10.00
10,2017-02-15,7,59087.00,599559.22,10.15,10.10,10.10
11,2017-02-16,31,161857.00,1644442.42,10.30,10.10,10.10
12,2017-02-19,19,60435.00,608865.34,10.15,10.00,10.10
13,2017-02-20,24,133004.00,1344050.40,10.11,10.06,10.11
14,2017-02-21,7,12702.00,128820.46,10.20,10.11,10.15
15,2017-02-22,2,9188.00,92919.50,10.15,10.10,10.15
16,2017-02-23,15,43848.00,441812.84,10.15,10.05,10.05
17,2017-02-26,7,13610.00,138309.31,10.19,10.10,10.10
18,2017-02-28,10,69132.00,698177.74,10.20,10.00,10.10
19,2017-03-01,10,49742.00,499191.94,10.10,10.01,10.05
20,2017-03-02,10,15863.00,160563.87,10.15,10.06,10.10
21,2017-03-05,9,25438.00,258219.37,10.24,10.05,10.10
22,2017-03-06,12,32512.00,327639.88,10.15,10.02,10.15
23,2017-03-07,11,12230.00,122988.84,10.13,10.00,10.13
24,2017-03-09,22,48580.00,486763.33,10.10,10.00,10.09
25,2017-03-13,11,28788.00,290724.97,10.30,10.01,10.11
26,2017-03-14,9,6965.00,69887.30,10.10,10.00,10.10
27,2017-03-15,27,56220.00,564151.31,10.15,10.00,10.15
28,2017-03-16,2,2655.00,26820.32,10.12,10.10,10.10
29,2017-03-19,2,773.00,7818.90,10.14,10.10,10.14
30,2017-03-20,8,9462.00,96748.26,10.32,10.12,10.32
31,2017-03-21,13,5737.00,59305.96,10.50,10.20,10.20
32,2017-03-22,24,25026.00,256548.11,10.34,10.20,10.34
33,2017-03-23,7,10602.00,109560.15,10.42,10.23,10.30
34,2017-03-26,12,58588.00,607592.65,10.43,10.30,10.39
35,2017-03-28,14,57764.00,594768.62,10.45,10.10,10.45
36,2017-03-29,10,14349.00,150409.59,10.66,10.30,10.30
37,2017-03-30,18,27600.00,283947.31,10.45,10.11,10.30
38,2017-04-02,6,19713.00,201937.63,10.40,10.19,10.21
39,2017-04-03,10,22459.00,229920.47,10.30,10.10,10.15
40,2017-04-04,18,85097.00,863210.70,10.25,10.02,10.15
41,2017-04-06,15,73459.00,752672.14,10.35,10.15,10.30
42,2017-04-09,12,60251.00,616491.53,10.25,10.05,10.25
43,2017-04-10,25,343507.00,3491508.06,10.25,10.10,10.16
44,2017-04-11,16,53914.00,544244.10,10.25,10.04,10.05
45,2017-04-12,14,34408.00,351032.05,10.40,10.00,10.30
46,2017-04-13,7,11024.00,113261.54,10.30,10.25,10.30
47,2017-04-16,10,17647.00,183797.81,10.50,10.30,10.30
48,2017-04-18,4,10380.00,106793.26,10.30,10.20,10.20
49,2017-04-19,26,147654.00,1493185.55,10.16,10.05,10.12
50,2017-04-20,6,4139.00,41941.44,10.25,10.04,10.10
51,2017-04-23,5,6679.00,67152.93,10.10,10.01,10.09
52,2017-04-24,12,21373.00,215977.56,10.15,10.06,10.06
53,2017-04-25,5,9462.00,96724.35,10.35,10.06,10.15
54,2017-04-26,16,13158.00,134201.18,10.30,10.10,10.10
55,2017-04-27,30,39930.00,407031.93,10.30,10.00,10.30
56,2017-04-30,6,10426.00,105368.49,10.15,10.05,10.15
57,2017-05-02,12,49093.00,497728.60,10.20,10.00,10.15
58,2017-05-03,8,23172.00,234898.12,10.15,10.10,10.15
