S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-06-29,1,125.00,37000.00,296.00,296.00,296.00
2,2010-06-30,1,12.00,3552.00,296.00,296.00,296.00
3,2010-07-08,3,63.00,18585.00,295.00,295.00,295.00
4,2010-07-20,1,280.00,82600.00,295.00,295.00,295.00
5,2010-07-29,1,60.00,17400.00,290.00,290.00,290.00
6,2010-08-15,7,459.00,133389.00,295.00,284.00,284.00
7,2010-10-03,1,211.00,59080.00,280.00,280.00,280.00
8,2010-10-05,5,640.00,164681.00,269.00,250.00,250.00
9,2010-10-06,2,195.00,48525.00,250.00,245.00,245.00
10,2010-10-07,2,465.00,116035.00,250.00,249.00,250.00
11,2010-10-10,4,335.00,83750.00,250.00,250.00,250.00
12,2010-10-11,1,150.00,37500.00,250.00,250.00,250.00
13,2010-10-12,1,250.00,62500.00,250.00,250.00,250.00
14,2010-10-21,1,45.00,11475.00,255.00,255.00,255.00
15,2010-10-24,2,165.00,41727.00,255.00,251.00,251.00
16,2010-10-26,1,15.00,3840.00,256.00,256.00,256.00
17,2010-10-31,3,440.00,111915.00,256.00,251.00,251.00
18,2010-11-14,1,60.00,15360.00,256.00,256.00,256.00
19,2010-11-15,2,134.00,34756.00,260.00,259.00,260.00
20,2010-11-16,1,107.00,28034.00,262.00,262.00,262.00
21,2010-11-18,4,295.00,80015.00,272.00,267.00,272.00
22,2010-11-21,5,572.00,153520.00,270.00,267.00,270.00
23,2010-11-22,1,94.00,24910.00,265.00,265.00,265.00
24,2010-11-23,8,558.00,148090.00,275.00,260.00,260.00
25,2010-11-24,7,1882.00,507430.00,270.00,265.00,270.00
26,2010-11-25,3,529.00,143080.00,275.00,270.00,270.00
27,2010-11-28,3,1116.00,295740.00,265.00,265.00,265.00
28,2010-11-29,1,152.00,40280.00,265.00,265.00,265.00
29,2010-11-30,4,1607.00,433890.00,270.00,270.00,270.00
30,2010-12-01,3,575.00,153483.00,274.00,265.00,265.00
