S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2016-09-07,1,200.00,55400.00,277.00,277.00,277.00
2,2016-09-14,7,70.00,20680.00,304.00,282.00,304.00
3,2016-09-18,4,40.00,12580.00,316.00,310.00,316.00
4,2016-09-20,11,744.00,257518.00,347.00,322.00,347.00
5,2016-09-21,2,33.00,11810.00,360.00,353.00,360.00
6,2016-09-22,1,10.00,3670.00,367.00,367.00,367.00
7,2016-09-25,20,800.00,321570.00,403.00,374.00,403.00
8,2016-09-26,189,2100.00,926300.00,443.00,411.00,443.00
9,2016-09-27,774,15383.00,6860161.00,487.00,407.00,410.00
10,2016-09-28,277,4662.00,1983520.00,440.00,405.00,440.00
11,2016-09-29,324,7258.00,3381097.00,484.00,442.00,468.00
12,2016-10-02,61,1282.00,549638.00,459.00,422.00,431.00
13,2016-10-03,51,1968.00,871850.00,450.00,432.00,440.00
14,2016-10-04,70,732.00,319901.00,441.00,432.00,435.00
15,2016-10-05,16,520.00,224670.00,435.00,431.00,432.00
16,2016-10-06,34,511.00,221873.00,448.00,424.00,440.00
17,2016-10-16,33,339.00,144722.00,440.00,425.00,428.00
18,2016-10-17,55,1075.00,455148.00,430.00,418.00,421.00
19,2016-10-18,39,1064.00,439563.00,421.00,408.00,408.00
20,2016-10-19,202,2962.00,1218418.00,437.00,402.00,411.00
21,2016-10-20,176,2743.00,1173221.00,435.00,413.00,430.00
22,2016-10-23,113,7497.00,3102698.00,430.00,409.00,418.00
23,2016-10-24,128,3821.00,1553858.00,420.00,398.00,406.00
24,2016-10-25,137,2395.00,962552.00,415.00,394.00,405.00
25,2016-10-26,114,6824.00,2698700.00,413.00,392.00,392.00
26,2016-10-27,32,2172.00,866445.00,406.00,390.00,400.00
27,2016-11-03,16,160.00,62800.00,399.00,385.00,385.00
28,2016-11-07,49,842.00,322410.00,385.00,380.00,383.00
29,2016-11-08,35,1597.00,593055.00,385.00,361.00,361.00
30,2016-11-09,67,1216.00,422757.00,365.00,338.00,340.00
31,2016-11-10,14,160.00,53885.00,346.00,328.00,346.00
32,2016-11-13,28,633.00,218784.00,350.00,338.00,342.00
33,2016-11-14,27,1271.00,437000.00,345.00,340.00,344.00
34,2016-11-15,49,1645.00,555751.00,341.00,335.00,336.00
35,2016-11-16,17,218.00,72630.00,335.00,325.00,325.00
36,2016-11-17,16,310.00,100939.00,329.00,320.00,329.00
37,2016-11-20,13,234.00,74386.00,325.00,310.00,310.00
38,2016-11-21,32,1703.00,516649.00,305.00,294.00,304.00
39,2016-11-22,24,817.00,241196.00,304.00,294.00,294.00
40,2016-11-23,23,1426.00,422280.00,299.00,289.00,291.00
41,2016-11-24,10,102.00,29914.00,298.00,291.00,298.00
42,2016-11-27,11,215.00,62969.00,298.00,290.00,296.00
43,2016-11-28,9,103.00,30418.00,300.00,291.00,300.00
44,2016-11-29,9,305.00,94365.00,324.00,302.00,323.00
45,2016-11-30,42,420.00,137990.00,336.00,325.00,325.00
46,2016-12-01,28,2042.00,634581.00,331.00,305.00,305.00
47,2016-12-04,5,1090.00,327250.00,305.00,300.00,300.00
48,2016-12-05,14,226.00,68080.00,304.00,291.00,298.00
49,2016-12-06,45,1290.00,391064.00,306.00,293.00,301.00
50,2016-12-07,17,525.00,156805.00,305.00,291.00,292.00
51,2016-12-08,60,1389.00,406136.00,297.00,287.00,287.00
52,2016-12-11,10,462.00,130396.00,284.00,278.00,284.00
53,2016-12-12,7,240.00,66690.00,289.00,275.00,275.00
54,2016-12-14,29,338.00,91620.00,280.00,265.00,280.00
55,2016-12-15,4,40.00,11300.00,285.00,280.00,280.00
56,2016-12-18,10,306.00,84780.00,280.00,275.00,275.00
57,2016-12-19,18,699.00,189925.00,275.00,268.00,268.00
58,2016-12-20,26,359.00,94866.00,273.00,261.00,263.00
59,2016-12-21,10,161.00,39983.00,258.00,242.00,251.00
60,2016-12-22,22,262.00,66391.00,259.00,246.00,259.00
61,2016-12-26,18,600.00,153480.00,259.00,254.00,256.00
62,2016-12-27,3,122.00,31194.00,257.00,251.00,257.00
63,2016-12-28,8,251.00,65074.00,262.00,255.00,257.00
64,2016-12-29,22,1218.00,318796.00,262.00,257.00,262.00
65,2017-01-01,9,193.00,54266.00,285.00,266.00,277.00
66,2017-01-02,18,1337.00,378097.00,285.00,280.00,285.00
67,2017-01-03,13,130.00,36660.00,285.00,280.00,280.00
68,2017-01-04,12,126.00,35910.00,290.00,280.00,286.00
69,2017-01-05,10,670.00,199000.00,303.00,286.00,303.00
70,2017-01-08,22,670.00,203590.00,309.00,297.00,299.00
71,2017-01-09,50,1009.00,290292.00,299.00,277.00,282.00
72,2017-01-10,9,90.00,26260.00,295.00,287.00,295.00
73,2017-01-11,14,140.00,40960.00,295.00,291.00,291.00
74,2017-01-12,9,1030.00,296670.00,296.00,287.00,295.00
75,2017-01-15,10,290.00,85410.00,297.00,292.00,294.00
76,2017-01-16,2,22.00,6370.00,290.00,289.00,290.00
77,2017-01-17,47,1803.00,526993.00,297.00,290.00,297.00
78,2017-01-18,15,237.00,69314.00,294.00,292.00,294.00
79,2017-01-19,9,92.00,26440.00,290.00,284.00,286.00
80,2017-01-22,18,670.00,188930.00,283.00,277.00,282.00
81,2017-01-23,27,379.00,105055.00,285.00,274.00,276.00
82,2017-01-24,13,130.00,35760.00,276.00,272.00,275.00
83,2017-01-25,8,115.00,31025.00,275.00,260.00,260.00
84,2017-01-26,14,527.00,133699.00,257.00,252.00,256.00
85,2017-01-30,8,80.00,19930.00,251.00,246.00,246.00
86,2017-01-31,2,317.00,80250.00,255.00,250.00,255.00
87,2017-02-01,73,1300.00,342940.00,277.00,250.00,277.00
88,2017-02-02,7,282.00,78710.00,281.00,270.00,271.00
89,2017-02-05,22,324.00,86120.00,271.00,264.00,264.00
90,2017-02-06,16,162.00,42520.00,265.00,260.00,262.00
91,2017-02-07,67,1540.00,405970.00,265.00,260.00,265.00
92,2017-02-08,42,1131.00,296043.00,271.00,251.00,271.00
93,2017-02-09,24,370.00,98860.00,269.00,260.00,260.00
94,2017-02-12,13,441.00,109245.00,255.00,245.00,245.00
95,2017-02-13,5,89.00,21260.00,241.00,237.00,238.00
96,2017-02-14,32,717.00,176412.00,248.00,242.00,248.00
97,2017-02-15,2,183.00,44875.00,249.00,245.00,249.00
98,2017-02-16,15,520.00,135854.00,270.00,253.00,270.00
99,2017-02-19,7,160.00,42300.00,267.00,262.00,262.00
100,2017-02-20,24,362.00,98764.00,278.00,262.00,273.00
101,2017-02-21,17,270.00,73650.00,277.00,267.00,267.00
102,2017-02-22,21,428.00,111737.00,264.00,258.00,264.00
103,2017-02-23,8,80.00,21030.00,265.00,260.00,260.00
104,2017-02-26,32,1210.00,309128.00,265.00,247.00,253.00
105,2017-02-28,4,120.00,30040.00,253.00,248.00,250.00
106,2017-03-01,13,709.00,177951.00,253.00,244.00,253.00
107,2017-03-02,21,3810.00,950100.00,251.00,246.00,250.00
108,2017-03-05,11,228.00,58638.00,259.00,255.00,258.00
109,2017-03-06,15,281.00,70547.00,258.00,248.00,252.00
110,2017-03-07,9,207.00,51980.00,255.00,250.00,250.00
111,2017-03-09,36,408.00,101378.00,254.00,239.00,251.00
112,2017-03-13,13,200.00,49690.00,253.00,246.00,252.00
113,2017-03-14,10,100.00,25220.00,255.00,250.00,255.00
114,2017-03-15,3,30.00,7520.00,251.00,250.00,250.00
115,2017-03-16,23,1503.00,392438.00,265.00,250.00,265.00
116,2017-03-19,14,168.00,43526.00,262.00,255.00,260.00
117,2017-03-20,12,141.00,37536.00,271.00,261.00,271.00
118,2017-03-21,15,320.00,88270.00,280.00,271.00,280.00
119,2017-03-22,27,675.00,189250.00,285.00,276.00,281.00
120,2017-03-23,56,1576.00,434474.00,286.00,269.00,276.00
121,2017-03-26,36,2073.00,599716.00,295.00,261.00,286.00
122,2017-03-28,12,520.00,152870.00,300.00,290.00,300.00
123,2017-03-29,46,2252.00,681382.00,312.00,295.00,295.00
124,2017-03-30,30,616.00,179329.00,301.00,287.00,290.00
125,2017-04-02,5,5785.00,1706525.00,295.00,290.00,295.00
126,2017-04-03,27,599.00,176998.00,300.00,285.00,285.00
127,2017-04-04,33,701.00,204288.00,295.00,280.00,291.00
128,2017-04-06,41,7059.00,2111912.00,302.00,291.00,301.00
129,2017-04-09,32,1189.00,368893.00,319.00,301.00,317.00
130,2017-04-10,33,1182.00,381734.00,329.00,315.00,329.00
131,2017-04-11,38,2441.00,804227.00,336.00,318.00,336.00
132,2017-04-12,30,626.00,203376.00,330.00,320.00,321.00
133,2017-04-13,18,1332.00,425175.00,327.00,315.00,323.00
134,2017-04-16,8,110.00,35020.00,320.00,317.00,318.00
135,2017-04-18,20,977.00,311454.00,320.00,314.00,318.00
136,2017-04-19,21,866.00,276355.00,324.00,314.00,320.00
137,2017-04-20,66,2458.00,790822.00,328.00,319.00,322.00
138,2017-04-23,19,704.00,225183.00,326.00,314.00,315.00
139,2017-04-24,45,1148.00,355728.00,312.00,308.00,309.00
140,2017-04-25,28,496.00,154264.00,315.00,309.00,311.00
141,2017-04-26,44,1689.00,521223.00,312.00,305.00,310.00
142,2017-04-27,28,893.00,274986.00,311.00,296.00,311.00
143,2017-04-30,24,240.00,72830.00,305.00,299.00,304.00
144,2017-05-02,29,609.00,184380.00,310.00,298.00,304.00
145,2017-05-03,26,1063.00,343188.00,332.00,300.00,332.00
146,2017-05-04,21,664.00,217308.00,331.00,320.00,320.00
147,2017-05-07,14,140.00,44180.00,316.00,315.00,316.00
148,2017-05-08,4,192.00,59595.00,311.00,310.00,311.00
149,2017-05-09,47,1126.00,350772.00,319.00,305.00,319.00
150,2017-05-11,63,2467.00,825554.00,350.00,321.00,333.00
151,2017-05-15,19,679.00,221725.00,333.00,321.00,326.00
152,2017-05-16,33,680.00,214429.00,325.00,309.00,320.00
153,2017-05-17,22,332.00,105895.00,325.00,317.00,317.00
154,2017-05-18,11,110.00,34380.00,315.00,309.00,312.00
155,2017-05-21,18,180.00,55320.00,309.00,307.00,307.00
156,2017-05-22,11,140.00,41647.00,301.00,295.00,296.00
157,2017-05-23,17,490.00,147310.00,306.00,297.00,300.00
158,2017-05-24,24,477.00,143071.00,310.00,294.00,310.00
159,2017-05-28,54,792.00,237096.00,304.00,295.00,301.00
160,2017-05-30,64,668.00,199814.00,303.00,295.00,300.00
161,2017-05-31,34,730.00,222560.00,312.00,300.00,303.00
162,2017-06-01,25,272.00,81246.00,303.00,297.00,300.00
163,2017-06-04,106,1758.00,526362.00,306.00,296.00,300.00
164,2017-06-05,50,539.00,161069.00,303.00,294.00,299.00
165,2017-06-06,59,1271.00,379978.00,306.00,296.00,306.00
166,2017-06-07,52,1136.00,336752.00,312.00,295.00,298.00
167,2017-06-08,21,1753.00,519390.00,298.00,293.00,296.00
168,2017-06-11,47,809.00,233169.00,292.00,286.00,288.00
169,2017-06-12,25,435.00,122503.00,285.00,278.00,285.00
170,2017-06-13,47,615.00,172481.00,290.00,271.00,279.00
171,2017-06-14,35,462.00,128009.00,284.00,270.00,281.00
172,2017-06-15,37,370.00,103280.00,287.00,276.00,287.00
173,2017-06-18,11,118.00,32730.00,285.00,266.00,271.00
174,2017-06-19,35,1100.00,299606.00,275.00,270.00,272.00
175,2017-06-20,36,428.00,115465.00,273.00,268.00,271.00
176,2017-06-21,14,461.00,127246.00,281.00,272.00,281.00
177,2017-06-22,14,222.00,61390.00,282.00,275.00,275.00
178,2017-06-25,20,202.00,54502.00,280.00,266.00,280.00
179,2017-06-27,32,484.00,135396.00,285.00,277.00,285.00
180,2017-06-28,16,162.00,44872.00,281.00,275.00,276.00
181,2017-07-02,23,905.00,243633.00,275.00,265.00,265.00
182,2017-07-03,23,789.00,211733.00,271.00,264.00,271.00
183,2017-07-04,25,518.00,139430.00,272.00,266.00,266.00
184,2017-07-05,17,170.00,44740.00,266.00,261.00,263.00
185,2017-07-06,66,662.00,174290.00,268.00,258.00,263.00
