S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-11-14,98,980.00,286330.00,293.00,267.00,293.00
2,2017-11-15,240,2490.00,798310.00,322.00,298.00,322.00
3,2017-11-16,925,16351.00,4830302.00,328.00,290.00,306.00
4,2017-11-19,232,5206.00,1468875.00,300.00,276.00,278.00
5,2017-11-20,177,1770.00,450940.00,275.00,251.00,253.00
6,2017-11-21,69,1680.00,421170.00,252.00,247.00,251.00
7,2017-11-22,58,580.00,149730.00,264.00,254.00,254.00
8,2017-11-23,42,420.00,106030.00,259.00,251.00,252.00
9,2017-11-26,45,1430.00,374900.00,277.00,251.00,265.00
10,2017-11-27,46,2928.00,776420.00,271.00,254.00,265.00
11,2017-11-28,28,376.00,98410.00,265.00,260.00,265.00
12,2017-11-29,31,1820.00,486270.00,270.00,260.00,260.00
13,2017-11-30,57,2930.00,763880.00,264.00,259.00,261.00
14,2017-12-04,29,600.00,153420.00,261.00,252.00,255.00
15,2017-12-05,42,420.00,106220.00,254.00,251.00,253.00
16,2017-12-06,42,430.00,108220.00,255.00,249.00,255.00
17,2017-12-10,22,2287.00,572130.00,251.00,250.00,250.00
18,2017-12-11,24,240.00,58980.00,249.00,245.00,245.00
19,2017-12-12,13,160.00,38950.00,253.00,241.00,253.00
20,2017-12-13,18,843.00,206545.00,255.00,242.00,246.00
21,2017-12-14,7,70.00,16830.00,242.00,240.00,240.00
22,2017-12-17,22,220.00,52540.00,242.00,236.00,240.00
23,2017-12-18,11,110.00,25980.00,241.00,235.00,235.00
24,2017-12-19,21,210.00,49240.00,236.00,232.00,232.00
25,2017-12-20,12,500.00,115660.00,232.00,228.00,229.00
26,2017-12-21,24,240.00,54310.00,229.00,226.00,226.00
27,2017-12-24,21,1195.00,263165.00,227.00,218.00,221.00
28,2017-12-26,31,1570.00,336890.00,217.00,213.00,215.00
29,2017-12-27,10,100.00,20610.00,211.00,203.00,207.00
30,2017-12-28,28,280.00,57550.00,207.00,203.00,206.00
31,2017-12-31,29,940.00,198530.00,215.00,200.00,211.00
32,2018-01-01,8,80.00,17150.00,217.00,211.00,217.00
33,2018-01-02,9,130.00,28400.00,221.00,213.00,218.00
34,2018-01-03,4,40.00,8610.00,216.00,214.00,216.00
35,2018-01-04,5,50.00,10670.00,217.00,212.00,217.00
36,2018-01-07,7,160.00,35160.00,220.00,216.00,220.00
37,2018-01-08,22,270.00,60960.00,229.00,220.00,229.00
38,2018-01-09,11,110.00,25080.00,229.00,227.00,229.00
39,2018-01-10,6,90.00,20220.00,229.00,221.00,229.00
40,2018-01-14,9,90.00,20100.00,230.00,222.00,222.00
41,2018-01-16,9,90.00,19420.00,218.00,215.00,215.00
42,2018-01-17,13,423.00,92247.00,219.00,213.00,216.00
43,2018-01-21,18,220.00,47410.00,218.00,212.00,215.00
44,2018-01-22,10,120.00,25910.00,218.00,211.00,216.00
45,2018-01-23,11,110.00,23410.00,214.00,212.00,213.00
46,2018-01-24,11,340.00,74270.00,220.00,214.00,220.00
47,2018-01-25,9,90.00,19550.00,220.00,216.00,216.00
48,2018-01-28,10,100.00,21350.00,215.00,212.00,215.00
49,2018-01-29,25,250.00,53850.00,218.00,213.00,215.00
50,2018-01-31,16,160.00,33860.00,213.00,208.00,210.00
51,2018-02-01,7,70.00,14480.00,207.00,206.00,207.00
52,2018-02-04,30,300.00,62310.00,209.00,207.00,207.00
53,2018-02-05,7,70.00,14300.00,206.00,204.00,204.00
54,2018-02-06,4,40.00,8160.00,204.00,204.00,204.00
55,2018-02-07,12,880.00,179800.00,208.00,204.00,207.00
56,2018-02-08,7,70.00,14350.00,209.00,202.00,207.00
