S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,9,6733.00,341050.00,51.00,50.00,50.00
2,2010-04-20,13,11200.00,562700.00,51.00,50.00,50.00
3,2010-04-21,7,5500.00,270500.00,50.00,49.00,49.00
4,2010-04-25,6,2300.00,113004.00,51.00,48.02,51.00
5,2010-04-26,3,2500.00,125500.00,51.00,50.00,50.00
6,2010-04-27,12,10000.00,484670.00,49.98,47.06,47.06
7,2010-04-28,10,5350.00,251236.00,49.00,46.12,46.12
8,2010-04-29,14,28510.00,1372143.00,49.88,47.00,47.10
9,2010-04-15,4,1200.00,62200.00,52.00,51.00,51.00
10,2010-05-09,4,3140.00,145650.00,47.00,46.01,46.01
11,2010-05-10,31,12160.00,552547.00,47.86,44.00,45.00
12,2010-05-11,15,4550.00,213715.00,48.72,44.10,48.72
13,2010-05-12,8,3400.00,168525.00,51.00,48.90,50.00
14,2010-05-13,16,8200.00,413296.00,52.00,49.00,52.00
15,2010-05-16,15,10300.00,502846.00,51.00,47.02,48.96
16,2010-05-17,6,3780.00,185412.00,49.98,49.00,49.00
17,2010-05-18,3,4000.00,196300.00,49.50,48.90,48.90
18,2010-05-19,5,3100.00,149658.00,48.88,47.92,48.88
19,2010-05-20,9,3070.00,156615.00,52.00,49.85,51.00
20,2010-05-23,10,8920.00,438746.00,50.00,49.00,49.50
21,2010-05-24,8,3800.00,187500.00,50.00,49.00,49.00
22,2010-05-25,18,14100.00,709238.00,51.50,49.00,50.00
23,2010-05-26,13,7200.00,379600.00,54.00,51.00,52.00
24,2010-05-30,6,4200.00,228100.00,56.00,53.00,55.00
25,2010-05-31,20,13530.00,721200.00,56.00,50.00,50.00
26,2010-06-01,4,2010.00,98995.00,50.00,49.00,50.00
27,2010-06-02,4,3500.00,178000.00,51.00,50.00,51.00
28,2010-06-03,10,6533.00,335816.00,53.00,51.00,51.00
29,2010-06-06,11,2460.00,125090.00,53.00,50.00,52.00
30,2010-06-07,4,2100.00,108200.00,52.00,51.00,52.00
31,2010-06-08,3,2500.00,127500.00,51.00,51.00,51.00
32,2010-06-09,3,2500.00,131500.00,53.00,52.00,53.00
33,2010-06-10,3,1900.00,99500.00,53.00,52.00,52.00
34,2010-06-13,7,5000.00,253000.00,51.00,50.00,51.00
35,2010-06-14,3,2500.00,125500.00,51.00,50.00,51.00
36,2010-06-15,3,5500.00,271990.00,50.00,49.00,49.98
37,2010-06-16,3,2200.00,107996.00,49.98,49.00,49.98
38,2010-06-17,2,1100.00,55100.00,51.00,50.00,51.00
39,2010-06-20,1,1000.00,50000.00,50.00,50.00,50.00
40,2010-06-21,2,1500.00,74000.00,50.00,49.00,49.00
41,2010-06-22,1,1000.00,48500.00,48.50,48.50,48.50
42,2010-06-23,3,4000.00,199470.00,50.00,49.47,50.00
43,2010-06-24,4,4000.00,200000.00,51.00,49.00,49.00
44,2010-06-28,1,1000.00,49000.00,49.00,49.00,49.00
45,2010-06-29,5,460.00,23800.00,53.00,49.98,53.00
46,2010-06-30,2,1000.00,53500.00,54.00,53.00,54.00
47,2010-07-01,1,1000.00,53000.00,53.00,53.00,53.00
48,2010-07-04,1,140.00,7280.00,52.00,52.00,52.00
49,2010-07-05,1,500.00,25500.00,51.00,51.00,51.00
50,2010-07-06,3,530.00,27540.00,52.00,51.00,52.00
51,2010-07-07,2,320.00,16960.00,53.00,53.00,53.00
52,2010-07-08,1,200.00,10400.00,52.00,52.00,52.00
53,2010-07-11,7,3800.00,196900.00,53.00,51.00,51.00
54,2010-07-12,6,970.00,48680.00,52.00,49.00,49.00
55,2010-07-13,7,1010.00,50904.00,52.00,49.00,52.00
56,2010-07-15,8,5150.00,279450.00,55.00,52.00,55.00
