S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-04-02,5,34261.00,342610.00,10.00,10.00,10.00
2,2017-04-03,5,11100.00,111957.50,10.20,10.00,10.10
3,2017-04-04,2,3535.00,35703.50,10.10,10.10,10.10
4,2017-04-06,7,7060.00,71205.00,10.10,10.00,10.10
5,2017-04-09,3,3384.00,34420.85,10.20,10.01,10.01
6,2017-04-10,6,9090.00,91692.85,10.21,10.01,10.20
7,2017-04-11,11,67223.00,674476.45,10.25,10.00,10.00
8,2017-04-12,1,505.00,5151.00,10.20,10.20,10.20
9,2017-04-18,2,758.00,7580.00,10.00,10.00,10.00
10,2017-04-19,7,5858.00,58877.95,10.20,10.00,10.05
11,2017-04-20,2,758.00,7607.78,10.05,10.01,10.01
12,2017-04-23,3,4293.00,43144.65,10.10,10.00,10.05
13,2017-04-24,1,253.00,2593.25,10.25,10.25,10.25
14,2017-04-25,6,12082.00,121959.04,10.10,10.06,10.06
15,2017-04-26,1,606.00,6150.90,10.15,10.15,10.15
16,2017-04-27,3,2779.00,28042.60,10.20,10.00,10.20
17,2017-04-30,2,17491.00,178404.66,10.20,10.19,10.19
18,2017-05-02,2,2778.00,28335.65,10.30,10.19,10.30
19,2017-05-03,4,7333.00,74139.05,10.12,10.10,10.12
20,2017-05-04,3,2777.00,28181.51,10.15,10.13,10.13
21,2017-05-07,2,4798.00,48447.20,10.15,10.05,10.05
22,2017-05-08,1,505.00,5075.25,10.05,10.05,10.05
23,2017-05-09,4,8910.00,89530.70,10.10,10.00,10.02
24,2017-05-11,5,5304.00,53764.87,10.15,10.10,10.10
25,2017-05-15,3,4545.00,45904.50,10.10,10.10,10.10
26,2017-05-16,18,42168.00,427717.35,10.15,10.08,10.08
27,2017-05-17,4,3485.00,35300.51,10.28,10.05,10.05
28,2017-05-18,2,2273.00,23197.25,10.25,10.05,10.05
29,2017-05-21,7,17150.00,172055.50,10.05,10.00,10.00
30,2017-05-22,2,1313.00,13210.80,10.10,10.00,10.10
31,2017-05-23,9,4549.00,46065.89,10.19,10.00,10.00
