S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-02-18,15,62325.00,668442.70,11.00,10.20,10.66
2,2015-02-22,8,34127.00,359018.25,10.55,10.45,10.55
3,2015-02-23,7,26500.00,281125.00,10.70,10.45,10.70
4,2015-02-24,4,15173.00,164198.78,10.86,10.65,10.86
5,2015-02-25,7,27956.00,303070.40,10.90,10.70,10.75
6,2015-02-26,8,23300.00,251165.00,10.80,10.70,10.80
7,2015-03-01,5,9000.00,96500.00,10.90,10.70,10.70
8,2015-03-02,9,45267.00,481263.55,10.70,10.50,10.70
9,2015-03-03,2,19889.00,209084.50,10.60,10.50,10.60
10,2015-03-04,1,1000.00,10400.00,10.40,10.40,10.40
11,2015-03-09,6,12000.00,127580.00,10.70,10.60,10.70
12,2015-03-10,1,1913.00,20086.50,10.50,10.50,10.50
13,2015-03-11,1,500.00,5300.00,10.60,10.60,10.60
14,2015-03-12,2,2450.00,25480.00,10.40,10.40,10.40
15,2015-03-15,2,10000.00,102100.00,10.21,10.21,10.21
16,2015-03-16,7,27956.00,280510.00,10.20,10.00,10.00
17,2015-03-18,11,47100.00,477165.00,10.17,10.00,10.17
18,2015-03-19,18,65600.00,665226.00,10.37,10.05,10.21
19,2015-03-22,8,40000.00,405150.00,10.20,10.11,10.15
20,2015-03-23,4,12256.00,123830.60,10.25,10.10,10.10
21,2015-03-24,3,12651.00,127775.10,10.10,10.10,10.10
22,2015-03-25,6,4000.00,40400.00,10.10,10.10,10.10
23,2015-03-26,5,18500.00,186850.00,10.10,10.10,10.10
24,2015-03-29,3,15000.00,151500.00,10.10,10.10,10.10
25,2015-03-30,1,5000.00,51000.00,10.20,10.20,10.20
26,2015-03-31,5,23456.00,239877.24,10.30,10.10,10.10
27,2015-04-01,1,8695.00,86950.00,10.00,10.00,10.00
28,2015-04-05,4,20000.00,200000.00,10.05,9.90,9.90
29,2015-04-06,3,350982.00,3391162.12,10.04,9.66,9.66
30,2015-04-07,4,400.00,3940.00,9.85,9.85,9.85
31,2015-04-08,1,17389.00,169542.75,9.75,9.75,9.75
32,2015-04-09,11,29478.00,291822.20,9.90,9.89,9.90
33,2015-04-12,6,17000.00,167686.00,9.96,9.80,9.80
34,2015-04-13,7,15474.00,153192.60,9.90,9.90,9.90
35,2015-04-15,3,8650.00,85587.50,10.00,9.75,10.00
36,2015-04-16,2,8478.00,83084.40,9.80,9.80,9.80
37,2015-04-19,2,6000.00,59990.00,10.00,9.99,10.00
38,2015-04-20,20,100000.00,1003400.00,10.04,10.01,10.04
39,2015-04-21,1,1000.00,9900.00,9.90,9.90,9.90
40,2015-04-22,5,49378.00,493780.00,10.00,10.00,10.00
41,2015-04-23,6,186290.00,1869155.60,10.04,9.90,9.90
42,2015-05-24,22,76411.00,690241.01,9.71,8.91,8.91
43,2015-05-25,1,10433.00,92853.70,8.90,8.90,8.90
44,2015-05-26,1,5000.00,45400.00,9.08,9.08,9.08
45,2015-05-28,4,8000.00,74000.00,9.26,9.20,9.20
46,2015-06-01,1,8695.00,79211.45,9.11,9.11,9.11
47,2015-06-02,2,6478.00,58949.80,9.10,9.10,9.10
48,2015-06-03,1,5000.00,46400.00,9.28,9.28,9.28
49,2015-06-04,2,10000.00,95650.00,9.66,9.47,9.66
50,2015-06-09,1,3478.00,34258.30,9.85,9.85,9.85
51,2015-06-10,2,7304.00,73001.74,10.00,9.99,10.00
52,2015-06-14,1,2261.00,22383.90,9.90,9.90,9.90
53,2015-06-15,2,6956.00,68864.40,9.90,9.90,9.90
54,2015-06-17,5,8000.00,78550.00,9.89,9.70,9.89
55,2015-06-22,1,5000.00,49000.00,9.80,9.80,9.80
56,2015-06-23,1,500.00,4900.00,9.80,9.80,9.80
57,2015-06-24,11,53478.00,519973.58,9.76,9.61,9.76
58,2015-06-25,4,16050.00,156790.00,9.80,9.75,9.80
59,2015-06-28,2,3978.00,39830.00,10.10,10.00,10.10
60,2015-06-29,1,4900.00,48559.00,9.91,9.91,9.91
61,2015-07-05,4,12000.00,117750.00,9.90,9.75,9.75
62,2015-07-06,3,8800.00,85890.00,9.80,9.75,9.75
63,2015-07-07,4,28715.00,279047.36,9.75,9.60,9.75
64,2015-07-08,1,4500.00,43650.00,9.70,9.70,9.70
65,2015-07-13,4,20421.00,200175.80,9.81,9.80,9.80
66,2015-07-14,4,20000.00,200000.00,10.00,10.00,10.00
67,2015-07-15,3,4700.00,46060.00,9.80,9.80,9.80
68,2015-07-16,2,1500.00,15050.00,10.10,10.00,10.10
69,2015-07-23,2,10000.00,100450.00,10.09,10.00,10.09
70,2015-07-27,12,53100.00,548780.00,10.80,10.09,10.70
71,2015-07-28,4,19900.00,208950.00,10.50,10.50,10.50
72,2015-07-29,7,15310.00,159089.50,10.50,10.29,10.50
73,2015-07-30,4,28106.00,290664.60,10.45,10.30,10.30
74,2015-08-02,7,30478.00,311875.60,10.30,10.20,10.30
75,2015-08-04,3,11956.00,120060.00,10.10,10.00,10.00
