S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-01-03,2,50.00,50400.00,1010.00,1000.00,1010.00
2,2021-01-05,3,75.00,75950.00,1026.00,1006.00,1026.00
3,2021-01-06,3,80.00,81900.00,1030.00,1020.00,1030.00
4,2021-01-10,1,10.00,10120.00,1012.00,1012.00,1012.00
5,2021-01-11,3,100.00,102250.00,1023.00,1022.00,1022.00
6,2021-01-12,6,190.00,194455.00,1030.00,1013.00,1022.00
7,2021-01-17,1,25.00,25050.00,1002.00,1002.00,1002.00
8,2021-01-19,1,25.00,25000.00,1000.00,1000.00,1000.00
9,2021-01-24,4,250.00,252275.00,1015.00,1005.00,1015.00
10,2021-01-28,4,135.00,136350.00,1010.00,1010.00,1010.00
11,2021-01-31,1,100.00,100500.00,1005.00,1005.00,1005.00
12,2021-02-01,1,25.00,25050.00,1002.00,1002.00,1002.00
13,2021-02-03,1,25.00,25125.00,1005.00,1005.00,1005.00
14,2021-02-15,2,55.00,54365.00,989.00,988.00,989.00
15,2021-02-16,1,35.00,34510.00,986.00,986.00,986.00
16,2021-02-17,2,75.00,74650.00,996.00,995.00,996.00
17,2021-02-18,2,70.00,69575.00,995.00,992.00,995.00
18,2021-02-21,5,250.00,252750.00,1014.00,1009.00,1014.00
19,2021-02-22,5,315.00,323025.00,1035.00,1000.00,1000.00
20,2021-02-28,2,50.00,50375.00,1015.00,1000.00,1015.00
21,2021-03-02,4,215.00,220325.00,1035.00,1015.00,1015.00
22,2021-03-09,1,25.00,24875.00,995.00,995.00,995.00
23,2021-03-14,1,25.00,25250.00,1010.00,1010.00,1010.00
24,2021-03-15,3,75.00,76500.00,1020.00,1020.00,1020.00
25,2021-03-17,1,25.00,25500.00,1020.00,1020.00,1020.00
26,2021-03-22,1,30.00,30600.00,1020.00,1020.00,1020.00
27,2021-03-23,1,25.00,25500.00,1020.00,1020.00,1020.00
28,2021-03-25,1,10.00,10100.00,1010.00,1010.00,1010.00
29,2021-03-29,3,70.00,70700.00,1010.00,1010.00,1010.00
30,2021-03-30,1,25.00,24750.00,990.00,990.00,990.00
31,2021-03-31,1,10.00,10090.00,1009.00,1009.00,1009.00
32,2021-04-06,2,35.00,34950.00,1000.00,995.00,1000.00
33,2021-04-20,1,30.00,30000.00,1000.00,1000.00,1000.00
34,2021-04-29,1,25.00,24750.00,990.00,990.00,990.00
35,2021-05-02,1,25.00,25225.00,1009.00,1009.00,1009.00
36,2021-05-03,1,25.00,24900.00,996.00,996.00,996.00
37,2021-05-04,1,50.00,50150.00,1003.00,1003.00,1003.00
38,2021-05-12,2,75.00,76175.00,1021.00,1005.00,1005.00
39,2021-05-13,1,25.00,25500.00,1020.00,1020.00,1020.00
40,2021-05-17,1,25.00,25250.00,1010.00,1010.00,1010.00
41,2021-05-23,2,50.00,50875.00,1020.00,1015.00,1020.00
42,2021-05-25,1,29.00,29609.00,1021.00,1021.00,1021.00
43,2021-06-01,1,25.00,25625.00,1025.00,1025.00,1025.00
44,2021-06-02,3,160.00,163850.00,1025.00,1025.00,1025.00
45,2021-06-03,4,145.00,147920.00,1021.00,1020.00,1020.00
46,2021-06-06,2,100.00,103700.00,1040.00,1030.00,1040.00
47,2021-06-07,1,25.00,25625.00,1025.00,1025.00,1025.00
48,2021-06-13,3,150.00,153650.00,1025.00,1021.00,1025.00
49,2021-06-14,3,90.00,93775.00,1045.00,1040.00,1045.00
50,2021-06-15,11,645.00,667240.00,1043.00,1027.00,1030.00
51,2021-06-23,2,25.00,25940.00,1049.00,1030.00,1030.00
52,2021-07-01,2,50.00,50950.00,1019.00,1019.00,1019.00
53,2021-07-07,1,25.00,25450.00,1018.00,1018.00,1018.00
54,2021-07-22,2,170.00,170170.00,1001.00,1001.00,1001.00
55,2021-07-27,1,100.00,100200.00,1002.00,1002.00,1002.00
56,2021-07-28,1,80.00,79848.00,998.10,998.10,998.10
57,2021-08-02,1,150.00,149850.00,999.00,999.00,999.00
58,2021-08-03,1,25.00,25450.00,1018.00,1018.00,1018.00
59,2021-08-05,2,185.00,184830.00,999.10,999.00,999.00
60,2021-08-10,2,100.00,101150.00,1018.00,1005.00,1005.00
61,2021-08-11,1,25.00,25025.00,1001.00,1001.00,1001.00
