S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-11-11,3,50000.00,505700.00,10.30,10.00,10.30
2,2019-11-17,1,200.00,2020.00,10.10,10.10,10.10
3,2019-11-28,3,2100.00,20790.00,9.90,9.90,9.90
4,2019-12-09,1,500.00,4855.00,9.71,9.71,9.71
5,2019-12-10,1,100.00,952.00,9.52,9.52,9.52
6,2019-12-15,1,500.00,4750.00,9.50,9.50,9.50
7,2019-12-16,1,1000.00,9400.00,9.40,9.40,9.40
8,2019-12-19,1,100.00,935.00,9.35,9.35,9.35
9,2019-12-22,1,200.00,1840.00,9.20,9.20,9.20
10,2019-12-24,1,100.00,902.00,9.02,9.02,9.02
11,2019-12-25,1,100.00,890.00,8.90,8.90,8.90
12,2019-12-26,1,250.00,2212.50,8.85,8.85,8.85
13,2019-12-29,1,500.00,4420.00,8.84,8.84,8.84
14,2019-12-31,4,1300.00,11542.00,9.01,8.69,9.01
15,2020-01-08,2,200.00,1800.00,9.00,9.00,9.00
16,2020-01-14,1,2000.00,17700.00,8.85,8.85,8.85
17,2020-01-16,3,500.00,4502.00,9.02,9.00,9.00
18,2020-01-20,3,150500.00,1386015.00,9.21,9.03,9.21
19,2020-01-21,1,200.00,1820.00,9.10,9.10,9.10
20,2020-01-30,1,1000.00,9000.00,9.00,9.00,9.00
21,2020-02-02,2,1100.00,9994.00,9.10,8.94,9.10
22,2020-02-03,1,2500.00,23000.00,9.20,9.20,9.20
23,2020-02-05,3,1100.00,9955.00,9.05,9.05,9.05
24,2020-02-06,4,1200.00,10750.50,9.00,8.92,8.93
25,2020-02-09,2,2000.00,18000.00,9.00,9.00,9.00
26,2020-02-10,1,400.00,3672.00,9.18,9.18,9.18
27,2020-02-11,2,900.00,8220.00,9.20,9.05,9.05
28,2020-02-13,1,200.00,1812.00,9.06,9.06,9.06
29,2020-02-16,1,5000.00,46200.00,9.24,9.24,9.24
30,2020-02-17,1,10000.00,92700.00,9.27,9.27,9.27
31,2020-02-18,2,1100.00,10087.00,9.17,9.17,9.17
32,2020-02-19,3,2400.00,21916.00,9.16,8.99,9.16
33,2020-02-20,2,2700.00,24832.00,9.20,9.16,9.20
34,2020-02-23,2,600.00,5515.00,9.20,9.15,9.15
