S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-09,3,60.00,60875.00,1020.00,1000.00,1015.00
2,2020-09-10,1,4990.00,5239500.00,1050.00,1050.00,1050.00
3,2020-09-15,2,105.00,106550.00,1030.00,1010.00,1010.00
4,2020-09-17,1,50.00,51500.00,1030.00,1030.00,1030.00
5,2020-09-20,1,100.00,101700.00,1017.00,1017.00,1017.00
6,2020-09-21,2,100.00,101150.00,1017.00,1006.00,1017.00
7,2020-09-22,1,25.00,25500.00,1020.00,1020.00,1020.00
8,2020-09-23,1,25.00,25075.00,1003.00,1003.00,1003.00
9,2020-09-29,1,25.00,25575.00,1023.00,1023.00,1023.00
10,2020-10-01,1,25.00,25575.00,1023.00,1023.00,1023.00
11,2020-10-04,2,520.00,542285.00,1043.00,1040.00,1043.00
12,2020-10-06,1,25.00,26250.00,1050.00,1050.00,1050.00
13,2020-10-12,1,300.00,321000.00,1070.00,1070.00,1070.00
14,2020-10-13,1,25.00,26275.00,1051.00,1051.00,1051.00
15,2020-10-28,1,25.00,26250.00,1050.00,1050.00,1050.00
16,2020-11-03,1,25.00,26775.00,1071.00,1071.00,1071.00
17,2020-11-04,1,25.00,26750.00,1070.00,1070.00,1070.00
18,2020-11-05,2,45.00,48420.00,1080.00,1071.00,1080.00
19,2020-11-12,1,25.00,27500.00,1100.00,1100.00,1100.00
20,2020-12-07,1,20.00,21560.00,1078.00,1078.00,1078.00
21,2020-12-09,1,100.00,105700.00,1057.00,1057.00,1057.00
22,2020-12-10,1,30.00,31500.00,1050.00,1050.00,1050.00
23,2020-12-16,1,25.00,26625.00,1065.00,1065.00,1065.00
24,2020-12-27,3,250.00,261875.00,1050.00,1035.00,1040.00
25,2020-12-28,2,50.00,52400.00,1052.00,1044.00,1052.00
26,2020-12-29,4,300.00,317530.00,1060.00,1055.00,1055.00
27,2021-01-03,1,50.00,53000.00,1060.00,1060.00,1060.00
28,2021-01-10,1,12.00,12792.00,1066.00,1066.00,1066.00
29,2021-01-17,2,50.00,52500.00,1050.00,1050.00,1050.00
30,2021-01-20,1,200.00,210000.00,1050.00,1050.00,1050.00
31,2021-01-25,1,25.00,26125.00,1045.00,1045.00,1045.00
32,2021-01-26,1,50.00,51250.00,1025.00,1025.00,1025.00
33,2021-01-27,4,240.00,249410.00,1045.00,1019.00,1045.00
34,2021-01-28,2,417.00,436075.00,1050.00,1045.00,1050.00
35,2021-01-31,2,151.00,158174.00,1049.00,1040.00,1049.00
36,2021-02-04,1,25.00,26250.00,1050.00,1050.00,1050.00
37,2021-02-07,1,25.00,26250.00,1050.00,1050.00,1050.00
