S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-04-24,1,1000.00,10000.00,10.00,10.00,10.00
2,2018-04-29,3,1800.00,17650.00,9.81,9.80,9.80
3,2018-05-02,4,1700.00,16220.00,9.60,9.50,9.50
4,2018-05-03,3,1150.00,10835.00,9.50,9.40,9.50
5,2018-05-06,1,900.00,8550.00,9.50,9.50,9.50
6,2018-05-08,4,1600.00,15005.00,9.50,9.36,9.50
7,2018-05-10,2,1000.00,9335.00,9.35,9.32,9.35
8,2018-05-16,1,500.00,4700.00,9.40,9.40,9.40
9,2018-05-21,1,1000.00,9230.00,9.23,9.23,9.23
10,2018-05-22,1,140.00,1292.20,9.23,9.23,9.23
11,2018-05-27,1,5000.00,45350.00,9.07,9.07,9.07
12,2018-05-28,1,2000.00,18300.00,9.15,9.15,9.15
13,2018-05-29,6,3700.00,34671.00,9.52,9.33,9.52
14,2018-05-31,2,4600.00,44152.00,9.60,9.52,9.52
15,2018-06-04,3,1600.00,14583.00,9.33,9.00,9.00
16,2018-06-07,2,1100.00,10080.00,9.18,9.00,9.18
17,2018-06-10,5,5600.00,50405.00,9.13,8.95,9.00
18,2018-06-11,2,1100.00,9792.00,8.91,8.82,8.82
19,2018-06-13,1,500.00,4410.00,8.82,8.82,8.82
20,2018-06-17,1,500.00,4500.00,9.00,9.00,9.00
21,2018-06-18,1,500.00,4410.00,8.82,8.82,8.82
22,2018-06-27,1,1000.00,8900.00,8.90,8.90,8.90
23,2018-06-28,2,1000.00,9025.00,9.05,9.00,9.00
24,2018-07-01,3,3000.00,27235.00,9.10,9.03,9.10
25,2018-07-04,2,1500.00,13505.00,9.03,8.95,8.95
26,2018-07-08,2,400.00,3613.00,9.13,9.00,9.00
27,2018-07-11,1,1000.00,9000.00,9.00,9.00,9.00
28,2018-07-12,2,1825.00,16425.00,9.00,9.00,9.00
29,2018-07-16,2,500.00,4523.00,9.19,9.01,9.19
30,2018-07-18,4,3000.00,27654.00,9.37,9.18,9.18
31,2018-07-19,4,1500.00,14040.00,9.55,9.18,9.55
32,2018-07-22,3,1700.00,16135.00,9.55,9.36,9.55
33,2018-07-25,4,10500.00,99155.00,9.55,9.36,9.55
34,2018-07-26,4,1300.00,12220.00,9.40,9.40,9.40
35,2018-07-29,3,2500.00,23215.00,9.40,9.21,9.21
36,2018-07-30,2,5200.00,47810.00,9.20,9.05,9.20
37,2018-07-31,3,1100.00,9982.00,9.08,9.05,9.07
38,2018-08-01,5,15000.00,133550.00,8.93,8.89,8.89
39,2018-08-02,1,2000.00,18140.00,9.07,9.07,9.07
40,2018-08-05,2,5500.00,49855.00,9.07,9.01,9.01
41,2018-08-07,1,100.00,900.00,9.00,9.00,9.00
42,2018-08-08,1,100.00,890.00,8.90,8.90,8.90
43,2018-08-09,2,200.00,1744.00,8.72,8.72,8.72
44,2018-08-13,4,5000.00,44450.00,8.89,8.89,8.89
45,2018-08-14,1,1000.00,8890.00,8.89,8.89,8.89
46,2018-08-16,1,1000.00,8900.00,8.90,8.90,8.90
47,2018-08-20,2,700.00,6040.00,8.75,8.58,8.58
48,2018-08-23,1,1000.00,8600.00,8.60,8.60,8.60
49,2018-08-28,1,2500.00,21500.00,8.60,8.60,8.60
50,2018-08-29,1,100.00,857.00,8.57,8.57,8.57
51,2018-08-30,1,1000.00,8740.00,8.74,8.74,8.74
52,2018-09-03,3,5700.00,51003.00,9.27,8.91,9.27
53,2018-09-04,2,400.00,3724.00,9.31,9.31,9.31
54,2018-09-05,1,1000.00,9300.00,9.30,9.30,9.30
55,2018-09-06,6,10000.00,95440.00,9.55,9.49,9.55
56,2018-09-09,2,4500.00,42925.00,9.55,9.50,9.55
57,2018-09-10,3,3625.00,34237.50,9.50,9.40,9.50
58,2018-09-12,1,1000.00,9500.00,9.50,9.50,9.50
59,2018-09-13,3,10100.00,97870.00,9.70,9.69,9.70
60,2018-09-16,3,3600.00,34910.00,9.70,9.60,9.70
61,2018-09-17,1,5000.00,48500.00,9.70,9.70,9.70
