S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-07-09,20,230.00,82440.00,364.00,331.00,364.00
2,2020-07-12,23,260.00,103250.00,400.00,371.00,400.00
3,2020-07-13,36,400.00,175200.00,440.00,408.00,440.00
4,2020-07-14,26,250.00,119810.00,484.00,448.00,484.00
5,2020-07-15,97,1050.00,558180.00,532.00,508.00,532.00
6,2020-07-16,104,1170.00,683360.00,585.00,542.00,585.00
7,2020-07-19,2,20.00,12400.00,626.00,614.00,626.00
8,2020-07-20,732,8160.00,5611680.00,688.00,657.00,688.00
9,2020-07-21,3244,38948.00,29340328.00,756.00,722.00,756.00
10,2020-07-22,18645,221826.00,181584821.00,831.00,793.00,805.00
11,2020-07-23,7847,89223.00,70704095.00,820.00,781.00,793.00
12,2020-07-26,6185,80655.00,62925155.00,795.00,775.00,781.00
13,2020-07-27,5961,96139.00,77920085.00,855.00,780.00,821.00
14,2020-07-28,4514,59825.00,49478790.00,839.00,810.00,830.00
15,2020-07-29,3134,53350.00,43768120.00,840.00,807.00,812.00
16,2020-07-30,2474,44120.00,35646810.00,820.00,800.00,806.00
17,2020-08-02,2729,52090.00,41116162.00,810.00,783.00,787.00
18,2020-08-03,1822,29520.00,23091985.00,799.00,772.00,787.00
19,2020-08-05,2238,33236.00,25656934.00,785.00,768.00,770.00
20,2020-08-06,2028,27895.00,21309065.00,775.00,760.00,763.00
21,2020-08-09,2476,43385.00,32388975.00,764.00,730.00,756.00
22,2020-08-10,2464,34851.00,26764631.00,795.00,742.00,793.00
23,2020-08-11,1755,30656.00,23869105.00,793.00,772.00,778.00
24,2020-08-12,1830,26710.00,20570025.00,780.00,765.00,767.00
25,2020-08-13,1823,30385.00,23114275.00,770.00,753.00,759.00
26,2021-03-31,24,239.00,188336.00,795.00,759.00,795.00
27,2021-04-01,33,451.00,391934.00,874.00,834.00,874.00
28,2021-04-04,307,3460.00,3322541.00,961.00,917.00,961.00
29,2021-04-05,94,1217.00,1283947.00,1057.00,980.00,1057.00
30,2021-04-06,97,1052.00,1220515.00,1162.00,1109.00,1162.00
31,2021-04-07,114,1399.00,1786322.00,1278.00,1220.00,1278.00
32,2021-04-08,66,731.00,1024845.00,1405.00,1297.00,1405.00
33,2021-04-12,211,2882.00,4431210.00,1545.00,1545.00,1545.00
34,2021-04-13,306,10426.00,17712269.00,1699.00,1622.00,1699.00
