S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-07-14,1,10.00,1200.00,120.00,120.00,120.00
2,2010-07-26,1,10.00,1200.00,120.00,120.00,120.00
3,2011-08-15,2,150.00,18380.00,124.00,122.00,124.00
4,2011-09-05,1,50.00,6300.00,126.00,126.00,126.00
5,2011-09-06,2,150.00,19280.00,130.00,128.00,130.00
6,2011-09-22,1,50.00,6600.00,132.00,132.00,132.00
7,2011-11-16,2,140.00,18960.00,136.00,134.00,136.00
8,2011-12-05,2,100.00,13900.00,140.00,138.00,140.00
9,2011-12-21,1,10.00,1380.00,138.00,138.00,138.00
10,2012-07-16,1,30.00,4200.00,140.00,140.00,140.00
11,2013-12-29,1,228.00,31920.00,140.00,140.00,140.00
12,2014-04-09,1,20.00,2840.00,142.00,142.00,142.00
13,2014-04-28,2,1500.00,216000.00,144.00,144.00,144.00
14,2014-09-09,1,10.00,1460.00,146.00,146.00,146.00
15,2015-03-11,1,74.00,10952.00,148.00,148.00,148.00
16,2015-07-22,1,37.00,5550.00,150.00,150.00,150.00
