S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-02-14,1479,59931.00,22154433.00,374.00,340.00,374.00
2,2021-02-15,1072,47850.00,19661613.00,411.00,392.00,411.00
3,2021-02-16,1055,49192.00,22215572.00,452.00,431.00,452.00
4,2021-02-17,16724,1397128.00,694361119.00,497.00,474.00,497.00
5,2021-02-18,16000,932534.00,508269835.00,546.00,521.00,546.00
6,2021-02-21,13752,920940.00,552112023.00,600.00,573.00,600.00
7,2021-02-22,7014,487154.00,321231917.00,660.00,630.00,660.00
8,2021-02-23,11055,1081395.00,739452518.00,726.00,594.00,594.00
9,2021-02-24,18821,992207.00,560040905.00,642.00,340.00,562.00
10,2021-02-25,30002,1649933.00,903567577.00,595.00,526.00,543.00
11,2021-02-28,23566,1229080.00,634955460.00,550.00,507.00,508.00
12,2021-03-01,15477,863802.00,444852647.00,535.00,482.00,529.00
13,2021-03-02,8790,494666.00,258071295.00,541.00,508.00,515.00
14,2021-03-03,7664,428048.00,217588852.00,520.00,503.00,508.00
15,2021-03-04,11795,989491.00,532390676.00,558.00,508.00,552.00
16,2021-03-07,9288,779371.00,427840924.00,570.00,539.00,542.00
17,2021-03-09,7124,476968.00,254979498.00,547.00,528.00,532.00
18,2021-03-10,6514,389669.00,207125154.00,540.00,522.00,531.00
19,2021-03-14,7824,521372.00,275668518.00,541.00,521.00,523.00
20,2021-03-15,9786,807526.00,436221809.00,557.00,528.00,537.00
21,2021-03-16,5290,317765.00,170266454.00,550.00,530.00,533.00
22,2021-03-17,5419,378017.00,200488423.00,540.00,527.00,530.00
23,2021-03-18,5827,409283.00,216695278.00,535.00,525.00,525.00
24,2021-03-21,7097,401215.00,211838748.00,534.00,525.00,528.00
25,2021-03-22,5872,375082.00,197703100.00,537.00,522.00,524.00
26,2021-03-23,9893,973981.00,526094572.00,550.00,520.00,540.00
27,2021-03-24,10959,1140973.00,651501695.00,588.00,545.00,581.00
28,2021-03-25,14516,1488090.00,910880719.00,631.00,585.00,608.00
29,2021-03-29,7782,724630.00,443165363.00,622.00,603.00,606.00
30,2021-03-30,7634,802167.00,480094271.00,611.00,591.00,592.00
31,2021-03-31,4864,508187.00,302623446.00,604.00,590.00,593.00
32,2021-04-01,1064,96466.00,57480193.00,615.00,588.00,595.00
33,2021-04-04,7841,814795.00,475699499.00,600.00,577.00,581.00
34,2021-04-05,5633,500352.00,289463828.00,588.00,574.00,576.00
35,2021-04-06,7433,672591.00,398057236.00,606.00,572.00,606.00
36,2021-04-07,4812,468589.00,280491735.00,612.00,591.00,592.00
37,2021-04-08,4303,432501.00,255524149.00,621.00,588.00,589.00
38,2021-04-12,5223,377732.00,221197570.00,590.00,580.00,584.00
39,2021-04-13,4436,361253.00,211026053.00,589.00,580.00,585.00
40,2021-04-15,8603,835570.00,498734273.00,604.00,580.00,594.00
41,2021-04-18,5574,476981.00,279856434.00,623.00,581.00,585.00
42,2021-04-19,4409,411738.00,239360841.00,588.00,579.00,581.00
43,2021-04-20,4422,343512.00,198672665.00,584.00,575.00,578.00
44,2021-04-21,4106,444290.00,254598639.00,581.00,560.00,572.00
45,2021-04-22,4934,457462.00,258748348.00,572.00,561.00,562.00
46,2021-04-25,6791,723657.00,395252640.00,570.00,537.00,541.00
47,2021-04-26,5784,476237.00,252981740.00,541.00,520.00,526.00
48,2021-04-27,4259,392155.00,211677436.00,548.00,517.00,547.00
49,2021-04-28,2675,209761.00,114641622.00,555.00,532.00,545.00
50,2021-04-29,2684,210781.00,114279443.00,549.00,534.00,542.00
51,2021-05-02,4014,448160.00,242246556.00,545.00,535.00,542.00
52,2021-05-03,3643,368189.00,201660082.00,554.00,542.00,544.00
53,2021-05-04,2524,302660.00,164860071.00,560.00,541.00,544.00
54,2021-05-05,2478,230204.00,124601784.00,544.00,539.00,540.00
55,2021-05-06,2867,282014.00,150756153.00,540.00,531.00,532.00
56,2021-05-09,3759,297827.00,157395044.00,535.00,520.00,528.00
57,2021-05-10,2686,182691.00,97261154.00,540.00,525.00,534.00
58,2021-05-11,2459,216667.00,116713070.00,543.00,530.00,537.00
59,2021-05-12,1854,167760.00,89849014.00,545.00,511.00,534.00
60,2021-05-13,2459,256911.00,136794532.00,537.00,525.00,531.00
61,2021-05-16,4418,546356.00,294990546.00,549.00,526.00,547.00
62,2021-05-17,3159,331567.00,182353256.00,560.00,545.00,546.00
63,2021-05-18,2931,314084.00,171339779.00,553.00,542.00,544.00
64,2021-05-19,3044,323110.00,175636344.00,552.00,537.00,538.00
65,2021-05-20,2993,371438.00,199767111.00,560.00,530.00,537.00
66,2021-05-23,3303,362473.00,194864909.00,543.00,529.00,538.00
67,2021-05-24,3330,344835.00,185478431.00,545.00,535.00,536.00
68,2021-05-25,2708,261918.00,139992847.00,555.00,532.00,534.00
69,2021-05-27,3512,391248.00,207873796.00,536.00,529.00,530.00
70,2021-05-30,4600,522428.00,277933295.00,545.00,528.00,530.00
71,2021-05-31,3678,332230.00,175793236.00,535.00,526.00,526.00
72,2021-06-01,2956,285458.00,150125522.00,532.00,522.00,525.00
73,2021-06-02,3205,312966.00,164348306.00,532.00,522.00,524.00
74,2021-06-03,5473,618859.00,331386774.00,540.00,525.00,533.00
75,2021-06-06,10381,1478885.00,839044067.00,581.00,542.00,578.00
76,2021-06-07,6664,805770.00,466288021.00,599.00,566.00,572.00
77,2021-06-08,4317,588485.00,333115109.00,578.00,560.00,561.00
78,2021-06-09,3598,466594.00,258073985.00,568.00,547.00,549.00
79,2021-06-10,3805,444293.00,242045120.00,560.00,531.00,541.00
80,2021-06-13,4182,419915.00,225843331.00,548.00,534.00,537.00
81,2021-06-14,5026,577558.00,316920942.00,565.00,539.00,550.00
82,2021-06-15,3098,320786.00,174565620.00,563.00,539.00,539.00
83,2021-06-16,4888,483442.00,256301694.00,536.00,523.00,534.00
84,2021-06-17,3826,464954.00,245450708.00,535.00,525.00,529.00
85,2021-06-20,3954,388678.00,203801916.00,537.00,520.00,523.00
86,2021-06-21,4462,420675.00,216499879.00,526.00,509.00,510.00
87,2021-06-22,3693,402416.00,207335025.00,524.00,505.00,524.00
88,2021-06-23,2369,201087.00,103528587.00,533.00,511.00,512.00
89,2021-06-24,3151,252503.00,128823709.00,518.00,508.00,510.00
90,2021-06-27,3680,306783.00,156557063.00,519.00,506.00,511.00
91,2021-06-28,2695,185355.00,94407933.00,518.00,505.00,509.00
92,2021-06-29,2620,247114.00,125059436.00,515.00,502.00,503.00
93,2021-06-30,3032,240095.00,119653720.00,505.00,495.00,500.00
94,2021-07-01,2616,209366.00,105338016.00,508.00,500.00,501.00
95,2021-07-04,3009,184761.00,92046354.00,505.00,496.00,497.00
96,2021-07-05,3244,271311.00,133235970.00,499.00,488.00,489.00
97,2021-07-06,3157,255098.00,123746853.00,495.00,481.00,484.00
98,2021-07-07,2578,227513.00,109376070.00,486.00,478.00,479.00
99,2021-07-08,3071,290179.00,139925228.00,508.00,473.00,490.00
100,2021-07-11,3964,373329.00,187845642.00,512.00,495.00,511.00
101,2021-07-12,3175,364593.00,182771558.00,536.00,490.00,495.00
102,2021-07-13,2148,253886.00,125187965.00,504.00,488.00,494.00
103,2021-07-14,1693,154072.00,75807817.00,505.00,489.00,491.00
