S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-10-06,1,295.00,73750.00,250.00,250.00,250.00
2,2011-10-30,1,17.00,4267.00,251.00,251.00,251.00
3,2012-01-08,1,14.00,3444.00,246.00,246.00,246.00
4,2012-09-13,1,12.00,2904.00,242.00,242.00,242.00
5,2014-01-29,1,36.00,8856.00,246.00,246.00,246.00
6,2014-03-25,1,178.00,37202.00,209.00,209.00,209.00
7,2015-01-05,1,17.00,3621.00,213.00,213.00,213.00
8,2015-04-13,1,681.00,145053.00,213.00,213.00,213.00
9,2019-07-25,3,73.00,15046.00,210.00,202.00,210.00
10,2019-07-28,2,19.00,4102.00,214.00,214.00,214.00
11,2019-07-29,1,8.00,1736.00,214.00,214.00,214.00
12,2020-02-23,15,3500.00,654500.00,187.00,187.00,187.00
13,2020-09-22,1,80.00,15200.00,190.00,190.00,190.00
14,2020-10-18,1,10.00,1990.00,199.00,199.00,199.00
15,2020-11-04,1,10.00,2080.00,208.00,208.00,208.00
16,2020-11-05,1,10.00,2180.00,218.00,218.00,218.00
17,2020-11-23,1,10.00,2280.00,228.00,228.00,228.00
18,2020-12-02,1,10.00,2380.00,238.00,238.00,238.00
19,2020-12-09,1,24.00,5976.00,249.00,249.00,249.00
20,2020-12-28,1,10.00,2610.00,261.00,261.00,261.00
21,2021-02-09,1,10.00,2740.00,274.00,274.00,274.00
22,2021-05-20,1,10.00,2870.00,287.00,287.00,287.00
23,2021-05-23,1,10.00,3010.00,301.00,301.00,301.00
24,2021-07-05,1,10.00,3160.00,316.00,316.00,316.00
