S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-01-24,8,31623.00,327072.09,10.81,10.00,10.81
2,2017-01-25,5,9825.00,103834.76,10.80,10.45,10.45
3,2017-01-26,14,13729.00,140957.77,10.35,10.25,10.35
4,2017-01-30,13,21978.00,220357.92,10.15,9.96,10.00
5,2017-01-31,3,9983.00,102658.80,10.30,10.20,10.30
6,2017-02-01,7,27924.00,289143.65,10.45,10.20,10.35
7,2017-02-02,11,26449.00,270076.40,10.30,10.15,10.15
8,2017-02-05,11,41610.00,421301.25,10.15,10.05,10.15
9,2017-02-06,12,28294.00,290483.45,10.41,10.20,10.30
10,2017-02-07,5,6599.00,67338.04,10.32,10.10,10.32
11,2017-02-08,5,39322.00,397593.81,10.20,10.01,10.01
12,2017-02-09,2,6310.00,63110.00,10.01,10.00,10.00
13,2017-02-12,8,34127.00,341270.00,10.00,10.00,10.00
14,2017-02-13,8,28644.00,285752.75,10.00,9.80,10.00
15,2017-02-14,7,29127.00,291270.00,10.00,10.00,10.00
16,2017-02-15,4,57073.00,577000.41,10.12,10.01,10.12
17,2017-02-16,18,42631.00,430242.84,10.12,10.05,10.05
18,2017-02-19,6,103905.00,1048753.65,10.10,10.00,10.10
19,2017-02-20,3,114161.00,1153959.66,10.11,10.06,10.06
20,2017-02-21,1,1664.00,16656.64,10.01,10.01,10.01
21,2017-02-22,6,14979.00,149939.79,10.01,10.01,10.01
22,2017-02-23,11,30373.00,303010.27,10.05,9.81,9.84
23,2017-02-26,2,1582.00,15424.38,9.84,9.65,9.84
24,2017-02-28,2,4161.00,40396.70,9.71,9.70,9.70
25,2017-03-01,1,4161.00,41110.68,9.88,9.88,9.88
26,2017-03-02,5,15607.00,156766.96,10.08,10.01,10.08
27,2017-03-05,3,3696.00,36880.32,10.10,9.92,9.92
28,2017-03-06,4,10450.00,104624.80,10.05,10.00,10.05
29,2017-03-07,5,4576.00,45884.80,10.05,10.00,10.05
30,2017-03-09,8,26300.00,263133.20,10.10,10.00,10.10
31,2017-03-14,3,7073.00,71782.58,10.30,10.10,10.10
32,2017-03-15,5,17059.00,171559.48,10.20,10.00,10.20
33,2017-03-16,1,4161.00,42442.20,10.20,10.20,10.20
34,2017-03-19,3,4993.00,49971.60,10.05,10.00,10.05
35,2017-03-20,6,7576.00,76704.80,10.25,10.10,10.25
36,2017-03-21,2,1664.00,16972.80,10.20,10.20,10.20
37,2017-03-22,6,16352.00,167593.40,10.30,10.20,10.30
38,2017-03-23,1,832.00,8528.00,10.25,10.25,10.25
39,2017-03-26,8,26214.00,268901.55,10.30,10.23,10.30
40,2017-03-28,5,21501.00,224536.22,10.51,10.31,10.31
41,2017-03-29,7,25934.00,264577.33,10.30,9.90,10.12
42,2017-03-30,9,14313.00,144188.69,10.10,10.04,10.10
43,2017-04-02,6,13733.00,139743.80,10.30,10.10,10.20
44,2017-04-03,8,15769.00,160731.84,10.30,10.10,10.24
45,2017-04-04,11,15978.00,159929.96,10.20,9.80,10.20
