S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-12-21,3,30.00,9930.00,337.00,325.00,337.00
2,2015-12-23,6,60.00,21480.00,370.00,343.00,370.00
3,2015-12-24,5,50.00,19480.00,398.00,377.00,398.00
4,2015-12-27,5,50.00,21050.00,437.00,405.00,437.00
5,2015-12-28,5,50.00,23110.00,480.00,445.00,480.00
6,2015-12-29,6,60.00,30660.00,528.00,489.00,528.00
7,2015-12-31,5,50.00,27930.00,580.00,538.00,580.00
8,2016-01-03,34,340.00,187360.00,554.00,514.00,554.00
9,2016-01-11,5,50.00,29350.00,609.00,565.00,609.00
10,2016-01-12,70,700.00,467100.00,669.00,621.00,669.00
11,2016-01-13,12,120.00,86870.00,735.00,682.00,735.00
12,2016-01-14,8,80.00,63150.00,808.00,749.00,808.00
13,2016-03-29,2,20.00,16640.00,840.00,824.00,840.00
14,2016-04-03,4,40.00,35260.00,907.00,856.00,907.00
15,2016-04-04,1,10.00,9250.00,925.00,925.00,925.00
16,2016-04-11,1,10.00,9710.00,971.00,971.00,971.00
17,2016-04-12,1,10.00,10190.00,1019.00,1019.00,1019.00
18,2016-04-21,1,10.00,10390.00,1039.00,1039.00,1039.00
19,2016-04-26,1,10.00,10900.00,1090.00,1090.00,1090.00
20,2016-05-08,4,40.00,45760.00,1144.00,1144.00,1144.00
21,2016-05-11,1,10.00,11660.00,1166.00,1166.00,1166.00
22,2016-05-17,1,10.00,12240.00,1224.00,1224.00,1224.00
23,2016-05-18,1,10.00,12850.00,1285.00,1285.00,1285.00
24,2016-05-22,2,20.00,27240.00,1375.00,1349.00,1375.00
25,2016-05-23,4,40.00,59140.00,1500.00,1443.00,1500.00
26,2016-05-24,4,40.00,63940.00,1638.00,1575.00,1638.00
27,2016-05-25,3,30.00,50760.00,1703.00,1670.00,1703.00
28,2016-05-31,3,30.00,53140.00,1806.00,1737.00,1806.00
29,2016-06-02,1,10.00,18420.00,1842.00,1842.00,1842.00
30,2016-06-08,1,10.00,18550.00,1855.00,1855.00,1855.00
31,2016-06-13,3,30.00,59560.00,2024.00,1947.00,2024.00
32,2016-06-14,2,20.00,41690.00,2105.00,2064.00,2105.00
33,2016-06-15,7,70.00,157890.00,2315.00,2147.00,2315.00
34,2016-06-16,1,10.00,23610.00,2361.00,2361.00,2361.00
