S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-02-08,1,10.00,5060.00,506.00,506.00,506.00
2,2017-02-14,1,10.00,5160.00,516.00,516.00,516.00
3,2017-02-19,10,1000.00,565960.00,567.00,526.00,567.00
4,2017-02-23,4,40.00,23670.00,600.00,578.00,600.00
5,2017-03-14,1,10.00,6120.00,612.00,612.00,612.00
6,2017-03-20,1,10.00,6240.00,624.00,624.00,624.00
7,2017-03-21,4,30.00,19380.00,648.00,636.00,648.00
8,2017-04-09,3,19.00,12540.00,0.00,0.00,0.00
9,2017-04-11,3,29.00,19837.00,680.00,680.00,680.00
10,2017-04-13,1,10.00,6930.00,693.00,693.00,693.00
11,2017-05-02,1,10.00,7060.00,706.00,706.00,706.00
12,2017-05-18,2,20.00,14820.00,741.00,741.00,741.00
13,2017-05-22,7,70.00,55550.00,815.00,755.00,815.00
14,2017-05-24,3,30.00,25410.00,863.00,831.00,863.00
15,2017-05-30,3,30.00,26910.00,914.00,880.00,914.00
16,2017-06-06,8,40.00,37280.00,0.00,0.00,0.00
17,2017-06-08,1,10.00,9320.00,932.00,932.00,932.00
18,2017-06-12,2,29.00,28723.00,997.00,978.00,997.00
19,2017-06-13,2,20.00,20520.00,1036.00,1016.00,1036.00
20,2017-06-14,2,10.00,10560.00,0.00,0.00,0.00
21,2017-06-15,4,58.00,63453.00,1119.00,1056.00,1119.00
22,2017-06-20,3,30.00,34900.00,1186.00,1141.00,1186.00
23,2017-06-21,4,30.00,36510.00,1233.00,1209.00,1233.00
24,2017-06-27,1,10.00,12940.00,1294.00,1294.00,1294.00
25,2017-07-03,3,39.00,52195.00,1345.00,1319.00,1345.00
26,2017-07-04,5,39.00,54009.00,1371.00,1371.00,1371.00
27,2017-07-05,2,20.00,28230.00,1425.00,1398.00,1425.00
28,2017-07-06,1,10.00,14530.00,1453.00,1453.00,1453.00
29,2017-07-10,2,20.00,29930.00,1511.00,1482.00,1511.00
30,2017-07-12,3,30.00,46830.00,1571.00,1541.00,1571.00
31,2017-07-13,5,50.00,84423.00,1714.00,1649.00,1714.00
32,2017-07-16,2,20.00,35300.00,1782.00,1748.00,1782.00
33,2017-07-17,5,140.00,264240.00,1927.00,1817.00,1927.00
34,2017-07-19,1,10.00,19650.00,1965.00,1965.00,1965.00
35,2017-07-20,2,20.00,40080.00,2004.00,2004.00,2004.00
36,2017-07-25,2,20.00,41280.00,2084.00,2044.00,2084.00
37,2017-07-26,3,30.00,64590.00,2167.00,2125.00,2167.00
38,2017-07-27,3,30.00,67630.00,2299.00,2210.00,2299.00
39,2017-07-30,10,123.00,306384.00,2528.00,2344.00,2528.00
40,2017-07-31,8,80.00,217420.00,2780.00,2578.00,2780.00
41,2017-08-01,12,152.00,462396.00,3058.00,2919.00,3058.00
42,2017-08-02,89,1369.00,4595567.00,3363.00,3119.00,3363.00
43,2017-08-03,581,8523.00,31516170.00,3699.00,3430.00,3699.00
44,2017-08-06,804,11155.00,41897149.00,3855.00,3650.00,3855.00
45,2017-08-07,331,5405.00,20483051.00,3860.00,3761.00,3795.00
46,2017-08-09,251,3152.00,11897619.00,3805.00,3750.00,3761.00
47,2017-08-10,170,2559.00,9556008.00,3761.00,3723.00,3725.00
48,2017-08-13,101,1769.00,6378356.00,3798.00,3561.00,3580.00
49,2017-08-15,146,1928.00,6859059.00,3630.00,3500.00,3630.00
50,2017-08-16,141,1838.00,6673308.00,3695.00,3562.00,3660.00
51,2017-08-17,80,1551.00,5638969.00,3651.00,3600.00,3643.00
52,2017-08-20,97,2129.00,7705022.00,3635.00,3600.00,3601.00
53,2017-08-21,56,835.00,2990431.00,3600.00,3550.00,3571.00
54,2017-08-22,73,1476.00,5271060.00,3600.00,3510.00,3570.00
55,2017-08-23,50,542.00,1926495.00,3570.00,3512.00,3565.00
56,2017-08-24,54,1072.00,3821961.00,3595.00,3511.00,3580.00
57,2017-08-27,74,1155.00,4139895.00,3650.00,3565.00,3582.00
58,2017-08-28,101,1980.00,7144787.00,3635.00,3515.00,3635.00
59,2017-08-30,87,2153.00,7818759.00,3683.00,3611.00,3650.00
60,2017-08-31,53,658.00,2386493.00,3650.00,3606.00,3619.00
61,2017-09-04,69,1114.00,4017610.00,3630.00,3595.00,3612.00
62,2017-09-06,56,645.00,2334990.00,3670.00,3555.00,3630.00
63,2017-09-07,57,758.00,2771924.00,3710.00,3630.00,3644.00
64,2017-09-10,89,2231.00,8031892.00,3620.00,3581.00,3587.00
65,2017-09-11,53,1368.00,4963578.00,3660.00,3520.00,3660.00
66,2017-09-12,49,1675.00,6090550.00,3660.00,3587.00,3650.00
67,2017-09-13,47,1415.00,5119200.00,3690.00,3582.00,3582.00
68,2017-09-14,55,1914.00,6231230.00,3560.00,3224.00,3224.00
69,2017-09-17,153,3981.00,12817065.00,3280.00,3097.00,3260.00
70,2017-09-18,57,1253.00,4179895.00,3391.00,3261.00,3350.00
71,2017-09-20,20,253.00,841006.00,3370.00,3235.00,3301.00
72,2017-09-24,12,256.00,840548.00,3320.00,3260.00,3320.00
73,2017-09-25,13,233.00,774790.00,3350.00,3287.00,3350.00
74,2017-09-26,6,62.00,207688.00,3350.00,3349.00,3350.00
75,2017-10-03,10,259.00,867010.00,3350.00,3320.00,3350.00
76,2017-10-04,22,317.00,1059830.00,3360.00,3330.00,3345.00
77,2017-10-08,30,551.00,1805919.00,3305.00,3250.00,3255.00
78,2017-10-09,33,644.00,2095072.00,3275.00,3250.00,3255.00
79,2017-10-10,7,195.00,629395.00,3250.00,3220.00,3220.00
80,2017-10-11,28,580.00,1874835.00,3264.00,3201.00,3222.00
81,2017-10-12,30,1176.00,3763718.00,3222.00,3191.00,3200.00
82,2017-10-15,24,339.00,1092800.00,3250.00,3185.00,3200.00
83,2017-10-16,14,366.00,1176681.00,3264.00,3200.00,3220.00
84,2017-10-17,21,768.00,2455739.00,3240.00,3160.00,3166.00
85,2017-10-22,9,805.00,2569751.00,3210.00,3160.00,3205.00
86,2017-10-23,4,80.00,256750.00,3245.00,3200.00,3245.00
87,2017-10-24,7,76.00,243020.00,3240.00,3182.00,3184.00
88,2017-10-25,34,1809.00,5668481.00,3184.00,3101.00,3149.00
89,2017-10-29,20,332.00,1037002.00,3130.00,3115.00,3115.00
