S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-06-29,279,9779.00,3761368.00,432.00,382.00,382.00
2,2020-06-30,551,20380.00,7016590.00,363.00,344.00,344.00
3,2020-07-01,1102,41011.00,14761825.00,378.00,315.00,378.00
4,2020-07-02,3809,152449.00,60682125.00,415.00,368.00,383.00
5,2020-07-05,9713,384082.00,151241987.00,415.00,370.00,400.00
6,2020-07-06,7466,337293.00,145331380.00,440.00,400.00,440.00
7,2020-07-07,3594,189080.00,91267083.00,484.00,453.00,484.00
8,2020-07-08,9527,501457.00,255799681.00,532.00,480.00,508.00
9,2020-07-09,5322,302571.00,151845830.00,516.00,486.00,504.00
10,2020-07-12,4823,279522.00,143448460.00,535.00,501.00,509.00
11,2020-07-13,3218,202660.00,102812349.00,517.00,501.00,508.00
12,2020-07-14,3526,221004.00,111012243.00,510.00,497.00,500.00
13,2020-07-15,3015,193037.00,97362529.00,510.00,500.00,504.00
14,2020-07-16,2955,182560.00,94172564.00,529.00,503.00,521.00
15,2020-07-19,131,44436.00,25371293.00,573.00,547.00,570.00
16,2020-07-20,2871,309752.00,176382799.00,618.00,537.00,565.00
17,2020-07-21,3090,223552.00,124291832.00,567.00,550.00,557.00
18,2020-07-22,4274,301663.00,162376267.00,561.00,528.00,535.00
19,2020-07-23,4240,212889.00,113239679.00,547.00,520.00,545.00
20,2020-07-26,6174,373050.00,199452916.00,552.00,520.00,549.00
21,2020-07-27,3974,264209.00,148861194.00,575.00,553.00,562.00
22,2020-07-28,2840,183834.00,103576159.00,569.00,555.00,566.00
23,2020-07-29,3234,272601.00,157100105.00,588.00,557.00,584.00
24,2020-07-30,4087,382720.00,229155063.00,615.00,576.00,599.00
25,2020-08-02,3559,382259.00,226517075.00,610.00,584.00,586.00
26,2020-08-03,2217,171630.00,100417639.00,594.00,575.00,589.00
27,2020-08-05,2619,234516.00,136119907.00,590.00,576.00,576.00
28,2020-08-06,2377,206694.00,118115188.00,585.00,565.00,575.00
29,2020-08-09,2114,156684.00,89114877.00,580.00,563.00,572.00
30,2020-08-10,2510,210854.00,123153743.00,597.00,566.00,591.00
31,2020-08-11,2086,204932.00,121607806.00,599.00,585.00,587.00
32,2020-08-12,1690,102692.00,60381444.00,616.00,584.00,588.00
33,2020-08-13,1781,123499.00,71937188.00,588.00,580.00,580.00
34,2020-08-16,1733,133967.00,77110577.00,584.00,571.00,575.00
35,2020-08-17,1580,112845.00,65830289.00,590.00,570.00,588.00
36,2020-08-18,1497,108326.00,63932746.00,595.00,585.00,590.00
37,2020-08-19,997,117221.00,68180359.00,587.00,578.00,579.00
38,2020-08-20,479,39562.00,23017814.00,585.00,575.00,583.00
39,2020-08-23,1121,113089.00,66811330.00,599.00,581.00,596.00
40,2020-08-24,3310,351252.00,216040975.00,624.00,596.00,624.00
