S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-08-26,3329,62637.00,20660602.00,336.00,306.00,336.00
2,2020-08-27,2270,28550.00,10526150.00,369.00,352.00,369.00
3,2020-08-30,17814,297162.00,120013260.00,405.00,387.00,405.00
4,2020-08-31,5340,75618.00,33530485.00,445.00,425.00,445.00
5,2020-09-02,1902,26975.00,13140815.00,489.00,467.00,489.00
6,2020-09-03,3101,44505.00,23893475.00,537.00,513.00,537.00
7,2020-09-06,1016,49953.00,25695122.00,590.00,484.00,484.00
8,2020-09-07,125,7815.00,3420000.00,460.00,436.00,436.00
9,2020-09-08,180,10210.00,4032930.00,415.00,393.00,393.00
10,2020-09-09,272,14498.00,5145882.00,374.00,354.00,354.00
11,2020-09-10,4539,83295.00,28900909.00,389.00,319.00,389.00
12,2020-09-13,3625,71494.00,30413883.00,427.00,408.00,427.00
13,2020-09-14,6916,115029.00,48817754.00,456.00,400.00,416.00
14,2020-09-15,3103,40769.00,16625804.00,436.00,400.00,408.00
15,2020-09-16,2153,28882.00,11725930.00,412.00,400.00,406.00
16,2020-09-17,2088,37908.00,15184272.00,405.00,398.00,401.00
17,2020-09-20,2070,37140.00,14379455.00,396.00,385.00,387.00
18,2020-09-21,3217,45446.00,16918850.00,380.00,370.00,371.00
19,2020-09-22,2186,42449.00,15355897.00,367.00,358.00,360.00
20,2020-09-23,1875,26060.00,9547070.00,386.00,355.00,375.00
21,2020-09-24,1387,19135.00,7183145.00,380.00,369.00,375.00
22,2020-09-27,956,16779.00,6193073.00,374.00,364.00,368.00
23,2020-09-28,1000,17357.00,6307747.00,369.00,351.00,365.00
24,2020-09-29,1011,31940.00,11525000.00,366.00,358.00,359.00
25,2020-09-30,920,24501.00,8761426.00,360.00,355.00,357.00
26,2020-10-01,1142,30235.00,10918760.00,377.00,352.00,359.00
27,2020-10-04,1247,24105.00,8719500.00,368.00,356.00,362.00
28,2020-10-05,843,15312.00,5505303.00,363.00,357.00,358.00
29,2020-10-06,735,14308.00,5103312.00,365.00,355.00,357.00
30,2020-10-07,842,25735.00,9246946.00,371.00,352.00,371.00
31,2020-10-08,773,15029.00,5460448.00,371.00,359.00,360.00
32,2020-10-11,633,9160.00,3253860.00,370.00,351.00,357.00
33,2020-10-12,656,12798.00,4540357.00,357.00,353.00,354.00
34,2020-10-13,567,10920.00,3865880.00,358.00,350.00,354.00
35,2020-10-14,614,17455.00,6099140.00,353.00,345.00,350.00
36,2020-10-15,426,10859.00,3794565.00,355.00,347.00,350.00
37,2020-10-18,429,7560.00,2624720.00,350.00,342.00,346.00
38,2020-10-19,287,7100.00,2480040.00,361.00,342.00,347.00
39,2020-10-20,274,5910.00,2079340.00,360.00,343.00,353.00
40,2020-10-21,283,14264.00,5056432.00,364.00,350.00,353.00
41,2020-10-22,271,7400.00,2592780.00,360.00,346.00,352.00
42,2020-10-28,354,8865.00,3111115.00,353.00,345.00,351.00
43,2020-10-29,548,16375.00,5722450.00,353.00,340.00,350.00
44,2020-11-01,564,11915.00,4107665.00,354.00,341.00,348.00
45,2020-11-02,627,11672.00,4052815.00,350.00,342.00,347.00
46,2020-11-03,501,9276.00,3200632.00,350.00,341.00,345.00
47,2020-11-04,497,10345.00,3564840.00,350.00,343.00,347.00
48,2020-11-05,480,12990.00,4475911.00,355.00,342.00,342.00
49,2020-11-08,606,20365.00,6976230.00,345.00,340.00,342.00
50,2020-11-09,799,31120.00,10977894.00,366.00,342.00,353.00
51,2020-11-10,477,13169.00,4649869.00,360.00,350.00,353.00
52,2020-11-11,853,47089.00,17426869.00,386.00,347.00,374.00
53,2020-11-12,769,47620.00,17327324.00,380.00,359.00,362.00
54,2020-11-18,393,16120.00,5861310.00,372.00,360.00,364.00
55,2020-11-19,1121,91460.00,35502641.00,400.00,361.00,400.00
56,2020-11-22,1477,131805.00,54990674.00,432.00,396.00,410.00
57,2020-11-23,905,53791.00,21789986.00,412.00,400.00,400.00
58,2020-11-24,1015,60737.00,24906007.00,428.00,396.00,414.00
59,2020-11-25,674,35031.00,14346925.00,419.00,404.00,413.00
60,2020-11-26,790,36175.00,14650697.00,413.00,401.00,401.00
61,2020-11-29,718,35687.00,14099399.00,407.00,391.00,396.00
62,2020-11-30,761,29525.00,11697385.00,406.00,390.00,396.00
63,2020-12-01,815,53218.00,21170355.00,414.00,389.00,390.00
64,2020-12-02,913,42500.00,17254669.00,414.00,387.00,406.00
65,2020-12-03,638,25261.00,10139623.00,412.00,394.00,394.00
66,2020-12-06,600,27859.00,10733212.00,398.00,376.00,376.00
67,2020-12-07,552,27595.00,10478660.00,389.00,361.00,385.00
68,2020-12-08,452,20445.00,7797433.00,388.00,376.00,377.00
69,2020-12-09,496,23613.00,8771785.00,384.00,368.00,369.00
70,2020-12-10,532,25032.00,9281306.00,378.00,363.00,375.00
71,2020-12-13,447,12307.00,4566579.00,378.00,368.00,374.00
72,2020-12-14,660,35339.00,13646856.00,401.00,371.00,388.00
73,2020-12-15,346,14719.00,5663991.00,399.00,381.00,383.00
74,2020-12-16,505,27715.00,10687554.00,396.00,378.00,385.00
75,2020-12-17,449,21419.00,8111780.00,383.00,375.00,380.00
76,2020-12-20,452,23081.00,8456491.00,380.00,362.00,362.00
77,2020-12-21,611,26187.00,9379845.00,379.00,343.00,360.00
78,2020-12-22,551,17075.00,6271413.00,372.00,360.00,365.00
79,2020-12-23,431,14146.00,5126242.00,369.00,360.00,361.00
80,2020-12-24,392,13890.00,5011820.00,365.00,358.00,365.00
81,2020-12-27,469,13938.00,5042688.00,372.00,356.00,363.00
82,2020-12-28,379,13711.00,4903690.00,364.00,354.00,357.00
83,2020-12-29,416,21711.00,7655781.00,357.00,350.00,354.00
84,2020-12-30,424,12130.00,4266570.00,354.00,347.00,352.00
85,2020-12-31,654,22469.00,8015757.00,363.00,348.00,358.00
86,2021-01-03,462,12650.00,4509854.00,360.00,353.00,357.00
87,2021-01-04,324,17949.00,6371284.00,360.00,353.00,353.00
88,2021-01-05,590,15817.00,5750560.00,379.00,351.00,363.00
89,2021-01-06,424,11669.00,4240523.00,370.00,357.00,360.00
90,2021-01-07,519,16731.00,6027769.00,365.00,356.00,359.00
91,2021-01-10,454,17040.00,6182370.00,367.00,342.00,360.00
92,2021-01-11,382,10006.00,3610832.00,365.00,356.00,360.00
93,2021-01-12,341,12711.00,4551163.00,364.00,354.00,357.00
94,2021-01-13,401,20810.00,7580704.00,370.00,357.00,363.00
95,2021-01-17,349,14000.00,5154250.00,370.00,363.00,368.00
96,2021-01-18,329,15699.00,5806328.00,374.00,366.00,367.00
97,2021-01-19,263,11981.00,4379989.00,380.00,362.00,365.00
98,2021-01-20,289,12175.00,4425125.00,366.00,358.00,363.00
99,2021-01-21,444,22388.00,8108772.00,365.00,360.00,363.00
100,2021-01-24,785,57206.00,21632480.00,385.00,346.00,380.00
101,2021-01-25,1076,104438.00,41253354.00,405.00,380.00,397.00
102,2021-01-26,426,36977.00,14537572.00,405.00,385.00,390.00
103,2021-01-27,409,27180.00,10637388.00,397.00,385.00,390.00
104,2021-01-28,381,30397.00,11554325.00,387.00,376.00,377.00
105,2021-01-31,335,14291.00,5277114.00,380.00,366.00,367.00
106,2021-02-01,358,18475.00,6863725.00,374.00,365.00,371.00
107,2021-02-02,454,21880.00,8384191.00,394.00,365.00,382.00
108,2021-02-03,496,25592.00,9684216.00,386.00,371.00,373.00
109,2021-02-04,404,25484.00,9498890.00,389.00,368.00,370.00
110,2021-02-07,639,46422.00,17687185.00,390.00,370.00,384.00
111,2021-02-08,705,56445.00,22237369.00,403.00,389.00,393.00
112,2021-02-09,328,20707.00,8043239.00,412.00,385.00,385.00
113,2021-02-10,317,20953.00,8108818.00,392.00,382.00,383.00
114,2021-02-11,853,75146.00,29873640.00,415.00,382.00,392.00
115,2021-02-14,568,54121.00,21664942.00,409.00,392.00,402.00
116,2021-02-15,757,66975.00,27510332.00,430.00,403.00,409.00
117,2021-02-16,438,34927.00,14157642.00,429.00,400.00,404.00
118,2021-02-17,479,34278.00,13889266.00,415.00,386.00,404.00
119,2021-02-18,475,27108.00,10918230.00,410.00,397.00,402.00
120,2021-02-21,576,35843.00,14294542.00,403.00,396.00,400.00
121,2021-02-22,413,17319.00,6859482.00,420.00,392.00,394.00
122,2021-02-23,369,17091.00,6632111.00,400.00,384.00,391.00
123,2021-02-24,319,16717.00,6619498.00,410.00,387.00,395.00
124,2021-02-25,405,19259.00,7483185.00,395.00,385.00,388.00
125,2021-02-28,441,21003.00,7976430.00,407.00,371.00,377.00
126,2021-03-01,373,18181.00,6939102.00,399.00,372.00,385.00
127,2021-03-02,319,10515.00,3990245.00,397.00,375.00,378.00
128,2021-03-03,322,15330.00,5711819.00,380.00,369.00,374.00
129,2021-03-04,367,17820.00,6773997.00,395.00,369.00,388.00
130,2021-03-07,663,55061.00,21976181.00,406.00,378.00,392.00
131,2021-03-09,931,102605.00,41238382.00,408.00,385.00,407.00
132,2021-03-10,1786,186944.00,80747502.00,447.00,404.00,443.00
133,2021-03-14,726,69821.00,29812481.00,448.00,418.00,422.00
134,2021-03-15,464,43605.00,18137486.00,425.00,401.00,414.00
135,2021-03-16,377,23670.00,9738805.00,419.00,404.00,408.00
136,2021-03-17,397,27462.00,11441298.00,429.00,401.00,428.00
137,2021-03-18,461,42324.00,17864292.00,429.00,416.00,417.00
138,2021-03-21,596,73417.00,30969542.00,432.00,408.00,429.00
139,2021-03-22,550,63466.00,27233474.00,437.00,417.00,433.00
140,2021-03-23,492,32992.00,14266954.00,438.00,420.00,427.00
141,2021-03-24,992,100648.00,45282851.00,464.00,424.00,462.00
142,2021-03-25,1046,112476.00,52632124.00,484.00,453.00,480.00
143,2021-03-29,593,76301.00,35825325.00,489.00,462.00,469.00
144,2021-03-30,508,52965.00,25230266.00,490.00,461.00,471.00
145,2021-03-31,546,67356.00,31913003.00,484.00,464.00,465.00
146,2021-04-01,566,85779.00,39441398.00,480.00,451.00,455.00
147,2021-04-04,545,37910.00,17381672.00,470.00,450.00,464.00
148,2021-04-05,567,50112.00,23540122.00,487.00,461.00,471.00
149,2021-04-06,518,62295.00,29016428.00,472.00,458.00,465.00
150,2021-04-07,516,49409.00,23155718.00,482.00,464.00,464.00
151,2021-04-08,1220,190096.00,93286000.00,502.00,459.00,495.00
152,2021-04-12,1419,166087.00,87188438.00,541.00,497.00,534.00
153,2021-04-13,871,146411.00,75596183.00,540.00,510.00,515.00
154,2021-04-15,748,67886.00,35147341.00,530.00,505.00,529.00
155,2021-04-18,1614,240631.00,133401598.00,573.00,529.00,560.00
156,2021-04-19,1282,130861.00,76866799.00,612.00,550.00,588.00
157,2021-04-20,706,75149.00,43781050.00,617.00,568.00,576.00
158,2021-04-21,666,98586.00,55800192.00,585.00,557.00,558.00
159,2021-04-22,890,123979.00,71682056.00,610.00,550.00,588.00
160,2021-04-25,738,109178.00,62674311.00,615.00,555.00,568.00
161,2021-04-26,642,55782.00,31516757.00,592.00,546.00,557.00
162,2021-04-27,643,63691.00,36706566.00,591.00,555.00,576.00
163,2021-04-28,369,28518.00,16526890.00,590.00,566.00,575.00
164,2021-04-29,1025,134681.00,80921315.00,620.00,551.00,617.00
165,2021-05-02,994,108416.00,68395906.00,650.00,605.00,630.00
166,2021-05-03,826,92583.00,57291023.00,635.00,608.00,617.00
167,2021-05-04,623,75803.00,46676520.00,628.00,600.00,620.00
168,2021-05-05,1004,110756.00,71214219.00,673.00,611.00,656.00
169,2021-05-06,655,75547.00,48879852.00,667.00,637.00,638.00
170,2021-05-09,697,104797.00,65510736.00,669.00,618.00,621.00
171,2021-05-10,639,59445.00,37319789.00,640.00,610.00,626.00
172,2021-05-11,1716,213992.00,141720155.00,682.00,620.00,680.00
173,2021-05-12,1740,191016.00,136367783.00,748.00,675.00,746.00
174,2021-05-13,1611,123357.00,98095698.00,820.00,748.00,790.00
175,2021-05-16,1778,282308.00,215042140.00,800.00,731.00,763.00
176,2021-05-17,1269,147775.00,116301192.00,807.00,755.00,800.00
177,2021-05-18,987,103118.00,83185954.00,840.00,795.00,796.00
178,2021-05-19,1010,105051.00,81222120.00,805.00,760.00,763.00
179,2021-05-20,777,76759.00,58476461.00,780.00,757.00,760.00
180,2021-05-23,1253,119862.00,91596111.00,790.00,731.00,769.00
181,2021-05-24,772,62118.00,47410846.00,784.00,755.00,769.00
182,2021-05-25,655,58976.00,44711642.00,775.00,747.00,754.00
183,2021-05-27,661,67111.00,49948042.00,764.00,739.00,748.00
184,2021-05-30,786,86334.00,65361656.00,769.00,711.00,744.00
185,2021-05-31,781,75330.00,55060415.00,750.00,717.00,717.00
186,2021-06-01,869,65577.00,46347774.00,740.00,690.00,708.00
187,2021-06-02,809,57334.00,40701743.00,740.00,690.00,723.00
188,2021-06-03,644,53982.00,39421866.00,739.00,720.00,724.00
189,2021-06-06,640,43749.00,30986984.00,735.00,700.00,710.00
190,2021-06-07,663,61134.00,42940411.00,713.00,695.00,700.00
191,2021-06-08,798,57932.00,41337436.00,734.00,695.00,724.00
192,2021-06-09,492,52869.00,37575212.00,730.00,697.00,702.00
193,2021-06-10,897,68910.00,49202554.00,734.00,698.00,719.00
194,2021-06-13,1351,126915.00,93711919.00,770.00,715.00,763.00
195,2021-06-14,1023,92238.00,70187491.00,795.00,740.00,740.00
196,2021-06-15,670,42571.00,31128318.00,755.00,717.00,720.00
197,2021-06-16,1034,62670.00,43841082.00,714.00,688.00,697.00
198,2021-06-17,646,35978.00,25050927.00,710.00,680.00,697.00
199,2021-06-20,642,53804.00,36434694.00,700.00,660.00,683.00
200,2021-06-21,576,40948.00,26671841.00,689.00,630.00,634.00
201,2021-06-22,500,32453.00,21247324.00,680.00,615.00,680.00
202,2021-06-23,393,37186.00,24449654.00,690.00,644.00,675.00
203,2021-06-24,405,34018.00,22026369.00,663.00,638.00,645.00
204,2021-06-27,318,15509.00,9908876.00,657.00,633.00,644.00
205,2021-06-28,370,25738.00,16284283.00,656.00,624.00,627.00
206,2021-06-29,466,37817.00,23082474.00,638.00,599.00,605.00
207,2021-06-30,498,40899.00,24160398.00,630.00,576.00,615.00
208,2021-07-01,409,21335.00,13220670.00,630.00,611.00,629.00
209,2021-07-04,291,12118.00,7444175.00,634.00,605.00,616.00
210,2021-07-05,233,13557.00,8232764.00,620.00,586.00,610.00
211,2021-07-06,248,8393.00,5041488.00,613.00,597.00,600.00
212,2021-07-07,262,11635.00,6908192.00,606.00,588.00,595.00
213,2021-07-08,221,11072.00,6617407.00,605.00,566.00,594.00
214,2021-07-11,366,26235.00,16259567.00,633.00,594.00,633.00
215,2021-07-12,337,31059.00,19223488.00,664.00,604.00,618.00
216,2021-07-13,174,13314.00,8292401.00,640.00,604.00,615.00
217,2021-07-14,163,7152.00,4384663.00,621.00,609.00,615.00
218,2021-07-15,248,14743.00,9123134.00,631.00,607.00,622.00
219,2021-07-18,395,22321.00,14057616.00,640.00,620.00,639.00
220,2021-07-19,514,46964.00,31110030.60,676.00,643.10,670.00
221,2021-07-20,368,26204.00,17719499.50,688.00,654.00,680.00
222,2021-07-22,842,71790.00,50675859.10,718.00,676.00,707.00
223,2021-07-25,925,93365.00,67874324.40,740.00,710.00,734.00
224,2021-07-26,853,84179.00,62194450.70,759.00,725.20,740.00
225,2021-07-27,725,74993.00,56429162.30,771.00,730.00,760.00
226,2021-07-28,676,66488.00,50697136.30,783.00,746.00,750.00
227,2021-07-29,588,61678.00,46152424.40,771.00,736.00,755.00
228,2021-08-01,456,41105.00,30439007.50,754.00,731.00,741.00
229,2021-08-02,443,32034.00,23660948.00,755.00,732.10,749.00
230,2021-08-03,615,59617.00,44923097.50,775.00,735.00,758.00
231,2021-08-04,1993,228498.00,181478032.40,821.00,760.00,804.00
232,2021-08-05,873,98558.00,77898722.20,820.00,770.30,779.00
233,2021-08-08,605,69355.00,54018643.00,795.00,761.50,766.00
234,2021-08-09,1191,124769.00,98623456.00,810.00,760.00,800.00
235,2021-08-10,1416,143751.00,117236928.10,826.00,790.00,818.90
236,2021-08-11,1858,273702.00,237976619.70,900.70,811.00,900.70
237,2021-08-12,1539,126794.00,116576894.20,963.60,892.00,893.00
