S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-06-14,2,10.00,3100.00,0.00,0.00,0.00
2,2018-06-20,1,10.00,3120.00,312.00,312.00,312.00
3,2018-06-24,1,338.00,473200.00,0.00,0.00,0.00
4,2018-06-25,1,10.00,3270.00,327.00,327.00,327.00
5,2018-06-27,1,10.00,3430.00,343.00,343.00,343.00
6,2018-07-25,5,40.00,14470.00,360.00,360.00,360.00
7,2018-07-30,3,30.00,11220.00,381.00,367.00,381.00
8,2018-08-02,1,10.00,3880.00,388.00,388.00,388.00
9,2018-08-23,2,20.00,7970.00,402.00,395.00,402.00
10,2018-08-30,1,10.00,4220.00,422.00,422.00,422.00
11,2018-09-03,1,10.00,4300.00,430.00,430.00,430.00
12,2018-09-13,5,50.00,22730.00,472.00,438.00,472.00
13,2018-09-16,1,10.00,4810.00,481.00,481.00,481.00
14,2018-10-03,1,10.00,4900.00,490.00,490.00,490.00
15,2018-10-08,1,10.00,4990.00,499.00,499.00,499.00
16,2018-10-09,2,20.00,10560.00,533.00,523.00,533.00
17,2018-10-10,1,10.00,5430.00,543.00,543.00,543.00
18,2018-10-11,2,20.00,11170.00,564.00,553.00,564.00
19,2018-10-14,3,30.00,17580.00,597.00,575.00,597.00
20,2018-10-15,1,10.00,6080.00,608.00,608.00,608.00
21,2018-10-22,2,20.00,12520.00,632.00,620.00,632.00
22,2018-10-24,2,110.00,70960.00,656.00,644.00,656.00
23,2018-10-28,3,30.00,20460.00,695.00,669.00,695.00
24,2018-10-29,1,10.00,7080.00,708.00,708.00,708.00
25,2018-10-30,5,50.00,37510.00,778.00,722.00,778.00
26,2018-10-31,146,2410.00,2059000.00,855.00,793.00,855.00
27,2018-11-01,505,6470.00,5233640.00,889.00,786.00,790.00
28,2018-11-04,109,1107.00,839452.00,775.00,733.00,756.00
29,2018-11-05,56,740.00,562370.00,775.00,744.00,756.00
30,2018-11-06,3,30.00,22720.00,760.00,756.00,756.00
31,2018-11-11,35,360.00,260720.00,756.00,715.00,721.00
32,2018-11-12,63,830.00,580940.00,721.00,690.00,691.00
33,2018-11-13,50,570.00,398690.00,714.00,679.00,701.00
34,2018-11-14,69,830.00,586360.00,729.00,696.00,714.00
35,2018-11-15,28,280.00,197290.00,714.00,696.00,701.00
36,2018-11-18,26,476.00,332196.00,708.00,696.00,696.00
37,2018-11-19,48,1034.00,701752.00,696.00,670.00,671.00
38,2018-11-20,41,450.00,297660.00,671.00,659.00,660.00
39,2018-11-21,28,290.00,189570.00,660.00,650.00,651.00
40,2018-11-22,68,700.00,447150.00,655.00,631.00,638.00
41,2018-11-25,32,410.00,256900.00,638.00,615.00,619.00
42,2018-11-26,36,360.00,218290.00,619.00,584.00,584.00
43,2018-11-27,26,260.00,149350.00,584.00,565.00,565.00
44,2018-11-28,35,440.00,244550.00,576.00,540.00,540.00
45,2018-11-29,22,220.00,115590.00,541.00,511.00,541.00
46,2018-12-02,16,180.00,95520.00,541.00,520.00,530.00
47,2018-12-03,13,130.00,68980.00,540.00,521.00,540.00
48,2018-12-04,5,90.00,48200.00,540.00,530.00,530.00
49,2018-12-05,22,360.00,191940.00,539.00,526.00,526.00
50,2018-12-06,7,210.00,112850.00,545.00,526.00,535.00
51,2018-12-09,5,50.00,26400.00,535.00,520.00,530.00
52,2018-12-10,5,67.00,36800.00,561.00,530.00,561.00
53,2018-12-11,7,70.00,36700.00,561.00,510.00,530.00
54,2018-12-12,4,40.00,21150.00,540.00,520.00,525.00
55,2018-12-13,9,470.00,248500.00,530.00,515.00,530.00
56,2018-12-16,12,160.00,89330.00,572.00,530.00,560.00
57,2018-12-17,19,467.00,274744.00,615.00,560.00,603.00
58,2018-12-18,16,340.00,203420.00,615.00,581.00,581.00
59,2018-12-19,41,860.00,522030.00,639.00,565.00,615.00
60,2018-12-20,24,608.00,370708.00,627.00,600.00,600.00
61,2018-12-23,41,860.00,520880.00,620.00,586.00,618.00
62,2018-12-24,20,280.00,167520.00,618.00,583.00,594.00
63,2018-12-25,10,260.00,153510.00,600.00,583.00,600.00
64,2018-12-26,26,627.00,381674.00,625.00,577.00,625.00
65,2018-12-27,15,510.00,305060.00,625.00,595.00,596.00
66,2018-12-30,14,490.00,287800.00,604.00,581.00,586.00
67,2018-12-31,17,665.00,381705.00,586.00,567.00,567.00
68,2019-01-01,21,330.00,190260.00,599.00,567.00,570.00
69,2019-01-02,35,946.00,546444.00,590.00,561.00,575.00
70,2019-01-03,16,497.00,284631.00,581.00,570.00,575.00
71,2019-01-06,17,700.00,392440.00,575.00,557.00,559.00
72,2019-01-07,7,460.00,259750.00,580.00,559.00,563.00
73,2019-01-08,15,160.00,90280.00,572.00,560.00,572.00
74,2019-01-09,11,110.00,62760.00,578.00,565.00,578.00
75,2019-01-10,28,785.00,460020.00,595.00,578.00,582.00
76,2019-01-13,7,70.00,40270.00,583.00,563.00,583.00
77,2019-01-14,13,130.00,75920.00,591.00,572.00,590.00
78,2019-01-15,14,1230.00,737410.00,605.00,582.00,583.00
79,2019-01-16,14,190.00,111800.00,595.00,578.00,595.00
80,2019-01-17,25,1228.00,738166.00,617.00,584.00,610.00
81,2019-01-20,15,250.00,149880.00,610.00,599.00,600.00
82,2019-01-21,27,350.00,207100.00,612.00,582.00,582.00
83,2019-01-22,26,350.00,205200.00,599.00,572.00,594.00
84,2019-01-23,55,1285.00,780800.00,620.00,589.00,620.00
85,2019-01-24,25,280.00,168360.00,620.00,588.00,594.00
86,2019-01-27,30,735.00,434960.00,600.00,584.00,590.00
87,2019-01-28,40,760.00,460910.00,624.00,590.00,606.00
88,2019-01-29,53,1190.00,728775.00,629.00,600.00,615.00
89,2019-01-30,51,1110.00,689820.00,635.00,610.00,626.00
90,2019-01-31,42,1197.00,752749.00,640.00,614.00,635.00
91,2019-02-03,19,540.00,338790.00,635.00,623.00,625.00
92,2019-02-04,20,445.00,276125.00,628.00,612.00,628.00
93,2019-02-05,17,280.00,175230.00,629.00,620.00,628.00
94,2019-02-06,22,280.00,171790.00,628.00,606.00,618.00
95,2019-02-07,15,150.00,91710.00,620.00,607.00,610.00
96,2019-02-10,28,290.00,175640.00,615.00,600.00,606.00
97,2019-02-11,10,100.00,60530.00,610.00,600.00,606.00
98,2019-02-12,27,380.00,235250.00,639.00,598.00,604.00
99,2019-02-13,19,350.00,215940.00,624.00,601.00,605.00
100,2019-02-14,64,2225.00,1275105.00,605.00,554.00,554.00
101,2019-02-17,23,425.00,233870.00,555.00,548.00,548.00
102,2019-02-18,20,200.00,108590.00,550.00,532.00,550.00
103,2019-02-19,8,80.00,44710.00,576.00,550.00,576.00
104,2019-02-20,25,480.00,268740.00,576.00,540.00,545.00
105,2019-02-21,20,220.00,120400.00,555.00,542.00,547.00
106,2019-02-24,22,310.00,166410.00,554.00,530.00,532.00
107,2019-02-25,15,230.00,123490.00,544.00,525.00,544.00
108,2019-02-26,9,140.00,76320.00,554.00,535.00,535.00
109,2019-02-27,13,160.00,85530.00,550.00,515.00,550.00
110,2019-03-03,13,170.00,90800.00,550.00,530.00,530.00
111,2019-03-05,12,120.00,63260.00,531.00,524.00,526.00
112,2019-03-06,11,640.00,339810.00,555.00,516.00,555.00
113,2019-03-07,24,370.00,204600.00,571.00,526.00,571.00
114,2019-03-10,4,60.00,33350.00,571.00,549.00,559.00
115,2019-03-11,25,575.00,318230.00,566.00,549.00,566.00
116,2019-03-12,13,600.00,344670.00,579.00,559.00,579.00
117,2019-03-13,5,70.00,39540.00,579.00,557.00,557.00
118,2019-03-14,17,170.00,92400.00,557.00,536.00,540.00
119,2019-03-17,6,100.00,53460.00,540.00,530.00,540.00
120,2019-03-18,14,140.00,74920.00,540.00,532.00,534.00
121,2019-03-19,7,70.00,37290.00,535.00,531.00,532.00
122,2019-03-21,20,800.00,416760.00,530.00,515.00,515.00
123,2019-03-24,29,710.00,354830.00,507.00,490.00,496.00
124,2019-03-25,29,420.00,211230.00,515.00,495.00,500.00
125,2019-03-26,15,150.00,75850.00,535.00,492.00,525.00
126,2019-03-27,12,250.00,128440.00,535.00,498.00,535.00
127,2019-03-28,15,840.00,437950.00,545.00,505.00,510.00
128,2019-03-31,9,90.00,45530.00,510.00,502.00,506.00
129,2019-04-01,11,110.00,55650.00,515.00,501.00,508.00
130,2019-04-02,9,110.00,56850.00,525.00,515.00,515.00
131,2019-04-03,18,350.00,177090.00,515.00,505.00,515.00
132,2019-04-04,26,260.00,130760.00,507.00,496.00,507.00
133,2019-04-07,9,90.00,44260.00,499.00,483.00,489.00
134,2019-04-08,16,280.00,140250.00,508.00,490.00,498.00
135,2019-04-09,9,90.00,44460.00,500.00,489.00,500.00
136,2019-04-10,7,450.00,222610.00,495.00,490.00,495.00
137,2019-04-11,18,180.00,88430.00,497.00,487.00,495.00
138,2019-04-15,28,380.00,189390.00,504.00,494.00,500.00
139,2019-04-16,17,450.00,230930.00,525.00,505.00,505.00
140,2019-04-17,6,60.00,30200.00,506.00,502.00,502.00
141,2019-04-18,12,210.00,103250.00,500.00,486.00,495.00
142,2019-04-21,21,405.00,193790.00,490.00,475.00,475.00
143,2019-04-22,19,920.00,434960.00,480.00,470.00,470.00
144,2019-04-23,13,260.00,120280.00,465.00,461.00,465.00
145,2019-04-24,6,150.00,69940.00,474.00,458.00,474.00
146,2019-04-25,2,20.00,9690.00,489.00,480.00,489.00
147,2019-04-28,8,90.00,43980.00,498.00,481.00,498.00
148,2019-04-29,8,105.00,52560.00,507.00,499.00,500.00
149,2019-04-30,5,70.00,34240.00,496.00,485.00,485.00
150,2019-05-02,10,110.00,53940.00,494.00,490.00,490.00
151,2019-05-05,15,340.00,162080.00,482.00,472.00,472.00
152,2019-05-06,17,280.00,131400.00,475.00,468.00,468.00
153,2019-05-07,22,660.00,302630.00,469.00,453.00,456.00
154,2019-05-08,11,230.00,105160.00,463.00,447.00,455.00
155,2019-05-09,4,40.00,18660.00,473.00,460.00,473.00
156,2019-05-12,9,165.00,76480.00,470.00,455.00,460.00
157,2019-05-13,9,417.00,189618.00,462.00,453.00,454.00
158,2019-05-14,32,870.00,420400.00,493.00,463.00,480.00
159,2019-05-15,26,660.00,305630.00,475.00,459.00,459.00
160,2019-05-16,10,100.00,45870.00,470.00,452.00,470.00
161,2019-05-19,12,140.00,64180.00,464.00,447.00,456.00
162,2019-05-20,14,210.00,95430.00,460.00,450.00,453.00
163,2019-05-21,19,520.00,238640.00,469.00,450.00,454.00
164,2019-05-22,6,80.00,36270.00,460.00,451.00,453.00
165,2019-05-23,12,590.00,266660.00,453.00,442.00,453.00
166,2019-05-26,9,130.00,57370.00,447.00,437.00,447.00
167,2019-05-27,5,50.00,22530.00,455.00,447.00,450.00
168,2019-05-28,16,300.00,136260.00,462.00,436.00,440.00
169,2019-05-29,14,350.00,151840.00,442.00,432.00,435.00
170,2019-05-30,10,220.00,94620.00,440.00,420.00,440.00
171,2019-06-02,17,470.00,212360.00,457.00,447.00,450.00
172,2019-06-03,7,100.00,44480.00,449.00,441.00,442.00
173,2019-06-04,10,100.00,43750.00,443.00,435.00,437.00
174,2019-06-06,12,170.00,73000.00,434.00,425.00,427.00
175,2019-06-10,2,20.00,8390.00,420.00,419.00,420.00
176,2019-06-11,12,130.00,54500.00,428.00,416.00,417.00
177,2019-06-12,13,208.00,84782.00,410.00,403.00,405.00
178,2019-06-13,10,280.00,113530.00,407.00,400.00,400.00
179,2019-06-16,9,170.00,67060.00,400.00,380.00,380.00
180,2019-06-17,14,340.00,128720.00,380.00,373.00,375.00
181,2019-06-18,3,30.00,11200.00,378.00,371.00,378.00
182,2019-06-19,4,150.00,56020.00,378.00,373.00,375.00
183,2019-06-20,5,50.00,19080.00,389.00,375.00,389.00
184,2019-06-23,6,100.00,39210.00,396.00,384.00,390.00
185,2019-06-24,1,10.00,4090.00,409.00,409.00,409.00
186,2019-06-25,7,80.00,33310.00,419.00,410.00,419.00
187,2019-06-26,12,120.00,49420.00,419.00,410.00,411.00
188,2019-06-27,13,130.00,52700.00,409.00,403.00,405.00
189,2019-06-30,5,70.00,27910.00,400.00,397.00,400.00
190,2019-07-01,7,70.00,27390.00,395.00,388.00,395.00
191,2019-07-02,9,120.00,46120.00,388.00,381.00,385.00
192,2019-07-03,4,40.00,15550.00,397.00,383.00,397.00
193,2019-07-04,6,60.00,23900.00,403.00,396.00,403.00
194,2019-07-07,2,20.00,7950.00,400.00,395.00,400.00
195,2019-07-08,4,70.00,27460.00,393.00,392.00,392.00
196,2019-07-09,5,50.00,19430.00,392.00,385.00,386.00
197,2019-07-10,4,120.00,47450.00,397.00,390.00,397.00
198,2019-07-11,5,50.00,19250.00,390.00,383.00,384.00
199,2019-07-14,10,120.00,45580.00,382.00,378.00,380.00
200,2019-07-15,6,60.00,22990.00,388.00,380.00,388.00
201,2019-07-16,7,280.00,108140.00,387.00,381.00,382.00
202,2019-07-17,9,90.00,34640.00,390.00,381.00,386.00
203,2019-07-18,11,140.00,55850.00,408.00,390.00,400.00
