S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-28,2,50.00,52500.00,1050.00,1050.00,1050.00
2,2021-04-29,4,400.00,422000.00,1055.00,1055.00,1055.00
3,2021-05-02,6,275.00,290810.00,1060.00,1050.00,1060.00
4,2021-05-03,4,85.00,89375.00,1055.00,1050.00,1055.00
5,2021-05-04,2,200.00,211800.00,1060.00,1058.00,1060.00
6,2021-05-06,2,50.00,53000.00,1060.00,1060.00,1060.00
7,2021-05-10,3,85.00,89875.00,1060.00,1051.00,1060.00
8,2021-05-11,3,175.00,184000.00,1060.00,1050.00,1060.00
9,2021-05-12,1,25.00,26550.00,1062.00,1062.00,1062.00
10,2021-05-19,2,50.00,52550.00,1051.00,1051.00,1051.00
11,2021-05-23,1,50.00,52550.00,1051.00,1051.00,1051.00
12,2021-05-27,1,25.00,26800.00,1072.00,1072.00,1072.00
13,2021-06-02,2,100.00,105600.00,1072.00,1072.00,1056.00
14,2021-06-06,1,100.00,105000.00,1050.00,1050.00,1050.00
15,2021-06-07,1,25.00,26500.00,1060.00,1060.00,1060.00
16,2021-06-17,1,150.00,162150.00,1081.00,1081.00,1081.00
17,2021-06-30,1,25.00,26750.00,1070.00,1070.00,1070.00
18,2021-07-13,1,100.00,108800.00,1088.00,1088.00,1088.00
19,2021-08-08,1,25.00,26657.50,1066.30,1066.30,1066.30
20,2021-08-11,2,200.00,210000.00,1050.00,1050.00,1050.00
