S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-26,10,463.00,77787.00,176.00,158.00,158.00
2,2010-05-11,1,34.00,5270.00,155.00,155.00,155.00
3,2010-05-12,1,80.00,12640.00,158.00,158.00,158.00
4,2010-05-18,1,34.00,5270.00,155.00,155.00,155.00
5,2010-05-26,1,10.00,1580.00,158.00,158.00,158.00
6,2010-06-03,1,34.00,5474.00,161.00,161.00,161.00
7,2010-06-15,1,72.00,11808.00,164.00,164.00,164.00
8,2010-07-05,3,76.00,12278.00,162.00,161.00,161.00
9,2010-08-08,1,23.00,3772.00,164.00,164.00,164.00
10,2010-08-15,2,497.00,82999.00,167.00,167.00,167.00
11,2010-08-29,1,10.00,1640.00,164.00,164.00,164.00
12,2010-09-02,1,104.00,16744.00,161.00,161.00,161.00
13,2011-01-09,3,102.00,16116.00,158.00,158.00,158.00
14,2011-02-08,1,21.00,3360.00,160.00,160.00,160.00
15,2011-02-10,3,123.00,19845.00,163.00,160.00,163.00
16,2011-02-16,1,34.00,5542.00,163.00,163.00,163.00
17,2011-02-17,1,34.00,5542.00,163.00,163.00,163.00
18,2011-03-10,1,34.00,5440.00,160.00,160.00,160.00
19,2011-04-10,1,68.00,10676.00,157.00,157.00,157.00
20,2011-04-11,2,21.00,3234.00,154.00,154.00,154.00
21,2011-04-18,1,102.00,16014.00,157.00,157.00,157.00
22,2011-05-12,1,34.00,5236.00,154.00,154.00,154.00
23,2011-07-28,1,10.00,1470.00,147.00,147.00,147.00
24,2011-08-11,3,50.00,7150.00,145.00,141.00,141.00
25,2011-08-15,2,30.00,4150.00,139.00,137.00,137.00
26,2011-08-16,1,34.00,4590.00,135.00,135.00,135.00
27,2011-08-17,1,10.00,1330.00,133.00,133.00,133.00
28,2011-08-24,4,146.00,19126.00,131.00,131.00,131.00
29,2011-09-08,1,10.00,1310.00,131.00,131.00,131.00
30,2011-09-15,1,34.00,4386.00,129.00,129.00,129.00
31,2011-09-18,1,21.00,2667.00,127.00,127.00,127.00
32,2011-09-21,1,68.00,8636.00,127.00,127.00,127.00
33,2011-10-02,3,88.00,11312.00,129.00,127.00,129.00
34,2011-10-12,1,34.00,4318.00,127.00,127.00,127.00
35,2011-11-14,1,34.00,4318.00,127.00,127.00,127.00
36,2011-11-15,5,374.00,47498.00,127.00,127.00,127.00
37,2011-12-01,3,74.00,9302.00,127.00,125.00,127.00
38,2011-12-04,1,5000.00,625000.00,125.00,125.00,125.00
39,2011-12-05,6,5302.00,715370.00,135.00,127.00,135.00
40,2012-01-04,1,68.00,9044.00,133.00,133.00,133.00
41,2012-02-07,1,34.00,4454.00,131.00,131.00,131.00
42,2012-03-01,1,34.00,4386.00,129.00,129.00,129.00
43,2012-03-04,1,100.00,12700.00,127.00,127.00,127.00
44,2012-03-29,6,612.00,77190.00,129.00,125.00,129.00
45,2012-04-01,5,580.00,76640.00,137.00,129.00,137.00
46,2012-04-03,1,50.00,6950.00,139.00,139.00,139.00
47,2012-06-10,2,136.00,19040.00,140.00,140.00,140.00
48,2012-06-14,1,624.00,86112.00,138.00,138.00,138.00
49,2012-08-21,2,68.00,9384.00,138.00,138.00,138.00
50,2012-08-22,1,34.00,4658.00,137.00,137.00,137.00
51,2012-08-23,1,100.00,13900.00,139.00,139.00,139.00
52,2012-08-26,1,40.00,5520.00,138.00,138.00,138.00
53,2012-08-27,4,238.00,32844.00,138.00,138.00,138.00
54,2012-08-28,4,209.00,29518.00,144.00,140.00,144.00
55,2012-08-29,2,3532.00,502224.00,144.00,142.00,144.00
56,2012-08-30,6,2740.00,389290.00,144.00,142.00,144.00
57,2012-09-02,1,68.00,9656.00,142.00,142.00,142.00
58,2012-09-03,4,847.00,118924.00,143.00,140.00,143.00
59,2012-09-04,1,34.00,4930.00,145.00,145.00,145.00
60,2012-09-09,2,68.00,9690.00,143.00,142.00,142.00
61,2012-09-10,2,50.00,7240.00,146.00,144.00,146.00
62,2012-09-11,1,68.00,9792.00,144.00,144.00,144.00
63,2012-09-12,5,268.00,38542.00,145.00,143.00,143.00
64,2012-09-13,3,16309.00,2332255.00,145.00,143.00,143.00
65,2012-09-25,3,189.00,27316.00,145.00,144.00,145.00
66,2012-09-27,3,168.00,24462.00,147.00,145.00,145.00
67,2012-10-01,2,58.00,8526.00,147.00,147.00,147.00
68,2012-10-02,1,68.00,10132.00,149.00,149.00,149.00
69,2012-10-04,1,34.00,5066.00,149.00,149.00,149.00
70,2012-10-11,1,68.00,9996.00,147.00,147.00,147.00
71,2012-10-14,1,34.00,5066.00,149.00,149.00,149.00
72,2012-10-15,11,1316.00,212292.00,163.00,151.00,163.00
73,2012-10-17,2,200.00,32600.00,163.00,163.00,163.00
74,2012-11-05,2,134.00,21542.00,163.00,160.00,163.00
75,2012-11-06,6,186.00,31544.00,172.00,166.00,170.00
76,2012-11-07,1,42.00,7014.00,167.00,167.00,167.00
