S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-06-08,3,210.00,41160.00,196.00,196.00,196.00
2,2010-08-11,2,20.00,3860.00,193.00,193.00,193.00
3,2012-02-07,1,40.00,7600.00,190.00,190.00,190.00
4,2012-03-27,1,50.00,9500.00,190.00,190.00,190.00
5,2012-08-23,1,1500.00,280500.00,187.00,187.00,187.00
6,2012-08-28,1,1000.00,184000.00,184.00,184.00,184.00
7,2012-08-30,4,6090.00,1098750.00,181.00,175.00,175.00
8,2012-09-03,1,20.00,3440.00,172.00,172.00,172.00
9,2012-09-06,4,3840.00,628440.00,169.00,160.00,160.00
10,2012-09-09,14,14540.00,2211920.00,158.00,150.00,158.00
11,2012-09-18,1,10.00,1550.00,155.00,155.00,155.00
12,2012-10-03,1,330.00,50160.00,152.00,152.00,152.00
13,2012-10-08,2,1000.00,149000.00,149.00,149.00,149.00
14,2012-10-09,1,40.00,6040.00,151.00,151.00,151.00
15,2012-10-10,1,250.00,37500.00,150.00,150.00,150.00
16,2012-10-11,1,200.00,30000.00,150.00,150.00,150.00
17,2012-10-14,3,110.00,17130.00,159.00,153.00,159.00
18,2012-11-01,12,160.00,27360.00,174.00,162.00,174.00
19,2012-11-06,2,40.00,7060.00,178.00,175.00,178.00
20,2012-11-26,1,500.00,87500.00,175.00,175.00,175.00
21,2013-01-01,49,7410.00,1391580.00,192.00,178.00,184.00
22,2013-01-02,20,2160.00,392960.00,190.00,168.00,168.00
23,2013-01-03,6,1250.00,207240.00,169.00,165.00,168.00
24,2013-01-07,1,100.00,15900.00,159.00,159.00,159.00
25,2013-01-09,3,400.00,64200.00,162.00,160.00,160.00
26,2013-01-10,7,730.00,121140.00,170.00,163.00,168.00
27,2013-01-13,8,900.00,153100.00,171.00,168.00,170.00
28,2013-01-15,4,600.00,100200.00,170.00,164.00,164.00
29,2013-01-20,3,500.00,82800.00,168.00,165.00,168.00
30,2013-01-21,3,300.00,50360.00,170.00,167.00,169.00
31,2013-01-22,3,470.00,79190.00,169.00,166.00,169.00
