S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-10-10,1122,11220.00,1617410.00,160.00,144.00,144.00
2,2018-10-11,1297,13060.00,1774960.00,142.00,130.00,136.00
3,2018-10-14,326,7190.00,909280.00,134.00,123.00,127.00
4,2018-10-15,210,4604.00,576750.00,130.00,123.00,127.00
5,2018-10-21,217,5393.00,671079.00,130.00,122.00,125.00
6,2018-10-22,324,7341.00,886461.00,123.00,119.00,121.00
7,2018-10-23,252,7130.00,857630.00,123.00,119.00,120.00
8,2018-10-24,252,5841.00,714820.00,127.00,118.00,127.00
9,2018-10-25,252,4410.00,556860.00,130.00,121.00,125.00
10,2018-10-28,272,3490.00,436240.00,129.00,121.00,125.00
11,2018-10-29,216,2490.00,308280.00,127.00,121.00,123.00
12,2018-10-30,188,3030.00,379960.00,128.00,121.00,126.00
13,2018-10-31,163,1630.00,202740.00,126.00,123.00,124.00
14,2018-11-01,182,2740.00,345060.00,130.00,120.00,128.00
15,2018-11-04,106,1060.00,130990.00,126.00,122.00,124.00
16,2018-11-05,134,1340.00,165700.00,124.00,122.00,124.00
17,2018-11-06,10,100.00,12440.00,125.00,123.00,124.00
18,2018-11-11,34,340.00,41730.00,124.00,122.00,123.00
19,2018-11-12,77,770.00,94160.00,123.00,121.00,122.00
20,2018-11-13,71,710.00,87880.00,125.00,122.00,124.00
21,2018-11-14,86,930.00,113950.00,125.00,120.00,123.00
22,2018-11-15,96,1410.00,174390.00,125.00,121.00,123.00
23,2018-11-18,138,3140.00,391560.00,127.00,121.00,125.00
24,2018-11-19,173,3160.00,392720.00,126.00,123.00,124.00
25,2018-11-20,244,2610.00,325120.00,126.00,118.00,124.00
26,2018-11-21,130,1971.00,245555.00,126.00,122.00,126.00
27,2018-11-22,90,900.00,111030.00,126.00,122.00,123.00
28,2018-11-25,105,2281.00,281711.00,125.00,120.00,123.00
29,2018-11-26,117,1260.00,155970.00,125.00,123.00,124.00
30,2018-11-27,105,1440.00,179450.00,126.00,123.00,123.00
31,2018-11-28,81,810.00,98930.00,123.00,122.00,123.00
32,2018-11-29,68,680.00,83700.00,125.00,122.00,123.00
33,2018-12-02,68,1000.00,121220.00,123.00,119.00,120.00
34,2018-12-03,63,1260.00,149870.00,121.00,117.00,120.00
35,2018-12-04,84,1130.00,137740.00,124.00,120.00,121.00
36,2018-12-05,62,1250.00,149820.00,123.00,115.00,118.00
37,2018-12-06,75,750.00,88890.00,120.00,117.00,120.00
38,2018-12-09,25,250.00,29530.00,120.00,118.00,118.00
39,2018-12-10,60,610.00,72790.00,122.00,118.00,122.00
40,2018-12-11,54,540.00,64320.00,122.00,117.00,117.00
41,2018-12-12,42,420.00,48710.00,120.00,113.00,120.00
42,2018-12-13,18,670.00,81090.00,122.00,116.00,116.00
43,2018-12-16,35,390.00,45840.00,120.00,116.00,120.00
44,2018-12-17,16,160.00,18900.00,120.00,117.00,118.00
45,2018-12-18,30,1350.00,160960.00,120.00,116.00,118.00
46,2018-12-19,44,1411.00,164788.00,119.00,116.00,116.00
47,2018-12-20,34,1010.00,117100.00,117.00,113.00,115.00
48,2018-12-23,94,1440.00,165380.00,119.00,114.00,115.00
49,2018-12-24,69,2140.00,239350.00,115.00,110.00,113.00
50,2018-12-25,59,590.00,65300.00,113.00,109.00,110.00
51,2018-12-26,60,1680.00,189600.00,115.00,110.00,114.00
52,2018-12-27,74,740.00,82900.00,114.00,111.00,112.00
53,2018-12-30,41,440.00,49080.00,112.00,109.00,112.00
54,2018-12-31,51,510.00,57700.00,115.00,112.00,113.00
55,2019-01-01,54,550.00,62300.00,115.00,112.00,114.00
56,2019-01-02,20,200.00,22720.00,115.00,113.00,114.00
57,2019-01-03,32,430.00,49050.00,116.00,112.00,116.00
58,2019-01-06,27,360.00,41130.00,116.00,114.00,115.00
59,2019-01-07,31,460.00,53180.00,118.00,113.00,115.00
60,2019-01-08,35,590.00,68070.00,117.00,114.00,115.00
61,2019-01-09,70,1010.00,117170.00,119.00,113.00,118.00
62,2019-01-10,48,480.00,55390.00,118.00,114.00,115.00
63,2019-01-13,51,1740.00,194060.00,115.00,109.00,113.00
64,2019-01-14,13,130.00,14730.00,116.00,111.00,116.00
65,2019-01-15,43,894.00,102769.00,118.00,113.00,118.00
66,2019-01-16,33,1110.00,128170.00,120.00,115.00,115.00
67,2019-01-17,85,1370.00,156110.00,116.00,111.00,113.00
68,2019-01-20,97,1060.00,115860.00,113.00,108.00,110.00
69,2019-01-21,145,1450.00,156190.00,110.00,106.00,108.00
70,2019-01-22,130,1300.00,141380.00,112.00,106.00,108.00
71,2019-01-23,88,2960.00,316300.00,110.00,104.00,104.00
72,2019-01-24,76,2010.00,210870.00,109.00,104.00,105.00
73,2019-01-27,132,1560.00,165530.00,109.00,103.00,105.00
74,2019-01-28,99,2600.00,273110.00,107.00,103.00,105.00
75,2019-01-29,116,1240.00,131490.00,107.00,104.00,106.00
76,2019-01-30,84,1720.00,185310.00,110.00,105.00,109.00
77,2019-01-31,102,1020.00,109260.00,110.00,105.00,107.00
78,2019-02-03,76,950.00,100860.00,109.00,105.00,109.00
79,2019-02-04,63,2042.00,215250.00,109.00,103.00,108.00
80,2019-02-05,123,3550.00,380650.00,108.00,106.00,106.00
81,2019-02-06,121,3210.00,345800.00,109.00,105.00,108.00
82,2019-02-07,86,2390.00,254080.00,109.00,104.00,109.00
83,2019-02-10,76,960.00,102260.00,109.00,106.00,107.00
84,2019-02-11,81,1590.00,171910.00,109.00,106.00,108.00
85,2019-02-12,86,860.00,92790.00,109.00,107.00,108.00
86,2019-02-13,92,1070.00,115040.00,109.00,107.00,108.00
87,2019-02-14,159,3110.00,328590.00,108.00,104.00,105.00
88,2019-02-17,114,11100.00,1195590.00,110.00,105.00,110.00
89,2019-02-18,77,770.00,81320.00,110.00,105.00,107.00
90,2019-02-19,66,5120.00,542630.00,108.00,105.00,107.00
91,2019-02-20,34,550.00,58600.00,108.00,105.00,106.00
92,2019-02-21,77,800.00,84430.00,108.00,105.00,106.00
93,2019-02-24,108,1080.00,113700.00,107.00,105.00,105.00
94,2019-02-25,39,3340.00,356640.00,107.00,105.00,106.00
95,2019-02-26,40,550.00,58960.00,109.00,105.00,108.00
96,2019-02-27,31,310.00,33280.00,109.00,107.00,107.00
97,2019-03-03,66,1150.00,123140.00,109.00,106.00,108.00
98,2019-03-05,35,457.00,48959.00,109.00,106.00,108.00
99,2019-03-06,58,4420.00,485380.00,110.00,107.00,110.00
100,2019-03-07,89,1270.00,141650.00,114.00,108.00,112.00
101,2019-03-10,23,400.00,43810.00,112.00,109.00,109.00
102,2019-03-11,104,1250.00,137840.00,112.00,109.00,111.00
103,2019-03-12,28,770.00,85630.00,114.00,111.00,112.00
104,2019-03-13,46,461.00,51202.00,112.00,110.00,111.00
105,2019-03-14,37,610.00,68000.00,113.00,110.00,112.00
106,2019-03-17,43,520.00,58960.00,116.00,111.00,114.00
107,2019-03-18,70,2010.00,230140.00,116.00,112.00,113.00
108,2019-03-19,39,390.00,43510.00,113.00,111.00,112.00
109,2019-03-21,56,560.00,62440.00,113.00,110.00,112.00
110,2019-03-24,105,1730.00,195040.00,114.00,111.00,112.00
111,2019-03-25,66,1150.00,129030.00,113.00,110.00,112.00
112,2019-03-26,101,1520.00,170890.00,113.00,111.00,113.00
113,2019-03-27,70,1130.00,128290.00,115.00,111.00,113.00
114,2019-03-28,101,1070.00,120870.00,115.00,112.00,113.00
115,2019-03-31,109,1100.00,122100.00,112.00,110.00,111.00
116,2019-04-01,116,1160.00,127520.00,113.00,109.00,111.00
117,2019-04-02,125,1250.00,137510.00,112.00,109.00,110.00
118,2019-04-03,70,700.00,76360.00,111.00,108.00,111.00
119,2019-04-04,85,850.00,93180.00,112.00,108.00,110.00
120,2019-04-07,141,1510.00,163780.00,110.00,106.00,110.00
121,2019-04-08,93,1460.00,161120.00,116.00,108.00,116.00
122,2019-04-09,32,360.00,39590.00,114.00,108.00,109.00
123,2019-04-10,60,600.00,66040.00,113.00,109.00,112.00
124,2019-04-11,133,1330.00,147050.00,112.00,108.00,111.00
125,2019-04-15,56,810.00,88880.00,111.00,109.00,109.00
126,2019-04-16,48,770.00,85990.00,113.00,109.00,111.00
127,2019-04-17,57,570.00,62960.00,112.00,110.00,111.00
128,2019-04-18,50,530.00,58370.00,112.00,110.00,110.00
129,2019-04-21,96,1120.00,123890.00,113.00,108.00,111.00
130,2019-04-22,38,6531.00,732002.00,113.00,110.00,111.00
131,2019-04-23,60,690.00,76390.00,112.00,109.00,111.00
132,2019-04-24,74,740.00,81900.00,112.00,109.00,111.00
133,2019-04-25,55,550.00,59920.00,109.00,108.00,109.00
134,2019-04-28,141,2170.00,241050.00,114.00,108.00,110.00
135,2019-04-29,73,6680.00,719530.00,110.00,105.00,108.00
136,2019-04-30,67,2810.00,316380.00,115.00,106.00,113.00
137,2019-05-02,60,4230.00,487550.00,118.00,112.00,115.00
138,2019-05-05,68,680.00,75290.00,113.00,109.00,111.00
139,2019-05-06,44,450.00,49930.00,113.00,110.00,111.00
140,2019-05-07,66,660.00,73460.00,113.00,109.00,111.00
141,2019-05-08,110,1490.00,169870.00,116.00,110.00,114.00
142,2019-05-09,26,260.00,29140.00,114.00,112.00,112.00
143,2019-05-12,85,2154.00,245740.00,116.00,109.00,115.00
144,2019-05-13,58,610.00,69820.00,116.00,113.00,114.00
145,2019-05-14,44,450.00,50370.00,113.00,111.00,112.00
146,2019-05-15,49,2400.00,263350.00,110.00,108.00,109.00
147,2019-05-16,53,1520.00,170140.00,113.00,108.00,111.00
148,2019-05-19,46,460.00,50420.00,112.00,108.00,109.00
149,2019-05-20,89,950.00,104050.00,112.00,107.00,110.00
150,2019-05-21,54,580.00,63740.00,113.00,109.00,113.00
151,2019-05-22,167,7050.00,822930.00,121.00,111.00,117.00
152,2019-05-23,93,1910.00,217230.00,116.00,112.00,113.00
153,2019-05-26,61,610.00,67830.00,113.00,110.00,111.00
154,2019-05-27,94,1980.00,221530.00,115.00,111.00,111.00
155,2019-05-28,57,920.00,100480.00,110.00,107.00,109.00
156,2019-05-29,44,630.00,68310.00,111.00,107.00,109.00
157,2019-05-30,65,1840.00,201270.00,112.00,106.00,109.00
158,2019-06-02,34,340.00,37030.00,110.00,108.00,109.00
159,2019-06-03,23,230.00,24710.00,111.00,106.00,108.00
160,2019-06-04,80,3810.00,410470.00,109.00,106.00,109.00
161,2019-06-06,47,470.00,50160.00,110.00,105.00,107.00
162,2019-06-10,46,460.00,48780.00,108.00,105.00,106.00
163,2019-06-11,53,690.00,75590.00,112.00,107.00,112.00
164,2019-06-13,53,590.00,64280.00,112.00,106.00,112.00
165,2019-06-16,4,130.00,14780.00,115.00,110.00,115.00
166,2019-06-17,36,360.00,38590.00,113.00,105.00,113.00
167,2019-06-18,51,510.00,54570.00,109.00,105.00,107.00
168,2019-06-19,27,3580.00,386110.00,110.00,105.00,110.00
169,2019-06-20,18,470.00,50660.00,112.00,106.00,112.00
170,2019-06-23,26,500.00,55000.00,110.00,110.00,110.00
171,2019-06-24,18,500.00,53420.00,108.00,106.00,106.00
172,2019-06-25,23,230.00,24470.00,108.00,106.00,107.00
173,2019-06-26,52,520.00,55230.00,108.00,106.00,106.00
174,2019-06-27,43,1550.00,168150.00,110.00,106.00,106.00
175,2019-06-30,48,970.00,102160.00,107.00,105.00,105.00
176,2019-07-01,40,495.00,52255.00,107.00,104.00,107.00
177,2019-07-02,29,290.00,30530.00,106.00,105.00,105.00
178,2019-07-03,52,700.00,73490.00,106.00,103.00,105.00
179,2019-07-04,20,290.00,30310.00,105.00,103.00,105.00
180,2019-07-07,29,290.00,29760.00,105.00,102.00,103.00
181,2019-07-08,31,846.00,87088.00,104.00,102.00,102.00
182,2019-07-09,25,340.00,35050.00,104.00,102.00,104.00
183,2019-07-10,24,240.00,24630.00,103.00,102.00,102.00
184,2019-07-11,61,2370.00,243860.00,103.00,102.00,102.00
185,2019-07-14,42,606.00,62338.00,108.00,101.00,108.00
186,2019-07-15,18,1190.00,128900.00,109.00,106.00,107.00
187,2019-07-16,25,2626.00,283228.00,110.00,101.00,110.00
188,2019-07-17,35,370.00,40060.00,112.00,107.00,108.00
189,2019-07-18,13,140.00,15090.00,109.00,107.00,107.00
190,2019-07-21,1,10.00,1100.00,110.00,110.00,110.00
191,2019-07-22,39,1320.00,142480.00,110.00,106.00,108.00
192,2019-07-23,24,240.00,25050.00,106.00,104.00,105.00
193,2019-07-24,21,580.00,62230.00,108.00,104.00,107.00
194,2019-07-25,70,700.00,72830.00,105.00,104.00,104.00
195,2019-07-28,42,430.00,44360.00,105.00,103.00,103.00
196,2019-07-29,29,850.00,87930.00,107.00,103.00,103.00
197,2019-07-30,28,320.00,33430.00,106.00,102.00,104.00
198,2019-07-31,32,1631.00,169662.00,107.00,102.00,107.00
199,2019-08-01,36,770.00,81550.00,110.00,102.00,104.00
200,2019-08-04,67,944.00,97252.00,104.00,102.00,103.00
201,2019-08-05,31,310.00,31970.00,104.00,103.00,103.00
202,2019-08-06,27,820.00,85190.00,105.00,103.00,103.00
203,2019-08-07,23,230.00,23750.00,105.00,102.00,104.00
204,2019-08-08,38,380.00,38970.00,104.00,101.00,102.00
205,2019-08-11,74,740.00,75130.00,102.00,101.00,101.00
206,2019-08-12,54,540.00,54550.00,103.00,100.00,101.00
207,2019-08-13,50,500.00,50550.00,103.00,101.00,102.00
208,2019-08-14,25,540.00,54800.00,103.00,101.00,102.00
209,2019-08-15,23,550.00,55160.00,102.00,100.00,101.00
210,2019-08-18,37,600.00,60570.00,102.00,100.00,102.00
211,2019-08-19,34,670.00,67100.00,101.00,100.00,100.00
212,2019-08-20,35,350.00,34560.00,102.00,98.00,102.00
213,2019-08-21,61,610.00,60880.00,102.00,99.00,101.00
214,2019-08-22,28,280.00,27970.00,102.00,99.00,102.00
215,2019-08-25,51,510.00,51210.00,102.00,99.00,102.00
216,2019-08-26,38,500.00,50230.00,102.00,98.00,100.00
217,2019-08-27,28,280.00,27660.00,100.00,97.00,99.00
218,2019-08-28,18,300.00,29840.00,100.00,98.00,100.00
219,2019-08-29,17,170.00,16920.00,100.00,98.00,99.00
220,2019-09-01,26,310.00,30400.00,99.00,98.00,98.00
221,2019-09-02,62,930.00,89720.00,98.00,94.00,94.00
222,2019-09-03,31,670.00,63250.00,97.00,93.00,97.00
223,2019-09-04,41,410.00,39250.00,97.00,95.00,97.00
224,2019-09-05,26,1810.00,175720.00,98.00,96.00,97.00
225,2019-09-08,34,340.00,32930.00,99.00,96.00,96.00
226,2019-09-09,31,440.00,42930.00,99.00,97.00,98.00
227,2019-09-10,32,740.00,71910.00,100.00,97.00,97.00
228,2019-09-10,32,740.00,71910.00,100.00,97.00,97.00
229,2019-09-11,30,390.00,37610.00,98.00,95.00,97.00
230,2019-09-12,31,330.00,32260.00,100.00,96.00,98.00
231,2019-09-15,23,430.00,41600.00,97.00,96.00,96.00
232,2019-09-16,35,350.00,33040.00,97.00,93.00,94.00
233,2019-09-17,14,660.00,61880.00,94.00,92.00,94.00
234,2019-09-18,34,340.00,31930.00,94.00,93.00,94.00
235,2019-09-19,34,340.00,31610.00,94.00,92.00,93.00
236,2019-09-22,26,260.00,24180.00,94.00,92.00,92.00
237,2019-09-23,29,290.00,26290.00,92.00,89.00,89.00
238,2019-09-24,16,160.00,14150.00,89.00,88.00,89.00
239,2019-09-25,26,370.00,32620.00,90.00,87.00,87.00
240,2019-09-26,18,220.00,19350.00,89.00,87.00,87.00
241,2019-09-29,11,110.00,9460.00,86.00,86.00,86.00
242,2019-09-30,19,320.00,27910.00,89.00,85.00,89.00
243,2019-10-01,13,130.00,11490.00,90.00,87.00,89.00
244,2019-10-02,4,40.00,3550.00,90.00,88.00,90.00
245,2019-10-03,5,50.00,4480.00,90.00,89.00,90.00
246,2019-10-10,6,60.00,5340.00,89.00,89.00,89.00
247,2019-10-14,13,140.00,12320.00,88.00,88.00,88.00
248,2019-10-15,11,110.00,9720.00,90.00,87.00,90.00
249,2019-10-16,19,190.00,17060.00,91.00,89.00,89.00
250,2019-10-17,36,360.00,32080.00,90.00,89.00,89.00
251,2019-10-31,20,200.00,17030.00,88.00,84.00,84.00
252,2019-11-03,23,270.00,22840.00,86.00,84.00,85.00
253,2019-11-04,23,230.00,19510.00,86.00,84.00,85.00
254,2019-11-05,6,60.00,5110.00,86.00,84.00,86.00
255,2019-11-06,4,40.00,3400.00,85.00,85.00,85.00
256,2019-11-07,15,150.00,12830.00,86.00,85.00,86.00
257,2019-11-10,21,260.00,22510.00,87.00,86.00,86.00
258,2019-11-11,10,100.00,8790.00,89.00,87.00,89.00
259,2019-11-13,16,160.00,14100.00,89.00,87.00,88.00
260,2019-11-14,18,180.00,15420.00,88.00,84.00,84.00
261,2019-11-17,24,240.00,20530.00,86.00,84.00,86.00
262,2019-11-19,20,200.00,16800.00,85.00,83.00,84.00
263,2019-11-20,29,290.00,24150.00,84.00,83.00,83.00
264,2019-11-21,13,130.00,10760.00,84.00,82.00,83.00
265,2019-11-24,23,320.00,26330.00,83.00,81.00,82.00
266,2019-11-25,79,790.00,61370.00,81.00,75.00,77.00
267,2019-11-26,19,470.00,36290.00,78.00,76.00,77.00
268,2019-11-27,9,90.00,6990.00,79.00,76.00,79.00
269,2019-11-28,16,160.00,12570.00,79.00,77.00,79.00
270,2019-12-01,15,150.00,11930.00,80.00,79.00,80.00
271,2019-12-02,15,150.00,12140.00,83.00,80.00,81.00
272,2019-12-03,10,100.00,8220.00,84.00,81.00,84.00
273,2019-12-04,17,170.00,14250.00,84.00,83.00,84.00
274,2019-12-05,16,160.00,13480.00,85.00,84.00,84.00
275,2019-12-08,22,220.00,18470.00,85.00,83.00,84.00
276,2019-12-09,13,130.00,11120.00,87.00,85.00,85.00
277,2019-12-10,20,200.00,17020.00,86.00,84.00,85.00
278,2019-12-11,16,210.00,17620.00,85.00,83.00,84.00
279,2019-12-12,16,350.00,29400.00,85.00,83.00,85.00
280,2019-12-15,41,440.00,37910.00,87.00,84.00,87.00
281,2019-12-16,28,280.00,24450.00,88.00,87.00,88.00
282,2019-12-17,11,390.00,33550.00,87.00,86.00,86.00
283,2019-12-18,23,230.00,19780.00,88.00,85.00,86.00
284,2019-12-19,13,130.00,11050.00,85.00,85.00,85.00
285,2019-12-22,9,90.00,7620.00,85.00,84.00,85.00
286,2019-12-23,21,670.00,57170.00,87.00,85.00,87.00
287,2019-12-24,14,140.00,12080.00,88.00,86.00,87.00
288,2019-12-25,5,60.00,5150.00,86.00,85.00,86.00
289,2019-12-26,15,150.00,12750.00,85.00,85.00,85.00
290,2019-12-29,19,210.00,17640.00,84.00,84.00,84.00
291,2019-12-30,23,230.00,19360.00,85.00,84.00,84.00
292,2019-12-31,12,120.00,10070.00,84.00,83.00,84.00
293,2020-01-01,32,320.00,27030.00,85.00,84.00,85.00
294,2020-01-02,20,440.00,37690.00,87.00,85.00,87.00
295,2020-01-05,28,1900.00,163030.00,87.00,84.00,84.00
296,2020-01-06,12,120.00,10220.00,87.00,84.00,87.00
297,2020-01-07,26,350.00,30010.00,87.00,85.00,85.00
298,2020-01-08,23,230.00,19730.00,87.00,85.00,86.00
299,2020-01-09,17,170.00,14450.00,85.00,85.00,85.00
300,2020-01-12,22,270.00,23140.00,87.00,85.00,86.00
301,2020-01-13,32,540.00,48050.00,90.00,85.00,89.00
302,2020-01-14,25,750.00,69030.00,95.00,88.00,95.00
303,2020-01-15,26,1280.00,123680.00,104.00,94.00,104.00
304,2020-01-16,8,550.00,58370.00,110.00,105.00,106.00
305,2020-01-19,38,400.00,41700.00,106.00,104.00,104.00
306,2020-01-20,20,1431.00,145644.00,104.00,95.00,95.00
307,2020-01-21,29,450.00,42600.00,96.00,93.00,94.00
308,2020-01-22,6,60.00,5580.00,93.00,93.00,93.00
309,2020-01-23,58,580.00,51940.00,92.00,87.00,89.00
310,2020-01-26,41,6481.00,557596.00,89.00,85.00,86.00
311,2020-01-27,31,510.00,43730.00,87.00,85.00,87.00
312,2020-01-28,23,230.00,19980.00,87.00,86.00,86.00
313,2020-01-29,34,340.00,29050.00,87.00,85.00,86.00
314,2020-01-30,42,420.00,36070.00,87.00,85.00,86.00
315,2020-02-02,60,600.00,51440.00,87.00,85.00,87.00
316,2020-02-03,43,950.00,85750.00,92.00,85.00,92.00
317,2020-02-04,65,2480.00,231300.00,97.00,88.00,89.00
318,2020-02-05,47,680.00,59730.00,89.00,87.00,88.00
319,2020-02-06,41,410.00,35900.00,88.00,87.00,87.00
320,2020-02-09,23,270.00,23320.00,87.00,86.00,86.00
321,2020-02-10,28,310.00,26890.00,89.00,85.00,89.00
322,2020-02-11,36,2600.00,241420.00,94.00,90.00,93.00
323,2020-02-12,38,510.00,47570.00,95.00,91.00,93.00
324,2020-02-13,36,980.00,89960.00,94.00,91.00,91.00
325,2020-02-16,29,740.00,65900.00,90.00,87.00,90.00
326,2020-02-17,38,2210.00,212180.00,99.00,88.00,99.00
327,2020-02-18,49,1280.00,126750.00,108.00,95.00,98.00
328,2020-02-19,3,1000.00,97000.00,97.00,97.00,97.00
329,2020-02-20,55,1580.00,151710.00,100.00,92.00,100.00
330,2020-02-23,17,440.00,42700.00,99.00,96.00,96.00
331,2020-02-24,62,4790.00,453510.00,97.00,94.00,94.00
332,2020-02-25,56,560.00,52790.00,97.00,93.00,95.00
333,2020-02-26,79,1246.00,119778.00,98.00,94.00,95.00
334,2020-02-27,66,1620.00,153960.00,96.00,94.00,95.00
335,2020-03-01,69,780.00,71940.00,96.00,89.00,89.00
336,2020-03-02,31,340.00,30210.00,90.00,88.00,89.00
337,2020-03-03,47,1110.00,97880.00,89.00,85.00,89.00
338,2020-03-04,81,860.00,74400.00,88.00,84.00,84.00
339,2020-03-05,25,670.00,55720.00,85.00,83.00,84.00
340,2020-03-10,8,80.00,6440.00,83.00,79.00,79.00
341,2020-03-11,44,440.00,34830.00,80.00,78.00,79.00
342,2020-03-12,60,700.00,55710.00,81.00,79.00,79.00
343,2020-03-15,29,620.00,48670.00,80.00,77.00,79.00
344,2020-03-16,20,200.00,15740.00,79.00,78.00,79.00
345,2020-03-17,27,690.00,53190.00,78.00,76.00,76.00
346,2020-03-18,11,130.00,9630.00,75.00,74.00,74.00
347,2020-03-19,9,90.00,6710.00,76.00,73.00,76.00
