S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-05-05,4,40.00,10250.00,260.00,255.00,255.00
2,2019-05-06,3,40.00,9600.00,243.00,239.00,239.00
3,2019-05-07,6,60.00,13280.00,228.00,216.00,216.00
4,2019-05-08,1,10.00,2060.00,206.00,206.00,206.00
5,2019-05-20,4,50.00,9710.00,196.00,190.00,190.00
6,2019-05-23,2,20.00,3620.00,181.00,181.00,181.00
7,2019-05-30,15,210.00,34410.00,172.00,163.00,163.00
8,2019-06-02,21,2120.00,327750.00,155.00,147.00,147.00
9,2019-06-03,32,460.00,62210.00,140.00,133.00,133.00
10,2019-06-04,1523,64549.00,7925935.00,137.00,120.00,137.00
11,2019-06-06,467,13400.00,1692330.00,131.00,124.00,130.00
12,2019-06-10,325,17740.00,2245180.00,129.00,122.00,126.00
13,2019-06-11,791,69329.00,9316743.00,138.00,123.00,138.00
14,2019-06-12,451,19848.00,2742026.00,144.00,134.00,139.00
15,2019-06-13,296,16450.00,2276440.00,141.00,133.00,139.00
16,2019-06-16,152,9209.00,1259556.00,140.00,132.00,136.00
17,2019-06-17,96,11109.00,1504070.00,140.00,133.00,136.00
18,2019-06-18,122,4539.00,616125.00,140.00,133.00,136.00
19,2019-06-19,149,6140.00,850180.00,140.00,136.00,138.00
20,2019-06-20,152,9421.00,1347096.00,148.00,134.00,146.00
21,2019-06-23,61,3204.00,444506.00,144.00,136.00,139.00
22,2019-06-24,74,1110.00,152570.00,141.00,136.00,141.00
23,2019-06-25,122,2865.00,398410.00,141.00,136.00,139.00
24,2019-06-26,235,8790.00,1258550.00,148.00,136.00,148.00
25,2019-06-27,153,9420.00,1311410.00,146.00,138.00,141.00
26,2019-06-30,98,2270.00,314160.00,148.00,135.00,142.00
27,2019-07-01,49,880.00,121035.00,140.00,137.00,137.00
28,2019-07-02,119,5050.00,693940.00,140.00,136.00,140.00
29,2019-07-03,108,3190.00,444210.00,143.00,138.00,143.00
30,2019-07-04,79,2150.00,300310.00,144.00,138.00,138.00
31,2019-07-07,96,3770.00,521580.00,140.00,138.00,140.00
32,2019-07-08,116,4150.00,569330.00,138.00,136.00,137.00
33,2019-07-09,61,1130.00,155160.00,139.00,135.00,139.00
34,2019-07-10,34,2269.00,309164.00,138.00,135.00,136.00
35,2019-07-11,60,1010.00,137670.00,137.00,135.00,136.00
36,2019-07-14,41,980.00,133220.00,138.00,134.00,136.00
37,2019-07-15,39,1730.00,234800.00,137.00,134.00,137.00
38,2019-07-16,41,1159.00,157863.00,137.00,135.00,137.00
39,2019-07-17,81,1610.00,219620.00,139.00,135.00,139.00
40,2019-07-18,14,270.00,37070.00,140.00,135.00,135.00
41,2019-07-21,24,410.00,55560.00,137.00,134.00,135.00
42,2019-07-22,63,1651.00,223796.00,138.00,134.00,136.00
43,2019-07-23,65,1480.00,201010.00,139.00,135.00,139.00
44,2019-07-24,27,1650.00,224040.00,140.00,134.00,140.00
45,2019-07-28,88,1920.00,257050.00,138.00,132.00,132.00
