S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-22,1,100.00,17100.00,171.00,171.00,171.00
2,2010-05-17,2,151.00,25670.00,170.00,170.00,170.00
3,2010-05-18,2,61.00,10370.00,170.00,170.00,170.00
4,2010-06-06,1,31.00,5177.00,167.00,167.00,167.00
5,2010-06-09,1,500.00,85000.00,170.00,170.00,170.00
6,2010-06-28,2,20.00,3310.00,167.00,164.00,164.00
7,2010-07-04,3,60.00,9630.00,161.00,158.00,158.00
8,2010-07-05,2,20.00,3070.00,155.00,152.00,152.00
9,2010-07-12,3,20020.00,2902960.00,149.00,145.00,145.00
10,2010-07-13,7,27000.00,3861000.00,143.00,143.00,143.00
11,2010-07-19,7,276.00,38076.00,141.00,135.00,135.00
12,2010-07-20,7,330.00,43606.00,133.00,130.00,131.00
13,2010-07-21,1,12.00,1548.00,129.00,129.00,129.00
14,2010-08-03,1,2000.00,254000.00,127.00,127.00,127.00
15,2010-08-04,1,9522.00,1209294.00,127.00,127.00,127.00
16,2010-08-08,2,80.00,10320.00,129.00,129.00,129.00
17,2010-08-11,1,23.00,3013.00,131.00,131.00,131.00
18,2010-08-19,1,100.00,12900.00,129.00,129.00,129.00
19,2010-08-30,2,178.00,22606.00,127.00,127.00,127.00
20,2010-09-12,1,100.00,12800.00,128.00,128.00,128.00
21,2010-11-21,1,11844.00,1492344.00,126.00,126.00,126.00
22,2010-11-24,3,690.00,88370.00,130.00,128.00,130.00
23,2010-12-22,5,70.00,9240.00,132.00,132.00,132.00
24,2010-12-23,1,14.00,1876.00,134.00,134.00,134.00
25,2010-12-27,1,14.00,1904.00,136.00,136.00,136.00
26,2010-12-29,5,6404.00,871056.00,138.00,136.00,136.00
27,2011-01-10,1,14.00,1932.00,138.00,138.00,138.00
28,2011-02-02,9,1060.00,143140.00,136.00,133.00,133.00
29,2011-03-16,1,14.00,1834.00,131.00,131.00,131.00
30,2011-03-22,1,173.00,22663.00,131.00,131.00,131.00
31,2011-03-24,1,28.00,3612.00,129.00,129.00,129.00
