S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,1,30.00,14700.00,490.00,490.00,490.00
2,2010-04-20,8,340.00,153830.00,481.00,441.00,441.00
3,2010-04-21,1,40.00,17320.00,433.00,433.00,433.00
4,2010-04-22,6,450.00,183200.00,425.00,390.00,390.00
5,2010-04-25,4,100.00,37950.00,383.00,376.00,376.00
6,2010-04-26,7,780.00,283150.00,370.00,362.00,362.00
7,2010-04-28,2,140.00,49210.00,355.00,348.00,348.00
8,2010-04-29,2,60.00,20700.00,348.00,342.00,342.00
9,2010-05-09,9,180.00,60260.00,337.00,332.00,332.00
10,2010-05-11,1,20.00,6600.00,330.00,330.00,330.00
11,2010-05-16,6,180.00,58460.00,325.00,324.00,324.00
12,2010-05-24,25,500.00,162000.00,324.00,324.00,324.00
13,2010-05-30,38,760.00,250800.00,330.00,330.00,330.00
14,2010-06-03,1,200.00,67200.00,336.00,336.00,336.00
15,2010-06-20,2,340.00,114240.00,336.00,336.00,336.00
16,2010-06-21,65,1300.00,435500.00,335.00,335.00,335.00
17,2010-06-22,15,300.00,100500.00,335.00,335.00,335.00
18,2010-06-23,34,680.00,227800.00,335.00,335.00,335.00
19,2010-06-28,1,30.00,10080.00,336.00,336.00,336.00
20,2010-06-29,11,2590.00,870390.00,339.00,335.00,339.00
21,2010-06-30,13,380.00,127980.00,342.00,336.00,336.00
22,2010-07-19,2,80.00,12480.00,156.00,156.00,156.00
23,2010-08-16,8,190.00,29070.00,153.00,153.00,153.00
24,2010-11-25,3,60.00,9000.00,150.00,150.00,150.00
25,2010-12-07,1,20.00,3060.00,153.00,153.00,153.00
26,2011-01-04,1,120.00,18000.00,150.00,150.00,150.00
27,2011-01-05,1,120.00,18360.00,153.00,153.00,153.00
28,2011-01-17,1,60.00,9180.00,153.00,153.00,153.00
29,2011-01-20,9,1660.00,254800.00,156.00,150.00,150.00
30,2011-01-24,4,890.00,131720.00,148.00,148.00,148.00
31,2011-02-02,1,630.00,93240.00,148.00,148.00,148.00
32,2011-02-06,4,480.00,70080.00,146.00,146.00,146.00
33,2011-02-13,1,1110.00,159840.00,144.00,144.00,144.00
34,2011-02-14,2,970.00,137700.00,142.00,140.00,140.00
35,2011-02-15,2,1320.00,187440.00,142.00,142.00,142.00
36,2011-02-20,2,120.00,17400.00,146.00,144.00,146.00
37,2011-02-22,2,120.00,17520.00,146.00,146.00,146.00
38,2011-02-23,2,120.00,17520.00,146.00,146.00,146.00
39,2011-02-28,2,180.00,26100.00,145.00,145.00,145.00
40,2011-03-01,4,640.00,93180.00,147.00,145.00,145.00
41,2011-03-03,1,80.00,11600.00,145.00,145.00,145.00
42,2011-03-13,1,80.00,11440.00,143.00,143.00,143.00
43,2011-03-16,1,1260.00,180180.00,143.00,143.00,143.00
44,2011-03-20,1,60.00,8580.00,143.00,143.00,143.00
45,2011-03-31,2,120.00,16920.00,141.00,141.00,141.00
46,2011-04-13,1,20.00,2800.00,140.00,140.00,140.00
47,2011-05-08,4,300.00,41160.00,138.00,136.00,138.00
48,2011-05-11,4,240.00,32640.00,136.00,136.00,136.00
49,2011-05-12,1,60.00,8160.00,136.00,136.00,136.00
50,2011-05-19,9,21840.00,2948400.00,135.00,135.00,135.00
51,2011-05-22,1,280.00,37800.00,135.00,135.00,135.00
52,2011-05-23,3,2800.00,378000.00,135.00,135.00,135.00
53,2011-06-02,5,400.00,54000.00,135.00,135.00,135.00
54,2011-09-06,1,20.00,2660.00,133.00,133.00,133.00
55,2011-10-19,1,3890.00,509590.00,131.00,131.00,131.00
56,2012-01-16,8,160.00,20640.00,129.00,129.00,129.00
57,2012-01-22,1,4800.00,619200.00,129.00,129.00,129.00
58,2012-01-31,1,20.00,2540.00,127.00,127.00,127.00
59,2012-03-01,1,1000.00,129000.00,129.00,129.00,129.00
60,2012-03-04,2,1950.00,257410.00,133.00,131.00,133.00
61,2012-03-05,2,2000.00,272000.00,137.00,135.00,137.00
62,2012-03-06,3,2280.00,322920.00,143.00,139.00,143.00
63,2012-03-12,1,480.00,69600.00,145.00,145.00,145.00
64,2012-03-27,2,2170.00,301650.00,141.00,139.00,139.00
65,2012-03-28,1,1260.00,175140.00,139.00,139.00,139.00
66,2012-04-01,2,4810.00,649370.00,137.00,135.00,135.00
67,2012-04-08,2,5210.00,682530.00,133.00,131.00,131.00
68,2012-04-12,2,4600.00,584220.00,129.00,127.00,127.00
69,2012-05-20,1,700.00,90300.00,129.00,129.00,129.00
70,2012-05-29,2,4010.00,501270.00,127.00,125.00,125.00
71,2012-05-30,1,800.00,100000.00,125.00,125.00,125.00
72,2012-06-17,1,200.00,25000.00,125.00,125.00,125.00
73,2014-04-21,1,120.00,15000.00,125.00,125.00,125.00
74,2014-04-22,1,140.00,17220.00,123.00,123.00,123.00
75,2014-04-23,1,120.00,14520.00,121.00,121.00,121.00
76,2014-05-28,2,140.00,16420.00,119.00,117.00,117.00
77,2014-06-01,1,20.00,2300.00,115.00,115.00,115.00
78,2014-06-03,1,120.00,13560.00,113.00,113.00,113.00
79,2014-06-05,1,560.00,62160.00,111.00,111.00,111.00
80,2014-06-18,1,120.00,13560.00,113.00,113.00,111.00
81,2014-07-06,5,480.00,53280.00,111.00,111.00,111.00
82,2014-07-15,2,200.00,21800.00,109.00,109.00,109.00
83,2014-07-16,3,240.00,26560.00,111.00,110.00,110.00
84,2014-07-17,4,400.00,45400.00,115.00,112.00,115.00
85,2014-07-30,18,115560.00,12353780.00,119.00,104.00,112.00
86,2014-08-03,6,14280.00,1628320.00,116.00,112.00,116.00
87,2014-08-04,2,160.00,18560.00,116.00,116.00,116.00
88,2014-08-14,5,50.00,6100.00,126.00,118.00,126.00
89,2014-08-18,7,590.00,79420.00,136.00,128.00,136.00
90,2014-08-19,2,620.00,85840.00,140.00,138.00,140.00
