S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,2,200.00,42100.00,211.00,210.00,210.00
2,2010-04-20,8,1550.00,315650.00,210.00,200.00,200.00
3,2010-04-21,4,700.00,138400.00,200.00,196.00,196.00
4,2010-04-22,15,2230.00,417940.00,193.00,185.00,188.00
5,2010-04-25,9,13115.00,2427175.00,186.00,185.00,186.00
6,2010-04-26,11,6550.00,1208350.00,189.00,180.00,180.00
7,2010-04-27,12,8350.00,1490130.00,183.00,175.00,175.00
8,2010-04-28,14,9770.00,1677540.00,175.00,171.00,171.00
9,2010-04-29,1,2460.00,428040.00,174.00,174.00,174.00
10,2010-04-15,1,125.00,26250.00,210.00,210.00,210.00
11,2010-05-09,2,150.00,26100.00,175.00,172.00,175.00
12,2010-05-13,6,210.00,39710.00,192.00,178.00,192.00
13,2010-05-16,4,2700.00,508900.00,190.00,187.00,187.00
14,2010-05-17,2,220.00,41350.00,190.00,187.00,187.00
15,2010-05-18,6,1850.00,350250.00,198.00,188.00,198.00
16,2010-05-19,4,1300.00,258600.00,205.00,198.00,205.00
17,2010-05-20,7,1600.00,336000.00,213.00,209.00,213.00
18,2010-05-23,6,1030.00,224890.00,219.00,215.00,219.00
19,2010-05-24,7,1210.00,269180.00,225.00,222.00,225.00
20,2010-05-25,10,1200.00,288150.00,247.00,229.00,246.00
21,2010-05-26,15,3940.00,964520.00,250.00,242.00,249.00
22,2010-05-30,17,5500.00,1411600.00,262.00,253.00,258.00
23,2010-05-31,11,1250.00,316150.00,263.00,241.00,241.00
24,2010-06-01,17,3120.00,693050.00,237.00,217.00,224.00
25,2010-06-02,6,1230.00,278590.00,228.00,224.00,225.00
26,2010-06-03,5,1115.00,253525.00,233.00,225.00,232.00
27,2010-06-06,3,1010.00,231920.00,232.00,228.00,232.00
28,2010-06-07,7,1250.00,289350.00,234.00,230.00,234.00
29,2010-06-08,3,400.00,92900.00,235.00,230.00,235.00
30,2010-06-09,5,1000.00,230750.00,236.00,227.00,227.00
31,2010-06-10,14,3775.00,839785.00,225.00,221.00,221.00
32,2010-06-13,9,1250.00,276950.00,224.00,221.00,221.00
33,2010-06-14,9,2075.00,461250.00,225.00,220.00,222.00
34,2010-06-15,14,2550.00,556970.00,221.00,216.00,220.00
35,2010-06-16,15,4150.00,889850.00,217.00,213.00,215.00
36,2010-06-20,6,950.00,203250.00,215.00,213.00,215.00
37,2010-06-21,12,2605.00,551105.00,214.00,211.00,212.00
38,2010-06-22,6,700.00,149900.00,216.00,213.00,213.00
39,2010-06-23,6,1600.00,341300.00,216.00,212.00,212.00
40,2010-06-24,8,1700.00,355300.00,212.00,208.00,208.00
41,2010-06-29,3,710.00,145280.00,208.00,204.00,208.00
42,2010-06-30,1,40.00,8320.00,208.00,208.00,208.00
43,2010-07-01,10,1190.00,253640.00,216.00,210.00,212.00
44,2010-07-04,3,500.00,104600.00,212.00,208.00,210.00
45,2010-07-05,7,1975.00,402300.00,208.00,200.00,205.00
46,2010-07-06,2,875.00,174375.00,201.00,198.00,198.00
47,2010-07-07,11,2350.00,479550.00,209.00,200.00,207.00
48,2010-07-08,4,2000.00,415000.00,210.00,206.00,207.00
49,2010-07-11,1,1488.00,302064.00,203.00,203.00,203.00
50,2010-07-12,2,350.00,70600.00,204.00,200.00,204.00
51,2010-07-13,2,450.00,89250.00,200.00,197.00,197.00
52,2010-07-15,1,500.00,99500.00,199.00,199.00,199.00
53,2010-07-18,6,7500.00,1477500.00,197.00,197.00,197.00
54,2010-07-19,4,2600.00,512500.00,200.00,197.00,197.00
55,2010-07-21,22,20225.00,4051000.00,202.00,197.00,202.00
56,2010-07-22,6,1280.00,260340.00,206.00,202.00,203.00
57,2010-07-25,2,550.00,110750.00,205.00,201.00,201.00
58,2010-07-26,1,200.00,41000.00,205.00,205.00,205.00
59,2010-07-27,1,100.00,20500.00,205.00,205.00,205.00
60,2010-07-28,1,400.00,80400.00,201.00,201.00,201.00
61,2010-07-29,3,1090.00,216270.00,203.00,196.00,196.00
62,2010-08-01,1,500.00,99000.00,198.00,198.00,198.00
63,2010-08-02,3,650.00,129500.00,200.00,198.00,200.00
64,2010-08-03,3,460.00,91450.00,200.00,197.00,200.00
65,2010-08-04,2,200.00,40000.00,200.00,200.00,200.00
66,2010-08-05,2,400.00,79500.00,201.00,198.00,201.00
67,2010-08-08,1,100.00,20100.00,201.00,201.00,201.00
68,2010-08-09,1,20.00,4000.00,200.00,200.00,200.00
69,2010-08-10,3,350.00,68800.00,200.00,194.00,194.00
70,2010-08-11,5,2700.00,514100.00,191.00,190.00,191.00
71,2010-08-12,1,100.00,19400.00,194.00,194.00,194.00
72,2010-08-15,2,1362.00,264353.00,195.00,194.00,195.00
73,2010-08-17,6,600.00,117100.00,198.00,191.00,191.00
74,2010-08-18,4,850.00,158300.00,188.00,185.00,185.00
75,2010-08-19,8,1900.00,344140.00,188.00,179.00,179.00
76,2010-08-22,2,600.00,108000.00,180.00,180.00,180.00
77,2010-08-23,13,4350.00,769450.00,179.00,176.00,178.00
78,2010-08-26,3,1100.00,196900.00,179.00,179.00,179.00
79,2010-08-29,10,2900.00,523800.00,182.00,179.00,179.00
80,2010-08-30,6,575.00,104150.00,184.00,180.00,181.00
81,2010-08-31,15,1880.00,327510.00,178.00,170.00,172.00
82,2010-09-02,2,400.00,68600.00,173.00,170.00,173.00
83,2010-09-05,9,2105.00,356710.00,171.00,167.00,167.00
84,2010-09-06,6,1995.00,339250.00,171.00,170.00,170.00
85,2010-09-07,2,790.00,135170.00,173.00,170.00,173.00
86,2010-09-08,3,1450.00,256550.00,179.00,176.00,179.00
87,2010-09-09,6,525.00,92800.00,179.00,176.00,179.00
88,2010-09-12,2,950.00,165700.00,176.00,173.00,173.00
89,2010-09-13,3,560.00,95680.00,173.00,170.00,170.00
90,2010-09-14,7,1700.00,290800.00,173.00,170.00,173.00
91,2010-09-19,9,1150.00,202950.00,177.00,176.00,177.00
92,2010-09-20,10,2400.00,425550.00,178.00,177.00,177.00
93,2010-09-21,8,2940.00,523260.00,180.00,177.00,177.00
94,2010-09-23,6,3105.00,556900.00,183.00,177.00,183.00
95,2010-09-26,7,4455.00,836650.00,190.00,183.00,190.00
96,2010-09-27,6,4075.00,768775.00,192.00,187.00,189.00
97,2010-09-28,7,2250.00,422400.00,190.00,184.00,190.00
98,2010-09-29,4,3650.00,685100.00,193.00,187.00,193.00
99,2010-09-30,3,1350.00,261050.00,194.00,191.00,194.00
100,2010-10-03,10,3695.00,706145.00,196.00,190.00,195.00
101,2010-10-05,8,2325.00,452900.00,198.00,192.00,198.00
102,2010-10-06,14,3382.00,668679.00,200.00,196.00,199.00
103,2010-10-07,13,3950.00,785000.00,201.00,197.00,201.00
104,2010-10-10,8,2580.00,533700.00,209.00,205.00,209.00
105,2010-10-11,12,4500.00,938500.00,212.00,205.00,209.00
106,2010-10-12,6,2700.00,564500.00,211.00,209.00,209.00
107,2010-10-13,2,200.00,42500.00,213.00,212.00,213.00
108,2010-10-24,2,325.00,70400.00,217.00,216.00,217.00
109,2010-10-25,1,150.00,33150.00,221.00,221.00,221.00
110,2010-10-26,6,700.00,151150.00,219.00,213.00,218.00
111,2010-10-27,2,150.00,32100.00,214.00,214.00,214.00
112,2010-10-28,1,100.00,21000.00,210.00,210.00,210.00
113,2010-10-31,10,1310.00,259560.00,206.00,192.00,192.00
114,2010-11-02,8,1877.00,361238.00,196.00,191.00,196.00
115,2010-11-03,2,390.00,76050.00,195.00,195.00,195.00
116,2010-11-09,3,1300.00,253700.00,196.00,195.00,195.00
117,2010-11-10,4,1000.00,193600.00,195.00,193.00,194.00
118,2010-11-11,4,1250.00,242750.00,196.00,193.00,196.00
119,2010-11-14,2,1500.00,294000.00,196.00,196.00,196.00
120,2010-11-15,13,3390.00,652670.00,194.00,191.00,193.00
121,2010-11-18,1,200.00,39000.00,195.00,195.00,195.00
122,2010-11-22,5,1450.00,279050.00,195.00,189.00,189.00
123,2010-11-23,1,100.00,18700.00,187.00,187.00,187.00
124,2010-11-24,3,550.00,101650.00,187.00,184.00,184.00
125,2010-11-25,3,600.00,110800.00,186.00,184.00,186.00
126,2010-11-28,11,4790.00,872830.00,186.00,180.00,181.00
127,2010-11-29,4,975.00,175200.00,181.00,178.00,180.00
128,2010-11-30,5,1050.00,189000.00,180.00,180.00,180.00
129,2010-12-02,1,125.00,22500.00,180.00,180.00,180.00
130,2010-12-05,6,1012.00,181200.00,180.00,178.00,178.00
131,2010-12-06,1,100.00,18100.00,181.00,181.00,181.00
132,2010-12-07,1,200.00,36000.00,180.00,180.00,180.00
133,2010-12-08,8,1795.00,318745.00,180.00,176.00,180.00
134,2010-12-09,4,2195.00,394250.00,182.00,179.00,179.00
135,2010-12-12,4,1600.00,288000.00,180.00,180.00,180.00
136,2010-12-13,2,200.00,35600.00,179.00,177.00,177.00
137,2010-12-14,10,1230.00,214190.00,176.00,172.00,172.00
138,2010-12-15,1,300.00,51300.00,171.00,171.00,171.00
139,2010-12-16,1,450.00,78300.00,174.00,174.00,174.00
140,2010-12-19,2,325.00,56925.00,177.00,174.00,174.00
141,2010-12-20,1,300.00,52500.00,175.00,175.00,175.00
142,2010-12-22,7,870.00,153160.00,178.00,175.00,178.00
143,2010-12-23,8,1250.00,218900.00,176.00,174.00,175.00
144,2010-12-26,1,50.00,8900.00,178.00,178.00,178.00
145,2010-12-27,1,50.00,9050.00,181.00,181.00,181.00
146,2010-12-28,3,300.00,55400.00,186.00,183.00,186.00
147,2010-12-29,3,900.00,163200.00,183.00,180.00,180.00
148,2011-01-02,5,890.00,159600.00,180.00,177.00,177.00
149,2011-01-03,1,200.00,34800.00,174.00,174.00,174.00
150,2011-01-04,2,1000.00,175000.00,175.00,175.00,175.00
151,2011-01-05,4,1600.00,281400.00,177.00,174.00,174.00
152,2011-01-06,1,250.00,43750.00,175.00,175.00,175.00
153,2011-01-09,1,100.00,17800.00,178.00,178.00,178.00
154,2011-01-11,1,1488.00,260400.00,175.00,175.00,175.00
155,2011-01-12,1,320.00,56000.00,175.00,175.00,175.00
156,2011-01-13,1,460.00,81880.00,178.00,178.00,178.00
157,2011-01-16,3,250.00,45000.00,183.00,177.00,183.00
158,2011-01-17,1,500.00,90000.00,180.00,180.00,180.00
159,2011-01-18,9,800.00,141200.00,182.00,174.00,175.00
160,2011-01-20,7,1475.00,261250.00,181.00,175.00,178.00
161,2011-01-23,2,600.00,106300.00,178.00,177.00,178.00
162,2011-02-01,1,100.00,17700.00,177.00,177.00,177.00
163,2011-02-02,6,1380.00,243240.00,178.00,175.00,175.00
164,2011-02-06,2,550.00,94600.00,172.00,172.00,172.00
165,2011-02-07,1,250.00,43500.00,174.00,174.00,174.00
166,2011-02-08,2,280.00,49190.00,176.00,173.00,176.00
167,2011-02-13,4,700.00,122500.00,176.00,174.00,174.00
168,2011-02-14,3,1000.00,172200.00,174.00,172.00,172.00
169,2011-02-15,4,405.00,70745.00,177.00,172.00,174.00
170,2011-02-16,6,1850.00,317750.00,175.00,171.00,172.00
171,2011-02-20,2,675.00,114450.00,170.00,169.00,169.00
172,2011-02-22,3,1375.00,228400.00,167.00,164.00,167.00
173,2011-02-23,2,100.00,16700.00,167.00,167.00,167.00
174,2011-02-24,1,150.00,24900.00,166.00,166.00,166.00
175,2011-02-27,2,1250.00,204750.00,165.00,163.00,163.00
176,2011-02-28,1,100.00,16600.00,166.00,166.00,166.00
177,2011-03-03,3,1110.00,181620.00,166.00,163.00,166.00
178,2011-03-07,1,1490.00,247340.00,166.00,166.00,166.00
179,2011-03-10,1,300.00,50700.00,169.00,169.00,169.00
180,2011-03-13,5,3195.00,524820.00,169.00,163.00,169.00
181,2011-03-15,4,875.00,144025.00,166.00,162.00,162.00
182,2011-03-16,7,1520.00,239840.00,163.00,157.00,157.00
183,2011-03-17,3,2200.00,344600.00,158.00,155.00,158.00
184,2011-03-21,1,800.00,126400.00,158.00,158.00,158.00
185,2011-03-22,2,200.00,31400.00,157.00,157.00,157.00
186,2011-03-24,1,90.00,13950.00,155.00,155.00,155.00
187,2011-03-27,4,300.00,46300.00,155.00,154.00,154.00
188,2011-03-29,3,110.00,16960.00,155.00,154.00,154.00
189,2011-03-30,3,300.00,44700.00,151.00,148.00,148.00
190,2011-03-31,2,450.00,67050.00,149.00,149.00,149.00
191,2011-04-05,2,300.00,44500.00,150.00,148.00,148.00
192,2011-04-06,5,600.00,87500.00,150.00,143.00,143.00
193,2011-04-07,6,900.00,127700.00,143.00,141.00,143.00
194,2011-04-10,3,425.00,58825.00,141.00,137.00,137.00
195,2011-04-11,2,200.00,26800.00,135.00,133.00,133.00
196,2011-04-17,4,850.00,110950.00,132.00,129.00,129.00
197,2011-04-18,6,700.00,90650.00,131.00,128.00,128.00
198,2011-04-19,3,300.00,38100.00,130.00,126.00,130.00
199,2011-04-20,1,500.00,64000.00,128.00,128.00,128.00
200,2011-04-21,3,750.00,93200.00,126.00,122.00,122.00
201,2011-04-25,1,500.00,60000.00,120.00,120.00,120.00
202,2011-04-27,6,1795.00,209300.00,119.00,115.00,115.00
203,2011-04-28,6,2400.00,270820.00,114.00,111.00,113.00
204,2011-05-02,1,100.00,11500.00,115.00,115.00,115.00
205,2011-05-03,1,600.00,70200.00,117.00,117.00,117.00
206,2011-05-04,1,35.00,4165.00,119.00,119.00,119.00
207,2011-05-08,11,2650.00,317900.00,121.00,118.00,120.00
208,2011-05-10,12,2250.00,271450.00,122.00,120.00,122.00
209,2011-05-11,10,2575.00,320800.00,126.00,124.00,126.00
210,2011-05-12,10,2520.00,318560.00,129.00,125.00,128.00
211,2011-05-15,6,3870.00,504940.00,131.00,129.00,131.00
212,2011-05-16,4,800.00,104700.00,134.00,130.00,134.00
213,2011-05-18,4,630.00,82300.00,132.00,130.00,130.00
214,2011-05-19,4,6340.00,811820.00,132.00,128.00,132.00
215,2011-05-22,1,200.00,26000.00,130.00,130.00,130.00
216,2011-05-23,8,1875.00,241250.00,132.00,126.00,130.00
217,2011-05-24,1,200.00,25800.00,129.00,129.00,129.00
218,2011-05-25,3,1900.00,248700.00,131.00,130.00,131.00
219,2011-05-26,7,3100.00,408800.00,135.00,131.00,133.00
220,2011-05-30,6,1720.00,222140.00,131.00,127.00,131.00
221,2011-05-31,9,1375.00,180250.00,133.00,128.00,132.00
222,2011-06-01,8,985.00,127400.00,132.00,126.00,128.00
223,2011-06-05,9,1100.00,131100.00,126.00,116.00,116.00
224,2011-06-06,9,4765.00,529665.00,114.00,110.00,110.00
