S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-06-22,112,104690.00,1089062.05,10.71,10.00,10.57
2,2021-06-23,46,45880.00,476926.00,10.60,10.23,10.35
3,2021-06-24,42,44400.00,461505.00,10.50,10.15,10.32
4,2021-06-27,48,28320.00,289006.50,10.50,10.05,10.29
5,2021-06-28,73,38239.00,390086.83,10.31,10.15,10.18
6,2021-06-29,39,37080.00,374985.40,10.20,10.06,10.20
7,2021-06-30,43,36220.00,366139.60,10.25,10.00,10.25
8,2021-07-01,67,56550.00,568722.00,10.20,10.00,10.00
9,2021-07-04,54,47850.00,482733.00,10.20,10.00,10.06
10,2021-07-05,35,58900.00,590309.00,10.06,9.98,10.03
11,2021-07-06,41,24250.00,246251.70,10.30,9.99,10.30
12,2021-07-07,47,58060.00,581558.50,10.20,9.90,10.05
13,2021-07-08,26,9490.00,95007.00,10.25,9.90,10.00
14,2021-07-11,42,44550.00,453725.00,10.30,9.90,10.25
15,2021-07-12,36,17050.00,172264.50,10.45,9.85,10.10
16,2021-07-13,28,78820.00,791133.30,10.19,10.00,10.05
17,2021-07-14,43,59000.00,598155.00,10.20,9.85,10.14
18,2021-07-15,37,23600.00,238782.00,10.30,10.10,10.14
19,2021-07-18,59,66410.00,670485.40,10.22,9.99,10.06
20,2021-07-19,51,35350.00,358988.00,10.24,10.00,10.10
21,2021-07-20,218,326961.00,3431508.70,10.82,10.05,10.50
22,2021-07-22,405,1311461.00,14420617.71,11.22,10.50,10.97
23,2021-07-25,180,251190.00,2760296.00,11.18,10.60,10.67
24,2021-07-26,85,112900.00,1210609.50,10.90,10.48,10.75
25,2021-07-27,75,68820.00,731362.76,10.91,10.55,10.65
26,2021-07-28,56,45150.00,479090.00,10.70,10.57,10.61
27,2021-07-29,88,249100.00,2619381.50,10.70,10.40,10.58
28,2021-08-01,112,206894.00,2165130.38,10.72,10.37,10.38
29,2021-08-02,77,63500.00,662862.80,10.59,10.35,10.36
30,2021-08-03,66,51580.00,541764.40,10.56,10.36,10.49
31,2021-08-04,87,83400.00,870857.10,10.55,10.40,10.40
32,2021-08-05,76,74690.00,779468.10,10.58,10.30,10.41
33,2021-08-08,70,171700.00,1773533.50,10.40,10.25,10.30
34,2021-08-09,73,66700.00,690241.50,10.45,10.20,10.35
35,2021-08-10,101,170670.00,1776053.10,10.60,10.22,10.60
36,2021-08-11,57,38625.00,404617.50,10.70,10.30,10.30
37,2021-08-12,80,56440.00,583451.00,10.50,10.24,10.30
