S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,4,215.00,65850.00,309.00,304.00,304.00
2,2010-04-20,6,205.00,60600.00,300.00,294.00,294.00
3,2010-04-21,24,610.00,175100.00,290.00,280.00,280.00
4,2010-04-21,2,22.00,30730.00,1405.00,1390.00,1405.00
5,2010-04-22,21,985.00,274900.00,280.00,279.00,279.00
6,2010-04-25,66,2530.00,688205.00,275.00,260.00,260.00
7,2010-04-25,1,40.00,56000.00,1400.00,1400.00,1400.00
8,2010-04-26,4,180.00,45900.00,255.00,255.00,255.00
9,2010-04-27,1,15.00,3825.00,255.00,255.00,255.00
10,2010-04-27,7,454.00,604847.00,1372.00,1316.00,1316.00
11,2010-04-28,20,935.00,228980.00,250.00,241.00,241.00
12,2010-04-28,2,150.00,193500.00,1290.00,1290.00,1290.00
13,2010-04-29,2,230.00,57190.00,249.00,245.00,249.00
14,2010-04-29,5,180.00,236510.00,1336.00,1290.00,1336.00
15,2010-04-15,5,340.00,112320.00,335.00,325.00,325.00
16,2010-04-15,3,1530.00,2106500.00,1400.00,1350.00,1400.00
17,2010-05-12,7,120.00,31310.00,273.00,253.00,273.00
18,2010-05-13,6,60.00,17400.00,300.00,278.00,300.00
19,2010-05-16,8,575.00,168750.00,294.00,290.00,290.00
20,2010-05-16,2,36.00,48096.00,1336.00,1336.00,1336.00
21,2010-05-17,24,1630.00,441500.00,290.00,265.00,265.00
22,2010-05-18,6,60.00,16910.00,291.00,270.00,291.00
23,2010-05-19,5,50.00,15360.00,319.00,296.00,319.00
24,2010-05-20,8,205.00,71020.00,350.00,325.00,350.00
25,2010-05-23,6,280.00,100440.00,369.00,350.00,369.00
26,2010-05-24,5,75.00,28795.00,390.00,376.00,390.00
27,2010-05-25,6,185.00,73995.00,410.00,395.00,405.00
28,2010-05-25,3,1572.00,2198720.00,1400.00,1362.00,1400.00
29,2010-05-26,4,140.00,58405.00,420.00,405.00,419.00
30,2010-05-26,5,134.00,196568.00,1514.00,1428.00,1514.00
31,2010-05-30,5,420.00,180300.00,435.00,427.00,435.00
32,2010-05-30,1,200.00,296800.00,1484.00,1484.00,1484.00
33,2010-05-31,2,50.00,21710.00,436.00,433.00,433.00
34,2010-06-01,7,110.00,44710.00,425.00,393.00,393.00
35,2010-06-02,5,255.00,99165.00,400.00,386.00,400.00
36,2010-06-02,3,2615.00,3728637.00,1455.00,1425.00,1425.00
37,2010-06-03,5,140.00,53830.00,392.00,371.00,371.00
38,2010-06-06,1,15.00,5460.00,364.00,364.00,364.00
39,2010-06-06,1,3000.00,4275000.00,1425.00,1425.00,1425.00
40,2010-06-07,13,585.00,205560.00,357.00,343.00,355.00
41,2010-06-09,3,160.00,59070.00,370.00,362.00,370.00
42,2010-06-10,5,265.00,99450.00,380.00,370.00,380.00
43,2010-06-13,1,15.00,5700.00,380.00,380.00,380.00
44,2010-06-15,4,230.00,85385.00,373.00,366.00,370.00
45,2010-06-16,8,135.00,46635.00,363.00,333.00,333.00
46,2010-06-20,14,945.00,331740.00,358.00,339.00,358.00
47,2010-06-21,20,810.00,290085.00,365.00,358.00,365.00
48,2010-06-24,5,265.00,98750.00,377.00,370.00,377.00
49,2010-06-29,5,180.00,69150.00,385.00,377.00,385.00
50,2010-06-30,2,50.00,18900.00,378.00,378.00,378.00
51,2010-07-04,1,15.00,5565.00,371.00,371.00,371.00
52,2010-07-05,19,450.00,162450.00,365.00,351.00,351.00
53,2010-07-06,2,140.00,48260.00,345.00,344.00,344.00
54,2010-07-06,1,25.00,35625.00,1425.00,1425.00,1425.00
55,2010-07-07,4,150.00,51420.00,344.00,340.00,340.00
56,2010-07-08,10,185.00,62535.00,345.00,331.00,336.00
57,2010-07-08,1,14.00,19950.00,1425.00,1425.00,1425.00
58,2010-07-11,14,615.00,210390.00,348.00,340.00,348.00
59,2010-07-12,20,300.00,106380.00,360.00,354.00,360.00
60,2010-07-14,4,120.00,41715.00,355.00,342.00,342.00
61,2010-07-15,37,635.00,219900.00,348.00,340.00,347.00
62,2010-07-15,2,25.00,36280.00,1453.00,1450.00,1453.00
63,2010-07-18,1,100.00,148200.00,1482.00,1482.00,1482.00
64,2010-07-19,1,50.00,17650.00,353.00,353.00,353.00
65,2010-07-20,31,465.00,161445.00,350.00,347.00,347.00
66,2010-07-21,55,825.00,284010.00,345.00,340.00,345.00
67,2010-07-25,2,60.00,20070.00,339.00,333.00,333.00
68,2010-07-26,22,975.00,325245.00,345.00,333.00,345.00
69,2010-07-27,3,75.00,25500.00,340.00,340.00,340.00
70,2010-07-28,5,230.00,77225.00,340.00,334.00,335.00
71,2010-07-29,13,195.00,65910.00,338.00,338.00,338.00
72,2010-08-01,7,380.00,131000.00,352.00,340.00,352.00
73,2010-08-02,3,45.00,15975.00,355.00,355.00,355.00
74,2010-08-03,1,75.00,26625.00,355.00,355.00,355.00
75,2010-08-04,20,855.00,283185.00,350.00,323.00,323.00
76,2010-08-05,1,15.00,4875.00,325.00,325.00,325.00
77,2010-08-08,2,795.00,263055.00,331.00,325.00,331.00
78,2010-08-09,2,60.00,19860.00,331.00,331.00,331.00
79,2010-08-10,7,105.00,34125.00,325.00,325.00,325.00
80,2010-08-11,2,25.00,8365.00,337.00,331.00,337.00
81,2010-08-12,1,70.00,23170.00,331.00,331.00,331.00
82,2010-08-15,10,180.00,59685.00,338.00,330.00,330.00
83,2010-08-16,13,620.00,207360.00,348.00,319.00,319.00
84,2010-08-17,28,660.00,217680.00,349.00,320.00,343.00
85,2010-08-18,21,1870.00,659370.00,362.00,343.00,355.00
86,2010-08-19,28,1530.00,552935.00,375.00,350.00,375.00
87,2010-08-22,8,285.00,106170.00,382.00,368.00,375.00
88,2010-08-23,18,490.00,184695.00,382.00,373.00,373.00
89,2010-08-26,10,325.00,125240.00,394.00,373.00,394.00
90,2010-08-31,13,260.00,100395.00,401.00,379.00,379.00
91,2010-09-02,2,30.00,11160.00,372.00,372.00,372.00
92,2010-09-05,2,30.00,11100.00,370.00,370.00,370.00
93,2010-09-06,8,1310.00,455085.00,363.00,344.00,344.00
