S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-08-06,184,6040.00,1686340.00,292.00,262.80,263.00
2,2019-08-07,57,1720.00,408590.00,250.00,237.00,237.00
3,2019-08-08,12509,450161.00,97699181.00,248.00,214.00,214.00
4,2019-08-11,6375,217982.00,45959468.00,219.00,207.00,214.00
5,2019-08-12,3073,120516.00,25688270.00,216.00,210.00,212.00
6,2019-08-13,2074,67745.00,14349793.00,215.00,210.00,211.00
7,2019-08-14,1989,75889.00,15871479.00,212.00,207.00,208.00
8,2019-08-15,949,42895.00,8952760.00,212.00,204.00,210.00
9,2019-08-18,1419,82602.00,17052529.00,211.00,205.00,205.00
10,2019-08-19,1959,105338.00,21516357.00,208.00,200.00,206.00
11,2019-08-20,1196,81600.00,16560280.00,207.00,200.00,207.00
12,2019-08-21,869,47080.00,9448315.00,204.00,200.00,200.00
13,2019-08-22,812,31447.00,6318507.00,203.00,200.00,200.00
14,2019-08-25,1057,55104.00,10742252.00,202.00,192.00,195.00
15,2019-08-26,1025,45230.00,8546790.00,195.00,187.00,187.00
16,2019-08-27,547,27836.00,5290598.00,195.00,185.00,191.00
17,2019-08-28,465,15595.00,2896715.00,190.00,184.00,185.00
18,2019-08-29,554,31482.00,5802952.00,187.00,182.00,185.00
19,2019-09-01,776,39290.00,7034340.00,185.00,174.00,174.00
20,2019-09-02,772,32525.00,5584080.00,174.00,170.00,173.00
21,2019-09-03,497,31313.00,5396414.00,179.00,167.00,179.00
22,2019-09-04,395,25040.00,4403430.00,181.00,172.00,177.00
23,2019-09-05,440,31245.00,5414465.00,177.00,171.00,173.00
24,2019-09-08,362,19940.00,3393376.00,176.00,168.00,168.00
25,2019-09-09,643,22735.00,3803325.00,170.00,166.00,166.00
26,2019-09-10,705,45858.00,7449020.00,170.00,160.00,161.00
27,2019-09-10,705,45858.00,7449020.00,170.00,160.00,161.00
28,2019-09-11,416,20610.00,3318470.00,164.00,160.00,161.00
29,2019-09-12,520,28131.00,4486298.00,162.00,158.00,158.00
30,2019-09-15,1034,56655.00,8812910.00,159.00,152.00,154.00
31,2019-09-16,725,38818.00,6026696.00,159.00,151.00,155.00
32,2019-09-17,630,73396.00,11517294.00,170.00,153.00,167.00
33,2019-09-18,700,78420.00,13065398.00,172.00,162.00,169.00
34,2019-09-19,702,41800.00,6916190.00,169.00,163.00,163.00
35,2019-09-22,708,32550.00,5104320.00,163.00,155.00,155.00
36,2019-09-23,487,27512.00,4285448.00,161.00,153.00,154.00
37,2019-09-24,297,14940.00,2311310.00,156.00,153.00,155.00
38,2019-09-25,345,23697.00,3716505.00,159.00,153.00,157.00
