S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-08,16,160.00,52480.00,340.00,322.00,340.00
2,2020-09-09,23,230.00,85280.00,374.00,346.00,374.00
3,2020-09-10,61,610.00,249420.00,411.00,392.00,411.00
4,2020-09-13,81,810.00,363760.00,452.00,423.00,452.00
5,2020-09-14,125,1250.00,620830.00,497.00,474.00,497.00
6,2020-09-15,298,2980.00,1625380.00,546.00,521.00,546.00
7,2020-09-16,1740,18390.00,11024880.00,600.00,573.00,600.00
8,2020-09-17,4155,52531.00,34639320.00,660.00,630.00,660.00
9,2020-09-20,20950,281168.00,194764516.00,726.00,660.00,665.00
10,2020-09-21,17877,203152.00,129855865.00,665.00,623.00,640.00
11,2020-09-22,9315,112770.00,70853501.00,637.00,625.00,630.00
12,2020-09-23,6661,70575.00,44664106.00,668.00,600.00,662.00
13,2020-09-24,5198,55191.00,35961089.00,669.00,631.00,649.00
14,2020-09-27,3235,43591.00,27818214.00,665.00,618.00,636.00
15,2020-09-28,2609,31320.00,19761850.00,643.00,630.00,631.00
16,2020-09-29,2537,30275.00,18970951.00,635.00,625.00,626.00
17,2020-09-30,2643,36350.00,22544670.00,626.00,617.00,621.00
18,2020-10-01,3314,47051.00,29706996.00,647.00,615.00,630.00
19,2020-10-04,3082,44110.00,27737920.00,640.00,624.00,625.00
20,2020-10-05,2661,36105.00,22519652.00,630.00,611.00,625.00
21,2020-10-06,1992,36439.00,22607699.00,630.00,618.00,620.00
22,2020-10-07,1688,26615.00,16468825.00,630.00,616.00,618.00
23,2020-10-08,2124,46551.00,28695822.00,624.00,614.00,615.00
24,2020-10-11,1964,29873.00,18205136.00,615.00,607.00,608.00
25,2020-10-12,2065,28035.00,17048705.00,618.00,603.00,608.00
26,2020-10-13,1317,18610.00,11290376.00,610.00,605.00,606.00
27,2020-10-14,1296,28238.00,16997625.00,606.00,599.00,601.00
28,2020-10-15,1203,22030.00,13231876.00,608.00,599.00,600.00
29,2020-10-18,1055,19653.00,11674406.00,612.00,592.00,593.00
30,2020-10-19,859,13786.00,8196557.00,600.00,588.00,598.00
31,2020-10-20,587,10145.00,6094500.00,612.00,590.00,603.00
32,2020-10-21,727,11598.00,6977358.00,610.00,600.00,603.00
33,2020-10-22,902,15776.00,9448998.00,605.00,597.00,600.00
34,2020-10-28,1291,22855.00,13566390.00,600.00,592.00,598.00
35,2020-10-29,1426,26470.00,15681700.00,600.00,590.00,592.00
36,2020-11-01,1611,28986.00,17061753.00,595.00,587.00,588.00
37,2020-11-02,1713,33423.00,19475204.00,588.00,580.00,582.00
38,2020-11-03,1553,24904.00,14575236.00,590.00,572.00,589.00
39,2020-11-04,1156,17620.00,10297110.00,593.00,582.00,584.00
40,2020-11-05,1278,25734.00,14939380.00,585.00,579.00,581.00
41,2020-11-08,1785,48860.00,29200485.00,610.00,590.00,593.00
42,2020-11-09,1125,28945.00,17190580.00,600.00,591.00,591.00
43,2020-11-10,1776,57450.00,34803806.00,615.00,591.00,613.00
44,2020-11-11,1012,24171.00,14813075.00,619.00,610.00,611.00
45,2020-11-12,1464,29095.00,17592205.00,612.00,599.00,604.00
46,2020-11-18,1056,24030.00,14515045.00,614.00,593.00,613.00
47,2020-11-19,1760,78505.00,48320147.00,624.00,607.00,614.00
