S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-06-21,45,450.00,130110.00,295.00,266.00,266.00
2,2018-06-24,2,20.00,5170.00,261.00,256.00,256.00
3,2018-06-27,25,250.00,59640.00,251.00,231.00,231.00
4,2018-07-01,7,70.00,15610.00,227.00,219.00,219.00
5,2018-07-02,4,40.00,8360.00,215.00,203.00,203.00
6,2018-07-03,27,270.00,49930.00,199.00,183.00,183.00
7,2018-07-04,15,150.00,25200.00,180.00,165.00,165.00
8,2018-07-05,489,9367.00,1413150.00,162.00,149.00,153.00
9,2018-07-08,442,10914.00,1572306.00,152.00,141.00,146.00
10,2018-07-09,388,6920.00,1001480.00,155.00,140.00,152.00
11,2018-07-10,311,8630.00,1348280.00,164.00,150.00,154.00
12,2018-07-11,197,2380.00,364260.00,157.00,151.00,152.00
13,2018-07-12,111,2110.00,314210.00,158.00,147.00,148.00
14,2018-07-15,120,1510.00,222190.00,152.00,146.00,147.00
15,2018-07-16,108,1890.00,279840.00,150.00,145.00,148.00
16,2018-07-17,113,2470.00,368890.00,158.00,144.00,158.00
17,2018-07-18,60,1310.00,200210.00,158.00,149.00,151.00
18,2018-07-19,59,2400.00,352360.00,154.00,145.00,146.00
19,2018-07-22,104,2060.00,305220.00,152.00,144.00,146.00
20,2018-07-23,122,8373.00,1273640.00,156.00,145.00,151.00
21,2018-07-24,79,1867.00,283721.00,154.00,149.00,151.00
22,2018-07-25,292,18714.00,2949468.00,166.00,148.00,158.00
23,2018-07-26,148,7103.00,1141588.00,168.00,156.00,158.00
24,2018-07-29,67,2364.00,373356.00,160.00,154.00,160.00
25,2018-07-30,99,3400.00,530380.00,159.00,155.00,155.00
26,2018-07-31,145,6084.00,929358.00,159.00,150.00,159.00
27,2018-08-01,76,760.00,117440.00,160.00,153.00,159.00
28,2018-08-02,112,1630.00,252400.00,160.00,154.00,160.00
29,2018-08-05,66,1670.00,257160.00,157.00,153.00,154.00
30,2018-08-06,38,1070.00,163160.00,155.00,151.00,152.00
31,2018-08-07,128,1270.00,192660.00,153.00,150.00,152.00
32,2018-08-08,98,3530.00,545820.00,158.00,149.00,152.00
33,2018-08-09,181,6143.00,945576.00,155.00,150.00,154.00
34,2018-08-12,122,1690.00,253650.00,152.00,148.00,149.00
35,2018-08-13,62,1320.00,197580.00,151.00,143.00,149.00
36,2018-08-14,68,1080.00,163160.00,153.00,148.00,153.00
37,2018-08-15,164,5943.00,912896.00,156.00,151.00,152.00
38,2018-08-16,91,1730.00,263940.00,155.00,152.00,152.00
39,2018-08-19,73,4456.00,681328.00,155.00,151.00,151.00
40,2018-08-20,69,1900.00,287098.00,153.00,150.00,150.00
41,2018-08-21,138,3610.00,536760.00,151.00,147.00,147.00
42,2018-08-22,64,890.00,132330.00,149.00,148.00,148.00
43,2018-08-23,73,2240.00,335110.00,151.00,147.00,148.00
44,2018-08-26,50,910.00,132840.00,148.00,145.00,145.00
45,2018-08-28,113,2740.00,397030.00,148.00,143.00,143.00
46,2018-08-29,44,1890.00,270650.00,144.00,142.00,142.00
47,2018-08-30,19,190.00,27110.00,146.00,141.00,146.00
48,2018-09-02,21,520.00,75170.00,153.00,143.00,143.00
49,2018-09-03,91,4800.00,685810.00,151.00,141.00,143.00
50,2018-09-04,99,2810.00,403150.00,145.00,142.00,142.00
51,2018-09-05,62,2980.00,440480.00,156.00,142.00,153.00
52,2018-09-06,74,4390.00,641020.00,150.00,145.00,147.00
53,2018-09-09,66,1310.00,188120.00,146.00,142.00,144.00
54,2018-09-10,62,1300.00,187210.00,145.00,142.00,144.00
55,2018-09-11,54,540.00,78030.00,146.00,141.00,143.00
56,2018-09-12,46,1610.00,231740.00,146.00,142.00,142.00
57,2018-09-13,72,4120.00,592150.00,146.00,140.00,143.00
58,2018-09-16,38,420.00,59750.00,145.00,139.00,142.00
59,2018-09-17,36,360.00,50770.00,142.00,141.00,141.00
60,2018-09-18,66,2650.00,375160.00,144.00,140.00,144.00
61,2018-09-20,79,790.00,111910.00,143.00,140.00,142.00
62,2018-09-23,83,1430.00,199810.00,142.00,136.00,142.00
63,2018-09-25,60,2650.00,368890.00,141.00,138.00,138.00
64,2018-09-26,61,2850.00,392160.00,139.00,136.00,136.00
65,2018-09-27,107,1080.00,146670.00,137.00,134.00,136.00
66,2018-09-30,82,1880.00,254940.00,138.00,134.00,135.00
67,2018-10-01,43,460.00,61620.00,135.00,131.00,134.00
68,2018-10-02,73,930.00,124800.00,136.00,132.00,134.00
69,2018-10-03,53,3120.00,409600.00,135.00,129.00,130.00
70,2018-10-04,89,1040.00,134230.00,132.00,127.00,129.00
71,2018-10-07,38,660.00,84300.00,130.00,127.00,130.00
72,2018-10-08,48,670.00,87100.00,132.00,129.00,130.00
73,2018-10-09,75,940.00,121750.00,131.00,129.00,129.00
74,2018-10-10,113,1800.00,231630.00,130.00,125.00,129.00
75,2018-10-11,72,970.00,122850.00,129.00,125.00,127.00
76,2018-10-14,59,3017.00,381849.00,131.00,123.00,130.00
77,2018-10-15,41,410.00,52550.00,132.00,127.00,128.00
78,2018-10-25,113,1305.00,158770.00,126.00,118.00,121.00
79,2018-10-28,87,1110.00,132790.00,127.00,117.00,127.00
80,2018-10-29,57,570.00,67310.00,125.00,115.00,117.00
81,2018-10-30,87,870.00,102480.00,122.00,116.00,118.00
82,2018-10-31,50,960.00,112530.00,122.00,115.00,115.00
83,2018-11-01,44,440.00,50580.00,117.00,113.00,115.00
84,2018-11-04,41,410.00,46710.00,117.00,108.00,113.00
85,2018-11-05,30,300.00,34100.00,115.00,112.00,113.00
86,2018-11-06,1,10.00,1110.00,113.00,111.00,111.00
87,2018-11-11,7,70.00,7480.00,111.00,105.00,108.00
88,2018-11-12,23,500.00,54990.00,111.00,108.00,110.00
89,2018-11-13,27,1300.00,141190.00,112.00,104.00,109.00
90,2018-11-14,21,210.00,22680.00,111.00,107.00,111.00
91,2018-11-15,37,370.00,40120.00,111.00,107.00,110.00
92,2018-11-18,37,370.00,40500.00,112.00,108.00,109.00
93,2018-11-19,39,1370.00,148070.00,111.00,105.00,111.00
94,2018-11-20,32,460.00,50810.00,114.00,109.00,114.00
95,2018-11-21,45,450.00,49920.00,114.00,110.00,111.00
96,2018-11-22,51,531.00,58113.00,114.00,107.00,113.50
97,2018-11-25,146,1460.00,155300.00,113.50,106.00,106.00
98,2018-11-26,21,700.00,75840.00,109.00,106.00,106.00
99,2018-11-27,65,1140.00,123470.00,111.00,104.00,109.00
100,2018-11-28,31,1230.00,135300.00,113.00,107.00,111.00
101,2018-11-29,19,380.00,41010.00,111.00,106.00,107.00
102,2018-12-02,49,660.00,68710.00,109.00,100.00,109.00
103,2018-12-03,22,440.00,46380.00,109.00,100.00,103.00
104,2018-12-04,13,620.00,67180.00,109.00,102.00,109.00
105,2018-12-05,45,450.00,48070.00,109.00,103.00,107.00
106,2018-12-06,23,790.00,82760.00,108.00,101.00,103.00
107,2018-12-09,26,290.00,29880.00,104.00,103.00,103.00
108,2018-12-10,10,100.00,10740.00,111.00,103.00,111.00
109,2018-12-11,56,740.00,79630.00,111.00,107.00,107.00
110,2018-12-12,14,330.00,35290.00,107.00,106.00,107.00
111,2018-12-13,6,790.00,86380.00,112.00,106.00,112.00
112,2018-12-16,21,1030.00,113210.00,112.00,107.00,107.00
113,2018-12-17,17,170.00,18380.00,112.00,107.00,112.00
114,2018-12-18,20,200.00,21040.00,112.00,103.00,104.00
115,2018-12-19,30,310.00,32530.00,108.00,104.00,108.00
116,2018-12-20,23,416.00,43002.00,109.00,101.00,109.00
117,2018-12-23,39,390.00,41270.00,109.00,105.00,106.00
118,2018-12-24,34,440.00,45770.00,107.00,102.00,105.00
119,2018-12-25,24,840.00,88710.00,108.00,103.00,108.00
120,2018-12-26,26,260.00,27570.00,108.00,105.00,106.00
121,2018-12-27,58,5470.00,604320.00,112.00,106.00,110.00
122,2018-12-30,19,190.00,20140.00,110.00,104.00,104.00
123,2018-12-31,32,320.00,33620.00,106.00,104.00,105.00
124,2019-01-01,33,340.00,35620.00,107.00,104.00,105.00
125,2019-01-02,25,1250.00,131550.00,107.00,104.00,107.00
