S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-02-08,3,30.00,10200.00,346.00,334.00,346.00
2,2017-02-21,1,10.00,3520.00,352.00,352.00,352.00
3,2017-02-23,6,50.00,18370.00,380.00,359.00,380.00
4,2017-02-26,3,30.00,11820.00,401.00,387.00,401.00
5,2017-03-01,6,72.00,30792.00,441.00,409.00,441.00
6,2017-03-02,5,58.00,27146.00,484.00,449.00,484.00
7,2017-03-05,7,90.00,46650.00,532.00,493.00,532.00
8,2017-03-06,6,54.00,30412.00,574.00,542.00,574.00
9,2017-03-07,20,236.00,147606.00,631.00,585.00,631.00
10,2017-03-09,5,58.00,38806.00,694.00,643.00,694.00
11,2017-03-13,17,182.00,137606.00,763.00,728.00,763.00
12,2017-03-21,6,50.00,33982.00,689.00,676.00,689.00
13,2017-03-22,2,14.00,9884.00,702.00,702.00,702.00
14,2017-03-29,1,14.00,10318.00,737.00,737.00,737.00
15,2017-04-04,2,14.00,10514.00,0.00,0.00,0.00
16,2017-04-10,1,10.00,7510.00,751.00,751.00,751.00
17,2017-04-13,1,10.00,7660.00,766.00,766.00,766.00
18,2017-04-18,2,20.00,15770.00,796.00,781.00,796.00
19,2017-04-24,1,10.00,8110.00,811.00,811.00,811.00
20,2017-04-25,3,38.00,32098.00,859.00,827.00,859.00
21,2017-04-26,2,28.00,24766.00,893.00,876.00,893.00
22,2017-04-27,2,10.00,9100.00,0.00,0.00,0.00
23,2017-04-30,2,20.00,18200.00,910.00,910.00,910.00
24,2017-05-02,4,44.00,42066.00,983.00,928.00,983.00
25,2017-05-04,1,10.00,10020.00,1002.00,1002.00,1002.00
26,2017-05-08,1,10.00,10220.00,1022.00,1022.00,1022.00
27,2017-05-09,2,10.00,10420.00,0.00,0.00,0.00
28,2017-05-11,2,24.00,25962.00,1094.00,1073.00,1094.00
29,2017-05-16,2,10.00,10940.00,0.00,0.00,0.00
30,2017-05-21,3,30.00,34110.00,1159.00,1115.00,1159.00
31,2017-05-22,2,20.00,23870.00,1205.00,1182.00,1205.00
32,2017-05-23,4,38.00,47528.00,1278.00,1229.00,1278.00
33,2017-05-24,11,80.00,108908.00,1405.00,1303.00,1405.00
34,2017-05-28,4,40.00,59030.00,1519.00,1433.00,1519.00
35,2017-05-30,2,20.00,31280.00,1579.00,1549.00,1579.00
36,2017-05-31,5,54.00,89840.00,1707.00,1610.00,1707.00
37,2017-06-01,2,20.00,35160.00,1775.00,1741.00,1775.00
38,2017-06-04,5,58.00,109574.00,1952.00,1810.00,1952.00
