S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-05-03,5,50.00,18500.00,384.00,356.00,384.00
2,2021-05-04,24,1759.00,700942.00,422.00,391.00,422.00
3,2021-05-05,4,40.00,17680.00,454.00,430.00,454.00
4,2021-05-06,30,300.00,148800.00,499.00,463.00,499.00
5,2021-05-09,80,800.00,437200.00,548.00,523.00,548.00
6,2021-05-10,104,1040.00,624790.00,602.00,575.00,602.00
7,2021-05-11,73,2386.00,1578601.00,662.00,632.00,662.00
8,2021-05-12,112,1100.00,799070.00,728.00,695.00,728.00
9,2021-05-13,203,2030.00,1623010.00,800.00,764.00,800.00
10,2021-05-16,316,4169.00,3663210.00,880.00,840.00,880.00
11,2021-05-17,505,9826.00,9504188.00,968.00,924.00,968.00
12,2021-05-18,524,7325.00,7719160.00,1064.00,1016.00,1064.00
13,2021-05-19,300,3350.00,3906910.00,1170.00,1117.00,1170.00
14,2021-05-20,3269,44213.00,50201302.00,1287.00,1053.00,1125.00
15,2021-05-23,925,10376.00,11227161.00,1179.00,1030.00,1083.00
16,2021-05-24,692,12738.00,13580615.00,1101.00,1045.00,1062.00
17,2021-05-25,298,5907.00,6276660.00,1091.00,1052.00,1073.00
18,2021-05-27,313,4868.00,5198017.00,1085.00,1050.00,1085.00
19,2021-05-30,227,5325.00,5661620.00,1100.00,1050.00,1052.00
20,2021-05-31,270,8268.00,8611004.00,1070.00,1011.00,1016.00
21,2021-06-01,284,6215.00,6142170.00,1020.00,968.00,999.00
22,2021-06-02,224,2625.00,2632602.00,1031.00,968.00,1030.00
23,2021-06-03,124,1684.00,1708688.00,1048.00,994.00,1012.00
24,2021-06-06,167,3992.00,4008115.00,1021.00,993.00,996.00
25,2021-06-07,119,3880.00,3865440.00,1033.00,975.00,990.00
26,2021-06-08,88,3190.00,3173870.00,1021.00,982.00,994.00
27,2021-06-09,105,1821.00,1800462.00,1000.00,985.00,1000.00
28,2021-06-10,228,12413.00,12024905.00,1005.00,943.00,986.00
29,2021-06-13,189,6830.00,6726265.00,1005.00,970.00,970.00
30,2021-06-14,125,3620.00,3513580.00,999.00,956.00,974.00
31,2021-06-15,159,4493.00,4289895.00,966.00,943.00,950.00
32,2021-06-16,171,3420.00,3178810.00,963.00,885.00,914.00
33,2021-06-17,192,4414.00,4035480.00,954.00,889.00,950.00
34,2021-06-20,266,8256.00,7894878.00,1000.00,925.00,980.00
35,2021-06-21,102,3410.00,3271460.00,980.00,937.00,954.00
36,2021-06-22,90,3954.00,3761428.00,991.00,936.00,951.00
37,2021-06-23,52,1115.00,1050395.00,960.00,933.00,936.00
38,2021-06-24,101,2380.00,2245770.00,965.00,920.00,960.00
39,2021-06-27,118,3500.00,3331020.00,1008.00,931.00,964.00
40,2021-06-28,50,710.00,674120.00,970.00,933.00,950.00
41,2021-06-29,52,1330.00,1232050.00,940.00,915.00,925.00
42,2021-06-30,80,1608.00,1488445.00,943.00,907.00,927.00
43,2021-07-01,93,4440.00,4122720.00,940.00,891.00,936.00
44,2021-07-04,83,1629.00,1489984.00,920.00,901.00,913.00
45,2021-07-05,95,1966.00,1773093.00,910.00,895.00,905.00
46,2021-07-06,90,1340.00,1227810.00,945.00,892.00,910.00
47,2021-07-07,44,600.00,540534.00,907.00,893.00,907.00
48,2021-07-08,79,2672.00,2432264.00,925.00,896.00,902.00
49,2021-07-11,91,2120.00,1933450.00,930.00,900.00,909.00
50,2021-07-12,57,2670.00,2421280.00,920.00,902.00,903.00
51,2021-07-13,45,771.00,697689.00,910.00,900.00,910.00
52,2021-07-14,59,1305.00,1187820.00,928.00,900.00,915.00
53,2021-07-15,103,4000.00,3620310.00,930.00,900.00,906.00
54,2021-07-18,101,2851.00,2634206.90,940.00,900.00,939.00
55,2021-07-19,55,1119.00,1032987.80,930.00,912.00,920.00
56,2021-07-20,73,1060.00,982347.00,937.00,903.00,930.00
57,2021-07-22,334,16210.00,15839914.40,1000.00,941.00,967.00
58,2021-07-25,145,5781.00,5553734.00,986.00,947.00,967.00
59,2021-07-26,67,2890.00,2753453.50,970.00,950.00,950.10
60,2021-07-27,166,5827.00,5713956.00,1010.00,940.00,976.10
61,2021-07-28,220,6938.00,6945198.50,1025.00,975.00,1002.00
62,2021-07-29,111,4385.00,4280664.50,999.60,965.00,999.00
63,2021-08-01,95,5907.00,5841042.00,1005.00,961.00,989.00
64,2021-08-02,89,2335.00,2300174.00,1005.00,975.00,980.00
65,2021-08-03,443,17893.00,18529633.50,1078.00,997.00,1078.00
66,2021-08-04,461,14963.00,17045879.80,1185.80,1099.50,1152.60
67,2021-08-05,278,12292.00,13612815.00,1162.80,1085.10,1100.00
68,2021-08-08,209,6768.00,7418847.50,1120.00,1060.00,1100.00
69,2021-08-09,173,5454.00,5989406.00,1125.00,1079.50,1110.00
70,2021-08-10,146,8160.00,9008713.00,1143.90,1085.00,1100.00
71,2021-08-11,481,19474.00,23082752.00,1210.00,1080.00,1210.00
72,2021-08-12,308,14822.00,19553411.50,1331.00,1234.00,1331.00
