S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-08-22,4,40.00,12440.00,320.00,302.00,320.00
2,2019-08-26,2,20.00,6580.00,332.00,326.00,332.00
3,2019-08-27,7,560.00,203190.00,365.00,338.00,365.00
4,2019-08-28,10,100.00,39590.00,401.00,383.00,401.00
5,2019-08-29,22,220.00,96220.00,441.00,409.00,441.00
6,2019-09-01,303,3030.00,1467180.00,485.00,463.00,485.00
7,2019-09-02,3227,38269.00,19392113.00,531.00,485.00,507.00
8,2019-09-03,835,11510.00,5732250.00,530.00,485.00,520.00
9,2019-09-04,563,7791.00,3990098.00,530.00,500.00,518.00
10,2019-09-05,266,5650.00,2866760.00,519.00,503.00,506.00
11,2019-09-08,207,6380.00,3194710.00,506.00,497.00,500.00
12,2019-09-09,257,3580.00,1773940.00,505.00,492.00,493.00
13,2019-09-10,276,3936.00,1928238.00,495.00,486.00,489.00
14,2019-09-10,276,3936.00,1928238.00,495.00,486.00,489.00
15,2019-09-11,215,4650.00,2258810.00,499.00,484.00,486.00
16,2019-09-12,123,2820.00,1345810.00,490.00,472.00,476.00
17,2019-09-15,174,2100.00,979550.00,477.00,462.00,470.00
18,2019-09-16,119,2225.00,1029680.00,473.00,459.00,460.00
19,2019-09-17,90,1773.00,826356.00,483.00,452.00,470.00
20,2019-09-18,94,1597.00,761536.00,490.00,470.00,473.00
21,2019-09-19,119,1830.00,865750.00,491.00,469.00,469.00
22,2019-09-22,154,2580.00,1169605.00,469.00,450.00,454.00
23,2019-09-23,109,1550.00,703690.00,463.00,447.00,462.00
24,2019-09-24,85,1210.00,547300.00,460.00,447.00,451.00
25,2019-09-25,84,905.00,410050.00,459.00,449.00,450.00
26,2019-09-26,89,920.00,413920.00,459.00,447.00,454.00
27,2019-09-29,75,750.00,334740.00,450.00,441.00,446.00
28,2019-09-30,49,786.00,353250.00,454.00,441.00,448.00
29,2019-10-01,55,710.00,321060.00,464.00,444.00,460.00
30,2019-10-02,31,640.00,287730.00,455.00,447.00,450.00
31,2019-10-03,29,744.00,337562.00,460.00,450.00,458.00
32,2019-10-10,3,70.00,31560.00,451.00,450.00,451.00
33,2019-10-14,27,1270.00,574910.00,455.00,442.00,447.00
