S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-02-28,4,5500.00,55250.00,10.05,10.00,10.05
2,2018-03-04,2,10900.00,108865.00,10.00,9.85,10.00
3,2018-03-05,3,8600.00,83269.00,9.80,9.60,9.79
4,2018-03-06,7,15000.00,149235.00,10.00,9.60,10.00
5,2018-03-07,1,1000.00,10000.00,10.00,10.00,10.00
6,2018-03-11,4,7000.00,68590.00,9.82,9.76,9.80
7,2018-03-12,6,12500.00,123300.00,10.00,9.80,9.82
8,2018-03-14,4,3500.00,34800.00,10.00,9.85,9.90
9,2018-03-15,1,500.00,4855.00,9.71,9.71,9.71
10,2018-03-19,7,32500.00,323070.00,10.20,9.65,10.20
11,2018-03-22,5,4500.00,44220.00,10.00,9.80,9.80
12,2018-03-26,2,3000.00,28800.00,9.60,9.60,9.60
13,2018-03-27,2,5000.00,47500.00,9.50,9.50,9.50
14,2018-03-28,3,5000.00,47530.00,9.55,9.50,9.51
15,2018-03-29,3,24000.00,226720.00,9.51,9.32,9.45
16,2018-04-03,1,1000.00,9450.00,9.45,9.45,9.45
17,2018-04-04,4,13000.00,123965.00,9.64,9.51,9.51
18,2018-04-05,2,12000.00,112220.00,9.51,9.32,9.51
19,2018-04-08,3,11500.00,111550.00,9.70,9.70,9.70
20,2018-04-09,4,10900.00,107475.00,9.90,9.72,9.90
21,2018-04-10,3,16000.00,160300.00,10.05,9.80,10.05
22,2018-04-11,7,18200.00,181995.00,10.00,9.95,10.00
23,2018-04-15,4,2900.00,28420.00,9.80,9.80,9.80
24,2018-04-16,3,11000.00,106650.00,9.70,9.65,9.65
25,2018-04-18,2,2000.00,18850.00,9.50,9.35,9.35
26,2018-04-19,6,4230.00,39544.20,9.53,9.20,9.53
27,2018-04-22,5,7500.00,72350.00,9.89,9.34,9.89
28,2018-04-24,9,91890.00,908162.00,10.00,9.80,10.00
29,2018-04-25,2,4000.00,40010.00,10.01,10.00,10.01
30,2018-04-29,8,23000.00,226120.00,9.90,9.80,9.90
31,2018-05-02,5,5000.00,48060.00,9.75,9.57,9.57
32,2018-05-03,1,1000.00,9760.00,9.76,9.76,9.76
33,2018-05-06,2,4000.00,38520.00,9.65,9.57,9.65
34,2018-05-07,4,23300.00,220418.00,9.46,9.46,9.46
35,2018-05-08,4,2850.00,27620.00,9.80,9.64,9.80
36,2018-05-09,2,800.00,7840.00,9.80,9.80,9.80
37,2018-05-10,1,200.00,2000.00,10.00,10.00,10.00
38,2018-05-14,3,8000.00,77400.00,9.80,9.60,9.60
39,2018-05-15,1,500.00,4705.00,9.41,9.41,9.41
40,2018-05-16,3,2100.00,19740.00,9.40,9.40,9.40
41,2018-05-17,2,200.00,1909.00,9.59,9.50,9.59
42,2018-05-20,1,2000.00,19000.00,9.50,9.50,9.50
43,2018-05-21,2,3000.00,28650.00,9.60,9.45,9.45
44,2018-05-22,15,25200.00,241182.00,9.80,9.51,9.80
45,2018-05-23,2,1500.00,14900.00,10.00,9.80,9.80
46,2018-05-24,2,1500.00,14400.00,9.60,9.60,9.60
47,2018-05-29,1,3000.00,28800.00,9.60,9.60,9.60
48,2018-05-30,3,2500.00,23760.00,9.60,9.41,9.50
49,2018-06-04,1,2000.00,18620.00,9.31,9.31,9.31
50,2018-06-07,3,2000.00,18588.00,9.31,9.13,9.30
51,2018-06-10,1,5000.00,47450.00,9.49,9.49,9.49
52,2018-06-11,5,7000.00,65025.00,9.40,9.25,9.30
53,2018-06-12,5,16700.00,158417.00,9.50,9.31,9.31
54,2018-06-13,1,5000.00,46400.00,9.28,9.28,9.28
55,2018-06-14,2,1000.00,9118.00,9.28,9.10,9.10
56,2018-06-17,4,1100.00,10005.00,9.10,9.09,9.10
57,2018-06-18,1,5000.00,45500.00,9.10,9.10,9.10
58,2018-06-19,13,25000.00,236275.00,9.47,9.28,9.47
59,2018-06-20,1,50000.00,465000.00,9.30,9.30,9.30
60,2018-06-27,3,3000.00,27440.00,9.20,9.12,9.20
61,2018-06-28,1,1000.00,9380.00,9.38,9.38,9.38
62,2018-07-01,4,6500.00,58900.00,9.19,9.01,9.05
63,2018-07-02,1,1000.00,9000.00,9.00,9.00,9.00
64,2018-07-03,2,41000.00,369120.00,9.12,9.00,9.12
65,2018-07-04,5,5000.00,45290.00,9.10,9.00,9.10
66,2018-07-05,1,500.00,4500.00,9.00,9.00,9.00
67,2018-07-11,4,2100.00,18827.00,9.00,8.82,8.97
68,2018-07-12,1,1625.00,14641.25,9.01,9.01,9.01
69,2018-07-15,3,3000.00,27750.00,9.37,9.19,9.37
70,2018-07-16,3,2800.00,26408.00,9.56,9.20,9.56
71,2018-07-18,2,900.00,8433.00,9.37,9.37,9.37
72,2018-07-19,2,1500.00,14150.00,9.56,9.37,9.56
73,2018-07-23,2,1000.00,9370.00,9.37,9.37,9.37
74,2018-07-24,3,1100.00,10233.00,9.36,9.18,9.27
75,2018-07-26,9,14200.00,130536.00,9.25,9.08,9.08
76,2018-07-29,1,550.00,4955.50,9.01,9.01,9.01
77,2018-07-30,1,500.00,4575.00,9.15,9.15,9.15
78,2018-07-31,1,500.00,4560.00,9.12,9.12,9.12
79,2018-08-01,1,5000.00,46000.00,9.20,9.20,9.20
80,2018-08-05,2,1000.00,9080.00,9.11,9.05,9.11
81,2018-08-08,3,6400.00,58744.00,9.19,9.01,9.19
82,2018-08-09,7,30000.00,275890.00,9.25,9.10,9.16
83,2018-08-12,8,19000.00,174750.00,9.25,9.15,9.25
84,2018-08-13,7,6950.00,64567.50,9.30,9.25,9.30
85,2018-08-15,2,2000.00,18600.00,9.30,9.30,9.30
86,2018-08-21,5,2500.00,22610.00,9.11,9.00,9.00
87,2018-08-22,2,8200.00,73800.00,9.00,9.00,9.00
88,2018-08-28,2,1500.00,13500.00,9.00,9.00,9.00
89,2018-08-29,2,1000.00,8870.00,8.88,8.86,8.88
90,2018-08-30,1,1000.00,8950.00,8.95,8.95,8.95
91,2018-09-03,9,7300.00,66076.00,9.30,9.00,9.30
92,2018-09-04,4,13200.00,126268.00,9.60,9.49,9.58
93,2018-09-06,1,2500.00,23475.00,9.39,9.39,9.39
94,2018-09-09,2,9110.00,87083.80,9.58,9.39,9.58
95,2018-09-11,8,18000.00,173640.00,9.77,9.50,9.57
96,2018-09-12,1,500.00,4700.00,9.40,9.40,9.40
97,2018-09-13,6,33490.00,318385.00,9.69,9.49,9.60
98,2018-09-16,5,17160.00,167432.40,9.89,9.70,9.89
99,2018-09-17,2,2000.00,19600.00,9.80,9.80,9.80
100,2018-09-18,1,10000.00,100000.00,10.00,10.00,10.00
101,2018-09-20,2,1000.00,9700.00,9.80,9.60,9.60
102,2018-09-23,3,5000.00,48100.00,9.65,9.60,9.65
103,2018-09-25,13,11750.00,112900.00,9.60,9.60,9.65
104,2018-10-01,3,1800.00,16978.00,9.45,9.41,9.45
105,2018-10-02,2,1000.00,9400.00,9.40,9.40,9.40
106,2018-10-07,1,1000.00,9450.00,9.45,9.45,9.45
107,2018-10-08,1,2000.00,18540.00,9.27,9.27,9.27
108,2018-10-14,3,4500.00,42070.00,9.40,9.30,9.32
109,2018-10-15,1,500.00,4755.00,9.51,9.51,9.51
110,2018-10-21,5,5000.00,47550.00,9.51,9.51,9.51
111,2018-10-23,3,8000.00,76725.00,9.75,9.51,9.75
112,2018-10-25,3,3000.00,28980.00,9.75,9.40,9.40
113,2018-10-28,8,7850.00,74204.50,9.50,9.40,9.45
114,2018-10-29,5,2960.00,27408.20,9.42,9.23,9.23
115,2018-10-30,4,8600.00,79740.00,9.30,9.27,9.30
116,2018-11-01,1,600.00,5580.00,9.30,9.30,9.30
