S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-06-16,2,42.00,42000.00,1000.00,1000.00,1000.00
2,2019-12-25,2,50000.00,48150000.00,963.00,963.00,963.00
3,2019-12-29,2,25.00,24595.00,985.00,982.00,985.00
4,2019-12-30,1,200.00,198000.00,990.00,990.00,990.00
5,2020-01-13,3,50.00,49795.00,1000.00,990.00,1000.00
6,2020-01-14,1,25.00,25000.00,1000.00,1000.00,1000.00
7,2020-01-15,1,10.00,9800.00,980.00,980.00,980.00
8,2020-01-16,1,200.00,192400.00,962.00,962.00,962.00
9,2020-01-20,5,225.00,208870.00,945.00,926.00,926.00
10,2020-01-22,1,50.00,46500.00,930.00,930.00,930.00
11,2020-01-27,1,10.00,9480.00,948.00,948.00,948.00
12,2020-01-28,1,55.00,53130.00,966.00,966.00,966.00
13,2020-02-02,2,250.00,242450.00,970.00,969.00,970.00
14,2020-02-04,2,50.00,47075.00,951.00,932.00,932.00
15,2020-02-05,1,25.00,23750.00,950.00,950.00,950.00
16,2020-02-06,1,25.00,23375.00,935.00,935.00,935.00
17,2020-02-10,2,50.00,46700.00,934.00,934.00,934.00
18,2020-02-17,1,25.00,23425.00,937.00,937.00,937.00
19,2020-02-19,2,50.00,46725.00,935.00,934.00,935.00
20,2020-02-20,1,25.00,23350.00,934.00,934.00,934.00
21,2020-02-24,4,290.00,266890.00,925.00,917.00,917.00
22,2020-02-25,2,50.00,46500.00,930.00,930.00,930.00
23,2020-02-27,4,100.00,93050.00,931.00,930.00,930.00
24,2020-03-03,1,25.00,23700.00,948.00,948.00,948.00
25,2020-03-04,2,50.00,47400.00,948.00,948.00,948.00
26,2020-03-12,2,50.00,46750.00,935.00,935.00,935.00
27,2020-03-15,2,195.00,181840.00,933.00,932.00,932.00
28,2020-07-01,1,25.00,23750.00,950.00,950.00,950.00
29,2020-07-08,3,175.00,169325.00,969.00,965.00,965.00
30,2020-07-12,1,25.00,24000.00,960.00,960.00,960.00
31,2020-07-13,9,325.00,333160.00,1056.00,979.00,1056.00
32,2020-07-19,1,100.00,106000.00,1060.00,1060.00,1060.00
33,2020-07-23,4,150.00,155025.00,1039.00,1020.00,1025.00
34,2020-07-26,4,150.00,153125.00,1025.00,1010.00,1020.00
35,2020-07-27,3,100.00,101000.00,1010.00,1010.00,1010.00
36,2020-07-28,2,125.00,125625.00,1005.00,1005.00,1005.00
37,2020-07-29,2,150.00,150750.00,1005.00,1005.00,1005.00
38,2020-07-30,2,125.00,125125.00,1005.00,1000.00,1000.00
39,2020-08-02,2,100.00,100525.00,1006.00,1005.00,1005.00
40,2020-08-03,1,25.00,25125.00,1005.00,1005.00,1005.00
41,2020-08-05,2,75.00,75650.00,1010.00,1006.00,1006.00
42,2020-08-06,2,55.00,54875.00,1000.00,995.00,1000.00
43,2020-08-09,4,150.00,150350.00,1010.00,1000.00,1010.00
44,2020-08-10,1,25.00,25000.00,1000.00,1000.00,1000.00
45,2020-08-11,5,205.00,209025.00,1030.00,996.00,1030.00
46,2020-08-12,4,100.00,101920.00,1030.00,1011.00,1011.00
47,2020-08-13,3,100.00,100025.00,1001.00,1000.00,1000.00
48,2020-08-16,4,100.00,100000.00,1000.00,1000.00,1000.00
49,2020-08-17,2,125.00,125725.00,1006.00,1005.00,1006.00
50,2020-08-18,2,125.00,126350.00,1011.00,1010.00,1010.00
51,2020-08-19,3,150.00,151725.00,1013.00,1010.00,1013.00
52,2020-08-23,4,150.00,152500.00,1017.00,1016.00,1017.00
53,2020-08-24,1,25.00,25425.00,1017.00,1017.00,1017.00
54,2020-08-25,5,150.00,152550.00,1017.00,1017.00,1017.00
55,2020-08-26,2,75.00,76350.00,1018.00,1018.00,1018.00
56,2020-08-31,2,50.00,50900.00,1018.00,1018.00,1018.00
57,2020-09-02,1,50.00,50900.00,1018.00,1018.00,1018.00
58,2020-09-03,2,55.00,55990.00,1018.00,1018.00,1018.00
59,2020-09-06,1,50.00,50900.00,1018.00,1018.00,1018.00
60,2020-09-07,2,80.00,81440.00,1018.00,1018.00,1018.00
61,2020-09-09,1,25.00,25450.00,1018.00,1018.00,1018.00
