S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-10-01,12,273.00,36100.00,141.00,130.00,130.00
2,2019-10-02,22,3134.00,402377.00,132.00,125.00,125.00
3,2019-10-03,15,1384.00,179177.00,131.00,127.00,130.00
4,2019-10-10,3,542.00,70176.00,130.00,128.00,130.00
5,2019-10-14,21,9515.00,1209901.00,130.00,125.00,127.00
6,2019-10-15,13,2053.00,256410.00,126.00,123.00,125.00
7,2019-10-16,9,858.00,106479.00,126.00,123.00,124.00
8,2019-10-17,13,1623.00,198831.00,123.00,122.00,123.00
9,2019-10-20,10,1713.00,207730.00,122.00,121.00,121.00
10,2019-10-21,22,4943.00,593724.00,121.00,119.00,119.00
11,2019-10-22,8,5043.00,605162.00,121.00,119.00,121.00
12,2019-10-23,11,2186.00,261874.00,123.00,119.00,123.00
13,2019-10-24,7,308.00,37486.00,123.00,121.00,122.00
14,2019-10-31,20,1195.00,143510.00,122.00,116.00,121.00
15,2019-11-03,17,1578.00,190408.00,121.00,119.00,121.00
16,2019-11-04,4,1046.00,126440.00,121.00,120.00,121.00
17,2019-11-05,5,1220.00,146915.00,121.00,120.00,121.00
18,2019-11-06,3,136.00,16320.00,121.00,120.00,120.00
19,2019-11-07,11,2938.00,356899.00,123.00,121.00,121.00
20,2019-11-10,12,1662.00,198817.00,121.00,118.00,119.00
21,2019-11-11,4,536.00,64454.00,122.00,120.00,122.00
22,2019-11-12,6,250.00,29740.00,122.00,118.00,119.00
23,2019-11-13,6,1218.00,145287.00,122.00,119.00,122.00
24,2019-11-14,15,5187.00,622546.00,122.00,118.00,121.00
25,2019-11-17,23,3320.00,393780.00,120.00,117.00,119.00
26,2019-11-18,8,4586.00,544454.00,119.00,117.00,118.00
27,2019-11-19,6,1544.00,185184.00,120.00,118.00,120.00
28,2019-11-20,12,999.00,120922.00,122.00,119.00,121.00
29,2019-11-21,12,1587.00,192511.00,123.00,120.00,121.00
30,2019-11-24,13,3518.00,419947.00,120.00,119.00,119.00
31,2019-11-25,7,1517.00,180026.00,120.00,118.00,120.00
32,2019-11-26,8,1105.00,130390.00,118.00,118.00,118.00
33,2019-11-27,14,1800.00,209467.00,118.00,116.00,118.00
34,2019-11-28,13,3856.00,449406.00,119.00,116.00,116.00
35,2019-12-01,2,120.00,13920.00,116.00,116.00,116.00
36,2019-12-02,18,5389.00,621904.00,118.00,114.00,114.00
37,2019-12-03,15,2150.00,249930.00,118.00,115.00,115.00
38,2019-12-04,4,1691.00,197645.00,118.00,116.00,118.00
39,2019-12-05,9,1678.00,196168.00,120.00,116.00,120.00
40,2019-12-08,1,675.00,80325.00,119.00,119.00,119.00
41,2019-12-09,12,628.00,75552.00,121.00,117.00,121.00
42,2019-12-18,4,2852.00,343063.00,121.00,119.00,120.00
43,2019-12-19,67,12148.00,1462348.00,122.00,119.00,120.00
44,2019-12-22,25,3187.00,388459.00,125.00,119.00,122.00
45,2019-12-23,30,2900.00,363014.00,129.00,121.00,129.00
46,2019-12-24,12,1511.00,186433.00,127.00,121.00,123.00
47,2019-12-25,11,2365.00,291166.00,125.00,121.00,123.00
48,2019-12-26,17,3155.00,392389.00,126.00,122.00,125.00
49,2019-12-29,19,3999.00,492461.00,125.00,123.00,123.00
50,2019-12-30,7,1415.00,172728.00,124.00,122.00,124.00
51,2019-12-31,9,568.00,69905.00,125.00,122.00,125.00
52,2020-01-01,19,4159.00,511918.00,127.00,122.00,127.00
53,2020-01-02,8,2195.00,270444.00,126.00,122.00,122.00
54,2020-01-05,21,2782.00,357928.00,131.00,123.00,131.00
55,2020-01-06,37,3761.00,488130.00,135.00,127.00,131.00
56,2020-01-07,32,8738.00,1153846.00,134.00,127.00,134.00
57,2020-01-08,37,9804.00,1303093.00,135.00,130.00,134.00
58,2020-01-09,32,7670.00,1024760.00,138.00,131.00,132.00
59,2020-01-12,33,10071.00,1383161.00,141.00,133.00,141.00
60,2020-01-13,35,10610.00,1537611.00,151.00,140.00,147.00
61,2020-01-14,20,1610.00,226570.00,145.00,138.00,138.00
62,2020-01-15,11,1668.00,231779.00,141.00,136.00,140.00
63,2020-01-16,54,9839.00,1478500.00,154.00,142.00,153.00
64,2020-01-19,48,13992.00,2307798.00,168.00,153.00,168.00
65,2020-01-20,44,19326.00,3161704.00,168.00,154.00,157.00
66,2020-01-21,26,4300.00,657564.00,156.00,151.00,151.00
67,2020-01-22,24,5061.00,724189.00,148.00,140.00,147.00
68,2020-01-23,32,11520.00,1706220.00,150.00,147.00,147.00
69,2020-01-26,19,7001.00,956749.00,146.00,135.00,135.00
70,2020-01-27,11,758.00,103792.00,139.00,133.00,139.00
71,2020-01-28,30,5483.00,758489.00,142.00,137.00,137.00
72,2020-01-29,29,1730.00,247795.00,147.00,139.00,143.00
73,2020-01-30,34,7629.00,1101382.00,147.00,142.00,142.00
74,2020-02-02,20,4049.00,589545.00,147.00,140.00,144.00
75,2020-02-03,24,5931.00,882829.00,151.00,144.00,150.00
76,2020-02-04,29,5141.00,780431.00,156.00,149.00,151.00
77,2020-02-05,22,4498.00,660836.00,151.00,144.00,144.00
78,2020-02-06,30,4653.00,673172.00,150.00,142.00,143.00
79,2020-02-09,23,3419.00,488887.00,144.00,142.00,143.00
80,2020-02-10,11,920.00,131861.00,145.00,142.00,145.00
81,2020-02-11,52,12921.00,1962005.00,154.00,147.00,153.00
82,2020-02-12,6,712.00,107698.00,154.00,151.00,151.00
83,2020-02-13,15,3376.00,501371.00,150.00,146.00,146.00
84,2020-02-16,51,8284.00,1187433.00,146.00,140.00,144.00
85,2020-02-17,28,4519.00,655505.00,149.00,142.00,147.00
86,2020-02-18,36,13755.00,2014370.00,154.00,143.00,144.00
87,2020-02-19,5,155.00,22695.00,148.00,146.00,148.00
