S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-06-09,137,124987.00,1245120.70,10.16,9.75,10.12
2,2021-06-10,178,213883.00,2298305.59,11.00,9.93,10.60
3,2021-06-13,76,70260.00,731026.10,10.70,10.30,10.32
4,2021-06-14,78,38625.00,397303.70,10.35,10.18,10.34
5,2021-06-15,88,66800.00,690569.90,10.45,10.21,10.26
6,2021-06-16,56,65500.00,670669.00,10.40,10.18,10.35
7,2021-06-17,54,50155.00,515267.85,10.30,10.15,10.27
8,2021-06-20,55,37400.00,381588.00,10.45,10.10,10.14
9,2021-06-21,63,68200.00,687680.00,10.10,10.00,10.06
10,2021-06-22,44,51197.00,514393.85,10.10,9.99,10.08
11,2021-06-23,30,27809.00,280480.54,10.11,9.99,10.05
12,2021-06-24,44,40890.00,411276.80,10.08,10.00,10.03
13,2021-06-27,54,22050.00,222761.50,10.14,9.95,10.14
14,2021-06-28,32,12010.00,121026.00,10.12,10.02,10.05
15,2021-06-29,24,9550.00,95594.50,10.09,9.91,10.09
16,2021-06-30,28,9750.00,97713.00,10.10,9.99,10.00
17,2021-07-01,63,53500.00,536330.00,10.16,9.98,10.10
18,2021-07-04,36,24510.00,246739.90,10.13,10.00,10.03
19,2021-07-05,17,16350.00,164159.00,10.14,10.00,10.00
20,2021-07-06,35,60477.00,607877.03,10.19,9.91,10.00
21,2021-07-07,30,43400.00,437524.47,10.19,9.89,10.00
22,2021-07-08,16,5050.00,50486.00,10.10,9.95,10.00
23,2021-07-11,42,22260.00,225569.00,10.20,10.00,10.04
24,2021-07-12,48,41987.00,421195.40,10.19,9.90,10.00
25,2021-07-13,38,21650.00,222137.50,10.50,9.89,10.13
26,2021-07-14,29,19950.00,200518.50,10.16,9.97,10.16
27,2021-07-15,29,69300.00,702932.00,10.16,10.00,10.16
28,2021-07-18,36,15900.00,160223.10,10.16,10.01,10.10
29,2021-07-19,25,8900.00,89734.00,10.12,10.00,10.12
30,2021-07-20,127,113347.00,1174427.05,10.56,10.15,10.53
31,2021-07-22,228,486620.00,5364332.00,11.29,10.54,10.60
32,2021-07-25,76,137579.00,1456594.40,10.80,10.39,10.55
33,2021-07-26,71,101561.00,1082404.88,10.97,10.34,10.62
34,2021-07-27,55,69300.00,729018.50,10.62,10.44,10.62
35,2021-07-28,41,32940.00,343188.20,10.50,10.41,10.42
36,2021-07-29,50,33545.00,349711.17,10.60,10.23,10.58
37,2021-08-01,86,135850.00,1424039.60,10.79,10.29,10.29
38,2021-08-02,41,23300.00,243913.00,10.70,10.25,10.48
39,2021-08-03,42,20471.00,214998.15,10.70,10.30,10.46
40,2021-08-04,94,104979.00,1107475.30,10.70,10.36,10.44
41,2021-08-05,46,24565.00,256886.60,10.60,10.30,10.42
42,2021-08-08,55,51400.00,531694.46,10.45,10.29,10.30
43,2021-08-09,49,18500.00,192756.00,10.55,10.10,10.45
44,2021-08-10,61,57300.00,589070.35,10.50,10.10,10.29
45,2021-08-11,49,19100.00,197034.60,10.36,10.20,10.30
46,2021-08-12,45,39440.00,403639.02,10.31,10.11,10.21
