S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-06-02,11,380.00,380500.00,1000.00,1000.00,995.00
2,2021-06-03,5,205.00,204630.00,1000.00,998.00,998.00
3,2021-06-06,7,175.00,173995.00,1000.00,990.00,1000.00
4,2021-06-07,10,425.00,425475.00,1005.00,990.00,1000.00
5,2021-06-08,15,470.00,468250.00,1001.00,995.00,1001.00
6,2021-06-09,9,450.00,449150.00,1001.00,995.00,996.00
7,2021-06-10,7,255.00,253995.00,1000.00,995.00,995.00
8,2021-06-13,13,590.00,590345.00,1005.00,990.00,1000.00
9,2021-06-14,10,260.00,261730.00,1008.00,996.00,1008.00
10,2021-06-15,18,925.00,924825.00,1005.00,995.00,999.00
11,2021-06-16,4,120.00,119810.00,1001.00,996.00,1001.00
12,2021-06-17,5,300.00,300100.00,1001.00,1000.00,1000.00
13,2021-06-20,5,290.00,289955.00,1000.00,997.00,1000.00
14,2021-06-21,2,75.00,75135.00,1003.00,1001.00,1001.00
15,2021-06-22,4,140.00,140380.00,1005.00,1000.00,1002.00
16,2021-06-23,3,75.00,75100.00,1002.00,1000.00,1002.00
17,2021-06-24,10,355.00,357175.00,1010.00,1000.00,1010.00
18,2021-06-27,7,210.00,210815.00,1005.00,1002.00,1005.00
19,2021-06-28,3,220.00,221100.00,1005.00,1005.00,1005.00
20,2021-06-29,4,100.00,100500.00,1007.00,1003.00,1007.00
21,2021-07-01,2,45.00,45200.00,1005.00,1004.00,1004.00
22,2021-07-04,9,230.00,230810.00,1005.00,1001.00,1005.00
23,2021-07-05,8,275.00,275750.00,1004.00,1002.00,1002.00
24,2021-07-06,3,80.00,80350.00,1005.00,1004.00,1004.00
25,2021-07-07,2,65.00,65275.00,1005.00,1003.00,1005.00
26,2021-07-11,7,325.00,327300.00,1008.00,1005.00,1008.00
27,2021-07-12,6,147.00,147979.00,1007.00,1006.00,1006.00
28,2021-07-13,2,50.00,50325.00,1009.00,1004.00,1009.00
29,2021-07-15,1,25.00,25100.00,1004.00,1004.00,1004.00
30,2021-07-18,2,95.00,93722.50,995.00,984.30,995.00
31,2021-07-19,3,450.00,447750.00,995.00,995.00,995.00
32,2021-07-20,4,75.00,74675.00,1000.00,995.00,995.00
33,2021-07-22,5,130.00,129357.00,996.00,994.00,996.00
34,2021-07-25,4,450.00,447750.00,995.00,995.00,995.00
35,2021-07-26,2,270.00,265950.00,985.00,985.00,985.00
36,2021-07-27,3,180.00,177180.00,985.00,981.00,985.00
37,2021-07-28,5,235.00,232400.00,995.00,984.00,990.00
38,2021-07-29,3,75.00,74308.00,995.00,985.10,995.00
39,2021-08-01,1,25.00,24750.00,990.00,990.00,990.00
40,2021-08-02,4,355.00,349675.00,985.00,985.00,985.00
41,2021-08-03,2,40.00,39600.00,990.00,990.00,990.00
42,2021-08-04,7,320.00,315041.00,985.60,983.00,985.00
43,2021-08-05,1,10.00,9860.00,986.00,986.00,986.00
44,2021-08-08,3,55.00,54208.00,986.20,985.00,986.20
45,2021-08-09,6,95.00,93737.00,987.00,986.20,986.20
46,2021-08-10,3,75.00,74002.50,988.00,986.00,986.10
47,2021-08-11,3,150.00,148155.00,988.50,986.10,988.50
48,2021-08-12,2,45.00,44460.00,988.00,988.00,988.00
