S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-09-14,4,105.00,105295.00,1021.00,1000.00,1021.00
2,2020-09-16,1,980.00,1029000.00,1050.00,1050.00,1050.00
3,2020-09-17,1,25.00,25725.00,1029.00,1029.00,1029.00
4,2020-09-23,3,80.00,81900.00,1029.00,1015.00,1015.00
5,2020-09-28,1,25.00,25375.00,1015.00,1015.00,1015.00
6,2020-10-01,1,50.00,50000.00,1000.00,1000.00,1000.00
7,2020-10-05,1,50.00,50950.00,1019.00,1019.00,1019.00
8,2020-10-07,1,25.00,25375.00,1015.00,1015.00,1015.00
9,2020-10-12,1,50.00,50750.00,1015.00,1015.00,1015.00
10,2020-10-13,1,10.00,10200.00,1020.00,1020.00,1020.00
11,2020-11-01,3,250.00,260000.00,1040.00,1040.00,1040.00
12,2020-11-02,3,950.00,997500.00,1050.00,1050.00,1050.00
13,2020-11-05,1,10.00,10360.00,1036.00,1036.00,1036.00
14,2020-11-09,1,25.00,26250.00,1050.00,1050.00,1050.00
15,2020-11-11,1,25.00,25775.00,1031.00,1031.00,1031.00
16,2020-11-12,1,25.00,25775.00,1031.00,1031.00,1031.00
17,2020-12-01,1,100.00,101100.00,1011.00,1011.00,1011.00
18,2020-12-02,1,30.00,30390.00,1013.00,1013.00,1013.00
19,2020-12-10,1,25.00,25375.00,1015.00,1015.00,1015.00
20,2020-12-14,1,200.00,204400.00,1022.00,1022.00,1022.00
21,2020-12-15,2,230.00,239660.00,1042.00,1042.00,1042.00
22,2020-12-20,1,30.00,31500.00,1050.00,1050.00,1050.00
23,2020-12-22,1,50.00,52250.00,1045.00,1045.00,1045.00
24,2020-12-23,1,500.00,525000.00,1050.00,1050.00,1050.00
25,2020-12-27,1,25.00,26775.00,1071.00,1071.00,1071.00
26,2020-12-28,1,100.00,106000.00,1060.00,1060.00,1060.00
27,2020-12-30,1,500.00,532500.00,1065.00,1065.00,1065.00
