S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-06-02,6,155.00,155325.00,1000.00,1000.00,1000.00
2,2021-06-03,6,570.00,567685.00,998.00,993.00,996.00
3,2021-06-06,14,520.00,515685.00,995.00,990.00,993.00
4,2021-06-07,11,315.00,313600.00,1000.00,995.00,995.00
5,2021-06-08,7,625.00,622075.00,996.00,990.00,995.00
6,2021-06-09,7,325.00,323250.00,995.00,991.00,995.00
7,2021-06-10,5,85.00,84510.00,1002.00,992.00,992.00
8,2021-06-13,6,250.00,248825.00,996.00,993.00,995.00
9,2021-06-14,5,180.00,179255.00,997.00,995.00,996.00
10,2021-06-15,4,85.00,84685.00,998.00,995.00,996.00
11,2021-06-16,1,50.00,49800.00,996.00,996.00,996.00
12,2021-06-17,4,90.00,89915.00,1001.00,998.00,998.00
13,2021-06-20,13,385.00,385260.00,1003.00,998.00,1000.00
14,2021-06-21,3,70.00,70000.00,1000.00,1000.00,1000.00
15,2021-06-22,2,45.00,45000.00,1000.00,1000.00,1000.00
16,2021-06-23,2,35.00,34960.00,1000.00,996.00,1000.00
17,2021-06-24,4,120.00,121300.00,1020.00,1004.00,1010.00
18,2021-06-27,3,75.00,75275.00,1005.00,1003.00,1005.00
19,2021-06-28,4,150.00,150700.00,1005.00,1004.00,1004.00
20,2021-06-29,4,100.00,100450.00,1005.00,1004.00,1004.00
21,2021-06-30,4,125.00,125475.00,1004.00,1003.00,1004.00
22,2021-07-01,5,165.00,165370.00,1004.00,1000.00,1000.00
23,2021-07-04,3,100.00,100250.00,1005.00,1001.00,1002.00
24,2021-07-05,1,25.00,25050.00,1002.00,1002.00,1002.00
25,2021-07-06,4,110.00,110695.00,1020.00,1001.00,1003.00
26,2021-07-11,2,50.00,50200.00,1006.00,1002.00,1006.00
27,2021-07-12,5,280.00,281445.00,1006.00,1004.00,1005.00
28,2021-07-13,1,25.00,25175.00,1007.00,1007.00,1007.00
29,2021-07-14,2,65.00,65215.00,1007.00,1001.00,1001.00
30,2021-07-18,1,125.00,122625.00,981.00,981.00,981.00
31,2021-07-25,2,35.00,34575.00,989.00,985.00,989.00
32,2021-07-26,6,665.00,656450.00,993.00,985.00,985.00
33,2021-07-27,1,25.00,24625.00,985.00,985.00,985.00
34,2021-07-29,1,10.00,9785.00,978.50,978.50,978.50
35,2021-08-01,2,50.00,49300.00,995.00,980.00,995.00
36,2021-08-02,1,25.00,24625.00,985.00,985.00,985.00
37,2021-08-03,4,85.00,84645.00,1003.00,985.00,985.00
38,2021-08-04,3,240.00,235537.00,981.60,981.30,981.30
39,2021-08-05,1,60.00,59100.00,985.00,985.00,985.00
40,2021-08-08,1,25.00,24527.50,981.10,981.10,981.10
41,2021-08-09,1,25.00,24562.50,982.50,982.50,982.50
42,2021-08-10,3,75.00,73780.00,984.10,983.10,984.10
43,2021-08-11,1,25.00,24500.00,980.00,980.00,980.00
44,2021-08-12,2,55.00,54060.00,985.20,981.00,985.20
