S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-08-10,2,110.00,35260.00,326.00,320.00,326.00
2,2017-08-17,2,22.00,7376.00,338.00,332.00,338.00
3,2017-08-28,1,10.00,3440.00,344.00,344.00,344.00
4,2017-09-11,1,10.00,3500.00,350.00,350.00,350.00
5,2017-09-20,1,10.00,3570.00,357.00,357.00,357.00
6,2017-11-28,1,10.00,3250.00,325.00,325.00,325.00
7,2017-12-05,1,10.00,3310.00,331.00,331.00,331.00
8,2017-12-13,2,20.00,6800.00,343.00,337.00,343.00
9,2018-02-01,2,30.00,10590.00,355.00,349.00,355.00
10,2018-02-21,1,11.00,3982.00,362.00,362.00,362.00
11,2018-02-25,1,11.00,4059.00,369.00,369.00,369.00
12,2018-02-28,1,10.00,3760.00,376.00,376.00,376.00
13,2018-03-04,1,11.00,4213.00,383.00,383.00,383.00
14,2018-03-05,1,10.00,3900.00,390.00,390.00,390.00
15,2018-03-06,3,36.00,14578.00,412.00,397.00,412.00
16,2018-03-13,5,843.00,443006.90,428.00,420.00,428.00
17,2018-03-14,7,46.00,20480.00,444.00,436.00,444.00
18,2018-03-18,4,37.00,17039.00,461.00,452.00,461.00
19,2018-03-19,3,36.00,17271.00,488.00,470.00,488.00
20,2018-03-20,1,11.00,5632.00,512.00,512.00,512.00
21,2018-03-22,1,11.00,5742.00,522.00,522.00,522.00
22,2018-03-26,1,11.00,5852.00,532.00,532.00,532.00
23,2018-03-27,1,10.00,5420.00,542.00,542.00,542.00
24,2018-03-28,2,26.00,14495.00,563.00,552.00,563.00
25,2018-03-29,3,36.00,21093.00,596.00,574.00,596.00
26,2018-04-01,2,26.00,15938.00,619.00,607.00,619.00
27,2018-04-02,3,32.00,21163.00,674.00,649.00,674.00
28,2018-04-04,2,26.00,18031.00,700.00,687.00,700.00
29,2018-04-05,3,39.00,28392.00,742.00,714.00,742.00
30,2018-04-08,1,13.00,9828.00,756.00,756.00,756.00
31,2018-04-09,3,39.00,30654.00,801.00,771.00,801.00
32,2018-04-10,4,49.00,41137.00,865.00,817.00,865.00
33,2018-04-11,6,51.00,45645.00,916.00,882.00,916.00
34,2018-04-12,7,55.00,53273.00,961.00,961.00,961.00
35,2018-04-16,2,23.00,22787.00,999.00,980.00,999.00
36,2018-04-17,2,26.00,26728.00,1038.00,1018.00,1038.00
37,2018-04-19,7,61.00,65233.00,1100.00,1058.00,1100.00
38,2018-04-22,4,42.00,47982.00,1166.00,1122.00,1166.00
39,2018-04-23,6,68.00,84635.00,1282.00,1189.00,1282.00
40,2018-04-24,1,12.00,15684.00,1307.00,1307.00,1307.00
41,2018-04-25,3,36.00,49015.00,1386.00,1333.00,1386.00
