S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-08-06,2,20.00,7870.00,397.00,390.00,397.00
2,2020-08-09,6,60.00,25360.00,436.00,404.00,436.00
3,2020-08-10,10,100.00,47010.00,479.00,444.00,479.00
4,2020-08-11,10,100.00,51630.00,526.00,488.00,526.00
5,2020-08-12,14,140.00,79850.00,578.00,536.00,578.00
6,2020-08-13,20,200.00,126490.00,635.00,606.00,635.00
7,2020-08-16,63,630.00,439170.00,698.00,666.00,698.00
8,2020-08-17,136,1360.00,1041720.00,767.00,711.00,767.00
9,2020-08-18,294,2940.00,2476890.00,843.00,782.00,843.00
10,2020-08-19,3815,44376.00,39797641.00,927.00,869.00,871.00
11,2020-08-20,959,9920.00,8403013.00,885.00,840.00,845.00
12,2020-08-23,824,9420.00,7730040.00,840.00,815.00,822.00
13,2020-08-24,493,6010.00,5011320.00,845.00,822.00,836.00
14,2020-08-25,395,7887.00,6583290.00,877.00,829.00,831.00
15,2020-08-26,501,6440.00,5401930.00,850.00,833.00,837.00
16,2020-08-27,340,4710.00,3929030.00,843.00,830.00,832.00
17,2020-08-30,269,4330.00,3561810.00,835.00,819.00,823.00
18,2020-08-31,331,8358.00,6873906.00,832.00,818.00,825.00
19,2020-09-02,302,3890.00,3234110.00,845.00,822.00,829.00
20,2020-09-03,307,5241.00,4333920.00,858.00,790.00,858.00
21,2020-09-06,237,4190.00,3505250.00,900.00,825.00,830.00
22,2020-09-07,318,4400.00,3617010.00,830.00,816.00,825.00
23,2020-09-08,221,2921.00,2407546.00,866.00,817.00,825.00
24,2020-09-09,395,7790.00,6634310.00,872.00,821.00,853.00
25,2020-09-10,432,15057.00,13402101.00,916.00,841.00,904.00
26,2020-09-13,285,5854.00,5218034.00,913.00,877.00,884.00
27,2020-09-14,244,4539.00,3939943.00,884.00,860.00,870.00
28,2020-09-15,195,2192.00,1879934.00,869.00,853.00,865.00
29,2020-09-16,160,1960.00,1678320.00,862.00,848.00,858.00
30,2020-09-17,253,5057.00,4359350.00,874.00,844.00,860.00
31,2020-09-20,234,3480.00,2947280.00,860.00,830.00,849.00
32,2020-09-21,407,6450.00,5467540.00,858.00,835.00,846.00
33,2020-09-22,322,5230.00,4405040.00,850.00,836.00,840.00
34,2020-09-23,244,4300.00,3592130.00,844.00,828.00,839.00
35,2020-09-24,280,5630.00,4691985.00,838.00,829.00,833.00
36,2020-09-27,184,4320.00,3607514.00,854.00,826.00,828.00
37,2020-09-28,184,2010.00,1658650.00,830.00,823.00,823.00
38,2020-09-29,192,2470.00,2030610.00,827.00,820.00,823.00
39,2020-09-30,149,2020.00,1647570.00,820.00,814.00,815.00
40,2020-10-01,214,3700.00,3044960.00,834.00,816.00,830.00
41,2020-10-04,209,2800.00,2315780.00,846.00,817.00,822.00
42,2020-10-05,204,2930.00,2412790.00,837.00,820.00,820.00
43,2020-10-06,133,2170.00,1773280.00,824.00,815.00,816.00
44,2020-10-07,124,1883.00,1537810.00,827.00,811.00,816.00
45,2020-10-08,199,4700.00,3846450.00,832.00,815.00,832.00
46,2020-10-11,133,2300.00,1888570.00,838.00,811.00,820.00
47,2020-10-12,121,1850.00,1505980.00,820.00,810.00,815.00
48,2020-10-13,172,3863.00,3184853.00,831.00,812.00,826.00
49,2020-10-14,104,2530.00,2077950.00,826.00,815.00,826.00
50,2020-10-15,99,2320.00,1896300.00,830.00,814.00,815.00
51,2020-10-18,86,1876.00,1518146.00,816.00,800.00,810.00
52,2020-10-19,59,980.00,800560.00,822.00,805.00,820.00
53,2020-10-20,37,826.00,681182.00,861.00,806.00,837.00
54,2020-10-21,39,490.00,402820.00,829.00,818.00,826.00
55,2020-10-22,59,1260.00,1032670.00,823.00,815.00,820.00
56,2020-10-28,98,1239.00,1014043.00,827.00,804.00,820.00
57,2020-10-29,110,2370.00,1964230.00,836.00,812.00,826.00
58,2020-11-01,190,4102.00,3433366.00,846.00,822.00,845.00
59,2020-11-02,261,8587.00,7361950.00,867.00,829.00,862.00
60,2020-11-03,198,5975.00,5136960.00,877.00,846.00,858.00
61,2020-11-04,133,3160.00,2682750.00,864.00,845.00,850.00
62,2020-11-05,146,2980.00,2527100.00,858.00,840.00,853.00
63,2020-11-08,190,7295.00,6264025.00,868.00,838.00,863.00
64,2020-11-09,629,27550.00,24708453.00,916.00,863.00,913.00
65,2020-11-10,228,14021.00,12688119.00,920.00,895.00,903.00
66,2020-11-11,239,10839.00,9927909.00,926.00,885.00,923.00
67,2020-11-12,188,5630.00,5107954.00,941.00,900.00,904.00
68,2020-11-18,82,5505.00,4925395.00,910.00,891.00,896.00
69,2020-11-19,213,11191.00,10357470.00,940.00,895.00,940.00
70,2020-11-22,149,10470.00,9693245.00,958.00,910.00,913.00
71,2020-11-23,164,4106.00,3757252.00,928.00,897.00,928.00
72,2020-11-24,174,7637.00,7124375.00,940.00,910.00,933.00
73,2020-11-25,231,10864.00,10528976.00,1005.00,922.00,1010.00
74,2020-11-26,298,14726.00,14918755.00,1071.00,975.00,1009.00
75,2020-11-29,207,4537.00,4645513.00,1050.00,990.00,1025.00
76,2020-11-30,206,6990.00,7148900.00,1035.00,1005.00,1019.00
77,2020-12-01,149,6465.00,6519120.00,1020.00,996.00,1015.00
78,2020-12-02,256,11662.00,12547530.00,1116.00,1016.00,1116.00
79,2020-12-03,153,8884.00,9676291.00,1160.00,1060.00,1080.00
80,2020-12-06,256,12742.00,13228501.00,1066.00,987.00,987.00
81,2020-12-07,228,8088.00,8392752.00,1057.00,1000.00,1056.00
82,2020-12-08,165,10033.00,10436438.00,1069.00,1030.00,1040.00
83,2020-12-09,160,9255.00,9457992.00,1045.00,1009.00,1045.00
84,2020-12-10,120,1950.00,2000020.00,1045.00,1010.00,1039.00
85,2020-12-13,569,23719.00,26744737.00,1142.00,1090.00,1142.00
86,2020-12-14,377,15553.00,18888246.00,1230.00,1195.00,1207.00
87,2020-12-15,201,10140.00,12071181.00,1220.00,1179.00,1195.00
88,2020-12-16,288,16875.00,20957960.00,1289.00,1185.00,1289.00
89,2020-12-17,198,7302.00,9148444.00,1300.00,1235.00,1290.00
90,2020-12-20,223,7576.00,9085798.00,1275.00,1161.00,1200.00
91,2020-12-21,225,8503.00,9941269.00,1209.00,1108.00,1200.00
92,2020-12-22,199,5834.00,7078083.00,1260.00,1194.00,1236.00
93,2020-12-23,144,3081.00,3719707.00,1224.00,1196.00,1224.00
94,2020-12-24,111,1879.00,2240994.00,1285.00,1165.00,1179.00
95,2020-12-27,120,3041.00,3573711.00,1188.00,1157.00,1172.00
96,2020-12-28,121,2591.00,3011862.00,1183.00,1150.00,1168.00
97,2020-12-29,146,2104.00,2449551.00,1191.00,1145.00,1159.00
98,2020-12-30,208,5035.00,5918751.00,1240.00,1150.00,1225.00
99,2020-12-31,136,4478.00,4654725.00,1089.00,1020.00,1022.00
100,2021-01-03,96,1794.00,1838591.00,1070.00,1012.00,1030.00
101,2021-01-04,78,1655.00,1683531.00,1045.00,1002.00,1045.00
102,2021-01-05,63,1145.00,1165240.00,1025.00,1005.00,1022.00
103,2021-01-06,121,3007.00,3183355.00,1119.00,1020.00,1060.00
104,2021-01-07,159,4303.00,4731737.00,1133.00,1040.00,1115.00
105,2021-01-10,115,4416.00,4862774.00,1140.00,1078.00,1115.00
106,2021-01-11,100,3624.00,4042074.00,1182.00,1093.00,1182.00
107,2021-01-12,156,5665.00,6713882.00,1241.00,1121.00,1238.00
108,2021-01-13,123,9202.00,11540027.00,1299.00,1200.00,1239.00
109,2021-01-17,101,2860.00,3523960.00,1300.00,1206.00,1233.00
110,2021-01-18,99,3428.00,4188328.00,1233.00,1210.00,1220.00
111,2021-01-19,106,6071.00,7486456.00,1250.00,1200.00,1250.00
112,2021-01-20,102,5810.00,7118730.00,1248.00,1216.00,1225.00
113,2021-01-21,225,11814.00,15033700.00,1315.00,1205.00,1315.00
114,2021-01-24,185,7679.00,10435762.00,1446.00,1274.00,1398.00
115,2021-01-25,158,6146.00,8400632.00,1425.00,1335.00,1400.00
116,2021-01-26,128,4210.00,5728210.00,1470.00,1344.00,1350.00
117,2021-01-27,97,4006.00,5442368.00,1370.00,1331.00,1369.00
118,2021-01-28,159,7710.00,10749793.00,1445.00,1367.00,1390.00
119,2021-01-31,96,2498.00,3352707.00,1417.00,1331.00,1337.00
120,2021-02-01,112,4213.00,5522154.00,1360.00,1290.00,1299.00
121,2021-02-02,129,7100.00,9410962.00,1367.00,1276.00,1345.00
122,2021-02-03,139,5409.00,7232606.00,1412.00,1310.00,1335.00
123,2021-02-04,164,6296.00,8547699.00,1440.00,1284.00,1392.00
124,2021-02-07,386,26298.00,37975455.00,1531.00,1365.00,1531.00
