S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-01-16,4,6300.00,63000.00,10.00,10.00,10.00
2,2018-01-17,2,13200.00,133950.00,10.15,10.00,10.15
3,2018-01-21,18,32150.00,325265.00,10.15,10.10,10.14
4,2018-01-23,7,23500.00,238500.00,10.20,10.10,10.10
5,2018-01-24,6,13500.00,135210.00,10.10,10.00,10.00
6,2018-01-25,1,3000.00,30000.00,10.00,10.00,10.00
7,2018-01-28,3,3000.00,30000.00,10.00,10.00,10.00
8,2018-01-29,2,2100.00,21120.00,10.20,10.05,10.05
9,2018-01-31,7,51000.00,512470.00,10.09,9.97,10.09
10,2018-02-01,3,8300.00,83708.00,10.09,9.96,9.96
11,2018-02-04,1,4500.00,44550.00,9.90,9.90,9.90
12,2018-02-05,8,19500.00,191715.00,10.00,9.78,9.81
13,2018-02-06,4,19900.00,196630.00,9.90,9.71,9.90
14,2018-02-07,4,1700.00,16630.00,9.88,9.73,9.80
15,2018-02-08,2,7100.00,68849.00,9.70,9.69,9.70
16,2018-02-11,4,15200.00,147432.00,9.70,9.66,9.66
17,2018-02-12,4,8700.00,84820.00,9.80,9.61,9.75
18,2018-02-15,1,2000.00,19600.00,9.80,9.80,9.80
19,2018-02-18,3,11500.00,110400.00,9.60,9.60,9.60
20,2018-02-20,22,4800.00,46650.00,9.79,9.60,9.60
21,2018-02-21,2,12500.00,120000.00,9.60,9.60,9.60
22,2018-02-22,9,21100.00,202148.00,9.60,9.56,9.60
23,2018-02-25,1,1000.00,9460.00,9.46,9.46,9.46
24,2018-02-26,2,3500.00,33135.00,9.48,9.45,9.48
25,2018-02-28,10,22400.00,212436.00,9.67,9.45,9.47
26,2018-03-04,6,5000.00,46775.00,9.45,9.26,9.26
27,2018-03-05,5,23100.00,212420.00,9.30,9.16,9.20
28,2018-03-06,9,12100.00,111917.00,9.35,9.16,9.35
29,2018-03-07,19,55800.00,520580.00,9.41,9.20,9.40
30,2018-03-11,5,5500.00,51645.00,9.68,9.27,9.68
31,2018-03-13,3,10000.00,97500.00,9.75,9.75,9.75
32,2018-03-14,13,44500.00,427570.00,9.70,9.50,9.70
33,2018-03-15,16,16700.00,161515.00,9.75,9.65,9.75
34,2018-03-18,5,15000.00,145900.00,9.80,9.60,9.60
35,2018-03-19,2,22500.00,218050.00,9.70,9.69,9.70
36,2018-03-20,2,4300.00,42355.00,9.85,9.85,9.85
37,2018-03-22,4,3500.00,33585.00,9.75,9.57,9.57
38,2018-03-26,10,15400.00,143603.00,9.50,9.22,9.23
39,2018-03-27,4,9000.00,82210.00,9.20,9.10,9.20
40,2018-03-28,8,18500.00,176220.00,9.59,9.38,9.59
41,2018-03-29,11,10000.00,96310.00,9.79,9.36,9.65
42,2018-04-01,15,49350.00,473252.50,9.70,9.50,9.50
43,2018-04-02,18,105500.00,986921.50,9.50,9.30,9.31
44,2018-04-03,7,8850.00,81520.00,9.40,9.15,9.23
45,2018-04-05,5,20700.00,203301.00,10.00,9.41,10.00
46,2018-04-08,7,25800.00,257694.00,10.00,9.80,10.00
47,2018-04-09,4,29500.00,290820.00,9.99,9.85,9.88
48,2018-04-10,7,25200.00,245040.00,9.80,9.70,9.75
49,2018-04-11,5,27650.00,273740.00,9.94,9.85,9.94
50,2018-04-12,6,8000.00,78650.00,9.85,9.80,9.85
51,2018-04-15,2,1000.00,9650.00,9.65,9.65,9.65
52,2018-04-16,5,3100.00,30415.00,9.85,9.75,9.85
53,2018-04-17,4,2000.00,19725.00,10.00,9.80,10.00
54,2018-04-18,1,5000.00,50050.00,10.01,10.01,10.01
55,2018-04-19,13,19780.00,195288.50,10.00,9.75,9.90
56,2018-04-22,15,48800.00,485120.00,9.99,9.90,9.95
57,2018-04-23,7,59000.00,578370.00,9.90,9.75,9.90
58,2018-04-24,7,9300.00,91620.00,10.00,9.80,9.86
59,2018-04-25,8,6700.00,64820.00,9.85,9.66,9.70
60,2018-04-26,2,3500.00,33575.00,9.60,9.55,9.60
61,2018-04-29,4,11500.00,108625.00,9.50,9.35,9.35
62,2018-05-02,6,14700.00,138010.00,9.45,9.30,9.45
63,2018-05-03,1,2000.00,18640.00,9.32,9.32,9.32
64,2018-05-06,5,4100.00,38122.00,9.53,9.27,9.53
65,2018-05-07,6,6800.00,65460.00,9.72,9.60,9.60
66,2018-05-08,2,600.00,5795.00,9.69,9.50,9.69
67,2018-05-09,4,11800.00,112600.00,9.60,9.50,9.60
68,2018-05-10,4,2100.00,19970.00,9.60,9.41,9.60
69,2018-05-14,5,3290.00,31051.80,9.55,9.36,9.55
70,2018-05-16,2,3400.00,32415.00,9.60,9.45,9.60
71,2018-05-17,1,2500.00,24000.00,9.60,9.60,9.60
72,2018-05-20,5,4800.00,46042.00,9.64,9.45,9.60
73,2018-05-21,6,7700.00,73738.00,9.64,9.45,9.50
74,2018-05-22,4,8800.00,84630.00,9.65,9.60,9.65
75,2018-05-24,1,2000.00,19500.00,9.75,9.75,9.75
76,2018-05-28,4,8000.00,76480.00,9.56,9.56,9.56
77,2018-05-29,5,8100.00,76902.00,9.55,9.37,9.50
78,2018-05-31,2,2000.00,18880.00,9.50,9.38,9.38
79,2018-06-04,5,19000.00,180500.00,9.50,9.50,9.50
80,2018-06-06,1,500.00,4680.00,9.36,9.36,9.36
81,2018-06-07,3,10700.00,99732.00,9.36,9.32,9.32
82,2018-06-10,3,5500.00,50905.00,9.30,9.13,9.13
83,2018-06-11,7,9750.00,88257.00,9.20,9.00,9.20
84,2018-06-12,4,2700.00,24930.00,9.28,9.10,9.10
85,2018-06-14,2,3000.00,27125.00,9.10,9.03,9.03
86,2018-06-17,1,400.00,3560.00,8.90,8.90,8.90
87,2018-06-19,1,2500.00,22000.00,8.80,8.80,8.80
88,2018-06-24,2,1500.00,13380.00,8.98,8.80,8.98
89,2018-06-25,3,1200.00,10830.00,9.05,9.00,9.05
90,2018-06-27,5,3620.00,32929.00,9.20,9.05,9.20
91,2018-06-28,1,1100.00,10120.00,9.20,9.20,9.20
92,2018-07-01,2,3200.00,28670.00,9.10,8.92,8.92
93,2018-07-03,2,3000.00,27020.00,9.02,9.00,9.02
94,2018-07-04,3,3000.00,27260.00,9.10,9.02,9.10
95,2018-07-05,2,6000.00,55150.00,9.20,9.10,9.20
96,2018-07-08,6,15100.00,135350.00,9.10,8.90,8.91
97,2018-07-09,3,1500.00,13410.00,9.00,8.91,8.91
98,2018-07-11,1,200.00,1782.00,8.91,8.91,8.91
99,2018-07-12,2,2000.00,17790.00,8.92,8.82,8.82
100,2018-07-15,11,22750.00,210469.00,9.38,8.83,9.20
101,2018-07-16,3,700.00,6494.00,9.56,9.20,9.56
102,2018-07-17,4,9500.00,90820.00,9.56,9.56,9.56
103,2018-07-18,1,1500.00,14340.00,9.56,9.56,9.56
104,2018-07-19,1,1500.00,14625.00,9.75,9.75,9.75
105,2018-07-22,4,9500.00,91210.00,9.75,9.40,9.40
106,2018-07-23,8,31000.00,283950.00,9.21,9.00,9.00
107,2018-07-24,7,155000.00,1437700.00,9.48,9.11,9.48
108,2018-07-25,2,1500.00,13940.00,9.30,9.29,9.29
109,2018-07-26,10,100800.00,920460.00,9.30,9.00,9.00
110,2018-07-29,8,4600.00,41432.50,9.15,8.90,9.00
111,2018-07-30,7,52500.00,468080.00,9.18,8.66,9.18
112,2018-07-31,6,18000.00,164750.00,9.20,9.14,9.20
113,2018-08-01,3,12000.00,109700.00,9.15,9.10,9.10
114,2018-08-02,1,1000.00,9100.00,9.10,9.10,9.10
115,2018-08-05,4,23000.00,209740.00,9.14,9.01,9.01
116,2018-08-06,4,11000.00,99680.00,9.10,9.03,9.10
117,2018-08-07,5,3500.00,31600.00,9.10,9.00,9.00
118,2018-08-09,6,6100.00,55800.00,9.15,9.00,9.00
119,2018-08-12,5,24100.00,220746.00,9.18,9.06,9.18
120,2018-08-13,5,2550.00,23387.00,9.36,9.11,9.36
121,2018-08-14,5,22500.00,208690.00,9.35,9.20,9.35
122,2018-08-15,2,1500.00,14040.00,9.36,9.36,9.36
123,2018-08-16,2,3000.00,28350.00,9.45,9.45,9.45
124,2018-08-20,4,900.00,8509.00,9.49,9.35,9.35
125,2018-08-21,6,2700.00,24642.00,9.16,9.00,9.11
126,2018-08-26,3,1100.00,9850.00,9.00,8.90,8.90
127,2018-08-29,3,2000.00,17730.00,8.87,8.86,8.87
128,2018-08-30,2,1100.00,9855.00,9.05,8.95,8.95
129,2018-09-02,1,1000.00,8950.00,8.95,8.95,8.95
130,2018-09-03,10,8700.00,79129.00,9.20,9.02,9.02
131,2018-09-06,6,12000.00,112282.00,9.38,9.20,9.36
132,2018-09-09,2,2000.00,18340.00,9.17,9.17,9.17
133,2018-09-10,3,6500.00,59605.00,9.17,9.17,9.17
134,2018-09-11,1,1500.00,14025.00,9.35,9.35,9.35
135,2018-09-12,4,8240.00,77956.00,9.50,9.40,9.40
136,2018-09-16,10,16090.00,153639.10,9.88,9.21,9.50
137,2018-09-17,4,6000.00,57000.00,9.50,9.50,9.50
138,2018-09-20,1,5000.00,48450.00,9.69,9.69,9.69
139,2018-09-23,1,2000.00,19200.00,9.60,9.60,9.60
140,2018-09-25,3,8050.00,78557.50,9.79,9.65,9.79
141,2018-09-26,2,21000.00,209410.00,9.99,9.97,9.99
142,2018-09-27,2,2000.00,19880.00,9.94,9.94,9.94
143,2018-09-30,4,7600.00,74390.00,9.80,9.62,9.62
144,2018-10-01,7,33000.00,317370.00,9.65,9.60,9.60
145,2018-10-02,1,2000.00,19580.00,9.79,9.79,9.79
146,2018-10-03,1,500.00,4950.00,9.90,9.90,9.90
147,2018-10-04,2,2800.00,27580.00,9.85,9.85,9.85
148,2018-10-07,3,4300.00,41710.00,9.70,9.70,9.70
149,2018-10-08,2,3000.00,28590.00,9.53,9.53,9.53
150,2018-10-09,6,19500.00,186735.00,9.71,9.53,9.53
151,2018-10-11,4,3600.00,34550.00,9.72,9.53,9.53
152,2018-10-14,2,1000.00,9550.00,9.55,9.55,9.55
153,2018-10-15,1,500.00,4770.00,9.54,9.54,9.54
154,2018-10-23,5,6100.00,58910.00,9.70,9.53,9.55
155,2018-10-24,2,5500.00,52750.00,9.60,9.50,9.50
156,2018-10-25,3,3700.00,35014.00,9.50,9.42,9.42
157,2018-10-28,3,900.00,8366.00,9.30,9.29,9.30
158,2018-10-29,2,1900.00,17513.00,9.23,9.15,9.23
159,2018-10-30,2,1500.00,13865.00,9.25,9.23,9.25
160,2018-10-31,2,600.00,5523.00,9.22,9.13,9.22
161,2018-11-01,1,500.00,4625.00,9.25,9.25,9.25
162,2018-11-05,1,100.00,925.00,9.25,9.25,9.25
163,2018-11-12,3,11000.00,98000.00,9.10,8.92,9.00
164,2018-11-13,5,6500.00,58500.00,9.10,9.00,9.00
165,2018-11-14,3,8000.00,72000.00,9.32,9.00,9.00
166,2018-11-15,1,1000.00,9000.00,9.01,9.00,9.00
167,2018-11-20,1,200.00,1766.00,9.00,8.83,9.00
168,2018-11-21,1,100.00,910.00,9.10,9.00,9.00
169,2018-11-22,1,1100.00,9900.00,9.00,9.00,9.00
170,2018-11-25,2,3000.00,27090.00,9.10,9.00,9.10
171,2018-11-26,3,2500.00,22500.00,9.10,9.00,9.00
172,2018-11-27,3,9000.00,82240.00,9.16,9.00,9.16
173,2018-11-28,3,5000.00,46110.00,9.30,9.16,9.19
174,2018-11-29,3,3000.00,27600.00,9.25,9.19,9.19
175,2018-12-02,3,2100.00,19165.00,9.19,9.10,9.15
176,2018-12-04,1,500.00,4550.00,9.15,9.10,9.10
177,2018-12-09,2,2100.00,18950.00,9.10,9.00,9.00
178,2018-12-11,3,15000.00,134900.00,9.00,8.99,8.99
179,2018-12-12,5,10000.00,87750.00,8.99,8.69,8.69
180,2018-12-13,2,2500.00,21835.00,8.80,8.69,8.80
181,2018-12-16,4,1000.00,8800.00,8.80,8.80,8.80
182,2018-12-17,7,15200.00,133149.00,9.00,8.63,9.00
183,2018-12-18,1,1000.00,9000.00,9.00,9.00,9.00
184,2018-12-20,3,3600.00,32658.00,9.18,8.83,9.18
185,2018-12-23,1,2000.00,18380.00,9.19,9.18,9.19
186,2018-12-25,1,200.00,1820.00,9.19,9.10,9.10
187,2018-12-26,2,2000.00,18370.00,9.27,9.10,9.27
188,2018-12-30,1,500.00,4635.00,9.27,9.27,9.27
189,2018-12-31,8,33700.00,305649.00,9.27,9.00,9.10
190,2019-01-02,1,2000.00,18400.00,9.20,9.10,9.20
