S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-20,3,70.00,13990.00,203.00,196.00,196.00
2,2010-04-21,1,100.00,19300.00,193.00,193.00,193.00
3,2010-04-22,1,30.00,5700.00,190.00,190.00,190.00
4,2010-05-11,4,312.00,57108.00,187.00,178.00,178.00
5,2010-05-12,4,338.00,58826.00,175.00,172.00,172.00
6,2010-05-13,4,816.00,138660.00,175.00,169.00,169.00
7,2010-05-16,4,283.00,46633.00,166.00,160.00,160.00
8,2010-05-17,5,900.00,135900.00,157.00,148.00,148.00
9,2010-05-19,1,80.00,12000.00,150.00,150.00,150.00
10,2010-05-26,2,93.00,14433.00,156.00,153.00,156.00
11,2010-05-31,4,320.00,50940.00,162.00,159.00,159.00
12,2010-06-01,1,20.00,3240.00,162.00,162.00,162.00
13,2010-06-02,4,102.00,16704.00,168.00,162.00,168.00
14,2010-06-03,8,2856.00,522672.00,184.00,171.00,184.00
15,2010-06-06,11,836.00,165462.00,202.00,187.00,196.00
16,2010-06-07,8,892.00,180450.00,206.00,199.00,202.00
17,2010-06-08,5,292.00,59072.00,206.00,202.00,202.00
18,2010-06-15,3,175.00,33981.00,198.00,192.00,192.00
19,2010-06-17,1,25.00,4750.00,190.00,190.00,190.00
20,2010-06-20,1,100.00,18700.00,187.00,187.00,187.00
21,2010-06-21,1,17.00,3128.00,184.00,184.00,184.00
22,2010-06-22,8,136.00,25024.00,184.00,184.00,184.00
23,2010-06-23,1,17.00,3077.00,181.00,181.00,181.00
24,2010-06-29,18,813.00,146658.00,181.00,178.00,178.00
25,2010-07-04,6,172.00,30565.00,178.00,175.00,175.00
26,2010-07-07,1,30.00,5160.00,172.00,172.00,172.00
27,2010-07-14,1,500.00,87500.00,175.00,175.00,175.00
28,2010-07-15,2,100.00,17100.00,172.00,170.00,170.00
29,2010-07-21,1,120.00,20760.00,173.00,173.00,173.00
30,2010-07-26,1,1386.00,243936.00,176.00,176.00,176.00
31,2010-07-29,4,674.00,117782.00,175.00,173.00,175.00
32,2010-08-02,2,193.00,33475.00,175.00,172.00,172.00
33,2010-08-03,1,500.00,84500.00,169.00,169.00,169.00
34,2010-08-05,2,303.00,52116.00,172.00,172.00,172.00
