S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-07-15,2,200.00,2000.00,10.00,10.00,10.00
2,2020-07-26,10,60000.00,587500.00,9.81,9.70,9.70
3,2020-07-27,4,1150.00,10948.00,9.52,9.52,9.52
4,2020-07-28,4,2300.00,21620.00,9.40,9.40,9.40
5,2020-07-29,1,180.00,1674.00,9.30,9.30,9.30
6,2020-07-30,1,100.00,920.00,9.20,9.20,9.20
7,2020-08-02,1,200.00,1840.00,9.20,9.20,9.20
8,2020-08-03,5,46700.00,424970.00,9.10,9.10,9.10
9,2020-08-05,2,600.00,5460.00,9.10,9.10,9.10
10,2020-08-06,1,400.00,3620.00,9.05,9.05,9.05
11,2020-08-09,2,700.00,6328.00,9.04,9.04,9.04
12,2020-08-10,5,800.00,7276.00,9.10,9.08,9.10
13,2020-08-11,2,2700.00,24300.00,9.00,9.00,9.00
14,2020-08-12,1,100.00,907.00,9.07,9.07,9.07
15,2020-08-13,1,200.00,1820.00,9.10,9.10,9.10
16,2020-08-16,3,600.00,5449.00,9.15,9.03,9.15
17,2020-08-18,1,100.00,912.00,9.12,9.12,9.12
18,2020-08-23,2,200.00,1814.00,9.08,9.06,9.08
19,2020-08-26,5,1300.00,11860.00,9.17,9.06,9.17
20,2020-08-27,2,800.00,7300.00,9.14,9.10,9.14
21,2020-08-31,4,480.00,4431.60,9.32,9.18,9.18
22,2020-09-02,1,500.00,4580.00,9.16,9.16,9.16
23,2020-09-03,1,1000.00,9150.00,9.15,9.15,9.15
24,2020-09-06,2,1100.00,10142.00,9.22,9.22,9.22
25,2020-09-07,2,500.00,4616.00,9.25,9.22,9.25
26,2020-09-08,2,500.00,4596.00,9.20,9.18,9.20
27,2020-09-09,3,1100.00,10116.00,9.36,9.18,9.36
28,2020-09-13,5,3000.00,28792.00,9.75,9.36,9.75
29,2020-09-14,4,600.00,5831.00,9.94,9.56,9.94
30,2020-09-15,2,200.00,1956.00,9.81,9.75,9.81
31,2020-09-17,6,1400.00,13980.00,10.00,9.95,9.95
32,2020-09-20,1,100.00,990.00,9.90,9.90,9.90
33,2020-09-21,7,1900.00,18643.00,10.00,9.71,9.75
