S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-11-04,12,110.00,36160.00,342.00,311.00,342.00
2,2020-11-05,15,150.00,55660.00,376.00,348.00,376.00
3,2020-11-08,20,200.00,81810.00,413.00,383.00,413.00
4,2020-11-09,29,290.00,130810.00,454.00,421.00,454.00
5,2020-11-10,47,470.00,233630.00,499.00,463.00,499.00
6,2020-11-11,167,1660.00,909130.00,548.00,523.00,548.00
7,2020-11-12,14932,216730.00,124947286.00,602.00,560.00,570.00
8,2020-11-18,4718,51171.00,28309098.00,570.00,544.00,558.00
9,2020-11-19,3672,61801.00,37070798.00,613.00,549.00,613.00
10,2020-11-22,2792,61086.00,38771438.00,665.00,608.00,627.00
11,2020-11-23,1968,49603.00,30184219.00,626.00,600.00,604.00
12,2020-11-24,1779,35465.00,21684847.00,620.00,590.00,616.00
13,2020-11-25,1181,31220.00,19452702.00,630.00,615.00,622.00
14,2020-11-26,1196,31829.00,19802104.00,630.00,614.00,614.00
15,2020-11-29,1038,22915.00,13951670.00,625.00,587.00,609.00
16,2020-11-30,1326,27284.00,16801990.00,622.00,579.00,622.00
17,2020-12-01,929,19396.00,11971982.00,635.00,602.00,617.00
18,2020-12-02,969,23262.00,14614007.00,635.00,610.00,627.00
19,2020-12-03,748,18166.00,11277312.00,633.00,603.00,620.00
20,2020-12-06,758,18209.00,11016196.00,612.00,598.00,599.00
21,2020-12-07,794,19650.00,11794360.00,612.00,581.00,610.00
22,2020-12-08,772,14857.00,9036530.00,617.00,592.00,605.00
23,2020-12-09,558,8860.00,5300775.00,605.00,590.00,597.00
24,2020-12-10,519,8494.00,5031994.00,598.00,588.00,592.00
25,2020-12-13,661,9925.00,5887645.00,600.00,590.00,593.00
26,2020-12-14,760,17401.00,10518024.00,613.00,590.00,611.00
27,2020-12-15,572,11878.00,7238705.00,617.00,581.00,604.00
28,2020-12-16,549,9968.00,6019834.00,610.00,597.00,608.00
29,2020-12-17,579,11154.00,6696269.00,606.00,595.00,598.00
30,2020-12-20,641,16660.00,9699950.00,611.00,570.00,577.00
31,2020-12-21,638,13541.00,7616446.00,585.00,530.00,581.00
32,2020-12-22,629,9030.00,5272230.00,593.00,570.00,583.00
33,2020-12-23,533,11857.00,6865466.00,590.00,574.00,577.00
34,2020-12-24,543,7040.00,4042915.00,582.00,563.00,574.00
35,2020-12-27,558,8330.00,4720565.00,584.00,562.00,563.00
36,2020-12-28,594,7700.00,4340900.00,571.00,540.00,570.00
37,2020-12-29,668,8757.00,4910074.00,570.00,558.00,559.00
38,2020-12-30,571,7305.00,4083860.00,564.00,552.00,559.00
39,2020-12-31,775,11965.00,6648280.00,563.00,550.00,555.00
40,2021-01-03,770,10880.00,6118640.00,570.00,554.00,567.00
41,2021-01-04,485,7145.00,4068430.00,578.00,560.00,568.00
42,2021-01-05,663,11775.00,6693715.00,573.00,558.00,563.00
43,2021-01-06,578,9969.00,5616089.00,570.00,558.00,565.00
44,2021-01-07,958,19947.00,11657323.00,595.00,566.00,588.00
45,2021-01-10,832,19951.00,11960891.00,610.00,588.00,592.00
46,2021-01-11,519,10400.00,6204895.00,602.00,590.00,594.00
47,2021-01-12,443,11138.00,6631738.00,599.00,588.00,597.00
48,2021-01-13,617,16701.00,10094202.00,612.00,586.00,608.00
49,2021-01-17,421,14610.00,8867515.00,613.00,604.00,606.00
50,2021-01-18,575,23665.00,14529966.00,619.00,601.00,616.00
51,2021-01-19,376,15603.00,9539258.00,628.00,600.00,608.00
52,2021-01-20,391,20586.00,12687177.00,620.00,612.00,614.00
53,2021-01-21,466,16407.00,10108997.00,625.00,610.00,618.00
54,2021-01-24,840,44117.00,27966204.00,647.00,618.00,644.00
55,2021-01-25,616,40817.00,26190173.00,649.00,630.00,635.00
56,2021-01-26,451,17317.00,11009567.00,644.00,630.00,635.00
57,2021-01-27,631,23476.00,14938288.00,643.00,626.00,635.00
58,2021-01-28,668,30181.00,19356280.00,646.00,630.00,640.00
59,2021-01-31,743,17197.00,10761897.00,640.00,621.00,624.00
60,2021-02-01,625,17920.00,11361191.00,645.00,615.00,638.00
61,2021-02-02,1094,71957.00,49460122.00,701.00,638.00,701.00
62,2021-02-03,1617,69885.00,51968274.00,771.00,712.00,733.00
63,2021-02-04,908,45154.00,33738755.00,766.00,715.00,742.00
64,2021-02-07,993,51272.00,37774894.00,750.00,723.00,744.00
65,2021-02-08,770,30477.00,22912823.00,765.00,742.00,743.00
66,2021-02-09,594,29666.00,21591018.00,743.00,719.00,729.00
67,2021-02-10,426,13430.00,9691465.00,740.00,717.00,718.00
68,2021-02-11,406,12612.00,8997945.00,753.00,710.00,710.00
69,2021-02-14,408,15524.00,10957407.00,730.00,701.00,703.00
70,2021-02-15,477,15055.00,10859220.00,727.00,705.00,727.00
71,2021-02-16,359,17182.00,12498166.00,742.00,715.00,718.00
72,2021-02-17,424,9762.00,6885972.00,718.00,698.00,705.00
73,2021-02-18,606,16077.00,11199238.00,702.00,691.00,697.00
74,2021-02-21,574,10978.00,7553498.00,700.00,674.00,687.00
75,2021-02-22,522,14886.00,10039257.00,687.00,671.00,671.00
76,2021-02-23,523,13001.00,8527595.00,670.00,645.00,669.00
77,2021-02-24,428,9042.00,6186581.00,696.00,652.00,680.00
78,2021-02-25,564,11575.00,7821630.00,691.00,668.00,669.00
79,2021-02-28,694,14455.00,9309656.00,670.00,636.00,642.00
80,2021-03-01,565,11365.00,7331325.00,655.00,624.00,655.00
81,2021-03-02,452,10743.00,6897726.00,655.00,636.00,640.00
82,2021-03-03,396,12564.00,7793539.00,650.00,615.00,619.00
83,2021-03-04,521,11011.00,6941180.00,638.00,621.00,638.00
84,2021-03-07,400,7685.00,4860432.00,663.00,623.00,631.00
85,2021-03-09,419,8030.00,5020972.00,652.00,620.00,621.00
86,2021-03-10,398,6200.00,3837190.00,625.00,613.00,619.00
87,2021-03-14,458,7670.00,4665040.00,620.00,604.00,607.00
88,2021-03-15,384,8129.00,4874056.00,637.00,590.00,596.00
89,2021-03-16,370,7409.00,4441504.00,605.00,591.00,599.00
90,2021-03-17,363,5268.00,3179570.00,628.00,595.00,607.00
91,2021-03-18,451,7925.00,4888577.00,625.00,597.00,625.00
92,2021-03-21,463,8405.00,5343419.00,650.00,620.00,641.00
93,2021-03-22,381,9249.00,5880591.00,647.00,631.00,635.00
94,2021-03-23,390,9146.00,5745810.00,632.00,623.00,628.00
95,2021-03-24,422,9184.00,5801099.00,638.00,624.00,637.00
96,2021-03-25,458,10406.00,6635488.00,642.00,630.00,636.00
97,2021-03-29,466,9718.00,6208398.00,643.00,631.00,642.00
98,2021-03-30,737,30626.00,21538581.00,706.00,669.00,706.00
99,2021-03-31,1439,87231.00,65967595.00,776.00,694.00,776.00
100,2021-04-01,1260,78557.00,59873674.00,814.00,736.00,745.00
101,2021-04-04,1152,81902.00,66388742.00,819.00,745.00,819.00
102,2021-04-05,1625,89444.00,76111889.00,900.00,799.00,900.00
103,2021-04-06,1442,82887.00,68760428.00,900.00,810.00,821.00
104,2021-04-07,752,37013.00,28928956.00,821.00,765.00,778.00
105,2021-04-08,612,25225.00,19897945.00,811.00,747.00,790.00
106,2021-04-12,771,34551.00,27614994.00,847.00,776.00,815.00
107,2021-04-13,453,17052.00,13646345.00,825.00,795.00,797.00
108,2021-04-15,552,16774.00,13231203.00,830.00,781.00,787.00
109,2021-04-18,580,18018.00,13995694.00,787.00,770.00,771.00
110,2021-04-19,495,13477.00,10268249.00,770.00,756.00,760.00
111,2021-04-20,502,11985.00,9041116.00,775.00,731.00,758.00
112,2021-04-21,430,10559.00,7972114.00,761.00,750.00,752.00
113,2021-04-22,389,11904.00,8913616.00,754.00,740.00,749.00
114,2021-04-25,519,15086.00,10936854.00,750.00,716.00,719.00
115,2021-04-26,484,18151.00,12680644.00,715.00,671.00,691.00
116,2021-04-27,365,14075.00,9913043.00,715.00,680.00,712.00
117,2021-04-28,281,6635.00,4806755.00,739.00,715.00,718.00
118,2021-04-29,435,14532.00,10761081.00,750.00,701.00,747.00
119,2021-05-02,1017,52913.00,41377883.00,815.00,733.00,812.00
120,2021-05-03,791,43705.00,35259837.00,830.00,788.00,798.00
121,2021-05-04,397,23222.00,18269240.00,800.00,780.00,788.00
122,2021-05-05,402,16949.00,13320867.00,795.00,777.00,783.00
123,2021-05-06,378,29313.00,23036542.00,822.00,780.00,786.00
124,2021-05-09,409,31584.00,24623361.00,825.00,775.00,790.00
125,2021-05-10,466,25262.00,20030022.00,829.00,770.00,790.00
126,2021-05-11,625,35592.00,28498439.00,829.00,790.00,807.00
127,2021-05-12,437,27136.00,21562023.00,825.00,767.00,789.00
128,2021-05-13,351,14619.00,11514572.00,794.00,750.00,783.00
129,2021-05-16,580,25827.00,20659073.00,809.00,768.00,800.00
130,2021-05-17,387,18212.00,14461113.00,816.00,787.00,790.00
131,2021-05-18,512,33072.00,26023130.00,796.00,780.00,787.00
132,2021-05-19,940,49319.00,39776083.00,830.00,780.00,805.00
133,2021-05-20,383,15369.00,12190665.00,845.00,788.00,790.00
134,2021-05-23,469,19443.00,15247925.00,790.00,776.00,785.00
135,2021-05-24,526,21015.00,16683903.00,802.00,786.00,793.00
136,2021-05-25,636,31331.00,25057367.00,830.00,783.00,799.00
137,2021-05-27,363,19939.00,15801219.00,800.00,784.00,792.00
138,2021-05-30,996,54790.00,44483914.00,828.00,791.00,812.00
139,2021-05-31,1052,63191.00,52215203.00,840.00,810.00,814.00
140,2021-06-01,442,22433.00,18177324.00,825.00,798.00,804.00
141,2021-06-02,368,13896.00,11197490.00,825.00,798.00,806.00
142,2021-06-03,474,20000.00,16041012.00,818.00,795.00,797.00
143,2021-06-06,443,20543.00,16263488.00,814.00,788.00,789.00
144,2021-06-07,407,12595.00,9942259.00,797.00,786.00,788.00
145,2021-06-08,1027,51494.00,42458635.00,855.00,789.00,838.00
146,2021-06-09,893,50253.00,42714962.00,880.00,816.00,827.00
147,2021-06-10,470,20415.00,16801481.00,840.00,815.00,819.00
148,2021-06-13,869,35884.00,29623364.00,846.00,812.00,821.00
149,2021-06-14,576,20505.00,16865625.00,835.00,816.00,823.00
150,2021-06-15,604,25697.00,21181008.00,845.00,816.00,817.00
151,2021-06-16,650,30587.00,24300930.00,810.00,784.00,789.00
152,2021-06-17,387,17512.00,13818520.00,807.00,778.00,788.00
153,2021-06-20,477,17324.00,13410693.00,795.00,755.00,763.00
154,2021-06-21,463,17405.00,13090405.00,775.00,734.00,744.00
155,2021-06-22,340,10237.00,7798340.00,775.00,730.00,774.00
156,2021-06-23,237,8291.00,6337160.00,777.00,755.00,757.00
157,2021-06-24,337,10995.00,8163400.00,750.00,738.00,741.00
158,2021-06-27,327,9114.00,6735230.00,754.00,732.00,740.00
159,2021-06-28,303,5876.00,4357830.00,754.00,730.00,738.00
160,2021-06-29,245,7982.00,5832490.00,743.00,725.00,728.00
161,2021-06-30,284,10494.00,7491589.00,743.00,706.00,715.00
162,2021-07-01,294,6853.00,4977066.00,745.00,716.00,730.00
163,2021-07-04,230,3674.00,2661426.00,737.00,718.00,721.00
164,2021-07-05,217,3410.00,2436377.00,730.00,710.00,712.00
165,2021-07-06,241,4945.00,3510379.00,723.00,701.00,716.00
166,2021-07-07,160,3250.00,2304685.00,719.00,705.00,708.00
167,2021-07-08,205,4838.00,3431211.00,715.00,700.00,710.00
168,2021-07-11,239,4685.00,3441653.00,740.00,706.00,736.00
169,2021-07-12,218,8045.00,5875910.00,761.00,723.00,725.00
170,2021-07-13,182,7411.00,5340735.00,727.00,710.00,721.00
171,2021-07-14,127,1800.00,1297140.00,725.00,710.00,724.00
172,2021-07-15,194,4726.00,3454860.00,739.00,713.00,731.00
173,2021-07-18,343,13810.00,10215723.80,747.50,727.00,747.50
174,2021-07-19,219,11406.00,8538408.90,760.00,735.00,740.00
175,2021-07-20,239,6049.00,4502064.00,752.00,726.00,745.10
176,2021-07-22,331,9850.00,7385885.00,755.00,741.00,749.10
177,2021-07-25,367,10444.00,7778644.50,756.00,739.00,750.00
178,2021-07-26,276,5331.00,3969003.50,755.00,740.00,741.00
179,2021-07-27,361,10660.00,7918693.00,750.00,736.00,750.00
180,2021-07-28,615,24937.00,19498293.50,790.00,747.00,789.90
181,2021-07-29,361,18013.00,14240793.70,811.00,780.00,780.20
182,2021-08-01,347,10491.00,8100950.00,785.00,765.00,771.00
183,2021-08-02,286,10195.00,7814909.20,785.00,762.00,762.00
184,2021-08-03,322,10278.00,7921142.00,785.50,753.00,785.00
185,2021-08-04,316,12634.00,9792735.00,785.00,770.00,776.00
186,2021-08-05,323,8166.00,6288685.60,775.00,766.00,773.00
187,2021-08-08,317,10980.00,8330398.00,769.00,755.00,758.10
188,2021-08-09,387,17924.00,13419583.80,758.10,737.00,750.00
189,2021-08-10,426,12806.00,9701469.20,790.00,739.00,765.00
190,2021-08-11,290,6425.00,4897696.60,770.00,755.00,765.00
191,2021-08-12,353,15014.00,11468504.40,770.00,755.00,760.00
