S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-04-28,64,640.00,209700.00,330.00,306.00,330.00
2,2021-04-29,201,4940.00,1791898.00,363.00,340.00,363.00
3,2021-05-02,1168,21284.00,8489786.00,399.00,381.00,399.00
4,2021-05-03,8968,136670.00,58890385.00,438.00,390.00,438.00
5,2021-05-04,2694,36080.00,17322350.00,481.00,459.00,481.00
6,2021-05-05,6219,85216.00,43925687.00,529.00,463.00,529.00
7,2021-05-06,5253,93184.00,46234923.00,554.00,480.00,481.00
8,2021-05-09,2829,53499.00,23698433.00,481.00,434.00,435.00
9,2021-05-10,1295,26609.00,11244097.00,427.00,411.00,425.00
10,2021-05-11,850,15867.00,6911867.00,456.00,420.00,439.00
11,2021-05-12,679,15950.00,6919228.00,448.00,418.00,435.00
12,2021-05-13,803,21340.00,9312800.00,456.00,426.00,442.00
13,2021-05-16,843,21949.00,9616862.00,450.00,434.00,435.00
14,2021-05-17,951,26542.00,11659609.00,459.00,422.00,450.00
15,2021-05-18,994,26109.00,12000268.00,467.00,433.00,460.00
16,2021-05-19,639,22776.00,10124190.00,470.00,438.00,441.00
17,2021-05-20,694,14994.00,6525469.00,441.00,430.00,434.00
18,2021-05-23,780,21879.00,9582733.00,445.00,425.00,434.00
19,2021-05-24,609,13437.00,5869880.00,455.00,430.00,436.00
20,2021-05-25,713,21162.00,9228248.00,445.00,429.00,435.00
21,2021-05-27,1063,44400.00,19953874.00,461.00,433.00,451.00
22,2021-05-30,805,27028.00,12108481.00,469.00,438.00,439.00
23,2021-05-31,711,21638.00,9335241.00,440.00,428.00,428.00
24,2021-06-01,458,10310.00,4389586.00,449.00,413.00,425.00
25,2021-06-02,542,7663.00,3272914.00,449.00,413.00,430.00
26,2021-06-03,596,13264.00,5608755.00,430.00,420.00,421.00
27,2021-06-06,647,13649.00,5642240.00,429.00,410.00,417.00
28,2021-06-07,802,41967.00,17760986.00,445.00,412.00,435.00
29,2021-06-08,609,14905.00,6584120.00,457.00,433.00,437.00
30,2021-06-09,424,9963.00,4298622.00,448.00,425.00,430.00
31,2021-06-10,583,20270.00,8747847.00,438.00,422.00,429.00
32,2021-06-13,1426,75141.00,33700383.00,465.00,432.00,462.00
33,2021-06-14,892,37947.00,17434170.00,480.00,449.00,451.00
34,2021-06-15,540,18723.00,8256192.00,445.00,435.00,444.00
35,2021-06-16,644,15064.00,6425300.00,440.00,422.00,426.00
36,2021-06-17,707,16264.00,6817407.00,425.00,413.00,420.00
37,2021-06-20,749,18676.00,7683836.00,426.00,401.00,409.00
38,2021-06-21,613,14863.00,5983437.00,415.00,392.00,393.00
39,2021-06-22,424,9441.00,3871786.00,422.00,390.00,418.00
40,2021-06-23,308,7935.00,3275905.00,438.00,400.00,403.00
41,2021-06-24,388,8296.00,3300697.00,408.00,390.00,401.00
42,2021-06-27,705,24965.00,10337959.00,427.00,400.00,420.00
43,2021-06-28,506,8425.00,3538030.00,434.00,412.00,413.00
44,2021-06-29,329,4944.00,2020242.00,429.00,400.00,406.00
45,2021-06-30,358,12801.00,5071086.00,406.00,392.00,399.00
46,2021-07-01,539,14215.00,5845546.00,422.00,394.00,410.00
47,2021-07-04,495,8739.00,3587254.00,420.00,405.00,406.00
48,2021-07-05,365,4652.00,1867603.00,410.00,398.00,404.00
49,2021-07-06,340,5470.00,2195355.00,413.00,396.00,399.00
50,2021-07-07,235,4523.00,1787768.00,405.00,392.00,394.00
51,2021-07-08,331,9432.00,3749118.00,404.00,375.00,397.00
52,2021-07-11,341,7190.00,2883995.00,405.00,397.00,404.00
53,2021-07-12,273,9515.00,3813550.00,406.00,395.00,397.00
54,2021-07-13,223,4997.00,1998695.00,404.00,390.00,400.00
55,2021-07-14,426,12501.00,5126130.00,426.00,393.00,418.00
56,2021-07-15,652,26859.00,11431263.00,435.00,399.00,433.00
57,2021-07-18,1465,98402.00,45941816.00,476.30,441.00,476.30
58,2021-07-19,811,45751.00,22194010.60,523.80,468.50,471.00
59,2021-07-20,947,45188.00,21640187.80,497.20,461.00,488.00
60,2021-07-22,791,46306.00,22251943.00,488.00,476.00,485.00
61,2021-07-25,1291,73930.00,36798431.80,504.00,482.00,501.00
62,2021-07-26,1832,130141.00,68390926.30,551.10,494.00,539.00
63,2021-07-27,1439,79099.00,43120210.10,575.00,522.00,562.00
64,2021-07-28,1013,45672.00,24838175.50,562.00,532.00,534.00
65,2021-07-29,879,65651.00,34621907.50,537.00,513.00,531.00
66,2021-08-01,1235,73164.00,39652499.80,551.00,521.00,540.00
67,2021-08-02,716,38670.00,20905337.30,556.00,529.50,529.60
68,2021-08-03,707,44582.00,23958539.70,550.80,520.40,537.00
69,2021-08-04,1108,82786.00,45684449.80,566.00,538.00,548.00
70,2021-08-05,656,28131.00,15329308.90,581.00,535.00,536.70
71,2021-08-08,842,57893.00,31923514.50,566.00,525.00,545.00
72,2021-08-09,942,59620.00,33250638.50,565.00,535.00,556.10
73,2021-08-10,748,46120.00,25103137.00,560.00,532.00,535.00
74,2021-08-11,953,63402.00,35181927.70,570.00,535.20,570.00
75,2021-08-12,1241,132334.00,77878197.30,605.00,560.00,581.00
