S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-03-24,40,3920.00,1737870.00,464.00,418.00,418.00
2,2019-03-25,5,90.00,34350.00,398.00,377.00,377.00
3,2019-03-26,12,500.00,173150.00,359.00,340.00,340.00
4,2019-03-27,1765,170472.00,55440896.00,350.00,306.00,340.00
5,2019-03-28,745,78450.00,26284816.00,353.00,323.00,333.00
6,2019-03-31,385,32407.00,10604541.00,335.00,323.00,325.00
7,2019-04-01,317,31990.00,10489900.00,332.00,321.00,330.00
8,2019-04-02,195,38720.00,12774320.00,336.00,325.00,329.00
9,2019-04-03,185,18011.00,5866565.00,329.00,324.00,325.00
10,2019-04-04,304,33290.00,10775400.00,330.00,320.00,321.00
11,2019-04-07,210,14305.00,4577205.00,322.00,318.00,320.00
12,2019-04-08,358,53402.00,17440224.00,330.00,320.00,329.00
13,2019-04-09,124,14819.00,4621118.00,323.00,308.00,310.00
14,2019-04-10,113,14774.00,4560692.00,311.00,305.00,308.00
15,2019-04-11,112,16100.00,4957450.00,310.00,306.00,306.00
16,2019-04-15,61,4335.00,1329135.00,308.00,304.00,308.00
17,2019-04-16,106,14905.00,4613575.00,312.00,307.00,311.00
18,2019-04-17,86,19531.00,5994927.00,316.00,305.00,305.00
19,2019-04-18,83,17750.00,5411860.00,310.00,300.00,309.00
20,2019-04-21,105,18065.00,5510580.00,311.00,303.00,305.00
21,2019-04-22,126,20035.00,6140385.00,311.00,304.00,305.00
22,2019-04-23,95,23310.00,7136660.00,311.00,305.00,310.00
23,2019-04-24,82,22930.00,7033530.00,311.00,305.00,307.00
24,2019-04-25,116,20838.00,6451663.00,311.00,306.00,310.00
25,2019-04-28,222,45502.00,14748598.00,332.00,310.00,324.00
26,2019-04-29,114,28956.00,9281354.00,328.00,316.00,320.00
27,2019-04-30,141,22059.00,7140259.00,330.00,316.00,328.00
28,2019-05-02,427,74542.00,25217282.00,349.00,322.00,344.00
29,2019-05-05,696,129045.00,46349732.00,372.00,338.00,358.00
30,2019-05-06,691,132126.00,49438432.00,393.00,355.00,388.00
31,2019-05-07,565,127407.00,49075597.00,395.00,378.00,379.00
32,2019-05-08,574,105925.00,41260320.00,398.00,375.00,390.00
33,2019-05-09,701,124569.00,50358651.00,420.00,384.00,411.00
34,2019-05-12,824,153906.00,67360180.00,452.00,410.00,452.00
35,2019-05-13,1140,233289.00,114601645.00,497.00,455.00,497.00
36,2019-05-14,790,157535.00,84136700.00,546.00,506.00,546.00
37,2019-05-15,1771,237479.00,130907229.00,590.00,514.00,520.00
38,2019-05-16,1488,245337.00,134108415.00,572.00,501.00,572.00
39,2019-05-19,1700,306224.00,187071083.00,629.00,570.00,629.00
40,2019-05-20,2383,399171.00,255012475.00,678.00,580.00,595.00
41,2019-05-21,1027,118395.00,68834324.00,608.00,557.00,585.00
42,2019-05-22,804,110790.00,62108861.00,584.00,545.00,550.00
43,2019-05-23,660,73193.00,40130406.00,579.00,532.00,547.00
44,2019-05-26,592,84403.00,47573271.00,589.00,542.00,560.00
45,2019-05-27,705,125412.00,73178243.00,597.00,556.00,588.00
46,2019-05-28,1377,265038.00,164404083.00,646.00,586.00,646.00
47,2019-05-29,1784,298013.00,204068471.00,710.00,650.00,679.00
48,2019-05-30,1305,255064.00,171965149.00,712.00,640.00,661.00
49,2019-06-02,791,140252.00,93766128.00,687.00,640.00,671.00
50,2019-06-03,538,92219.00,60726185.00,675.00,650.00,655.00
51,2019-06-04,905,180829.00,121311889.00,688.00,643.00,675.00
52,2019-06-06,563,114304.00,77697287.00,688.00,672.00,678.00
53,2019-06-10,337,57870.00,39050435.00,684.00,669.00,671.00
54,2019-06-11,299,56549.00,37824527.00,676.00,662.00,667.00
55,2019-06-12,379,64326.00,42543343.00,670.00,656.00,665.00
56,2019-06-13,241,39563.00,26232350.00,671.00,657.00,664.00
57,2019-06-16,299,39141.00,25516578.00,659.00,646.00,646.00
58,2019-06-17,354,49325.00,32278481.00,671.00,644.00,656.00
59,2019-06-18,187,29720.00,19482215.00,665.00,652.00,656.00
60,2019-06-19,113,15728.00,10290555.00,663.00,652.00,653.00
61,2019-06-20,242,46254.00,30313299.00,659.00,651.00,655.00
62,2019-06-23,201,26368.00,17116693.00,660.00,647.00,651.00
63,2019-06-24,368,78444.00,51833819.00,669.00,647.00,660.00
64,2019-06-25,142,28912.00,19192309.00,668.00,657.00,658.00
65,2019-06-26,96,17328.00,11333430.00,657.00,650.00,653.00
66,2019-06-27,250,46090.00,29917510.00,664.00,644.00,644.00
67,2019-06-30,462,92576.00,58071455.00,644.00,616.00,616.00
68,2019-07-01,255,29108.00,17932612.00,627.00,607.00,619.00
69,2019-07-02,120,17637.00,10896154.00,622.00,610.00,618.00
70,2019-07-03,147,30698.00,19085010.00,627.00,616.00,620.00
71,2019-07-04,127,18280.00,11255840.00,624.00,611.00,615.00
72,2019-07-07,120,15003.00,9197851.00,616.00,610.00,616.00
73,2019-07-08,125,16551.00,10089630.00,614.00,607.00,612.00
74,2019-07-09,90,14500.00,8808480.00,613.00,605.00,610.00
75,2019-07-10,160,25835.00,15571455.00,608.00,600.00,601.00
76,2019-07-11,289,54007.00,32002189.00,602.00,578.00,588.00
77,2019-07-14,113,11935.00,6994830.00,590.00,582.00,588.00
78,2019-07-15,160,60185.00,35906625.00,607.00,579.00,607.00
79,2019-07-16,152,24650.00,14969934.00,637.00,601.00,608.00
80,2019-07-17,193,38928.00,24010358.00,628.00,606.00,627.00
81,2019-07-18,251,41263.00,26155362.00,645.00,626.00,630.00
82,2019-07-21,125,25405.00,15856685.00,661.00,617.00,623.00
83,2019-07-22,127,23758.00,14859603.00,630.00,616.00,625.00
84,2019-07-23,105,17637.00,11086203.00,637.00,623.00,625.00
85,2019-07-24,86,11085.00,6922355.00,634.00,622.00,622.00
86,2019-07-25,140,18080.00,11149165.00,625.00,611.00,614.00
87,2019-07-28,202,34301.00,20668157.00,610.00,597.00,600.00
88,2019-07-29,154,30653.00,18417078.00,611.00,597.00,599.00
89,2019-07-30,74,16437.00,9869519.00,605.00,597.00,597.00
90,2019-07-31,136,21180.00,12793460.00,617.00,597.00,602.00
91,2019-08-01,90,11897.00,7147563.00,610.00,598.00,598.00
92,2019-08-04,107,13070.00,7729400.00,600.00,590.00,590.00
93,2019-08-05,167,27388.00,16030568.00,600.00,580.00,583.00
94,2019-08-06,130,13763.00,7949938.00,589.00,574.00,577.00
95,2019-08-07,99,18146.00,10633256.00,596.00,574.00,588.00
96,2019-08-08,93,13790.00,7986340.00,588.00,575.00,580.00
97,2019-08-11,85,10415.00,6001240.00,585.00,570.00,575.00
98,2019-08-12,46,5810.00,3365960.00,581.00,573.00,580.00
99,2019-08-13,42,4565.00,2628515.00,580.00,574.00,577.00
100,2019-08-14,40,4635.00,2657670.00,579.00,571.00,573.00
101,2019-08-15,179,27566.00,16073670.00,597.00,576.00,581.00
102,2019-08-18,76,23761.00,13833318.00,585.00,578.00,582.00
103,2019-08-19,113,19937.00,11705665.00,594.00,581.00,588.00
104,2019-08-20,55,4743.00,2771325.00,589.00,583.00,583.00
105,2019-08-21,71,12255.00,7124830.00,584.00,576.00,582.00
106,2019-08-22,68,10684.00,6214325.00,586.00,575.00,577.00
107,2019-08-25,76,9424.00,5388302.00,578.00,567.00,578.00
108,2019-08-26,49,10915.00,6246270.00,574.00,570.00,573.00
109,2019-08-27,50,7860.00,4530105.00,580.00,573.00,575.00
110,2019-08-28,43,4276.00,2445746.00,575.00,570.00,573.00
111,2019-08-29,111,15767.00,8915920.00,580.00,560.00,563.00
112,2019-09-01,131,21700.00,11967460.00,565.00,545.00,545.00
113,2019-09-02,181,28416.00,15151211.00,555.00,527.00,530.00
