S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-01-11,58,45140.00,468374.10,10.60,10.00,10.45
2,2021-01-12,77,1506900.00,15812395.00,10.60,10.40,10.55
3,2021-01-13,45,535400.00,5794659.50,10.96,10.60,10.80
4,2021-01-17,65,1061110.00,11638226.40,11.22,10.59,11.22
5,2021-01-18,23,1008900.00,11208709.00,11.14,11.03,11.11
6,2021-01-19,48,1198160.00,13311313.80,11.30,11.10,11.27
7,2021-01-20,19,128150.00,1434858.00,11.20,10.99,11.20
8,2021-01-21,46,2041210.00,22478397.00,11.22,11.00,11.13
9,2021-01-24,28,27750.00,310449.00,11.30,11.06,11.30
10,2021-01-25,35,216020.00,2427119.00,11.39,11.20,11.34
11,2021-01-26,26,69800.00,788192.50,11.48,11.20,11.48
12,2021-01-27,22,31350.00,355387.00,11.47,11.32,11.47
13,2021-01-28,62,2091500.00,24027078.50,11.50,11.26,11.27
14,2021-01-31,14,90200.00,1008516.00,11.20,11.01,11.01
15,2021-02-01,12,18200.00,200960.00,11.06,11.01,11.06
16,2021-02-02,21,13350.00,148657.00,11.28,11.00,11.20
17,2021-02-03,48,710100.00,7946448.00,11.30,11.00,11.14
18,2021-02-04,40,115300.00,1282095.50,11.18,11.00,11.18
19,2021-02-07,45,811150.00,8969477.50,11.43,11.05,11.05
20,2021-02-08,21,218050.00,2451759.00,11.27,11.05,11.22
21,2021-02-09,10,257500.00,2864550.00,11.16,11.11,11.10
22,2021-02-10,16,67820.00,758357.00,11.27,11.05,11.27
23,2021-02-11,16,214200.00,2403200.00,11.28,11.18,11.28
24,2021-02-14,35,369200.00,4152257.00,11.35,11.16,11.28
25,2021-02-15,43,430000.00,4907367.50,11.69,11.25,11.68
26,2021-02-16,21,153650.00,1786460.00,11.78,11.60,11.75
27,2021-02-17,100,1549600.00,18108180.00,11.95,11.61,11.80
28,2021-02-18,55,642950.00,7635635.50,12.00,11.70,12.00
29,2021-02-21,140,1551200.00,18833690.00,12.39,11.87,12.38
