S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2013-09-08,2,1000.00,140000.00,140.00,140.00,140.00
2,2013-09-10,2,250.00,34200.00,138.00,136.00,136.00
3,2013-09-17,3,710.00,94020.00,134.00,132.00,132.00
4,2013-09-19,3,2500.00,325000.00,130.00,130.00,130.00
5,2013-09-30,4,950.00,119200.00,128.00,124.00,124.00
6,2013-10-01,3,750.00,89900.00,122.00,118.00,118.00
7,2013-10-03,3,1000.00,113200.00,116.00,112.00,112.00
8,2013-10-17,12,2070.00,227700.00,110.00,110.00,110.00
9,2013-12-12,2,400.00,42800.00,108.00,106.00,106.00
10,2013-12-18,1,440.00,45760.00,104.00,104.00,104.00
11,2013-12-26,1,500.00,53000.00,106.00,106.00,106.00
12,2013-12-29,1,260.00,28080.00,108.00,108.00,108.00
13,2014-01-02,2,1800.00,190800.00,106.00,106.00,106.00
14,2014-01-12,2,600.00,65400.00,110.00,108.00,110.00
15,2014-01-13,6,4700.00,509400.00,112.00,108.00,108.00
16,2014-01-16,1,210.00,22680.00,108.00,108.00,108.00
17,2014-01-22,1,200.00,21600.00,108.00,108.00,108.00
18,2014-01-23,2,100.00,11000.00,110.00,110.00,110.00
19,2014-01-26,2,2550.00,271300.00,108.00,106.00,106.00
20,2014-02-03,1,200.00,21600.00,108.00,108.00,108.00
21,2014-02-05,5,300.00,34400.00,118.00,110.00,118.00
22,2014-02-06,6,970.00,117980.00,126.00,120.00,126.00
23,2014-02-09,3,1160.00,143840.00,124.00,124.00,124.00
24,2014-02-18,1,490.00,61740.00,126.00,126.00,126.00
25,2014-02-20,1,350.00,43400.00,124.00,124.00,124.00
26,2014-02-23,1,1000.00,124000.00,124.00,124.00,124.00
27,2014-02-24,5,2480.00,314000.00,130.00,126.00,130.00
28,2014-02-25,4,2500.00,330800.00,134.00,132.00,132.00
29,2014-02-26,3,1400.00,180000.00,130.00,128.00,130.00
30,2014-03-05,3,1330.00,177880.00,136.00,132.00,136.00
31,2014-03-06,1,1000.00,136000.00,136.00,136.00,136.00
32,2014-03-09,7,2580.00,352200.00,140.00,134.00,140.00
33,2014-03-10,10,2620.00,382740.00,148.00,142.00,148.00
34,2014-03-11,4,1800.00,274800.00,159.00,150.00,159.00
35,2014-03-12,5,720.00,116450.00,163.00,159.00,159.00
