S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2013-10-08,23,2783.00,1681457.00,605.00,550.00,605.00
2,2013-10-09,359,16506.00,10708790.00,665.00,617.00,665.00
3,2013-10-10,399,23565.00,16050701.00,718.00,652.00,690.00
4,2013-10-17,60,2986.00,2032869.00,693.00,677.00,686.00
5,2013-10-20,61,1943.00,1322219.00,695.00,652.00,660.00
6,2013-10-21,151,10997.00,7288319.00,673.00,650.00,670.00
7,2013-10-22,231,6847.00,4596247.00,674.00,660.00,674.00
8,2013-10-23,263,14041.00,9469981.00,682.00,670.00,680.00
9,2013-10-24,206,11302.00,7837303.00,700.00,676.00,699.00
10,2013-10-27,185,12862.00,8775962.00,710.00,675.00,690.00
11,2013-10-28,100,4891.00,3373032.00,695.00,668.00,691.00
12,2013-10-29,173,3268.00,2238755.00,695.00,675.00,688.00
13,2013-10-30,234,4868.00,3369810.00,696.00,688.00,693.00
14,2013-10-31,215,11043.00,7643491.00,698.00,688.00,691.00
15,2013-11-06,136,7253.00,4885069.00,683.00,665.00,680.00
16,2013-11-07,193,3669.00,2513160.00,691.00,680.00,687.00
17,2013-11-10,101,4399.00,3055023.00,701.00,689.00,695.00
18,2013-11-11,146,14879.00,10410446.00,702.00,690.00,700.00
19,2013-11-12,100,10501.00,7494181.00,725.00,703.00,716.00
20,2013-11-13,99,7925.00,5802001.00,745.00,712.00,725.00
21,2013-11-14,171,7175.00,5203586.00,735.00,718.00,724.00
22,2013-11-21,1,16.00,11808.00,738.00,738.00,738.00
23,2013-11-24,43,3633.00,2833616.00,800.00,737.00,737.00
24,2013-11-25,71,5297.00,3901979.00,750.00,720.00,737.00
25,2013-11-26,128,3137.00,2338590.00,760.00,716.00,750.00
26,2013-11-27,59,2179.00,1637669.00,760.00,745.00,755.00
27,2013-11-28,61,2292.00,1737603.00,769.00,740.00,768.00
28,2013-12-01,30,3395.00,2619815.00,790.00,765.00,770.00
29,2013-12-02,35,7326.00,5756874.00,824.00,770.00,824.00
30,2013-12-03,44,7229.00,6068700.00,906.00,823.00,906.00
31,2013-12-04,39,4329.00,4237633.00,996.00,924.00,990.00
32,2013-12-05,59,20168.00,20056433.00,1038.00,970.00,989.00
33,2013-12-08,67,2766.00,2626711.00,1008.00,916.00,930.00
34,2013-12-09,36,2635.00,2436860.00,935.00,912.00,935.00
35,2013-12-10,42,1391.00,1265239.00,934.00,902.00,905.00
36,2013-12-11,68,3154.00,2927011.00,943.00,911.00,925.00
37,2013-12-12,46,1644.00,1543080.00,959.00,907.00,927.00
38,2013-12-15,56,3430.00,3261309.00,995.00,927.00,995.00
39,2013-12-16,29,467.00,472238.00,1014.00,1000.00,1014.00
40,2013-12-18,27,8172.00,8274739.00,1033.00,994.00,1015.00
41,2013-12-19,12,3787.00,3697285.00,1009.00,957.00,1000.00
42,2013-12-22,261,10809.00,10861633.00,1020.00,990.00,1000.00
43,2013-12-23,168,6906.00,6859240.00,1001.00,980.00,980.00
44,2013-12-24,267,7827.00,7626358.00,1000.00,940.00,995.00
45,2013-12-26,566,16840.00,16808147.00,1022.00,980.00,1022.00
46,2013-12-29,9,135.00,123320.00,916.00,906.00,912.00
47,2013-12-31,30,8081.00,7288671.00,930.00,900.00,900.00
48,2014-01-01,25,976.00,891857.00,930.00,900.00,930.00
49,2014-01-02,28,803.00,740871.00,969.00,898.00,969.00
