S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2013-06-19,5,50.00,7650.00,153.00,153.00,153.00
2,2013-06-20,6,314.00,52452.00,168.00,156.00,168.00
3,2013-06-23,45,1886.00,346462.00,184.00,171.00,184.00
4,2013-06-24,41,1552.00,312450.00,202.00,187.00,202.00
5,2013-06-25,73,2375.00,500355.00,222.00,192.00,212.00
6,2013-06-26,1,10.00,2220.00,222.00,222.00,222.00
7,2013-06-27,35,1314.00,263636.00,218.00,200.00,200.00
8,2013-06-30,26,438.00,83121.00,196.00,182.00,182.00
9,2013-07-01,3,275.00,49476.00,182.00,179.00,180.00
10,2013-07-02,7,212.00,39291.00,189.00,183.00,185.00
11,2013-07-03,10,195.00,35420.00,186.00,180.00,186.00
12,2013-07-04,9,356.00,65550.00,186.00,183.00,186.00
13,2013-07-07,19,477.00,95995.00,204.00,189.00,204.00
14,2013-07-08,13,247.00,50260.00,208.00,200.00,204.00
15,2013-07-09,11,441.00,92008.00,212.00,206.00,212.00
16,2013-07-10,19,505.00,107396.00,215.00,210.00,212.00
17,2013-07-11,25,887.00,197564.00,233.00,208.00,233.00
18,2013-07-14,9,404.00,94277.00,236.00,232.00,232.00
19,2013-07-15,15,386.00,92124.00,244.00,232.00,239.00
20,2013-07-16,12,666.00,160519.00,247.00,235.00,247.00
21,2013-07-17,41,1245.00,324523.00,268.00,249.00,268.00
22,2013-07-21,11,188.00,50122.00,280.00,250.00,280.00
23,2013-07-22,45,743.00,204951.00,285.00,270.00,285.00
24,2013-07-23,10,192.00,55709.00,300.00,285.00,300.00
25,2013-07-24,5,118.00,34292.00,294.00,290.00,290.00
26,2013-07-25,9,584.00,170894.00,300.00,290.00,295.00
27,2013-07-28,4,90.00,26739.00,300.00,295.00,296.00
28,2013-07-29,21,1607.00,485681.00,306.00,298.00,304.00
29,2013-07-30,13,950.00,284681.00,310.00,298.00,305.00
30,2013-07-31,1,18.00,5526.00,307.00,307.00,307.00
31,2013-08-01,6,108.00,33189.00,310.00,304.00,304.00
32,2013-08-04,4,106.00,32258.00,305.00,301.00,301.00
33,2013-08-05,16,170.00,51710.00,307.00,301.00,301.00
34,2013-08-06,5,530.00,158356.00,300.00,295.00,300.00
35,2013-08-07,3,30.00,8960.00,300.00,298.00,298.00
36,2013-08-08,7,277.00,83364.00,303.00,300.00,303.00
37,2013-08-11,3,48.00,14304.00,298.00,298.00,298.00
38,2013-08-12,11,476.00,145531.00,309.00,296.00,296.00
39,2013-08-13,12,236.00,71822.00,310.00,300.00,305.00
40,2013-08-14,7,554.00,168674.00,313.00,301.00,313.00
41,2013-08-15,9,319.00,105882.00,344.00,308.00,344.00
42,2013-08-18,26,932.00,342246.00,378.00,346.00,366.00
43,2013-08-19,6,331.00,123956.00,382.00,368.00,368.00
44,2013-08-20,13,1589.00,588769.00,376.00,355.00,360.00
45,2013-08-25,4,212.00,75146.00,355.00,353.00,355.00
46,2013-08-26,3,54.00,19290.00,360.00,355.00,360.00
47,2013-08-27,5,863.00,317635.00,369.00,362.00,362.00
48,2013-09-01,3,56.00,19754.00,355.00,348.00,348.00
