S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-02-08,2,20.00,9810.00,495.00,486.00,495.00
2,2017-02-23,1,10.00,5040.00,504.00,504.00,504.00
3,2017-03-06,2,10.00,5140.00,0.00,0.00,0.00
4,2017-03-13,1,10.00,5140.00,514.00,514.00,514.00
5,2017-03-21,1,10.00,5240.00,524.00,524.00,524.00
6,2017-03-22,1,10.00,5340.00,534.00,534.00,534.00
7,2017-04-04,2,10.00,5440.00,0.00,0.00,0.00
8,2017-04-06,1,10.00,5440.00,544.00,544.00,544.00
9,2017-04-18,1,10.00,5710.00,571.00,571.00,571.00
10,2017-04-25,1,10.00,5820.00,582.00,582.00,582.00
11,2017-04-27,1,10.00,6110.00,611.00,611.00,611.00
12,2017-05-02,1,10.00,6230.00,623.00,623.00,623.00
13,2017-05-11,1,10.00,6350.00,635.00,635.00,635.00
14,2017-06-06,1,10.00,6470.00,647.00,647.00,647.00
15,2017-06-18,1,10.00,6590.00,659.00,659.00,659.00
16,2017-07-10,1,10.00,6720.00,672.00,672.00,672.00
17,2017-07-30,2,10.00,6850.00,0.00,0.00,0.00
18,2017-08-03,3,30.00,20940.00,711.00,685.00,711.00
19,2017-08-06,1,10.00,7250.00,725.00,725.00,725.00
20,2017-08-13,1,10.00,7610.00,761.00,761.00,761.00
21,2017-08-22,1,10.00,7760.00,776.00,776.00,776.00
22,2017-08-24,1,10.00,8140.00,814.00,814.00,814.00
23,2017-08-27,1,10.00,8300.00,830.00,830.00,830.00
24,2017-09-11,4,40.00,34830.00,896.00,846.00,896.00
25,2017-10-11,2,20.00,18440.00,931.00,913.00,931.00
26,2017-10-16,1,10.00,9490.00,949.00,949.00,949.00
27,2017-10-22,1,10.00,9670.00,967.00,967.00,967.00
28,2017-11-01,1,10.00,10150.00,1015.00,1015.00,1015.00
29,2017-11-07,4,40.00,42630.00,1097.00,1035.00,1097.00
30,2017-11-08,2,10.00,11180.00,0.00,0.00,0.00
31,2017-11-15,1,10.00,11180.00,1118.00,1118.00,1118.00
32,2017-11-19,1,10.00,11400.00,1140.00,1140.00,1140.00
33,2017-12-04,1,10.00,11620.00,1162.00,1162.00,1162.00
34,2017-12-05,1,10.00,11850.00,1185.00,1185.00,1185.00
35,2017-12-12,1,30.00,37320.00,1244.00,1244.00,1244.00
36,2017-12-13,2,20.00,25610.00,1293.00,1268.00,1293.00
37,2017-12-21,1,10.00,13180.00,1318.00,1318.00,1318.00
38,2018-01-02,1,10.00,11300.00,1130.00,1130.00,1130.00
39,2018-01-04,1,10.00,11520.00,1152.00,1152.00,1152.00
40,2018-01-08,2,20.00,23730.00,1198.00,1175.00,1198.00
41,2018-01-16,1,10.00,12210.00,1221.00,1221.00,1221.00
42,2018-01-21,1,10.00,12450.00,1245.00,1245.00,1245.00
43,2018-01-22,1,10.00,12690.00,1269.00,1269.00,1269.00
44,2018-02-07,3,30.00,39580.00,1345.00,1294.00,1345.00
45,2018-02-08,7,70.00,100840.00,1479.00,1371.00,1479.00
46,2018-02-11,1,10.00,9290.00,929.00,929.00,929.00
47,2018-02-21,2,20.00,19120.00,965.00,947.00,965.00
48,2018-02-26,1,10.00,9840.00,984.00,984.00,984.00
49,2018-02-27,1,10.00,10030.00,1003.00,1003.00,1003.00
50,2018-02-28,2,20.00,20660.00,1043.00,1023.00,1043.00
51,2018-03-04,2,20.00,21470.00,1084.00,1063.00,1084.00
52,2018-03-05,5,50.00,57440.00,1192.00,1105.00,1192.00
53,2018-03-06,6,60.00,76270.00,1311.00,1215.00,1311.00
54,2018-03-07,7,70.00,98330.00,1442.00,1337.00,1442.00
55,2018-03-11,147,1980.00,2704670.00,1586.00,1327.00,1334.00
56,2018-03-12,66,750.00,972670.00,1320.00,1276.00,1276.00
57,2018-03-13,32,320.00,398980.00,1265.00,1240.00,1264.00
58,2018-03-14,10,100.00,125480.00,1260.00,1250.00,1250.00
59,2018-03-15,28,320.00,388520.00,1230.00,1202.00,1215.00
60,2018-03-18,18,180.00,214590.00,1200.00,1186.00,1186.00
61,2018-03-19,34,380.00,437590.00,1164.00,1145.00,1145.00
62,2018-03-20,13,140.00,154160.00,1123.00,1083.00,1089.00
63,2018-03-21,22,250.00,263140.00,1089.00,1036.00,1040.00
64,2018-03-22,8,80.00,80020.00,1020.00,981.00,1000.00
65,2018-03-26,13,200.00,194100.00,981.00,961.00,981.00
66,2018-03-27,7,70.00,68660.00,1000.00,962.00,985.00
67,2018-03-28,8,650.00,640750.00,1004.00,984.00,1003.00
68,2018-03-29,12,120.00,123150.00,1060.00,1000.00,1060.00
69,2018-04-01,10,110.00,116860.00,1071.00,1039.00,1050.00
70,2018-04-02,5,285.00,301967.80,1050.00,1030.00,1030.00
71,2018-04-03,4,40.00,41440.00,1050.00,1015.00,1015.00
72,2018-04-04,3,30.00,30650.00,1025.00,1015.00,1025.00
73,2018-04-05,5,80.00,85570.00,1086.00,1045.00,1070.00
74,2018-04-08,22,510.00,586080.00,1177.00,1090.00,1177.00
75,2018-04-09,53,1180.00,1506050.00,1294.00,1200.00,1294.00
76,2018-04-10,14,150.00,189460.00,1305.00,1220.00,1256.00
77,2018-04-11,11,130.00,161790.00,1270.00,1231.00,1260.00
78,2018-04-12,11,157.00,201305.00,1300.00,1260.00,1300.00
79,2018-04-15,4,40.00,52000.00,1300.00,1300.00,1300.00
80,2018-04-16,16,290.00,392750.00,1372.00,1320.00,1345.00
81,2018-04-17,17,300.00,426070.00,1450.00,1370.00,1421.00
82,2018-04-18,36,840.00,1210650.00,1455.00,1421.00,1421.00
83,2018-04-19,2,60.00,83860.00,1421.00,1393.00,1393.00
84,2018-04-22,14,470.00,676280.00,1479.00,1418.00,1479.00
85,2018-04-23,12,370.00,548250.00,1485.00,1480.00,1480.00
86,2018-04-24,5,160.00,228210.00,1451.00,1422.00,1450.00
87,2018-04-25,3,50.00,70970.00,1425.00,1397.00,1397.00
88,2018-04-26,8,130.00,175510.00,1376.00,1317.00,1317.00
89,2018-04-29,9,367.00,494180.00,1360.00,1323.00,1349.00
90,2018-05-02,18,330.00,454000.00,1397.00,1350.00,1397.00
91,2018-05-03,61,1360.00,2004740.00,1530.00,1395.00,1530.00
92,2018-05-06,32,467.00,687037.00,1500.00,1450.00,1455.00
93,2018-05-07,19,200.00,288310.00,1465.00,1426.00,1440.00
94,2018-05-08,31,950.00,1414750.00,1518.00,1425.00,1518.00
95,2018-05-09,41,877.00,1310122.00,1547.00,1480.00,1519.00
96,2018-05-10,19,230.00,342490.00,1500.00,1480.00,1486.00
97,2018-05-14,21,330.00,498600.00,1530.00,1490.00,1500.00
98,2018-05-15,11,310.00,457420.00,1490.00,1470.00,1480.00
99,2018-05-16,5,930.00,1364790.00,1499.00,1465.00,1499.00
100,2018-05-17,7,351.00,528455.00,1520.00,1485.00,1486.00
101,2018-05-20,17,660.00,1011360.00,1545.00,1501.00,1511.00
102,2018-05-21,9,140.00,212580.00,1535.00,1496.00,1535.00
103,2018-05-22,41,820.00,1320620.00,1688.00,1502.00,1688.00
104,2018-05-23,22,420.00,715490.00,1754.00,1623.00,1748.00
105,2018-05-24,25,740.00,1280234.00,1765.00,1692.00,1692.00
106,2018-05-27,21,350.00,573680.00,1660.00,1592.00,1660.00
107,2018-05-28,21,460.00,770150.00,1713.00,1627.00,1710.00
108,2018-05-29,23,810.00,1331490.00,1677.00,1612.00,1612.00
109,2018-05-30,28,980.00,1578120.00,1651.00,1550.00,1648.00
110,2018-05-31,12,817.00,1344430.00,1682.00,1595.00,1682.00
111,2018-06-03,29,1600.00,2593180.00,1652.00,1600.00,1600.00
112,2018-06-04,11,200.00,315180.00,1600.00,1568.00,1572.00
113,2018-06-06,6,68.00,111156.00,1667.00,1603.00,1605.00
114,2018-06-07,10,161.00,251851.00,1580.00,1551.00,1551.00
115,2018-06-10,14,236.00,363490.00,1551.00,1535.00,1535.00
116,2018-06-11,19,437.00,697075.00,1621.00,1530.00,1588.00
117,2018-06-12,9,130.00,205930.00,1600.00,1558.00,1600.00
118,2018-06-13,13,130.00,207010.00,1632.00,1570.00,1578.00
119,2018-06-14,22,360.00,575780.00,1627.00,1551.00,1606.00
120,2018-06-17,9,150.00,238880.00,1610.00,1580.00,1580.00
121,2018-06-18,12,210.00,335610.00,1611.00,1570.00,1611.00
122,2018-06-19,4,130.00,206270.00,1611.00,1581.00,1581.00
123,2018-06-20,2,20.00,31120.00,1556.00,1556.00,1556.00
124,2018-06-21,14,560.00,896630.00,1642.00,1580.00,1580.00
125,2018-06-24,17,300.00,479400.00,1617.00,1555.00,1599.00
126,2018-06-25,8,180.00,286740.00,1600.00,1574.00,1580.00
127,2018-06-26,10,570.00,882390.00,1580.00,1540.00,1540.00
128,2018-06-27,10,140.00,216390.00,1560.00,1517.00,1560.00
129,2018-06-28,9,190.00,298520.00,1591.00,1550.00,1560.00
130,2018-07-01,3,30.00,45490.00,1529.00,1510.00,1510.00
131,2018-07-02,17,193.00,280999.00,1497.00,1440.00,1470.00
132,2018-07-03,43,421.00,609375.00,1490.00,1445.00,1461.00
133,2018-07-04,45,531.00,774936.00,1490.00,1460.00,1490.00
134,2018-07-05,39,960.00,1485861.00,1590.00,1519.00,1590.00
135,2018-07-08,17,264.00,413494.00,1599.00,1538.00,1544.00
136,2018-07-09,38,456.00,685730.00,1520.00,1495.00,1495.00
137,2018-07-10,36,420.00,624234.00,1504.00,1480.00,1499.00
138,2018-07-11,42,919.00,1436183.00,1598.00,1528.00,1541.00
139,2018-07-12,29,384.00,574542.00,1535.00,1481.00,1500.00
140,2018-07-15,19,409.00,616094.00,1530.00,1486.00,1515.00
141,2018-07-16,17,539.00,818750.00,1550.00,1500.00,1550.00
142,2018-07-17,12,938.00,1414284.00,1550.00,1500.00,1500.00
143,2018-07-18,8,212.00,320225.00,1525.00,1500.00,1520.00
144,2018-07-19,15,226.00,339239.00,1515.00,1490.00,1491.00
145,2018-07-22,7,195.00,288690.00,1500.00,1470.00,1470.00
146,2018-07-23,9,154.00,230219.00,1524.00,1465.00,1524.00
147,2018-07-24,18,478.00,721745.00,1543.00,1500.00,1500.00
148,2018-07-25,14,423.00,630668.00,1514.00,1487.00,1514.00
149,2018-07-26,17,226.00,335932.00,1492.00,1485.00,1485.00
150,2018-07-29,6,79.00,116550.00,1485.00,1471.00,1485.00
151,2018-07-30,12,221.00,324500.00,1480.00,1460.00,1478.00
152,2018-07-31,25,656.00,955427.00,1464.00,1441.00,1441.00
153,2018-08-01,16,238.00,342661.00,1462.00,1435.00,1462.00
154,2018-08-02,5,78.00,113405.00,1469.00,1440.00,1469.00
155,2018-08-05,9,162.00,236629.00,1490.00,1436.00,1464.00
156,2018-08-06,22,680.00,977266.00,1463.00,1421.00,1424.00
157,2018-08-07,25,919.00,1316088.00,1450.00,1421.00,1421.00
158,2018-08-08,8,367.00,513905.00,1425.00,1380.00,1380.00
159,2018-08-09,16,401.00,556822.00,1407.00,1380.00,1385.00
160,2018-08-12,15,721.00,965660.00,1362.00,1330.00,1330.00
161,2018-08-13,13,201.00,268954.00,1356.00,1320.00,1356.00
162,2018-08-14,17,553.00,766927.00,1400.00,1360.00,1400.00
163,2018-08-15,20,515.00,726099.00,1471.00,1380.00,1471.00
164,2018-08-16,15,747.00,1086756.00,1470.00,1443.00,1450.00
165,2018-08-19,9,461.00,666542.00,1460.00,1421.00,1421.00
166,2018-08-20,33,1755.00,2538878.00,1470.00,1420.00,1445.00
167,2018-08-21,21,352.00,509023.00,1473.00,1445.00,1460.00
168,2018-08-22,8,213.00,307955.00,1461.00,1435.00,1461.00
169,2018-08-23,44,714.00,1026186.00,1489.00,1432.00,1489.00
170,2018-08-26,58,2679.00,4096507.00,1530.00,1460.00,1530.00
171,2018-08-28,58,1083.00,1635517.00,1548.00,1488.00,1518.00
172,2018-08-29,73,1557.00,2335784.24,1545.00,1490.00,1539.00
173,2018-08-30,18,124.00,187929.00,1539.00,1509.00,1539.00
174,2018-09-02,9,122.00,182616.00,1509.00,1488.00,1488.00
175,2018-09-03,19,792.00,1203238.00,1560.00,1499.00,1530.00
176,2018-09-04,26,702.00,1080923.00,1557.00,1526.00,1540.00
177,2018-09-05,28,1815.00,2831192.00,1575.00,1540.00,1570.00
178,2018-09-06,63,2329.00,3672703.00,1640.00,1545.00,1598.00
179,2018-09-09,65,1973.00,3281992.00,1724.00,1622.00,1673.00
180,2018-09-10,53,1710.00,2857163.00,1684.00,1650.00,1680.00
181,2018-09-11,94,4283.00,7416654.00,1800.00,1676.00,1786.00
182,2018-09-12,25,413.00,718262.00,1751.00,1718.00,1740.00
183,2018-09-13,39,808.00,1409010.00,1774.00,1715.00,1760.00
184,2018-09-16,147,7707.00,13810589.00,1903.00,1752.00,1762.00
185,2018-09-17,68,2515.00,4426192.00,1820.00,1743.00,1760.00
186,2018-09-18,14,597.00,1053827.00,1780.00,1750.00,1750.00
187,2018-09-20,26,876.00,1524149.00,1760.00,1706.00,1706.00
188,2018-09-23,24,1499.00,2554599.00,1747.00,1680.00,1719.00
189,2018-09-25,16,752.00,1281588.00,1720.00,1685.00,1710.00
190,2018-09-26,21,469.00,787289.00,1700.00,1650.00,1700.00
191,2018-09-27,10,241.00,405299.00,1717.00,1667.00,1685.00
192,2018-09-30,19,406.00,681910.00,1700.00,1670.00,1675.00
193,2018-10-01,11,198.00,334150.00,1708.00,1660.00,1665.00
194,2018-10-02,15,362.00,601415.00,1670.00,1650.00,1660.00
195,2018-10-03,20,265.00,438684.00,1670.00,1645.00,1655.00
196,2018-10-04,24,478.00,789463.00,1685.00,1626.00,1630.00
197,2018-10-07,18,214.00,341595.00,1600.00,1580.00,1600.00
198,2018-10-08,12,270.00,438460.00,1642.00,1600.00,1605.00
199,2018-10-09,22,495.00,791530.00,1610.00,1573.00,1595.00
200,2018-10-10,6,160.00,254580.00,1592.00,1591.00,1591.00
201,2018-10-11,4,240.00,387750.00,1621.00,1610.00,1615.00
202,2018-10-14,6,78.00,126254.00,1622.00,1615.00,1622.00
203,2018-10-15,8,182.00,294618.00,1645.00,1611.00,1645.00
204,2018-10-21,19,245.00,402825.00,1680.00,1630.00,1630.00
205,2018-10-22,1,18.00,29340.00,1630.00,1630.00,1630.00
206,2018-10-23,2,16.00,26080.00,0.00,0.00,0.00
207,2018-10-24,2,19.00,30201.00,1603.00,1603.00,1603.00
208,2018-10-25,10,3134.00,5024127.00,1619.00,1600.00,1603.00
209,2018-10-28,10,124.00,194676.00,1602.00,1570.00,1570.00
210,2018-10-29,4,44.00,68748.00,1581.00,1546.00,1581.00
211,2018-10-30,7,80.00,126080.00,1580.00,1575.00,1580.00
212,2018-10-31,12,171.00,267314.00,1570.00,1550.00,1563.00
213,2018-11-01,5,90.00,139536.00,1553.00,1546.00,1553.00
214,2018-11-04,3,46.00,70852.00,1552.00,1522.00,1552.00
215,2018-11-05,3,66.00,102442.00,1553.00,1552.00,1552.00
216,2018-11-06,2,30.00,47430.00,1552.00,1552.00,1581.00
217,2018-11-11,7,254.00,406202.00,1611.00,1579.00,1579.00
218,2018-11-12,1,18.00,27918.00,1579.00,1551.00,1551.00
219,2018-11-13,2,34.00,53268.00,1581.00,1551.00,1581.00
220,2018-11-14,9,176.00,277200.00,1581.00,1565.00,1580.00
221,2018-11-15,40,1286.00,2112705.00,1650.00,1580.00,1620.00
222,2018-11-18,13,206.00,330830.00,1620.00,1588.00,1585.00
