S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-01-21,12,1010.00,510050.00,505.00,505.00,505.00
2,2019-01-27,1,10.00,5150.00,515.00,505.00,515.00
3,2019-01-28,1,10.00,5400.00,540.00,515.00,540.00
4,2019-01-29,1,10.00,5670.00,567.00,540.00,567.00
5,2019-01-30,2,20.00,12010.00,606.00,567.00,606.00
6,2019-01-31,2,20.00,12840.00,648.00,606.00,648.00
7,2019-02-05,20,200.00,141830.00,712.00,648.00,712.00
8,2019-02-06,62,620.00,484810.00,783.00,712.00,783.00
9,2019-02-07,1769,20090.00,16702960.00,861.00,768.00,852.00
10,2019-02-10,594,7266.00,5933592.00,854.00,808.00,809.00
11,2019-02-11,246,3340.00,2693460.00,824.00,787.00,806.00
12,2019-02-12,108,1391.00,1121267.00,812.00,802.00,804.00
13,2019-02-13,186,2310.00,1844080.00,804.00,795.00,800.00
14,2019-02-14,100,2470.00,1948530.00,800.00,780.00,790.00
15,2019-02-17,126,1760.00,1386650.00,805.00,781.00,783.00
16,2019-02-18,80,1460.00,1133090.00,783.00,773.00,780.00
17,2019-02-19,73,1000.00,793440.00,832.00,770.00,832.00
18,2019-02-20,46,800.00,636320.00,832.00,780.00,788.00
19,2019-02-21,115,1957.00,1526299.00,791.00,776.00,778.00
20,2019-02-24,111,3120.00,2398240.00,786.00,759.00,786.00
21,2019-02-25,38,890.00,696230.00,799.00,769.00,784.00
22,2019-02-26,41,980.00,761770.00,786.00,771.00,772.00
23,2019-02-27,62,1280.00,997390.00,798.00,765.00,775.00
24,2019-03-03,52,520.00,401520.00,778.00,765.00,771.00
25,2019-03-05,52,810.00,623110.00,780.00,765.00,770.00
26,2019-03-06,48,2035.00,1554045.00,784.00,757.00,768.00
27,2019-03-07,41,810.00,624620.00,783.00,761.00,777.00
28,2019-03-10,15,150.00,114510.00,777.00,760.00,761.00
29,2019-03-11,43,430.00,329510.00,776.00,761.00,765.00
30,2019-03-12,37,1030.00,783670.00,770.00,757.00,765.00
31,2019-03-13,36,490.00,371710.00,767.00,755.00,758.00
32,2019-03-14,38,1144.00,868472.00,765.00,751.00,760.00
