S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-06-19,1,10.00,4030.00,403.00,403.00,403.00
2,2017-07-26,1,9.00,3699.00,0.00,0.00,0.00
3,2017-07-27,1,1.00,411.00,0.00,0.00,0.00
4,2017-08-15,1,10.00,4110.00,411.00,411.00,411.00
5,2017-08-20,1,1000.00,419000.00,419.00,419.00,419.00
6,2017-08-28,1,10.00,4270.00,427.00,427.00,427.00
7,2017-09-10,1,10.00,4480.00,448.00,448.00,448.00
8,2017-09-20,1,10.00,4560.00,456.00,456.00,456.00
9,2017-11-05,13,130.00,64230.00,501.00,465.00,501.00
10,2017-11-09,13,130.00,70630.00,551.00,511.00,551.00
11,2017-11-13,2,10.00,5620.00,0.00,0.00,0.00
12,2017-11-15,2,60.00,33830.00,573.00,562.00,573.00
13,2017-11-27,1,10.00,4870.00,487.00,487.00,487.00
14,2017-12-18,1,10.00,5110.00,511.00,511.00,511.00
15,2017-12-19,1,10.00,5360.00,536.00,536.00,536.00
16,2018-01-01,1,10.00,5620.00,562.00,562.00,562.00
17,2018-02-04,1,10.00,5900.00,590.00,590.00,590.00
18,2018-03-18,4,20.00,12020.00,0.00,0.00,0.00
19,2018-03-29,2,201.00,100159.64,0.00,0.00,0.00
20,2018-04-03,1,10.00,6190.00,619.00,619.00,619.00
21,2018-05-02,3,30.00,19290.00,655.00,631.00,655.00
22,2018-05-03,3,30.00,20430.00,694.00,668.00,694.00
23,2018-05-06,2,20.00,14280.00,721.00,707.00,721.00
24,2018-05-07,2,20.00,14840.00,749.00,735.00,749.00
25,2018-05-08,3,30.00,23340.00,793.00,763.00,793.00
26,2018-05-09,2,20.00,16320.00,824.00,808.00,824.00
27,2018-05-10,3,30.00,25690.00,873.00,840.00,873.00
28,2018-05-14,1,10.00,8900.00,890.00,890.00,890.00
29,2018-05-16,1,10.00,9070.00,907.00,907.00,907.00
30,2018-05-17,1,10.00,9520.00,952.00,952.00,952.00
31,2018-05-20,5,34.00,33470.00,990.00,971.00,990.00
32,2018-05-21,1,10.00,10090.00,1009.00,1009.00,1009.00
33,2018-05-23,2,79.00,124238.00,1029.00,1029.00,1029.00
34,2018-05-27,1,12.00,12588.00,1049.00,1049.00,1049.00
35,2018-05-28,3,32.00,34838.00,1111.00,1069.00,1111.00
36,2018-05-29,2,24.00,28260.00,1189.00,1166.00,1189.00
37,2018-06-04,2,14.00,16968.00,1212.00,1212.00,1212.00
38,2018-06-07,2,24.00,29952.00,1260.00,1236.00,1260.00
39,2018-06-10,5,46.00,60946.00,1336.00,1285.00,1336.00
40,2018-06-11,7,44.00,61514.00,1416.00,1362.00,1416.00
41,2018-06-12,2,316.00,503728.00,1444.00,1444.00,1444.00
42,2018-06-13,3,24.00,35736.00,1501.00,1472.00,1501.00
43,2018-06-14,5,46.00,72376.00,1623.00,1531.00,1623.00
44,2018-06-17,8,96.00,167508.00,1785.00,1655.00,1785.00
45,2018-06-18,7,66.00,125600.00,1963.00,1820.00,1963.00
46,2018-06-19,42,740.00,1593016.00,2159.00,2002.00,2159.00
47,2018-06-20,314,4813.00,10898329.00,2374.00,2176.00,2216.00
48,2018-06-21,142,1730.00,3726232.00,2229.00,2128.00,2170.00
49,2018-06-24,174,2329.00,4970125.00,2151.00,2115.00,2125.00
50,2018-06-25,214,4261.00,8896428.00,2136.00,2051.00,2052.00
51,2018-06-26,24,370.00,509110.00,1407.00,1363.00,1363.00
52,2018-06-27,6,65.00,88759.00,1375.00,1336.00,1368.00
53,2018-06-28,5,84.00,116220.00,1395.00,1368.00,1380.00
54,2018-07-01,6,430.00,592428.00,1380.00,1326.00,1326.00
55,2018-07-02,16,530.00,696647.00,1331.00,1279.00,1300.00
56,2018-07-03,7,95.00,124878.00,1350.00,1274.00,1323.00
57,2018-07-04,11,306.00,411196.00,1366.00,1320.00,1326.00
58,2018-07-05,51,795.00,1084290.00,1418.00,1330.00,1418.00
59,2018-07-08,30,508.00,718106.00,1435.00,1339.00,1365.00
60,2018-07-09,10,352.00,469844.00,1355.00,1327.00,1327.00
61,2018-07-10,5,98.00,132964.00,1377.00,1350.00,1377.00
62,2018-07-11,21,1164.00,1648142.00,1476.00,1377.00,1430.00
63,2018-07-12,5,82.00,120736.00,1483.00,1454.00,1454.00
64,2018-07-15,2,22.00,31918.00,1464.00,1435.00,1435.00
65,2018-07-16,3,44.00,61920.00,1435.00,1380.00,1380.00
66,2018-07-17,12,470.00,634650.00,1387.00,1341.00,1384.00
67,2018-07-18,12,626.00,847838.00,1397.00,1339.00,1397.00
68,2018-07-19,4,96.00,129944.00,1370.00,1346.00,1350.00
69,2018-07-22,5,196.00,257500.00,1340.00,1304.00,1304.00
70,2018-07-23,7,272.00,357356.00,1315.00,1306.00,1315.00
71,2018-07-24,7,432.00,586818.00,1393.00,1339.00,1358.00
72,2018-07-25,8,134.00,179586.00,1360.00,1331.00,1331.00
73,2018-07-26,12,144.00,191796.00,1354.00,1320.00,1329.00
74,2018-07-29,1,12.00,15720.00,1310.00,1310.00,1310.00
75,2018-07-30,9,130.00,173122.00,1370.00,1287.00,1355.00
76,2018-07-31,10,139.00,184815.00,1355.00,1311.00,1337.00
77,2018-08-02,6,466.00,608618.00,1311.00,1304.00,1304.00
78,2018-08-05,6,376.00,483416.00,1286.00,1280.00,1286.00
79,2018-08-06,12,456.00,593626.00,1307.00,1285.00,1290.00
80,2018-08-07,8,90.00,115604.00,1300.00,1280.00,1300.00
81,2018-08-08,7,140.00,179740.00,1290.00,1280.00,1280.00
82,2018-08-09,6,63.00,78960.00,1255.00,1253.00,1253.00
83,2018-08-12,8,304.00,376536.00,1264.00,1201.00,1201.00
84,2018-08-13,8,94.00,112978.00,1225.00,1180.00,1225.00
85,2018-08-15,9,194.00,241948.00,1268.00,1225.00,1268.00
86,2018-08-19,4,48.00,59508.00,1243.00,1230.00,1230.00
