S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2018-03-11,1,10.00,3070.00,307.00,307.00,307.00
2,2018-04-05,1,10.00,3130.00,313.00,313.00,313.00
3,2018-04-08,2,20.00,6440.00,325.00,319.00,325.00
4,2018-04-09,2,20.00,6680.00,337.00,331.00,337.00
5,2018-04-10,2,20.00,6920.00,349.00,343.00,349.00
6,2018-04-11,2,20.00,7170.00,362.00,355.00,362.00
7,2018-04-12,2,20.00,7450.00,376.00,369.00,376.00
8,2018-04-15,2,20.00,7730.00,390.00,383.00,390.00
9,2018-04-23,3,30.00,12130.00,412.00,397.00,412.00
10,2018-05-06,3,20.00,8720.00,432.00,432.00,432.00
11,2018-05-09,2,20.00,8880.00,448.00,440.00,448.00
12,2018-05-10,5,40.00,18780.00,474.00,456.00,474.00
13,2018-05-14,4,20.00,9660.00,0.00,0.00,0.00
14,2018-05-20,5,50.00,25610.00,521.00,497.00,521.00
15,2018-05-21,1,10.00,5310.00,531.00,531.00,531.00
16,2018-05-24,1,10.00,5570.00,557.00,557.00,557.00
17,2018-06-10,4,40.00,23380.00,601.00,568.00,601.00
18,2018-06-11,2,10.00,6130.00,0.00,0.00,0.00
19,2018-06-12,3,573.00,635564.00,0.00,0.00,0.00
20,2018-06-13,1,10.00,6130.00,613.00,613.00,613.00
21,2018-06-17,3,30.00,19110.00,649.00,625.00,649.00
22,2018-06-20,2,10.00,6610.00,0.00,0.00,0.00
23,2018-06-24,2,10.00,6610.00,0.00,0.00,0.00
24,2018-06-27,1,10.00,6610.00,661.00,661.00,661.00
25,2018-06-28,1,10.00,6740.00,674.00,674.00,674.00
26,2018-07-03,1,10.00,6870.00,687.00,687.00,687.00
27,2018-07-05,1,10.00,7000.00,700.00,700.00,700.00
28,2018-07-08,1,10.00,7140.00,714.00,714.00,714.00
29,2018-07-10,2,10.00,7279.00,0.00,0.00,0.00
30,2018-07-12,2,20.00,15120.00,763.00,749.00,763.00
31,2018-07-15,2,20.00,16180.00,817.00,801.00,817.00
32,2018-07-22,1,10.00,8330.00,833.00,833.00,833.00
33,2018-07-23,3,10.00,8490.00,0.00,0.00,0.00
34,2018-07-25,7,70.00,62110.00,916.00,874.00,916.00
35,2018-07-26,1,10.00,9340.00,934.00,934.00,934.00
36,2018-08-06,7,70.00,71050.00,1027.00,980.00,1027.00
37,2018-08-07,11,110.00,122780.00,1129.00,1078.00,1129.00
38,2018-08-08,35,360.00,445780.00,1241.00,1185.00,1241.00
39,2018-08-09,650,8017.00,9953165.00,1365.00,1140.00,1143.00
40,2018-08-12,7,80.00,85770.00,1121.00,1029.00,1029.00
41,2018-08-13,12,120.00,113400.00,1009.00,927.00,927.00
42,2018-08-14,160,2210.00,1988720.00,927.00,835.00,910.00
43,2018-08-15,94,1090.00,965330.00,909.00,875.00,903.00
44,2018-08-16,61,1330.00,1208250.00,925.00,890.00,896.00
45,2018-08-19,36,570.00,494560.00,880.00,864.00,864.00
46,2018-08-20,50,750.00,620610.00,850.00,815.00,823.00
47,2018-08-21,32,430.00,348680.00,817.00,791.00,812.00
48,2018-08-22,29,430.00,346830.00,815.00,800.00,804.00
49,2018-08-23,18,240.00,192020.00,820.00,792.00,792.00
50,2018-08-26,31,665.00,524060.00,794.00,777.00,790.00
51,2018-08-28,12,1087.00,855156.00,788.00,769.00,788.00
52,2018-08-29,24,910.00,708380.00,800.00,772.00,800.00
53,2018-08-30,18,344.00,279750.00,820.00,800.00,806.00
54,2018-09-02,17,479.00,385848.00,815.00,784.00,802.00
55,2018-09-03,28,950.00,781220.00,845.00,802.00,820.00
56,2018-09-04,9,100.00,81770.00,836.00,805.00,810.00
57,2018-09-05,25,830.00,679150.00,839.00,814.00,814.00
58,2018-09-06,37,1540.00,1287930.00,850.00,820.00,822.00
59,2018-09-09,13,130.00,105470.00,822.00,807.00,810.00
60,2018-09-10,30,1717.00,1451305.00,888.00,810.00,888.00
61,2018-09-11,46,1590.00,1431720.00,920.00,882.00,899.00
62,2018-09-12,23,560.00,503530.00,915.00,883.00,905.00
63,2018-09-13,8,80.00,71540.00,905.00,887.00,890.00
64,2018-09-16,7,200.00,177660.00,900.00,873.00,900.00
65,2018-09-17,2,40.00,35310.00,883.00,882.00,882.00
66,2018-09-18,15,214.00,189000.00,899.00,866.00,875.00
67,2018-09-20,8,80.00,69390.00,875.00,861.00,865.00
68,2018-09-23,17,320.00,280340.00,888.00,855.00,872.00
69,2018-09-25,4,40.00,35550.00,889.00,888.00,889.00
70,2018-09-26,7,70.00,60490.00,872.00,855.00,861.00
71,2018-09-27,16,175.00,151700.00,879.00,860.00,860.00
72,2018-09-30,16,200.00,167850.00,852.00,824.00,842.00
73,2018-10-01,15,160.00,134560.00,858.00,827.00,827.00
74,2018-10-02,11,110.00,90650.00,839.00,817.00,817.00
75,2018-10-03,17,170.00,138070.00,830.00,802.00,816.00
76,2018-10-04,22,1000.00,820210.00,836.00,801.00,821.00
77,2018-10-07,16,870.00,724550.00,837.00,806.00,837.00
78,2018-10-08,9,300.00,246050.00,837.00,808.00,820.00
79,2018-10-09,18,210.00,168890.00,814.00,802.00,802.00
80,2018-10-10,13,130.00,103750.00,801.00,791.00,801.00
81,2018-10-11,8,190.00,151700.00,810.00,790.00,810.00
82,2018-10-14,10,330.00,267480.00,826.00,801.00,807.00
83,2018-10-15,7,70.00,56110.00,803.00,795.00,803.00
84,2018-10-29,15,150.00,116980.00,803.00,762.00,763.00
85,2018-10-30,16,160.00,120770.00,767.00,752.00,755.00
86,2018-10-31,27,813.00,595373.00,745.00,724.00,729.00
87,2018-11-01,29,1067.00,787962.00,755.00,729.00,755.00
88,2018-11-04,9,90.00,66620.00,748.00,734.00,735.00
89,2018-11-05,13,183.00,137533.00,763.00,735.00,751.00
90,2018-11-06,1,10.00,7300.00,735.00,735.00,730.00
91,2018-11-11,1,10.00,7440.00,744.00,730.00,744.00
92,2018-11-12,7,260.00,196500.00,758.00,743.00,743.00
93,2018-11-13,4,40.00,29720.00,743.00,743.00,743.00
94,2018-11-14,6,80.00,59000.00,757.00,729.00,757.00
95,2018-11-15,10,150.00,111380.00,757.00,742.00,742.00
96,2018-11-18,11,150.00,109180.00,750.00,699.00,699.00
97,2018-11-19,8,80.00,55410.00,700.00,688.00,691.00
98,2018-11-20,8,110.00,75860.00,691.00,685.00,690.00
99,2018-11-21,8,80.00,55460.00,703.00,682.00,686.00
100,2018-11-22,13,130.00,87450.00,690.00,665.00,677.00
101,2018-11-25,9,90.00,59000.00,677.00,645.00,650.00
102,2018-11-26,10,100.00,63930.00,650.00,637.00,637.00
103,2018-11-27,8,620.00,393550.00,637.00,630.00,631.00
104,2018-11-28,9,90.00,57210.00,640.00,631.00,633.00
105,2018-11-29,13,260.00,162910.00,640.00,621.00,630.00
106,2018-12-02,9,640.00,402420.00,630.00,618.00,630.00
107,2018-12-03,9,220.00,142310.00,651.00,626.00,626.00
108,2018-12-04,10,100.00,60850.00,626.00,596.00,596.00
109,2018-12-05,12,120.00,69730.00,596.00,561.00,562.00
110,2018-12-06,5,70.00,38470.00,562.00,541.00,551.00
111,2018-12-09,4,180.00,102740.00,573.00,551.00,573.00
112,2018-12-10,3,30.00,17250.00,575.00,573.00,575.00
113,2018-12-11,9,140.00,81100.00,585.00,575.00,585.00
114,2018-12-12,4,40.00,23200.00,585.00,580.00,580.00
115,2018-12-13,1,10.00,5900.00,590.00,580.00,590.00
116,2018-12-16,7,70.00,41870.00,612.00,588.00,612.00
117,2018-12-17,9,130.00,83630.00,660.00,600.00,660.00
118,2018-12-18,14,430.00,285910.00,681.00,655.00,670.00
119,2018-12-19,5,50.00,33030.00,670.00,657.00,661.00
120,2018-12-20,6,290.00,189830.00,661.00,648.00,648.00
121,2018-12-23,11,200.00,132700.00,680.00,630.00,680.00
