S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-05-07,1,10.00,3020.00,302.00,302.00,302.00
2,2019-05-09,1,10.00,3170.00,317.00,317.00,317.00
3,2019-05-15,1,10.00,3320.00,332.00,332.00,332.00
4,2019-05-16,1,10.00,3480.00,348.00,348.00,348.00
5,2019-05-20,1,10.00,3650.00,365.00,365.00,365.00
6,2019-05-21,2,20.00,7730.00,390.00,383.00,390.00
7,2019-05-22,3,30.00,12350.00,417.00,409.00,417.00
8,2019-05-27,9,90.00,40780.00,458.00,437.00,458.00
9,2019-05-28,1397,18507.00,9188406.00,503.00,480.00,503.00
10,2019-05-29,558,8097.00,4349529.00,553.00,503.00,553.00
11,2019-05-30,687,14229.00,8437352.00,608.00,555.00,575.00
12,2019-06-02,301,5259.00,2900857.00,581.00,539.00,549.00
13,2019-06-03,195,3948.00,2078190.00,539.00,516.00,520.00
14,2019-06-04,127,2739.00,1453460.00,545.00,510.00,527.00
15,2019-06-06,97,1709.00,886134.00,561.00,502.00,525.00
16,2019-06-10,75,1070.00,551345.00,520.00,510.00,513.00
17,2019-06-11,136,1860.00,946760.00,519.00,503.00,507.00
18,2019-06-12,66,860.00,437580.00,529.00,501.00,520.00
19,2019-06-13,48,680.00,345510.00,524.00,501.00,505.00
20,2019-06-16,92,1550.00,765390.00,525.00,485.00,486.00
21,2019-06-17,64,760.00,364420.00,495.00,470.00,494.00
22,2019-06-18,63,760.00,368860.00,502.00,481.00,502.00
23,2019-06-19,36,892.00,434514.00,501.00,483.00,495.00
24,2019-06-20,38,1091.00,524912.00,489.00,478.00,489.00
25,2019-06-23,26,380.00,182275.00,484.00,471.00,471.00
26,2019-06-24,47,760.00,356920.00,475.00,463.00,471.00
27,2019-06-25,63,1140.00,527375.00,467.00,456.00,462.00
28,2019-06-26,51,788.00,362212.00,473.00,451.00,473.00
29,2019-06-27,53,620.00,282620.00,465.00,451.00,453.00
30,2019-06-30,42,475.00,210980.00,447.00,440.00,441.00
31,2019-07-01,46,990.00,424040.00,434.00,415.00,430.00
32,2019-07-02,31,350.00,151200.00,442.00,425.00,434.00
33,2019-07-03,37,400.00,175820.00,450.00,425.00,440.00
34,2019-07-04,42,990.00,434110.00,465.00,424.00,436.00
35,2019-07-07,31,325.00,141270.00,442.00,430.00,432.00
36,2019-07-08,30,510.00,217730.00,440.00,424.00,430.00
37,2019-07-09,40,970.00,417860.00,435.00,420.00,435.00
38,2019-07-10,13,430.00,184110.00,430.00,428.00,428.00
39,2019-07-11,21,250.00,105030.00,428.00,415.00,425.00
40,2019-07-14,28,360.00,152140.00,425.00,417.00,421.00
41,2019-07-15,22,310.00,131130.00,430.00,416.00,423.00
42,2019-07-16,15,150.00,63320.00,431.00,417.00,425.00
43,2019-07-17,20,200.00,84620.00,430.00,417.00,430.00
44,2019-07-18,12,120.00,51370.00,430.00,426.00,426.00
45,2019-07-21,37,370.00,158640.00,438.00,422.00,430.00
46,2019-07-22,14,200.00,86000.00,435.00,428.00,435.00
47,2019-07-23,25,550.00,241030.00,443.00,435.00,442.00
48,2019-07-24,33,1010.00,450670.00,452.00,435.00,452.00
49,2019-07-25,44,1085.00,493735.00,462.00,445.00,458.00
50,2019-07-28,16,335.00,154680.00,467.00,455.00,458.00
51,2019-07-29,52,1985.00,979895.00,503.00,465.00,498.00
52,2019-07-30,103,5412.00,2860787.00,547.00,490.00,547.00
53,2019-07-31,125,7958.00,4456056.00,600.00,538.00,600.00
54,2019-08-01,197,9601.00,6115935.00,660.00,606.00,660.00
55,2019-08-04,215,9378.00,6470058.00,726.00,660.00,726.00
56,2019-08-05,190,7340.00,5081782.00,762.00,654.00,654.00
57,2019-08-06,80,2360.00,1397330.00,641.00,589.00,589.00
58,2019-08-07,75,1975.00,1192430.00,637.00,567.00,637.00
59,2019-08-08,54,1410.00,864270.00,631.00,604.00,613.00
60,2019-08-11,40,945.00,583295.00,630.00,601.00,611.00
61,2019-08-12,51,1030.00,630070.00,631.00,600.00,609.00
62,2019-08-13,47,735.00,449915.00,646.00,605.00,619.00
63,2019-08-14,41,1120.00,687950.00,620.00,610.00,611.00
64,2019-08-15,26,490.00,299890.00,622.00,600.00,619.00
65,2019-08-18,33,883.00,534004.00,611.00,597.00,608.00
66,2019-08-19,55,1310.00,802570.00,620.00,596.00,618.00
67,2019-08-20,37,2280.00,1400260.00,624.00,609.00,613.00
68,2019-08-21,25,610.00,370870.00,636.00,589.00,600.00
69,2019-08-22,30,340.00,207560.00,632.00,602.00,612.00
70,2019-08-25,41,1290.00,767990.00,612.00,589.00,605.00
71,2019-08-26,29,765.00,457080.00,610.00,593.00,596.00
72,2019-08-27,34,510.00,302150.00,604.00,585.00,600.00
73,2019-08-28,13,130.00,76490.00,600.00,585.00,596.00
74,2019-08-29,15,210.00,124030.00,606.00,585.00,599.00
75,2019-09-01,16,330.00,193240.00,599.00,581.00,590.00
76,2019-09-02,18,180.00,104860.00,594.00,572.00,594.00
77,2019-09-03,24,437.00,258126.00,611.00,583.00,611.00
78,2019-09-04,14,200.00,119170.00,605.00,589.00,600.00
79,2019-09-05,32,1145.00,679670.00,604.00,580.00,590.00
80,2019-09-08,25,570.00,336250.00,600.00,588.00,589.00
81,2019-09-09,31,340.00,197570.00,590.00,579.00,589.00
82,2019-09-10,17,370.00,214885.00,590.00,579.00,582.00
83,2019-09-10,17,370.00,214885.00,590.00,579.00,582.00
84,2019-09-11,13,790.00,456100.00,585.00,571.00,571.00
85,2019-09-12,14,920.00,510030.00,560.00,550.00,550.00
86,2019-09-15,15,319.00,170649.00,543.00,531.00,533.00
87,2019-09-16,25,520.00,276790.00,538.00,527.00,532.00
88,2019-09-17,19,230.00,126140.00,572.00,530.00,572.00
89,2019-09-18,22,290.00,167760.00,604.00,554.00,602.00
90,2019-09-19,10,140.00,81480.00,602.00,553.00,553.00
91,2019-09-22,16,240.00,129400.00,542.00,531.00,538.00
92,2019-09-23,17,210.00,113460.00,551.00,530.00,551.00
93,2019-09-24,14,360.00,193750.00,545.00,530.00,545.00
94,2019-09-25,13,270.00,145070.00,540.00,531.00,537.00
95,2019-09-26,18,480.00,258350.00,540.00,532.00,539.00
96,2019-09-29,14,230.00,123260.00,540.00,532.00,540.00
97,2019-09-30,18,210.00,113360.00,545.00,530.00,540.00
98,2019-10-01,16,160.00,85820.00,545.00,531.00,545.00
99,2019-10-02,4,60.00,32730.00,548.00,545.00,545.00
100,2019-10-03,6,150.00,81750.00,545.00,545.00,545.00
101,2019-10-10,3,30.00,16220.00,541.00,540.00,541.00
102,2019-10-14,4,530.00,281540.00,536.00,531.00,536.00
103,2019-10-15,5,200.00,107410.00,540.00,533.00,533.00
104,2019-10-16,6,120.00,64070.00,534.00,533.00,534.00
105,2019-10-17,15,180.00,95470.00,535.00,524.00,531.00
106,2019-10-20,25,390.00,204140.00,530.00,521.00,523.00
107,2019-10-21,10,960.00,502580.00,525.00,514.00,518.00
108,2019-10-22,11,120.00,62420.00,524.00,519.00,519.00
109,2019-10-23,4,170.00,88540.00,525.00,520.00,520.00
110,2019-10-24,12,430.00,228040.00,541.00,521.00,530.00
111,2019-10-31,9,90.00,47420.00,528.00,526.00,527.00
112,2019-11-03,3,30.00,15570.00,519.00,519.00,519.00
113,2019-11-04,15,150.00,77820.00,523.00,515.00,523.00
114,2019-11-05,9,165.00,86385.00,535.00,515.00,535.00
115,2019-11-06,5,120.00,63090.00,535.00,524.00,524.00
116,2019-11-07,22,710.00,370240.00,530.00,514.00,529.00
117,2019-11-10,18,250.00,130050.00,521.00,519.00,519.00
118,2019-11-11,17,1990.00,1068610.00,542.00,515.00,542.00
119,2019-11-12,9,590.00,315166.00,542.00,515.00,522.00
120,2019-11-13,7,90.00,47130.00,530.00,513.00,530.00
121,2019-11-14,10,100.00,52900.00,536.00,526.00,529.00
122,2019-11-17,4,40.00,20780.00,520.00,519.00,520.00
123,2019-11-18,15,330.00,172200.00,530.00,520.00,526.00
124,2019-11-19,14,420.00,218340.00,522.00,518.00,520.00
125,2019-11-20,13,520.00,269530.00,520.00,516.00,519.00
126,2019-11-21,26,560.00,292800.00,535.00,502.00,502.00
127,2019-11-24,9,210.00,106060.00,510.00,500.00,510.00
128,2019-11-25,19,190.00,96410.00,520.00,501.00,508.00
129,2019-11-26,16,260.00,133210.00,518.00,500.00,508.00
130,2019-11-27,8,180.00,92370.00,529.00,509.00,529.00
131,2019-11-28,4,40.00,20550.00,519.00,512.00,512.00
132,2019-12-01,10,470.00,242050.00,522.00,506.00,522.00
133,2019-12-02,9,260.00,138780.00,540.00,518.00,540.00
134,2019-12-03,18,779.00,419210.00,548.00,523.00,548.00
135,2019-12-04,10,210.00,114180.00,555.00,535.00,535.00
136,2019-12-05,15,1090.00,586980.00,551.00,535.00,551.00
137,2019-12-08,30,1894.00,1037250.00,565.00,537.00,565.00
138,2019-12-09,28,1929.00,1128330.00,594.00,574.00,575.00
139,2019-12-10,42,2394.00,1379390.00,587.00,566.00,587.00
140,2019-12-11,33,1330.00,811050.00,629.00,588.00,629.00
141,2019-12-12,41,2994.00,1880906.00,641.00,617.00,625.00
142,2019-12-15,53,4675.00,2728380.00,613.00,569.00,590.00
143,2019-12-16,36,4300.00,2515140.00,598.00,575.00,576.00
144,2019-12-17,104,6677.00,4063276.00,622.00,587.00,605.00
145,2019-12-18,54,5584.00,3425458.00,623.00,605.00,614.00
146,2019-12-19,36,3715.00,2242280.00,615.00,602.00,603.00
147,2019-12-22,32,975.00,589110.00,614.00,593.00,614.00
148,2019-12-23,67,7414.00,4558686.00,625.00,602.00,612.00
149,2019-12-24,47,2280.00,1413176.00,630.00,613.00,618.00
150,2019-12-25,103,4606.00,2848530.00,630.00,613.00,621.00
151,2019-12-26,24,1330.00,733008.00,556.00,547.00,554.00
152,2019-12-29,10,510.00,280310.00,550.00,546.00,550.00
153,2019-12-30,9,125.00,68935.00,559.00,540.00,555.00
154,2019-12-31,30,4730.00,2590697.00,565.00,544.00,565.00
155,2020-01-01,22,2830.00,1585970.00,573.00,552.00,573.00
156,2020-01-02,27,2725.00,1555319.00,584.00,562.00,565.00
157,2020-01-05,57,7399.00,4383792.00,602.00,565.00,598.00
158,2020-01-06,44,2771.00,1675127.00,610.00,592.00,608.00
159,2020-01-07,69,8704.00,5426655.00,635.00,606.00,635.00
160,2020-01-08,55,4685.00,2981612.00,655.00,611.00,654.00
161,2020-01-09,67,4234.00,2872698.00,705.00,652.00,696.00
162,2020-01-12,69,6014.00,4315245.00,750.00,691.00,730.00
163,2020-01-13,67,5183.00,3750876.00,740.00,704.00,704.00
