S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2017-05-16,4,40.00,9600.00,246.00,234.00,246.00
2,2017-05-17,4,40.00,10309.20,265.00,250.92,265.00
3,2017-05-18,4,45.00,12790.00,291.00,278.00,291.00
4,2017-05-21,8,490.00,155950.00,320.00,296.00,320.00
5,2017-05-22,89,3075.00,1081580.00,352.00,326.00,352.00
6,2017-05-23,900,60115.00,21873302.00,387.00,337.00,338.00
7,2017-05-24,414,20312.00,6554912.00,335.00,316.00,329.00
8,2017-05-28,179,8829.00,2797048.00,323.00,314.00,318.00
9,2017-05-30,337,24367.00,7274615.00,324.00,292.00,299.00
10,2017-05-31,145,14943.00,4442445.00,310.00,289.00,310.00
11,2017-06-01,105,5541.00,1656680.00,309.00,294.00,298.00
12,2017-06-04,101,4147.00,1214799.00,299.00,286.00,297.00
13,2017-06-05,180,6799.00,2018150.00,302.00,288.00,291.00
14,2017-06-06,185,18296.00,5249692.00,296.00,280.00,292.00
15,2017-06-07,192,18642.00,5284180.00,291.00,278.00,280.00
16,2017-06-08,137,7726.00,2142789.00,285.00,272.00,282.00
17,2017-06-11,144,3025.00,823224.00,287.00,269.00,272.00
18,2017-06-12,100,3103.00,833091.00,277.00,264.00,270.00
19,2017-06-13,127,5396.00,1424284.00,272.00,258.00,261.00
20,2017-06-14,119,5417.00,1409440.00,275.00,253.00,275.00
21,2017-06-15,68,5306.00,1430538.00,275.00,266.00,266.00
22,2017-06-18,55,2859.00,744786.00,265.00,256.00,260.00
23,2017-06-19,91,6232.00,1592150.00,267.00,247.00,255.00
24,2017-06-20,62,2615.00,656916.00,260.00,245.00,260.00
25,2017-06-21,61,2045.00,528066.00,265.00,249.00,265.00
26,2017-06-22,39,1747.00,450632.00,270.00,255.00,267.00
27,2017-06-25,47,3245.00,840225.00,270.00,253.00,258.00
28,2017-06-27,62,2025.00,520610.00,260.00,249.00,255.00
29,2017-06-28,41,1953.00,496857.00,256.00,250.00,253.00
30,2017-07-02,67,3408.00,838798.00,250.00,242.00,246.00
31,2017-07-03,70,4484.00,1106694.00,250.00,241.00,241.00
32,2017-07-04,76,1526.00,368918.00,245.00,238.00,238.00
33,2017-07-05,50,1250.00,299846.00,246.00,236.00,242.00
34,2017-07-06,51,1462.00,355244.00,255.00,238.00,255.00
35,2017-07-09,63,4474.00,1132740.00,260.00,250.00,260.00
36,2017-07-10,100,7216.00,1858792.00,260.00,248.00,250.00
37,2017-07-11,47,2555.00,636446.00,255.00,246.00,250.00
38,2017-07-12,59,1985.00,492111.00,250.00,245.00,250.00
39,2017-07-13,163,3924.00,952642.00,250.00,238.00,243.00
40,2017-07-16,23,359.00,86326.00,244.00,239.00,241.00
41,2017-07-17,164,3747.00,904611.00,257.00,238.00,257.00
42,2017-07-18,122,2191.00,544996.00,272.00,241.00,272.00
43,2017-07-20,87,7991.00,2026387.00,267.00,248.00,254.00
44,2017-07-23,57,1556.00,381117.00,249.00,243.00,246.00
45,2017-07-24,84,5596.00,1359019.00,250.00,242.00,250.00
46,2017-07-25,48,8800.00,2098155.00,245.00,233.00,240.00
47,2017-07-26,52,2062.00,501514.00,252.00,240.00,240.00
48,2017-07-27,34,1427.00,341203.00,244.00,234.00,240.00
49,2017-07-30,85,3011.00,703988.00,247.00,232.00,243.00
50,2017-07-31,36,767.00,179767.00,239.00,231.00,234.00
51,2017-08-01,82,1307.00,305419.00,241.00,231.00,237.00
52,2017-08-02,60,2560.00,612031.00,245.00,231.00,245.00
53,2017-08-03,103,3579.00,836294.00,245.00,231.00,245.00
54,2017-08-06,123,5604.00,1296588.00,241.00,229.00,229.00
55,2017-08-07,115,5932.00,1329014.00,227.00,221.00,224.00
56,2017-08-09,133,4429.00,954823.00,223.00,213.00,214.00
57,2017-08-10,50,4095.00,863372.00,213.00,209.00,212.00
58,2017-08-13,32,720.00,148357.00,210.00,202.00,207.00
59,2017-08-15,47,4253.00,852172.00,207.00,199.00,199.00
60,2017-08-16,49,5058.00,1017198.00,204.00,199.00,203.00
61,2017-08-17,45,3813.00,740843.00,200.00,193.00,193.00
62,2017-08-20,47,3083.00,594231.00,195.00,190.00,193.00
63,2017-08-21,43,1275.00,246371.00,196.00,191.00,193.00
64,2017-08-22,73,3573.00,693020.00,200.00,185.00,195.00
65,2017-08-23,114,7952.00,1522825.00,198.00,191.00,198.00
66,2017-08-24,61,1818.00,346675.00,195.00,190.00,190.00
67,2017-08-27,93,2071.00,390754.00,199.00,187.00,199.00
68,2017-08-28,76,1846.00,350774.00,196.00,187.00,190.00
69,2017-08-30,35,906.00,171941.00,195.00,186.00,187.00
70,2017-08-31,33,1179.00,213650.00,187.00,177.00,178.00
71,2017-09-04,23,2177.00,369562.00,178.00,164.00,168.00
72,2017-09-06,59,2252.00,380467.00,173.00,164.00,167.00
73,2017-09-07,66,1202.00,197977.00,170.00,163.00,165.00
74,2017-09-10,59,10680.00,1651139.00,162.00,150.00,156.00
75,2017-09-11,31,1232.00,194834.00,160.00,154.00,158.00
76,2017-09-12,42,1873.00,300540.00,165.00,157.00,165.00
77,2017-09-13,10,479.00,78530.00,171.00,161.00,168.00
78,2017-09-14,30,1192.00,198317.00,169.00,161.00,169.00
79,2017-09-17,25,1094.00,181124.00,169.00,160.00,166.00
80,2017-09-18,48,1364.00,220425.00,166.00,157.00,160.00
81,2017-09-20,50,2268.00,355352.00,168.00,153.00,168.00
82,2017-09-24,16,9458.00,1586589.00,170.00,165.00,167.00
83,2017-09-25,1,15.00,2505.00,167.00,167.00,167.00
84,2017-09-26,10,130.00,21460.00,170.00,161.00,162.00
85,2017-10-03,1,293.00,46880.00,160.00,160.00,160.00
86,2017-10-04,8,1044.00,168658.00,169.00,160.00,169.00
87,2017-10-08,31,8885.00,1448015.00,166.00,160.00,166.00
88,2017-10-09,9,125.00,20550.00,167.00,163.00,163.00
89,2017-10-10,7,179.00,28708.00,163.00,157.00,162.00
90,2017-10-11,8,150.00,23940.00,162.00,156.00,162.00
91,2017-10-12,8,130.00,21190.00,164.00,162.00,162.00
92,2017-10-15,21,332.00,53829.00,164.00,162.00,162.00
93,2017-10-16,15,398.00,65519.00,168.00,161.00,168.00
94,2017-10-17,17,415.00,68435.00,169.00,162.00,162.00
95,2017-10-18,14,206.00,32613.00,162.00,157.00,162.00
96,2017-10-22,13,239.00,38451.00,162.00,159.00,159.00
97,2017-10-23,9,295.00,47528.00,165.00,160.00,165.00
98,2017-10-24,21,265.00,42825.00,163.00,160.00,163.00
99,2017-10-25,6,335.00,54185.00,166.00,161.00,161.00
100,2017-10-29,13,342.00,55663.00,165.00,159.00,159.00
101,2017-10-30,9,95.00,15130.00,162.00,157.00,162.00
102,2017-10-31,21,969.00,157729.00,166.00,158.00,161.00
103,2017-11-01,60,1777.00,285238.00,165.00,158.00,159.00
104,2017-11-02,35,546.00,86235.00,160.00,156.00,160.00
105,2017-11-05,38,1277.00,202741.00,160.00,156.00,160.00
106,2017-11-06,18,754.00,116836.00,160.00,154.00,157.00
107,2017-11-07,21,805.00,127065.00,160.00,154.00,159.00
108,2017-11-08,15,238.00,37416.00,159.00,156.00,159.00
109,2017-11-09,24,601.00,92597.00,160.00,151.00,154.00
110,2017-11-12,22,1690.00,259507.00,155.00,151.00,154.00
111,2017-11-13,24,1185.00,188669.00,165.00,152.00,165.00
112,2017-11-14,23,2315.00,386157.00,170.00,164.00,164.00
113,2017-11-15,14,1307.00,209476.00,162.00,160.00,160.00
114,2017-11-16,38,1701.00,269135.00,161.00,154.00,155.00
115,2017-11-19,32,3157.00,476711.00,156.00,149.00,154.00
116,2017-11-20,65,6626.00,987175.00,153.00,147.00,147.00
117,2017-11-21,59,4060.00,603073.00,153.00,145.00,153.00
118,2017-11-22,30,960.00,146125.00,154.00,150.00,150.00
119,2017-11-23,58,13935.00,2158771.00,163.00,150.00,163.00
120,2017-11-26,54,3801.00,621426.00,172.00,158.00,172.00
121,2017-11-27,25,2848.00,467997.00,170.00,160.00,166.00
122,2017-11-28,41,1950.00,324179.00,169.00,161.00,164.00
123,2017-11-29,41,10954.00,1832488.00,173.00,159.00,172.00
124,2017-11-30,23,8153.00,1333065.00,169.00,163.00,168.00
125,2017-12-04,37,2637.00,451700.00,174.00,165.00,173.00
126,2017-12-05,91,9552.00,1712020.00,184.00,170.00,182.00
127,2017-12-06,86,9024.00,1703432.00,195.00,179.00,194.00
128,2017-12-10,40,3164.00,586181.00,194.00,179.00,194.00
129,2017-12-11,25,1570.00,293025.00,195.00,181.00,187.00
130,2017-12-12,42,1912.00,351813.00,188.00,180.00,188.00
131,2017-12-13,34,2332.00,421461.00,189.00,177.00,188.00
132,2017-12-14,14,1291.00,245183.00,192.00,182.00,192.00
133,2017-12-17,15,564.00,108240.00,198.00,182.00,182.00
134,2017-12-18,44,8867.00,1584912.00,184.00,176.00,184.00
135,2017-12-19,18,489.00,85271.00,181.00,172.00,173.00
136,2017-12-20,6,340.00,59140.00,178.00,171.00,178.00
137,2017-12-21,36,4300.00,735609.00,175.00,169.00,170.00
138,2017-12-24,38,1447.00,249777.00,176.00,170.00,171.00
139,2017-12-26,24,925.00,156920.00,172.00,167.00,171.00
140,2017-12-27,31,1149.00,190198.00,171.00,164.00,165.00
141,2017-12-28,28,1693.00,274210.00,165.00,159.00,165.00
142,2017-12-31,69,1052.00,172012.00,165.00,159.00,165.00
143,2018-01-01,16,1675.00,277745.00,167.00,162.00,164.00
144,2018-01-02,19,1321.00,217279.00,168.00,161.00,164.00
145,2018-01-03,10,407.00,65668.00,165.00,158.00,161.00
146,2018-01-04,33,1380.00,222014.00,169.00,158.00,162.00
147,2018-01-07,13,185.00,30685.00,169.00,163.00,169.00
148,2018-01-08,9,885.00,147425.00,169.00,165.00,166.00
149,2018-01-09,30,4641.00,781361.00,174.00,165.00,172.00
150,2018-01-10,22,640.00,108646.00,171.00,169.00,169.00
151,2018-01-14,6,296.00,49054.00,167.00,164.00,164.00
152,2018-01-16,9,480.00,77416.00,162.00,160.00,161.00
153,2018-01-17,22,325.00,50915.00,161.00,154.00,161.00
154,2018-01-21,20,1142.00,181822.00,161.00,158.00,158.00
155,2018-01-22,2,25.00,3985.00,160.00,159.00,159.00
156,2018-01-23,24,678.00,106168.00,159.00,156.00,156.00
157,2018-01-24,33,2534.00,396050.00,163.00,155.00,163.00
158,2018-01-25,7,346.00,56844.00,165.00,159.00,159.00
159,2018-01-28,31,1054.00,170141.00,165.00,156.00,160.00
160,2018-01-29,31,475.00,74867.00,160.00,156.00,156.00
161,2018-01-31,30,471.00,73846.00,159.00,154.00,157.00
162,2018-02-01,7,148.00,23077.00,160.00,154.00,157.00
163,2018-02-04,12,180.00,28185.00,158.00,154.00,157.00
164,2018-02-05,21,2486.00,389446.00,160.00,154.00,157.00
165,2018-02-06,12,2083.00,322137.00,157.00,151.00,151.00
166,2018-02-07,20,985.00,148747.00,153.00,148.00,150.00
167,2018-02-08,15,243.00,36487.00,153.00,149.00,153.00
168,2018-02-11,26,620.00,94535.00,157.00,151.00,154.00
169,2018-02-12,21,344.00,51839.00,152.00,149.00,151.00
170,2018-02-14,28,845.00,130473.00,158.00,152.00,158.00
171,2018-02-15,7,128.00,19968.00,156.00,156.00,156.00
172,2018-02-18,85,4331.00,662126.00,156.00,152.00,153.00
173,2018-02-20,25,1618.00,245645.00,155.00,150.00,150.00
174,2018-02-21,10,1368.00,208155.00,153.00,148.00,150.00
175,2018-02-22,20,7887.00,1196242.00,153.00,149.00,150.00
176,2018-02-25,19,573.00,87289.00,154.00,147.00,153.00
177,2018-02-26,29,4141.00,610721.00,153.00,145.00,145.00
178,2018-02-27,32,693.00,100296.00,147.00,141.00,144.00
179,2018-02-28,15,2180.00,311220.00,145.00,140.00,140.00
180,2018-03-04,8,850.00,115500.00,138.00,135.00,135.00
181,2018-03-05,28,5750.00,777050.00,139.00,130.00,130.00
182,2018-03-06,19,3702.00,500266.00,139.00,128.00,137.00
183,2018-03-07,41,2380.00,338039.00,146.00,135.00,146.00
184,2018-03-11,17,1083.00,154416.00,145.00,135.00,140.00
185,2018-03-12,24,1664.00,228539.00,138.00,133.00,135.00
186,2018-03-13,8,193.00,25845.00,135.00,133.00,135.00
187,2018-03-14,4,94.00,12776.00,137.00,134.00,137.00
188,2018-03-15,4,65.00,8963.00,139.00,137.00,137.00
189,2018-03-18,26,2026.00,276473.00,140.00,135.00,135.00
190,2018-03-19,11,783.00,106175.00,137.00,135.00,136.00
191,2018-03-20,72,3668.00,484194.00,136.00,130.00,130.00
192,2018-03-21,16,1995.00,258515.00,130.00,128.00,128.00
193,2018-03-22,17,3398.00,443262.00,132.00,130.00,130.00
194,2018-03-26,33,4766.00,595485.00,129.00,123.00,124.00
195,2018-03-27,13,817.00,100367.00,124.00,122.00,124.00
196,2018-03-28,9,235.00,30020.00,132.00,124.00,132.00
197,2018-03-29,28,1505.00,199260.00,136.00,128.00,136.00
198,2018-04-01,24,1171.00,151366.00,134.00,127.00,129.00
199,2018-04-02,13,556.00,71984.00,131.00,127.00,129.00
200,2018-04-03,5,864.00,113684.00,132.00,131.00,132.00
201,2018-04-04,10,1450.00,191100.00,133.00,131.00,132.00
202,2018-04-05,18,3096.00,412903.00,136.00,131.00,133.00
203,2018-04-08,25,1294.00,176544.00,141.00,131.00,139.00
204,2018-04-09,15,3022.00,418965.00,141.00,136.00,136.00
205,2018-04-10,6,419.00,57244.00,138.00,136.00,136.00
206,2018-04-11,8,140.00,18965.00,138.00,133.00,133.00
207,2018-04-12,25,902.00,121174.00,136.00,131.00,136.00
