S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2010-04-19,4,160.00,46230.00,291.00,286.00,286.00
2,2010-04-20,39,2430.00,704710.00,293.00,288.00,290.00
3,2010-04-21,28,2140.00,603010.00,290.00,276.00,276.00
4,2010-04-22,20,700.00,195290.00,287.00,275.00,287.00
5,2010-04-25,11,600.00,169210.00,288.00,277.00,277.00
6,2010-04-26,37,1430.00,392180.00,290.00,272.00,273.00
7,2010-04-27,32,2560.00,677190.00,273.00,262.00,262.00
8,2010-04-28,12,620.00,164330.00,268.00,264.00,265.00
9,2010-04-29,16,590.00,158710.00,281.00,260.00,281.00
10,2010-04-15,52,2050.00,592310.00,293.00,285.00,290.00
11,2010-05-09,50,1880.00,497730.00,286.00,253.00,255.00
12,2010-05-10,19,770.00,201930.00,273.00,255.00,273.00
13,2010-05-11,13,590.00,162940.00,284.00,270.00,281.00
14,2010-05-12,47,2750.00,797880.00,309.00,285.00,309.00
15,2010-05-13,43,3300.00,1039770.00,328.00,310.00,312.00
16,2010-05-16,28,1370.00,416520.00,313.00,290.00,290.00
17,2010-05-17,15,890.00,255690.00,295.00,277.00,295.00
18,2010-05-18,50,2450.00,737440.00,312.00,294.00,312.00
19,2010-05-19,22,1080.00,337140.00,318.00,306.00,315.00
20,2010-05-20,38,1750.00,549020.00,317.00,310.00,315.00
21,2010-05-23,22,1440.00,452030.00,318.00,310.00,310.00
22,2010-05-24,18,730.00,234870.00,330.00,316.00,330.00
23,2010-05-25,18,860.00,298350.00,356.00,330.00,356.00
24,2010-05-26,31,2080.00,761240.00,377.00,338.00,338.00
25,2010-05-30,10,380.00,139110.00,371.00,344.00,371.00
26,2010-05-31,64,4020.00,1386510.00,378.00,334.00,340.00
27,2010-06-01,21,1170.00,386340.00,334.00,328.00,334.00
28,2010-06-02,31,3140.00,1043540.00,342.00,328.00,333.00
29,2010-06-03,74,4490.00,1521020.00,348.00,325.00,339.00
30,2010-06-06,243,18362.00,6270532.00,348.00,330.00,335.00
31,2010-06-07,241,11070.00,3635380.00,342.00,317.00,336.00
32,2010-06-08,241,13600.00,4507360.00,340.00,320.00,340.00
33,2010-06-09,236,12340.00,4256720.00,352.00,335.00,345.00
34,2010-06-10,388,18440.00,6119530.00,349.00,320.00,330.00
35,2010-06-14,1,10.00,2720.00,272.00,272.00,272.00
36,2010-06-16,5,250.00,64890.00,267.00,257.00,257.00
37,2010-06-17,3,140.00,35270.00,255.00,250.00,255.00
38,2010-06-20,7,320.00,83890.00,269.00,260.00,269.00
39,2010-06-21,4,250.00,67250.00,269.00,269.00,269.00
40,2010-06-22,16,850.00,223400.00,265.00,260.00,260.00
41,2010-06-23,6,390.00,102500.00,266.00,255.00,265.00
42,2010-06-24,10,590.00,160410.00,275.00,270.00,275.00
43,2010-06-28,6,310.00,84950.00,275.00,270.00,270.00
44,2010-06-29,5,280.00,72750.00,265.00,255.00,260.00
45,2010-06-30,9,1440.00,373060.00,260.00,255.00,255.00
46,2010-07-01,19,1620.00,426330.00,270.00,255.00,267.00
47,2010-07-04,3,130.00,33610.00,262.00,257.00,257.00
48,2010-07-05,25,1360.00,351460.00,261.00,255.00,261.00
49,2010-07-06,5,450.00,116840.00,261.00,256.00,256.00
50,2010-07-07,7,750.00,196350.00,263.00,257.00,262.00
51,2010-07-08,11,650.00,170140.00,265.00,258.00,260.00
52,2010-07-11,14,830.00,210240.00,256.00,252.00,256.00
53,2010-07-12,2,120.00,30370.00,256.00,251.00,256.00
54,2010-07-13,30,2160.00,544330.00,255.00,250.00,252.00
55,2010-07-14,2,90.00,22500.00,250.00,250.00,250.00
56,2010-07-15,7,310.00,78200.00,265.00,250.00,265.00
57,2010-07-18,5,330.00,85450.00,260.00,255.00,255.00
58,2010-07-19,8,340.00,87430.00,258.00,255.00,257.00
59,2010-07-20,24,630.00,162180.00,260.00,255.00,260.00
60,2010-07-21,17,1370.00,346270.00,255.00,250.00,255.00
61,2010-07-22,57,3400.00,877020.00,261.00,251.00,261.00
62,2010-07-25,19,1090.00,273510.00,256.00,248.00,251.00
63,2010-07-26,9,960.00,240630.00,255.00,248.00,255.00
64,2010-07-27,10,390.00,99680.00,260.00,254.00,256.00
65,2010-07-28,2,120.00,30340.00,257.00,252.00,257.00
66,2010-07-29,14,1280.00,327810.00,260.00,255.00,255.00
67,2010-08-01,5,170.00,43230.00,255.00,254.00,254.00
68,2010-08-02,18,830.00,210290.00,258.00,252.00,258.00
69,2010-08-03,19,1460.00,374860.00,260.00,253.00,259.00
70,2010-08-04,17,1330.00,332170.00,254.00,245.00,250.00
71,2010-08-05,11,790.00,198140.00,255.00,250.00,255.00
72,2010-08-08,10,380.00,94640.00,250.00,248.00,248.00
73,2010-08-09,15,610.00,151340.00,252.00,247.00,247.00
74,2010-08-10,24,1140.00,281990.00,250.00,245.00,250.00
75,2010-08-11,29,1280.00,319560.00,251.00,247.00,250.00
76,2010-08-12,29,1400.00,344600.00,249.00,239.00,239.00
77,2010-08-15,8,600.00,145360.00,246.00,241.00,246.00
78,2010-08-16,6,330.00,80190.00,246.00,242.00,243.00
79,2010-08-17,2,100.00,24200.00,242.00,242.00,242.00
80,2010-08-18,12,750.00,179980.00,242.00,238.00,240.00
81,2010-08-19,7,470.00,112200.00,242.00,238.00,242.00
82,2010-08-22,2,40.00,9520.00,238.00,238.00,238.00
83,2010-08-23,17,1390.00,329530.00,240.00,235.00,240.00
84,2010-08-29,11,720.00,164900.00,237.00,225.00,227.00
85,2010-08-30,17,850.00,191010.00,227.00,223.00,224.00
86,2010-08-31,26,1850.00,405200.00,223.00,216.00,216.00
87,2010-09-02,11,400.00,88420.00,226.00,218.00,226.00
88,2010-09-05,4,290.00,64520.00,223.00,222.00,222.00
89,2010-09-06,15,630.00,140490.00,233.00,220.00,233.00
90,2010-09-07,9,530.00,122000.00,232.00,229.00,232.00
91,2010-09-08,2,100.00,23130.00,232.00,231.00,232.00
92,2010-09-09,14,710.00,161910.00,234.00,222.00,226.00
93,2010-09-12,25,970.00,219940.00,237.00,225.00,237.00
94,2010-09-13,19,1100.00,260560.00,241.00,233.00,241.00
95,2010-09-14,17,1890.00,435070.00,238.00,221.00,221.00
96,2010-09-15,15,1760.00,382170.00,221.00,214.00,217.00
97,2010-09-16,9,590.00,125970.00,217.00,210.00,212.00
98,2010-09-19,7,710.00,143470.00,209.00,197.00,197.00
